None,ticker,date,close,adj_close
0,NEM,2018-03-27,39.03,39.03
1,NEM,2018-03-26,39.89,39.89
2,NEM,2018-03-23,38.76,38.76
3,NEM,2018-03-22,37.61,37.61
4,NEM,2018-03-21,38.22,38.22
5,NEM,2018-03-20,37.3,37.3
6,NEM,2018-03-19,37.47,37.47
7,NEM,2018-03-16,37.39,37.39
8,NEM,2018-03-15,37.31,37.31
9,NEM,2018-03-14,38.19,38.19
10,NEM,2018-03-13,38.22,38.22
11,NEM,2018-03-12,37.98,37.98
12,NEM,2018-03-09,37.71,37.71
13,NEM,2018-03-08,37.66,37.66
14,NEM,2018-03-07,37.7,37.7
15,NEM,2018-03-06,38.85,38.85
16,NEM,2018-03-05,38.28,38.28
17,NEM,2018-03-02,37.93,37.93
18,NEM,2018-03-01,38.11,38.11
19,NEM,2018-02-28,38.2,38.2
20,NEM,2018-02-27,38.44,38.44
21,NEM,2018-02-26,39.32,39.32
22,NEM,2018-02-23,38.69,38.69
23,NEM,2018-02-22,37.63,37.63
24,NEM,2018-02-21,38.16,38.16
25,NEM,2018-02-20,38.39,38.39
26,NEM,2018-02-16,39.11,39.11
27,NEM,2018-02-15,39.41,39.41
28,NEM,2018-02-14,39.0,39.0
29,NEM,2018-02-13,37.02,37.02
30,NEM,2018-02-12,36.91,36.91
31,NEM,2018-02-09,36.76,36.76
32,NEM,2018-02-08,36.61,36.61
33,NEM,2018-02-07,37.03,37.03
34,NEM,2018-02-06,37.63,37.63
35,NEM,2018-02-05,37.8,37.8
36,NEM,2018-02-02,38.97,38.97
37,NEM,2018-02-01,40.36,40.36
38,NEM,2018-01-31,40.51,40.51
39,NEM,2018-01-30,40.1,40.1
40,NEM,2018-01-29,40.08,40.08
41,NEM,2018-01-26,41.05,41.05
42,NEM,2018-01-25,40.77,40.77
43,NEM,2018-01-24,41.57,41.57
44,NEM,2018-01-23,40.32,40.32
45,NEM,2018-01-22,39.66,39.66
46,NEM,2018-01-19,39.47,39.47
47,NEM,2018-01-18,39.24,39.24
48,NEM,2018-01-17,39.45,39.45
49,NEM,2018-01-16,40.0,40.0
50,NEM,2018-01-12,39.79,39.79
51,NEM,2018-01-11,38.84,38.84
52,NEM,2018-01-10,38.34,38.34
53,NEM,2018-01-09,38.11,38.11
54,NEM,2018-01-08,38.36,38.36
55,NEM,2018-01-05,38.4,38.4
56,NEM,2018-01-04,38.26,38.26
57,NEM,2018-01-03,37.84,37.84
58,NEM,2018-01-02,38.16,38.16
59,NEM,2017-12-29,37.52,37.52
60,NEM,2017-12-28,37.51,37.51
61,NEM,2017-12-27,37.6,37.6
62,NEM,2017-12-26,37.57,37.57
63,NEM,2017-12-22,36.92,36.92
64,NEM,2017-12-21,36.73,36.73
65,NEM,2017-12-20,36.61,36.61
66,NEM,2017-12-19,36.35,36.35
67,NEM,2017-12-18,36.65,36.65
68,NEM,2017-12-15,35.87,35.87
69,NEM,2017-12-14,35.9,35.9
70,NEM,2017-12-13,35.75,35.75
71,NEM,2017-12-12,34.59,34.59
72,NEM,2017-12-11,34.67,34.67
73,NEM,2017-12-08,35.4,35.4
74,NEM,2017-12-07,35.92,35.92
75,NEM,2017-12-06,35.83,35.83
76,NEM,2017-12-05,36.2,36.2
77,NEM,2017-12-04,36.84,36.84
78,NEM,2017-12-01,37.19,37.19
79,NEM,2017-11-30,36.99,36.99
80,NEM,2017-11-29,36.6,36.6
81,NEM,2017-11-28,37.14,37.14
82,NEM,2017-11-27,37.1,37.1
83,NEM,2017-11-24,36.68,36.68
84,NEM,2017-11-22,36.71,36.71
85,NEM,2017-11-21,36.37,36.37
86,NEM,2017-11-20,36.33,36.33
87,NEM,2017-11-17,36.21,36.21
88,NEM,2017-11-16,36.09,36.09
89,NEM,2017-11-15,36.08,36.08
90,NEM,2017-11-14,36.28,36.28
91,NEM,2017-11-13,35.71,35.71
92,NEM,2017-11-10,35.52,35.52
93,NEM,2017-11-09,35.88,35.88
94,NEM,2017-11-07,36.04,36.04
95,NEM,2017-11-06,36.37,36.37
96,NEM,2017-11-03,36.04,36.04
97,NEM,2017-11-02,36.48,36.48
98,NEM,2017-11-01,35.69,35.69
99,NEM,2017-10-31,36.16,36.16
100,NEM,2017-10-30,36.23,36.23
101,NEM,2017-10-27,35.8,35.8
102,NEM,2017-10-26,35.81,35.81
103,NEM,2017-10-25,36.77,36.77
104,NEM,2017-10-24,37.13,37.13
105,NEM,2017-10-23,37.37,37.37
106,NEM,2017-10-20,37.79,37.79
107,NEM,2017-10-19,37.84,37.84
108,NEM,2017-10-18,37.86,37.86
109,NEM,2017-10-17,38.35,38.35
110,NEM,2017-10-16,37.99,37.99
111,NEM,2017-10-13,38.59,38.59
112,NEM,2017-10-12,38.39,38.39
113,NEM,2017-10-11,38.08,38.08
114,NEM,2017-10-10,37.9,37.9
115,NEM,2017-10-09,38.28,38.28
116,NEM,2017-10-06,38.06,38.06
117,NEM,2017-10-05,37.95,37.95
118,NEM,2017-10-04,38.08,38.08
119,NEM,2017-10-03,38.23,38.23
120,NEM,2017-10-02,37.88,37.88
121,NEM,2017-09-29,37.51,37.51
122,NEM,2017-09-28,37.62,37.62
123,NEM,2017-09-27,37.21,37.21
124,NEM,2017-09-26,37.97,37.97
125,NEM,2017-09-25,38.63,38.63
126,NEM,2017-09-22,37.89,37.89
127,NEM,2017-09-21,37.43,37.43
128,NEM,2017-09-20,37.63,37.63
129,NEM,2017-09-19,38.09,38.09
130,NEM,2017-09-18,37.78,37.78
131,NEM,2017-09-15,37.85,37.85
132,NEM,2017-09-14,38.06,38.06
133,NEM,2017-09-13,37.88,37.88
134,NEM,2017-09-12,38.35,38.274219470426
135,NEM,2017-09-11,38.22,38.144476353577
136,NEM,2017-09-08,39.31,39.232322487156
137,NEM,2017-09-07,39.6,39.521749440126
138,NEM,2017-09-06,38.38,38.304160189698
139,NEM,2017-09-05,38.75,38.67342906073
140,NEM,2017-09-01,38.66,38.583606902911
141,NEM,2017-08-31,38.34,38.264239230668
142,NEM,2017-08-30,38.06,37.984792517455
143,NEM,2017-08-29,38.04,37.96483203794
144,NEM,2017-08-28,38.3,38.224318271637
145,NEM,2017-08-25,36.99,36.916906863391
146,NEM,2017-08-24,36.82,36.747242787512
147,NEM,2017-08-23,36.98,36.906926623633
148,NEM,2017-08-22,36.5,36.427875115268
149,NEM,2017-08-21,36.61,36.537657752602
150,NEM,2017-08-18,35.83,35.759199051508
151,NEM,2017-08-17,36.05,35.978764326176
152,NEM,2017-08-16,36.13,36.058606244237
153,NEM,2017-08-15,35.77,35.699317612963
154,NEM,2017-08-14,36.02,35.948823606903
155,NEM,2017-08-11,36.53,36.457815834541
156,NEM,2017-08-10,36.44,36.367993676722
157,NEM,2017-08-09,36.1,36.028665524964
158,NEM,2017-08-08,35.74,35.66937689369
159,NEM,2017-08-07,36.17,36.098527203267
160,NEM,2017-08-04,36.15,36.078566723752
161,NEM,2017-08-03,36.59,36.517697273087
162,NEM,2017-08-02,36.87,36.7971439863
163,NEM,2017-08-01,36.98,36.906926623633
164,NEM,2017-07-31,37.17,37.096551179028
165,NEM,2017-07-28,37.06,36.986768541694
166,NEM,2017-07-27,36.44,36.367993676722
167,NEM,2017-07-26,36.96,36.886966144118
168,NEM,2017-07-25,36.24,36.16838888157
169,NEM,2017-07-24,33.9,33.83301277829
170,NEM,2017-07-21,34.39,34.322044526413
171,NEM,2017-07-20,33.92,33.852973257805
172,NEM,2017-07-19,33.88,33.813052298775
173,NEM,2017-07-18,33.71,33.643388222896
174,NEM,2017-07-17,33.73,33.663348702411
175,NEM,2017-07-14,33.3,33.234198392834
176,NEM,2017-07-13,32.94,32.87490976156
177,NEM,2017-07-12,33.17,33.104455275985
178,NEM,2017-07-11,32.95,32.884890001317
179,NEM,2017-07-10,32.53,32.465719931498
180,NEM,2017-07-07,32.03,31.966707943617
181,NEM,2017-07-06,32.28,32.216213937558
182,NEM,2017-07-05,32.68,32.615423527862
183,NEM,2017-07-03,31.89,31.826984587011
184,NEM,2017-06-30,32.39,32.325996574891
185,NEM,2017-06-29,32.23,32.16631273877
186,NEM,2017-06-28,33.04,32.974712159136
187,NEM,2017-06-27,33.07,33.004652878409
188,NEM,2017-06-26,33.77,33.703269661441
189,NEM,2017-06-23,33.81,33.743190620472
190,NEM,2017-06-22,33.5,33.433803187986
191,NEM,2017-06-21,33.15,33.084494796469
192,NEM,2017-06-20,32.84,32.775107363984
193,NEM,2017-06-19,32.88,32.815028323014
194,NEM,2017-06-16,32.84,32.775107363984
195,NEM,2017-06-15,33.04,32.974712159136
196,NEM,2017-06-14,33.72,33.653368462653
197,NEM,2017-06-13,34.48,34.411866684231
198,NEM,2017-06-12,34.38,34.312064286655
199,NEM,2017-06-09,34.3,34.232222368594
200,NEM,2017-06-08,35.02,34.950799631142
201,NEM,2017-06-07,35.51,35.439831379265
202,NEM,2017-06-06,35.4,35.330048741931
203,NEM,2017-06-05,33.84,33.725496457742
204,NEM,2017-06-02,34.03,33.914853559603
205,NEM,2017-06-01,34.02,33.904887396347
206,NEM,2017-05-31,34.15,34.034447518673
207,NEM,2017-05-30,33.97,33.855056580068
208,NEM,2017-05-26,34.11,33.994582865649
209,NEM,2017-05-25,33.43,33.316883764253
210,NEM,2017-05-24,33.66,33.546105519137
211,NEM,2017-05-23,33.05,32.938169560531
212,NEM,2017-05-22,33.68,33.566037845649
213,NEM,2017-05-19,33.63,33.516207029369
214,NEM,2017-05-18,33.31,33.197289805183
215,NEM,2017-05-17,34.26,34.144075314487
216,NEM,2017-05-16,33.75,33.635800988439
217,NEM,2017-05-15,33.87,33.755394947509
218,NEM,2017-05-12,33.75,33.635800988439
219,NEM,2017-05-11,33.48,33.366714580532
220,NEM,2017-05-10,32.95,32.838507927973
221,NEM,2017-05-09,32.76,32.649150826112
222,NEM,2017-05-08,32.68,32.569421520065
223,NEM,2017-05-05,32.73,32.619252336344
224,NEM,2017-05-04,32.28,32.170774989832
225,NEM,2017-05-03,32.69,32.579387683321
226,NEM,2017-05-02,33.01,32.898304907508
227,NEM,2017-05-01,32.68,32.569421520065
228,NEM,2017-04-28,33.81,33.695597967974
229,NEM,2017-04-27,32.91,32.798643274949
230,NEM,2017-04-26,32.98,32.86840641774
231,NEM,2017-04-25,32.81,32.698981642391
232,NEM,2017-04-24,33.71,33.595936335416
233,NEM,2017-04-21,34.13,34.014515192161
234,NEM,2017-04-20,33.67,33.556071682393
235,NEM,2017-04-19,33.52,33.406579233555
236,NEM,2017-04-18,34.32,34.203872294022
237,NEM,2017-04-17,34.59,34.47295870193
238,NEM,2017-04-13,34.5,34.383263232627
239,NEM,2017-04-12,35.08,34.961300701465
240,NEM,2017-04-11,35.13,35.011131517745
241,NEM,2017-04-10,34.61,34.492891028441
242,NEM,2017-04-07,34.31,34.193906130766
243,NEM,2017-04-06,34.17,34.054379845184
244,NEM,2017-04-05,34.31,34.193906130766
245,NEM,2017-04-04,34.19,34.074312171696
246,NEM,2017-04-03,33.89,33.775327274021
247,NEM,2017-03-31,32.96,32.848474091229
248,NEM,2017-03-30,32.93,32.818575601461
249,NEM,2017-03-29,33.19,33.077695846113
250,NEM,2017-03-28,33.0,32.888338744252
251,NEM,2017-03-27,33.91,33.795259600533
252,NEM,2017-03-24,33.48,33.366714580532
253,NEM,2017-03-23,33.62,33.506240866114
254,NEM,2017-03-22,33.84,33.725496457742
255,NEM,2017-03-21,34.03,33.914853559603
256,NEM,2017-03-20,33.56,33.446443886579
257,NEM,2017-03-17,32.84,32.728880132159
258,NEM,2017-03-16,32.81,32.698981642391
259,NEM,2017-03-15,34.1,33.984616702394
260,NEM,2017-03-14,32.4,32.290368948902
261,NEM,2017-03-13,33.02,32.908271070764
262,NEM,2017-03-10,32.94,32.828541764717
263,NEM,2017-03-09,32.6,32.489692214019
264,NEM,2017-03-08,32.89,32.778710948438
265,NEM,2017-03-07,32.98,32.86840641774
266,NEM,2017-03-06,33.01,32.848504264293
267,NEM,2017-03-03,34.07,33.903318396985
268,NEM,2017-03-02,33.6,33.43561779098
269,NEM,2017-03-01,34.42,34.251606082308
270,NEM,2017-02-28,34.24,34.072486701284
271,NEM,2017-02-27,33.97,33.80380762975
272,NEM,2017-02-24,36.08,35.90348481841
273,NEM,2017-02-23,35.86,35.684561130492
274,NEM,2017-02-22,36.0,35.823876204622
275,NEM,2017-02-21,37.44,37.256831252806
276,NEM,2017-02-17,37.01,36.828934953696
277,NEM,2017-02-16,37.57,37.386195250212
278,NEM,2017-02-15,37.03,36.848837107143
279,NEM,2017-02-14,37.09,36.908543567484
280,NEM,2017-02-13,37.38,37.197124792465
281,NEM,2017-02-10,37.65,37.465803864
282,NEM,2017-02-09,37.2,37.018005411442
283,NEM,2017-02-08,37.85,37.66482539847
284,NEM,2017-02-07,37.32,37.137418332124
285,NEM,2017-02-06,37.94,37.754385088982
286,NEM,2017-02-03,36.76,36.580158035608
287,NEM,2017-02-02,36.68,36.50054942182
288,NEM,2017-02-01,35.87,35.694512207216
289,NEM,2017-01-31,36.28,36.10250635288
290,NEM,2017-01-30,34.97,34.7989153021
291,NEM,2017-01-27,34.38,34.211801775414
292,NEM,2017-01-26,34.19,34.022731317667
293,NEM,2017-01-25,34.95,34.779013148653
294,NEM,2017-01-24,36.04,35.863680511516
295,NEM,2017-01-23,35.88,35.704463283939
296,NEM,2017-01-20,35.04,34.868572839165
297,NEM,2017-01-19,34.93,34.759110995206
298,NEM,2017-01-18,35.26,35.087496527082
299,NEM,2017-01-17,35.14,34.9680836064
300,NEM,2017-01-13,34.53,34.361067926266
301,NEM,2017-01-12,34.47,34.301361465925
302,NEM,2017-01-11,34.37,34.20185069869
303,NEM,2017-01-10,35.08,34.908377146059
304,NEM,2017-01-09,35.36,35.187007294317
305,NEM,2017-01-06,35.42,35.246713754658
306,NEM,2017-01-05,36.57,36.391087577861
307,NEM,2017-01-04,34.96,34.788964225377
308,NEM,2017-01-03,34.63,34.460578693501
