None,ticker,date,close,adj_close
0,NFLX,2018-03-27,300.69,300.69
1,NFLX,2018-03-26,320.35,320.35
2,NFLX,2018-03-23,300.94,300.94
3,NFLX,2018-03-22,306.7,306.7
4,NFLX,2018-03-21,316.48,316.48
5,NFLX,2018-03-20,317.5,317.5
6,NFLX,2018-03-19,313.48,313.48
7,NFLX,2018-03-16,318.45,318.45
8,NFLX,2018-03-15,321.09,321.09
9,NFLX,2018-03-14,321.55,321.55
10,NFLX,2018-03-13,315.88,315.88
11,NFLX,2018-03-12,321.3,321.3
12,NFLX,2018-03-09,331.44,331.44
13,NFLX,2018-03-08,317.0,317.0
14,NFLX,2018-03-07,321.16,321.16
15,NFLX,2018-03-06,325.22,325.22
16,NFLX,2018-03-05,315.0,315.0
17,NFLX,2018-03-02,301.05,301.05
18,NFLX,2018-03-01,290.39,290.39
19,NFLX,2018-02-28,291.38,291.38
20,NFLX,2018-02-27,290.61,290.61
21,NFLX,2018-02-26,294.16,294.16
22,NFLX,2018-02-23,285.93,285.93
23,NFLX,2018-02-22,278.14,278.14
24,NFLX,2018-02-21,281.04,281.04
25,NFLX,2018-02-20,278.55,278.55
26,NFLX,2018-02-16,278.52,278.52
27,NFLX,2018-02-15,280.27,280.27
28,NFLX,2018-02-14,266.0,266.0
29,NFLX,2018-02-13,258.27,258.27
30,NFLX,2018-02-12,257.95,257.95
31,NFLX,2018-02-09,249.18,249.18
32,NFLX,2018-02-08,250.0542,250.0542
33,NFLX,2018-02-07,264.56,264.56
34,NFLX,2018-02-06,265.72,265.72
35,NFLX,2018-02-05,255.59,255.59
36,NFLX,2018-02-02,267.43,267.43
37,NFLX,2018-02-01,265.07,265.07
38,NFLX,2018-01-31,270.3,270.3
39,NFLX,2018-01-30,278.8,278.8
40,NFLX,2018-01-29,284.59,284.59
41,NFLX,2018-01-26,274.6,274.6
42,NFLX,2018-01-25,269.74,269.74
43,NFLX,2018-01-24,261.279,261.279
44,NFLX,2018-01-23,250.29,250.29
45,NFLX,2018-01-22,227.58,227.58
46,NFLX,2018-01-19,220.46,220.46
47,NFLX,2018-01-18,220.33,220.33
48,NFLX,2018-01-17,217.5,217.5
49,NFLX,2018-01-16,221.53,221.53
50,NFLX,2018-01-12,221.23,221.23
51,NFLX,2018-01-11,217.24,217.24
52,NFLX,2018-01-10,212.52,212.52
53,NFLX,2018-01-09,209.31,209.31
54,NFLX,2018-01-08,212.05,212.05
55,NFLX,2018-01-05,209.99,209.99
56,NFLX,2018-01-04,205.63,205.63
57,NFLX,2018-01-03,205.05,205.05
58,NFLX,2018-01-02,201.07,201.07
59,NFLX,2017-12-29,191.96,191.96
60,NFLX,2017-12-28,192.71,192.71
61,NFLX,2017-12-27,186.24,186.24
62,NFLX,2017-12-26,187.76,187.76
63,NFLX,2017-12-22,189.94,189.94
64,NFLX,2017-12-21,188.62,188.62
65,NFLX,2017-12-20,188.82,188.82
66,NFLX,2017-12-19,187.02,187.02
67,NFLX,2017-12-18,190.42,190.42
68,NFLX,2017-12-15,190.12,190.12
69,NFLX,2017-12-14,189.56,189.56
70,NFLX,2017-12-13,187.86,187.86
71,NFLX,2017-12-12,185.73,185.73
72,NFLX,2017-12-11,186.22,186.22
73,NFLX,2017-12-08,188.54,188.54
74,NFLX,2017-12-07,185.2,185.2
75,NFLX,2017-12-06,185.3,185.3
76,NFLX,2017-12-05,184.21,184.21
77,NFLX,2017-12-04,184.04,184.04
78,NFLX,2017-12-01,186.82,186.82
79,NFLX,2017-11-30,187.58,187.58
80,NFLX,2017-11-29,188.15,188.15
81,NFLX,2017-11-28,199.18,199.18
82,NFLX,2017-11-27,195.05,195.05
83,NFLX,2017-11-24,195.75,195.75
84,NFLX,2017-11-22,196.32,196.32
85,NFLX,2017-11-21,196.23,196.23
86,NFLX,2017-11-20,194.1,194.1
87,NFLX,2017-11-17,193.2,193.2
88,NFLX,2017-11-16,195.51,195.51
89,NFLX,2017-11-15,192.12,192.12
90,NFLX,2017-11-14,195.71,195.71
91,NFLX,2017-11-13,195.08,195.08
92,NFLX,2017-11-10,192.02,192.02
93,NFLX,2017-11-09,193.9,193.9
94,NFLX,2017-11-07,195.89,195.89
95,NFLX,2017-11-06,200.13,200.13
96,NFLX,2017-11-03,200.01,200.01
97,NFLX,2017-11-02,199.32,199.32
98,NFLX,2017-11-01,198.0,198.0
99,NFLX,2017-10-31,196.43,196.43
100,NFLX,2017-10-30,198.37,198.37
101,NFLX,2017-10-27,199.54,199.54
102,NFLX,2017-10-26,195.21,195.21
103,NFLX,2017-10-25,193.77,193.77
104,NFLX,2017-10-24,196.02,196.02
105,NFLX,2017-10-23,192.47,192.47
106,NFLX,2017-10-20,194.16,194.16
107,NFLX,2017-10-19,195.13,195.13
108,NFLX,2017-10-18,195.54,195.54
109,NFLX,2017-10-17,199.48,199.48
110,NFLX,2017-10-16,202.68,202.68
111,NFLX,2017-10-13,199.49,199.49
112,NFLX,2017-10-12,195.86,195.86
113,NFLX,2017-10-11,194.95,194.95
114,NFLX,2017-10-10,195.08,195.08
115,NFLX,2017-10-09,196.87,196.87
116,NFLX,2017-10-06,198.02,198.02
117,NFLX,2017-10-05,194.39,194.39
118,NFLX,2017-10-04,184.45,184.45
119,NFLX,2017-10-03,179.19,179.19
120,NFLX,2017-10-02,177.01,177.01
121,NFLX,2017-09-29,181.35,181.35
122,NFLX,2017-09-28,180.7,180.7
123,NFLX,2017-09-27,181.97,181.97
124,NFLX,2017-09-26,179.38,179.38
125,NFLX,2017-09-25,178.55,178.55
126,NFLX,2017-09-22,187.35,187.35
127,NFLX,2017-09-21,188.78,188.78
128,NFLX,2017-09-20,185.51,185.51
129,NFLX,2017-09-19,185.68,185.68
130,NFLX,2017-09-18,184.62,184.62
131,NFLX,2017-09-15,182.1,182.1
132,NFLX,2017-09-14,182.63,182.63
133,NFLX,2017-09-13,183.64,183.64
134,NFLX,2017-09-12,185.15,185.15
135,NFLX,2017-09-11,181.74,181.74
136,NFLX,2017-09-08,176.42,176.42
137,NFLX,2017-09-07,179.0,179.0
138,NFLX,2017-09-06,179.25,179.25
139,NFLX,2017-09-05,174.52,174.52
140,NFLX,2017-09-01,174.74,174.74
141,NFLX,2017-08-31,174.71,174.71
142,NFLX,2017-08-30,174.69,174.69
143,NFLX,2017-08-29,168.81,168.81
144,NFLX,2017-08-28,167.12,167.12
145,NFLX,2017-08-25,165.95,165.95
146,NFLX,2017-08-24,168.13,168.13
147,NFLX,2017-08-23,169.06,169.06
148,NFLX,2017-08-22,169.34,169.34
149,NFLX,2017-08-21,166.76,166.76
150,NFLX,2017-08-18,166.54,166.54
151,NFLX,2017-08-17,166.09,166.09
152,NFLX,2017-08-16,169.98,169.98
153,NFLX,2017-08-15,168.5,168.5
154,NFLX,2017-08-14,171.0,171.0
155,NFLX,2017-08-11,171.4,171.4
156,NFLX,2017-08-10,169.14,169.14
157,NFLX,2017-08-09,175.78,175.78
158,NFLX,2017-08-08,178.36,178.36
159,NFLX,2017-08-07,181.33,181.33
160,NFLX,2017-08-04,180.27,180.27
161,NFLX,2017-08-03,179.23,179.23
162,NFLX,2017-08-02,180.74,180.74
163,NFLX,2017-08-01,182.03,182.03
164,NFLX,2017-07-31,181.66,181.66
165,NFLX,2017-07-28,184.04,184.04
166,NFLX,2017-07-27,182.68,182.68
167,NFLX,2017-07-26,189.08,189.08
168,NFLX,2017-07-25,186.97,186.97
169,NFLX,2017-07-24,187.91,187.91
170,NFLX,2017-07-21,188.54,188.54
171,NFLX,2017-07-20,183.6,183.6
172,NFLX,2017-07-19,183.86,183.86
173,NFLX,2017-07-18,183.6,183.6
174,NFLX,2017-07-17,161.7,161.7
175,NFLX,2017-07-14,161.12,161.12
176,NFLX,2017-07-13,158.17,158.17
177,NFLX,2017-07-12,158.75,158.75
178,NFLX,2017-07-11,154.33,154.33
179,NFLX,2017-07-10,152.67,152.67
180,NFLX,2017-07-07,150.18,150.18
181,NFLX,2017-07-06,146.25,146.25
182,NFLX,2017-07-05,147.61,147.61
183,NFLX,2017-07-03,146.17,146.17
184,NFLX,2017-06-30,149.41,149.41
185,NFLX,2017-06-29,150.09,150.09
186,NFLX,2017-06-28,153.41,153.41
187,NFLX,2017-06-27,151.03,151.03
188,NFLX,2017-06-26,157.5,157.5
189,NFLX,2017-06-23,158.03,158.03
190,NFLX,2017-06-22,154.89,154.89
191,NFLX,2017-06-21,155.03,155.03
192,NFLX,2017-06-20,152.05,152.05
193,NFLX,2017-06-19,153.4,153.4
194,NFLX,2017-06-16,152.38,152.38
195,NFLX,2017-06-15,151.76,151.76
196,NFLX,2017-06-14,152.2,152.2
197,NFLX,2017-06-13,152.72,152.72
198,NFLX,2017-06-12,151.44,151.44
199,NFLX,2017-06-09,158.03,158.03
200,NFLX,2017-06-08,165.88,165.88
201,NFLX,2017-06-07,165.61,165.61
202,NFLX,2017-06-06,165.17,165.17
203,NFLX,2017-06-05,165.06,165.06
204,NFLX,2017-06-02,165.18,165.18
205,NFLX,2017-06-01,162.99,162.99
206,NFLX,2017-05-31,163.07,163.07
207,NFLX,2017-05-30,163.22,163.22
208,NFLX,2017-05-26,162.43,162.43
209,NFLX,2017-05-25,163.05,163.05
210,NFLX,2017-05-24,157.75,157.75
211,NFLX,2017-05-23,157.95,157.95
212,NFLX,2017-05-22,157.16,157.16
213,NFLX,2017-05-19,157.02,157.02
214,NFLX,2017-05-18,155.7,155.7
215,NFLX,2017-05-17,153.2,153.2
216,NFLX,2017-05-16,159.41,159.41
217,NFLX,2017-05-15,160.02,160.02
218,NFLX,2017-05-12,160.81,160.81
219,NFLX,2017-05-11,158.54,158.54
220,NFLX,2017-05-10,160.28,160.28
221,NFLX,2017-05-09,157.46,157.46
222,NFLX,2017-05-08,156.38,156.38
223,NFLX,2017-05-05,156.6,156.6
224,NFLX,2017-05-04,157.25,157.25
225,NFLX,2017-05-03,155.59,155.59
226,NFLX,2017-05-02,156.45,156.45
227,NFLX,2017-05-01,155.35,155.35
228,NFLX,2017-04-28,152.2,152.2
229,NFLX,2017-04-27,153.08,153.08
230,NFLX,2017-04-26,150.17,150.17
231,NFLX,2017-04-25,152.16,152.16
232,NFLX,2017-04-24,143.83,143.83
233,NFLX,2017-04-21,142.87,142.87
234,NFLX,2017-04-20,141.18,141.18
235,NFLX,2017-04-19,139.76,139.76
236,NFLX,2017-04-18,143.36,143.36
237,NFLX,2017-04-17,147.25,147.25
238,NFLX,2017-04-13,142.92,142.92
239,NFLX,2017-04-12,143.83,143.83
240,NFLX,2017-04-11,144.35,144.35
241,NFLX,2017-04-10,143.85,143.85
242,NFLX,2017-04-07,143.11,143.11
243,NFLX,2017-04-06,143.74,143.74
244,NFLX,2017-04-05,143.62,143.62
245,NFLX,2017-04-04,145.5,145.5
246,NFLX,2017-04-03,146.92,146.92
247,NFLX,2017-03-31,147.81,147.81
248,NFLX,2017-03-30,148.06,148.06
249,NFLX,2017-03-29,146.47,146.47
250,NFLX,2017-03-28,145.17,145.17
251,NFLX,2017-03-27,144.06,144.06
252,NFLX,2017-03-24,142.02,142.02
253,NFLX,2017-03-23,141.84,141.84
254,NFLX,2017-03-22,142.65,142.65
255,NFLX,2017-03-21,142.42,142.42
256,NFLX,2017-03-20,145.83,145.83
257,NFLX,2017-03-17,145.11,145.11
258,NFLX,2017-03-16,144.39,144.39
259,NFLX,2017-03-15,145.25,145.25
260,NFLX,2017-03-14,143.19,143.19
261,NFLX,2017-03-13,143.52,143.52
262,NFLX,2017-03-10,140.89,140.89
263,NFLX,2017-03-09,140.53,140.53
264,NFLX,2017-03-08,140.32,140.32
265,NFLX,2017-03-07,141.43,141.43
266,NFLX,2017-03-06,141.94,141.94
267,NFLX,2017-03-03,139.14,139.14
268,NFLX,2017-03-02,139.53,139.53
269,NFLX,2017-03-01,142.65,142.65
270,NFLX,2017-02-28,142.13,142.13
271,NFLX,2017-02-27,143.41,143.41
272,NFLX,2017-02-24,143.25,143.25
273,NFLX,2017-02-23,142.78,142.78
274,NFLX,2017-02-22,143.86,143.86
275,NFLX,2017-02-21,142.6,142.6
276,NFLX,2017-02-17,142.22,142.22
277,NFLX,2017-02-16,142.01,142.01
278,NFLX,2017-02-15,142.27,142.27
279,NFLX,2017-02-14,140.82,140.82
280,NFLX,2017-02-13,143.2,143.2
281,NFLX,2017-02-10,144.82,144.82
282,NFLX,2017-02-09,144.14,144.14
283,NFLX,2017-02-08,144.74,144.74
284,NFLX,2017-02-07,144.0,144.0
285,NFLX,2017-02-06,140.97,140.97
286,NFLX,2017-02-03,140.25,140.25
287,NFLX,2017-02-02,139.2,139.2
288,NFLX,2017-02-01,140.78,140.78
289,NFLX,2017-01-31,140.71,140.71
290,NFLX,2017-01-30,141.22,141.22
291,NFLX,2017-01-27,142.45,142.45
292,NFLX,2017-01-26,138.96,138.96
293,NFLX,2017-01-25,139.52,139.52
294,NFLX,2017-01-24,140.11,140.11
295,NFLX,2017-01-23,137.39,137.39
296,NFLX,2017-01-20,138.6,138.6
297,NFLX,2017-01-19,138.41,138.41
298,NFLX,2017-01-18,133.26,133.26
299,NFLX,2017-01-17,132.89,132.89
300,NFLX,2017-01-13,133.7,133.7
301,NFLX,2017-01-12,129.18,129.18
302,NFLX,2017-01-11,130.5,130.5
303,NFLX,2017-01-10,129.89,129.89
304,NFLX,2017-01-09,130.95,130.95
305,NFLX,2017-01-06,131.07,131.07
306,NFLX,2017-01-05,131.81,131.81
307,NFLX,2017-01-04,129.41,129.41
308,NFLX,2017-01-03,127.49,127.49
