None,ticker,date,close,adj_close
0,NI,2018-03-27,23.79,23.79
1,NI,2018-03-26,23.39,23.39
2,NI,2018-03-23,23.06,23.06
3,NI,2018-03-22,23.39,23.39
4,NI,2018-03-21,23.29,23.29
5,NI,2018-03-20,23.18,23.18
6,NI,2018-03-19,23.24,23.24
7,NI,2018-03-16,23.43,23.43
8,NI,2018-03-15,23.39,23.39
9,NI,2018-03-14,23.31,23.31
10,NI,2018-03-13,23.14,23.14
11,NI,2018-03-12,23.14,23.14
12,NI,2018-03-09,22.96,22.96
13,NI,2018-03-08,23.08,23.08
14,NI,2018-03-07,22.95,22.95
15,NI,2018-03-06,23.21,23.21
16,NI,2018-03-05,23.53,23.53
17,NI,2018-03-02,23.17,23.17
18,NI,2018-03-01,23.17,23.17
19,NI,2018-02-28,23.13,23.13
20,NI,2018-02-27,23.32,23.32
21,NI,2018-02-26,23.59,23.59
22,NI,2018-02-23,23.6,23.6
23,NI,2018-02-22,23.08,23.08
24,NI,2018-02-21,22.8,22.8
25,NI,2018-02-20,23.02,23.02
26,NI,2018-02-16,23.48,23.48
27,NI,2018-02-15,23.37,23.37
28,NI,2018-02-14,22.74,22.74
29,NI,2018-02-13,23.13,23.13
30,NI,2018-02-12,23.11,23.11
31,NI,2018-02-09,23.09,23.09
32,NI,2018-02-08,22.51,22.51
33,NI,2018-02-07,23.09,23.09
34,NI,2018-02-06,23.28,23.28
35,NI,2018-02-05,23.52,23.52
36,NI,2018-02-02,23.97,23.97
37,NI,2018-02-01,24.24,24.24
38,NI,2018-01-31,24.68,24.68
39,NI,2018-01-30,24.45,24.45
40,NI,2018-01-29,24.22,24.22
41,NI,2018-01-26,24.5,24.5
42,NI,2018-01-25,24.42,24.42
43,NI,2018-01-24,24.18,24.18
44,NI,2018-01-23,24.17,24.17
45,NI,2018-01-22,23.95,23.95
46,NI,2018-01-19,23.94,23.94
47,NI,2018-01-18,23.98,23.98
48,NI,2018-01-17,24.15,24.15
49,NI,2018-01-16,24.03,24.03
50,NI,2018-01-12,24.07,24.07
51,NI,2018-01-11,24.13,24.13
52,NI,2018-01-10,24.13,24.13
53,NI,2018-01-09,24.7,24.7
54,NI,2018-01-08,25.0,25.0
55,NI,2018-01-05,24.79,24.79
56,NI,2018-01-04,25.09,25.09
57,NI,2018-01-03,25.2,25.2
58,NI,2018-01-02,25.36,25.36
59,NI,2017-12-29,25.67,25.67
60,NI,2017-12-28,25.56,25.56
61,NI,2017-12-27,25.24,25.24
62,NI,2017-12-26,25.06,25.06
63,NI,2017-12-22,25.28,25.28
64,NI,2017-12-21,24.66,24.66
65,NI,2017-12-20,24.96,24.96
66,NI,2017-12-19,25.3,25.3
67,NI,2017-12-18,25.98,25.98
68,NI,2017-12-15,26.51,26.51
69,NI,2017-12-14,26.48,26.48
70,NI,2017-12-13,26.43,26.43
71,NI,2017-12-12,26.39,26.39
72,NI,2017-12-11,27.18,27.18
73,NI,2017-12-08,27.14,27.14
74,NI,2017-12-07,27.03,27.03
75,NI,2017-12-06,27.0,27.0
76,NI,2017-12-05,26.8,26.8
77,NI,2017-12-04,27.03,27.03
78,NI,2017-12-01,27.33,27.33
79,NI,2017-11-30,27.53,27.53
80,NI,2017-11-29,27.17,27.17
81,NI,2017-11-28,27.2,27.2
82,NI,2017-11-27,27.1,27.1
83,NI,2017-11-24,27.04,27.04
84,NI,2017-11-22,27.04,27.04
85,NI,2017-11-21,27.22,27.22
86,NI,2017-11-20,27.09,27.09
87,NI,2017-11-17,27.08,27.08
88,NI,2017-11-16,27.32,27.32
89,NI,2017-11-15,27.24,27.24
90,NI,2017-11-14,27.58,27.58
91,NI,2017-11-13,27.32,27.32
92,NI,2017-11-10,27.2,27.2
93,NI,2017-11-09,27.52,27.52
94,NI,2017-11-07,27.47,27.47
95,NI,2017-11-06,27.21,27.21
96,NI,2017-11-03,27.33,27.33
97,NI,2017-11-02,26.94,26.94
98,NI,2017-11-01,26.58,26.58
99,NI,2017-10-31,26.37,26.37
100,NI,2017-10-30,26.25,26.25
101,NI,2017-10-27,26.44,26.264900662252
102,NI,2017-10-26,26.47,26.294701986755
103,NI,2017-10-25,26.535,26.359271523179
104,NI,2017-10-24,26.67,26.493377483444
105,NI,2017-10-23,26.82,26.64238410596
106,NI,2017-10-20,26.66,26.483443708609
107,NI,2017-10-19,26.76,26.582781456954
108,NI,2017-10-18,26.43,26.254966887417
109,NI,2017-10-17,26.45,26.274834437086
110,NI,2017-10-16,26.37,26.195364238411
111,NI,2017-10-13,26.6,26.423841059603
112,NI,2017-10-12,26.57,26.394039735099
113,NI,2017-10-11,26.42,26.245033112583
114,NI,2017-10-10,26.35,26.175496688742
115,NI,2017-10-09,25.91,25.738410596026
116,NI,2017-10-06,25.72,25.549668874172
117,NI,2017-10-05,25.72,25.549668874172
118,NI,2017-10-04,25.71,25.539735099338
119,NI,2017-10-03,25.37,25.201986754967
120,NI,2017-10-02,25.51,25.341059602649
121,NI,2017-09-29,25.59,25.420529801325
122,NI,2017-09-28,25.5,25.331125827815
123,NI,2017-09-27,25.42,25.251655629139
124,NI,2017-09-26,26.07,25.897350993377
125,NI,2017-09-25,25.91,25.738410596026
126,NI,2017-09-22,25.69,25.519867549669
127,NI,2017-09-21,26.12,25.94701986755
128,NI,2017-09-20,26.19,26.016556291391
129,NI,2017-09-19,26.4,26.225165562914
130,NI,2017-09-18,26.54,26.364238410596
131,NI,2017-09-15,26.99,26.811258278146
132,NI,2017-09-14,26.92,26.741721854305
133,NI,2017-09-13,26.68,26.503311258278
134,NI,2017-09-12,26.79,26.612582781457
135,NI,2017-09-11,27.23,27.049668874172
136,NI,2017-09-08,27.11,26.930463576159
137,NI,2017-09-07,26.99,26.811258278146
138,NI,2017-09-06,26.79,26.612582781457
139,NI,2017-09-05,26.87,26.692052980132
140,NI,2017-09-01,26.86,26.682119205298
141,NI,2017-08-31,26.87,26.692052980132
142,NI,2017-08-30,26.91,26.73178807947
143,NI,2017-08-29,26.98,26.801324503311
144,NI,2017-08-28,27.09,26.91059602649
145,NI,2017-08-25,27.11,26.930463576159
146,NI,2017-08-24,26.94,26.761589403974
147,NI,2017-08-23,27.03,26.850993377483
148,NI,2017-08-22,26.94,26.761589403974
149,NI,2017-08-21,26.78,26.602649006623
150,NI,2017-08-18,26.79,26.612582781457
151,NI,2017-08-17,26.69,26.513245033113
152,NI,2017-08-16,26.96,26.781456953642
153,NI,2017-08-15,26.66,26.483443708609
154,NI,2017-08-14,26.64,26.46357615894
155,NI,2017-08-11,26.35,26.175496688742
156,NI,2017-08-10,26.37,26.195364238411
157,NI,2017-08-09,26.38,26.205298013245
158,NI,2017-08-08,26.32,26.145695364238
159,NI,2017-08-07,26.36,26.185430463576
160,NI,2017-08-04,26.4,26.225165562914
161,NI,2017-08-03,26.5,26.324503311258
162,NI,2017-08-02,26.67,26.493377483444
163,NI,2017-08-01,26.24,26.066225165563
164,NI,2017-07-31,26.06,25.887417218543
165,NI,2017-07-28,26.07,25.897350993377
166,NI,2017-07-27,26.29,26.115894039735
167,NI,2017-07-26,26.51,26.160300434286
168,NI,2017-07-25,26.02,25.676764138066
169,NI,2017-07-24,26.09,25.745840751811
170,NI,2017-07-21,25.98,25.637291787354
171,NI,2017-07-20,25.82,25.479402384506
172,NI,2017-07-19,25.65,25.311644893981
173,NI,2017-07-18,25.69,25.351117244693
174,NI,2017-07-17,25.81,25.469534296828
175,NI,2017-07-14,25.75,25.410325770761
176,NI,2017-07-13,25.35,25.015602263642
177,NI,2017-07-12,25.57,25.232700192557
178,NI,2017-07-11,25.17,24.837976685439
179,NI,2017-07-10,25.21,24.87744903615
180,NI,2017-07-07,25.32,24.985998000608
181,NI,2017-07-06,25.2,24.867580948472
182,NI,2017-07-05,25.35,25.015602263642
183,NI,2017-07-03,25.32,24.985998000608
184,NI,2017-06-30,25.36,25.02547035132
185,NI,2017-06-29,25.39,25.055074614354
186,NI,2017-06-28,25.49,25.153755491133
187,NI,2017-06-27,25.88,25.538610910574
188,NI,2017-06-26,26.08,25.735972664133
189,NI,2017-06-23,25.81,25.469534296828
190,NI,2017-06-22,25.92,25.578083261286
191,NI,2017-06-21,26.02,25.676764138066
192,NI,2017-06-20,26.23,25.883993979303
193,NI,2017-06-19,26.17,25.824785453235
194,NI,2017-06-16,26.06,25.716236488778
195,NI,2017-06-15,26.05,25.7063684011
196,NI,2017-06-14,25.92,25.578083261286
197,NI,2017-06-13,25.82,25.479402384506
198,NI,2017-06-12,25.67,25.331381069337
199,NI,2017-06-09,25.77,25.430061946117
200,NI,2017-06-08,25.83,25.489270472184
201,NI,2017-06-07,26.44,26.09122382054
202,NI,2017-06-06,26.26,25.913598242337
203,NI,2017-06-05,26.38,26.032015294472
204,NI,2017-06-02,26.35,26.002411031438
205,NI,2017-06-01,26.24,25.893862066981
206,NI,2017-05-31,26.07,25.726104576455
207,NI,2017-05-30,25.82,25.479402384506
208,NI,2017-05-26,25.56,25.222832104879
209,NI,2017-05-25,25.53,25.193227841845
210,NI,2017-05-24,25.22,24.887317123828
211,NI,2017-05-23,25.14,24.808372422405
212,NI,2017-05-22,25.01,24.680087282591
213,NI,2017-05-19,24.7,24.374176564574
214,NI,2017-05-18,24.5,24.176814811015
215,NI,2017-05-17,24.25,23.930112619066
216,NI,2017-05-16,24.21,23.890640268354
217,NI,2017-05-15,24.52,24.196550986371
218,NI,2017-05-12,24.3,23.979453057456
219,NI,2017-05-11,24.14,23.821563654608
220,NI,2017-05-10,24.14,23.821563654608
221,NI,2017-05-09,24.1,23.782091303896
222,NI,2017-05-08,24.38,24.058397758879
223,NI,2017-05-05,24.53,24.206419074049
224,NI,2017-05-04,24.28,23.9597168821
225,NI,2017-05-03,24.01,23.693278514795
226,NI,2017-05-02,24.24,23.920244531388
227,NI,2017-05-01,24.09,23.772223216218
228,NI,2017-04-28,24.25,23.930112619066
229,NI,2017-04-27,24.36,24.038661583523
230,NI,2017-04-26,24.09,23.772223216218
231,NI,2017-04-25,24.43,23.933872374705
232,NI,2017-04-24,24.26,23.76732475687
233,NI,2017-04-21,24.19,23.698746325997
234,NI,2017-04-20,24.12,23.630167895124
235,NI,2017-04-19,24.23,23.737934000782
236,NI,2017-04-18,24.21,23.718340163389
237,NI,2017-04-17,24.02,23.532198708163
238,NI,2017-04-13,23.78,23.297072659455
239,NI,2017-04-12,23.94,23.453823358593
240,NI,2017-04-11,23.85,23.365651090328
241,NI,2017-04-10,23.74,23.25788498467
242,NI,2017-04-07,23.68,23.199103472493
243,NI,2017-04-06,23.84,23.355854171632
244,NI,2017-04-05,23.78,23.297072659455
245,NI,2017-04-04,23.66,23.179509635101
246,NI,2017-04-03,23.68,23.199103472493
247,NI,2017-03-31,23.79,23.306869578151
248,NI,2017-03-30,23.59,23.110931204228
249,NI,2017-03-29,23.71,23.228494228582
250,NI,2017-03-28,23.71,23.228494228582
251,NI,2017-03-27,23.81,23.326463415543
252,NI,2017-03-24,23.87,23.38524492772
253,NI,2017-03-23,23.75,23.267681903366
254,NI,2017-03-22,23.81,23.326463415543
255,NI,2017-03-21,23.57,23.091337366836
256,NI,2017-03-20,23.22,22.74844521247
257,NI,2017-03-17,23.5,23.022758935963
258,NI,2017-03-16,23.37,22.895398992913
259,NI,2017-03-15,23.71,23.228494228582
260,NI,2017-03-14,23.36,22.885602074216
261,NI,2017-03-13,23.5,23.022758935963
262,NI,2017-03-10,23.33,22.856211318128
263,NI,2017-03-09,22.99,22.523116082459
264,NI,2017-03-08,23.02,22.552506838547
265,NI,2017-03-07,23.5,23.022758935963
266,NI,2017-03-06,23.58,23.101134285532
267,NI,2017-03-03,23.72,23.238291147278
268,NI,2017-03-02,24.09,23.600777139036
269,NI,2017-03-01,23.9,23.414635683809
270,NI,2017-02-28,23.91,23.424432602505
271,NI,2017-02-27,23.8,23.316666496847
272,NI,2017-02-24,24.01,23.522401789466
273,NI,2017-02-23,23.77,23.287275740759
274,NI,2017-02-22,23.17,22.699460618989
275,NI,2017-02-21,22.99,22.523116082459
276,NI,2017-02-17,22.7,22.23900544027
277,NI,2017-02-16,22.67,22.209614684182
278,NI,2017-02-15,22.23,21.778550261551
279,NI,2017-02-14,22.25,21.798144098943
280,NI,2017-02-13,22.52,22.062660903739
281,NI,2017-02-10,22.41,21.954894798082
282,NI,2017-02-09,22.23,21.778550261551
283,NI,2017-02-08,22.18,21.72956566807
284,NI,2017-02-07,22.16,21.540021257188
285,NI,2017-02-06,22.24,21.617783066781
286,NI,2017-02-03,22.26,21.637223519179
287,NI,2017-02-02,22.16,21.540021257188
288,NI,2017-02-01,21.98,21.365057185604
289,NI,2017-01-31,22.37,21.744146007369
290,NI,2017-01-30,21.84,21.228974018817
291,NI,2017-01-27,22.03,21.4136583166
292,NI,2017-01-26,22.22,21.598342614382
293,NI,2017-01-25,22.2,21.578902161984
294,NI,2017-01-24,22.25,21.62750329298
295,NI,2017-01-23,22.2,21.578902161984
296,NI,2017-01-20,22.51,21.880229174156
297,NI,2017-01-19,22.34,21.714985328772
298,NI,2017-01-18,22.52,21.889949400355
299,NI,2017-01-17,22.35,21.724705554971
300,NI,2017-01-13,21.96,21.345616733206
301,NI,2017-01-12,22.03,21.4136583166
302,NI,2017-01-11,22.12,21.501140352392
303,NI,2017-01-10,21.94,21.326176280808
304,NI,2017-01-09,22.06,21.442818995197
305,NI,2017-01-06,22.36,21.73442578117
306,NI,2017-01-05,22.68,22.045473019541
307,NI,2017-01-04,22.36,21.73442578117
308,NI,2017-01-03,22.19,21.569181935785
