None,ticker,date,close,adj_close
0,NKTR,2018-03-27,104.51,104.51
1,NKTR,2018-03-26,107.03,107.03
2,NKTR,2018-03-23,103.0,103.0
3,NKTR,2018-03-22,104.01,104.01
4,NKTR,2018-03-21,106.91,106.91
5,NKTR,2018-03-20,107.2,107.2
6,NKTR,2018-03-19,105.01,105.01
7,NKTR,2018-03-16,103.0,103.0
8,NKTR,2018-03-15,102.01,102.01
9,NKTR,2018-03-14,104.51,104.51
10,NKTR,2018-03-13,103.16,103.16
11,NKTR,2018-03-12,103.07,103.07
12,NKTR,2018-03-09,108.34,108.34
13,NKTR,2018-03-08,108.44,108.44
14,NKTR,2018-03-07,101.3,101.3
15,NKTR,2018-03-06,98.09,98.09
16,NKTR,2018-03-05,102.08,102.08
17,NKTR,2018-03-02,102.87,102.87
18,NKTR,2018-03-01,84.55,84.55
19,NKTR,2018-02-28,86.56,86.56
20,NKTR,2018-02-27,90.05,90.05
21,NKTR,2018-02-26,90.56,90.56
22,NKTR,2018-02-23,89.6,89.6
23,NKTR,2018-02-22,88.22,88.22
24,NKTR,2018-02-21,86.45,86.45
25,NKTR,2018-02-20,83.45,83.45
26,NKTR,2018-02-16,83.43,83.43
27,NKTR,2018-02-15,82.14,82.14
28,NKTR,2018-02-14,84.0,84.0
29,NKTR,2018-02-13,75.66,75.66
30,NKTR,2018-02-12,78.7,78.7
31,NKTR,2018-02-09,74.63,74.63
32,NKTR,2018-02-08,74.65,74.65
33,NKTR,2018-02-07,76.57,76.57
34,NKTR,2018-02-06,78.73,78.73
35,NKTR,2018-02-05,82.83,82.83
36,NKTR,2018-02-02,88.0,88.0
37,NKTR,2018-02-01,88.74,88.74
38,NKTR,2018-01-31,83.61,83.61
39,NKTR,2018-01-30,82.45,82.45
40,NKTR,2018-01-29,82.39,82.39
41,NKTR,2018-01-26,79.03,79.03
42,NKTR,2018-01-25,78.93,78.93
43,NKTR,2018-01-24,76.53,76.53
44,NKTR,2018-01-23,77.79,77.79
45,NKTR,2018-01-22,76.78,76.78
46,NKTR,2018-01-19,71.59,71.59
47,NKTR,2018-01-18,70.16,70.16
48,NKTR,2018-01-17,69.4,69.4
49,NKTR,2018-01-16,69.74,69.74
50,NKTR,2018-01-12,72.0,72.0
51,NKTR,2018-01-11,69.88,69.88
52,NKTR,2018-01-10,68.9,68.9
53,NKTR,2018-01-09,68.03,68.03
54,NKTR,2018-01-08,57.4,57.4
55,NKTR,2018-01-05,57.76,57.76
56,NKTR,2018-01-04,58.34,58.34
57,NKTR,2018-01-03,57.86,57.86
58,NKTR,2018-01-02,57.65,57.65
59,NKTR,2017-12-29,59.72,59.72
60,NKTR,2017-12-28,60.5,60.5
61,NKTR,2017-12-27,59.04,59.04
62,NKTR,2017-12-26,60.0,60.0
63,NKTR,2017-12-22,57.99,57.99
64,NKTR,2017-12-21,57.42,57.42
65,NKTR,2017-12-20,57.88,57.88
66,NKTR,2017-12-19,57.05,57.05
67,NKTR,2017-12-18,56.9,56.9
68,NKTR,2017-12-15,56.9,56.9
69,NKTR,2017-12-14,55.05,55.05
70,NKTR,2017-12-13,56.63,56.63
71,NKTR,2017-12-12,54.87,54.87
72,NKTR,2017-12-11,55.21,55.21
73,NKTR,2017-12-08,53.97,53.97
74,NKTR,2017-12-07,54.83,54.83
75,NKTR,2017-12-06,49.69,49.69
76,NKTR,2017-12-05,51.92,51.92
77,NKTR,2017-12-04,50.73,50.73
78,NKTR,2017-12-01,53.34,53.34
79,NKTR,2017-11-30,53.99,53.99
80,NKTR,2017-11-29,54.14,54.14
81,NKTR,2017-11-28,52.12,52.12
82,NKTR,2017-11-27,51.97,51.97
83,NKTR,2017-11-24,52.59,52.59
84,NKTR,2017-11-22,49.75,49.75
85,NKTR,2017-11-21,49.98,49.98
86,NKTR,2017-11-20,46.4,46.4
87,NKTR,2017-11-17,44.99,44.99
88,NKTR,2017-11-16,44.93,44.93
89,NKTR,2017-11-15,43.07,43.07
90,NKTR,2017-11-14,39.56,39.56
91,NKTR,2017-11-13,37.1,37.1
92,NKTR,2017-11-10,32.5,32.5
93,NKTR,2017-11-09,31.74,31.74
94,NKTR,2017-11-07,26.84,26.84
95,NKTR,2017-11-06,24.28,24.28
96,NKTR,2017-11-03,23.75,23.75
97,NKTR,2017-11-02,23.53,23.53
98,NKTR,2017-11-01,23.37,23.37
99,NKTR,2017-10-31,24.09,24.09
100,NKTR,2017-10-30,23.51,23.51
101,NKTR,2017-10-27,23.61,23.61
102,NKTR,2017-10-26,23.66,23.66
103,NKTR,2017-10-25,24.17,24.17
104,NKTR,2017-10-24,24.14,24.14
105,NKTR,2017-10-23,24.55,24.55
106,NKTR,2017-10-20,24.16,24.16
107,NKTR,2017-10-19,23.67,23.67
108,NKTR,2017-10-18,24.31,24.31
109,NKTR,2017-10-17,23.99,23.99
110,NKTR,2017-10-16,23.67,23.67
111,NKTR,2017-10-13,23.2,23.2
112,NKTR,2017-10-12,23.02,23.02
113,NKTR,2017-10-11,23.08,23.08
114,NKTR,2017-10-10,23.27,23.27
115,NKTR,2017-10-09,23.89,23.89
116,NKTR,2017-10-06,24.81,24.81
117,NKTR,2017-10-05,24.69,24.69
118,NKTR,2017-10-04,24.91,24.91
119,NKTR,2017-10-03,24.5,24.5
120,NKTR,2017-10-02,24.77,24.77
121,NKTR,2017-09-29,24.0,24.0
122,NKTR,2017-09-28,23.68,23.68
123,NKTR,2017-09-27,23.1,23.1
124,NKTR,2017-09-26,22.26,22.26
125,NKTR,2017-09-25,22.92,22.92
126,NKTR,2017-09-22,22.43,22.43
127,NKTR,2017-09-21,21.87,21.87
128,NKTR,2017-09-20,21.39,21.39
129,NKTR,2017-09-19,21.75,21.75
130,NKTR,2017-09-18,22.6,22.6
131,NKTR,2017-09-15,22.045,22.045
132,NKTR,2017-09-14,22.0,22.0
133,NKTR,2017-09-13,21.76,21.76
134,NKTR,2017-09-12,21.89,21.89
135,NKTR,2017-09-11,21.83,21.83
136,NKTR,2017-09-08,22.27,22.27
137,NKTR,2017-09-07,22.47,22.47
138,NKTR,2017-09-06,21.66,21.66
139,NKTR,2017-09-05,21.73,21.73
140,NKTR,2017-09-01,21.6,21.6
141,NKTR,2017-08-31,21.03,21.03
142,NKTR,2017-08-30,19.51,19.51
143,NKTR,2017-08-29,19.19,19.19
144,NKTR,2017-08-28,19.11,19.11
