None,ticker,date,close,adj_close
0,NLSN,2018-03-27,32.09,32.09
1,NLSN,2018-03-26,32.03,32.03
2,NLSN,2018-03-23,31.51,31.51
3,NLSN,2018-03-22,31.82,31.82
4,NLSN,2018-03-21,32.44,32.44
5,NLSN,2018-03-20,32.41,32.41
6,NLSN,2018-03-19,32.68,32.68
7,NLSN,2018-03-16,33.5,33.5
8,NLSN,2018-03-15,33.47,33.47
9,NLSN,2018-03-14,33.54,33.54
10,NLSN,2018-03-13,33.5,33.5
11,NLSN,2018-03-12,33.92,33.92
12,NLSN,2018-03-09,33.41,33.41
13,NLSN,2018-03-08,32.79,32.79
14,NLSN,2018-03-07,32.7,32.7
15,NLSN,2018-03-06,33.28,33.28
16,NLSN,2018-03-05,33.24,33.24
17,NLSN,2018-03-02,32.68,32.68
18,NLSN,2018-03-01,32.3,32.3
19,NLSN,2018-02-28,32.63,32.63
20,NLSN,2018-02-27,33.16,33.16
21,NLSN,2018-02-26,33.79,33.79
22,NLSN,2018-02-23,33.26,33.26
23,NLSN,2018-02-22,32.01,32.01
24,NLSN,2018-02-21,32.52,32.52
25,NLSN,2018-02-20,33.11,33.11
26,NLSN,2018-02-16,33.68,33.68
27,NLSN,2018-02-15,33.6,33.6
28,NLSN,2018-02-14,32.98,32.98
29,NLSN,2018-02-13,33.06,33.06
30,NLSN,2018-02-12,33.6,33.6
31,NLSN,2018-02-09,33.7,33.7
32,NLSN,2018-02-08,33.9,33.9
33,NLSN,2018-02-07,37.56,37.56
34,NLSN,2018-02-06,36.86,36.86
35,NLSN,2018-02-05,36.08,36.08
36,NLSN,2018-02-02,37.49,37.49
37,NLSN,2018-02-01,38.51,38.51
38,NLSN,2018-01-31,37.41,37.41
39,NLSN,2018-01-30,36.52,36.52
40,NLSN,2018-01-29,37.03,37.03
41,NLSN,2018-01-26,37.19,37.19
42,NLSN,2018-01-25,37.2,37.2
43,NLSN,2018-01-24,37.53,37.53
44,NLSN,2018-01-23,37.08,37.08
45,NLSN,2018-01-22,37.1,37.1
46,NLSN,2018-01-19,36.71,36.71
47,NLSN,2018-01-18,36.56,36.56
48,NLSN,2018-01-17,36.29,36.29
49,NLSN,2018-01-16,37.1,37.1
50,NLSN,2018-01-12,37.46,37.46
51,NLSN,2018-01-11,36.3,36.3
52,NLSN,2018-01-10,36.26,36.26
53,NLSN,2018-01-09,36.33,36.33
54,NLSN,2018-01-08,36.16,36.16
55,NLSN,2018-01-05,36.0,36.0
56,NLSN,2018-01-04,35.79,35.79
57,NLSN,2018-01-03,35.99,35.99
58,NLSN,2018-01-02,36.66,36.66
59,NLSN,2017-12-29,36.4,36.4
60,NLSN,2017-12-28,36.0,36.0
61,NLSN,2017-12-27,35.86,35.86
62,NLSN,2017-12-26,36.21,36.21
63,NLSN,2017-12-22,36.54,36.54
64,NLSN,2017-12-21,36.45,36.45
65,NLSN,2017-12-20,36.22,36.22
66,NLSN,2017-12-19,37.5,37.5
67,NLSN,2017-12-18,37.53,37.53
68,NLSN,2017-12-15,37.22,37.22
69,NLSN,2017-12-14,36.6,36.6
70,NLSN,2017-12-13,36.95,36.95
71,NLSN,2017-12-12,37.93,37.93
72,NLSN,2017-12-11,37.89,37.89
73,NLSN,2017-12-08,37.95,37.95
74,NLSN,2017-12-07,38.11,38.11
75,NLSN,2017-12-06,37.96,37.96
76,NLSN,2017-12-05,37.83,37.83
77,NLSN,2017-12-04,37.61,37.61
78,NLSN,2017-12-01,36.23,36.23
79,NLSN,2017-11-30,36.72,36.72
80,NLSN,2017-11-29,36.32,36.32
81,NLSN,2017-11-28,37.45,37.45
82,NLSN,2017-11-27,36.58,36.58
83,NLSN,2017-11-24,36.51,36.51
84,NLSN,2017-11-22,36.59,36.59
85,NLSN,2017-11-21,36.0,36.0
86,NLSN,2017-11-20,35.85,35.85
87,NLSN,2017-11-17,36.38,36.038214976513
88,NLSN,2017-11-16,35.67,35.334885327439
89,NLSN,2017-11-15,36.07,35.731127383255
90,NLSN,2017-11-14,35.97,35.632066869301
91,NLSN,2017-11-13,36.17,35.830187897209
92,NLSN,2017-11-10,36.62,36.275960210003
93,NLSN,2017-11-09,37.1,36.751450676983
94,NLSN,2017-11-07,38.0,37.64299530257
95,NLSN,2017-11-06,37.38,37.028820116054
96,NLSN,2017-11-03,36.84,36.493893340702
97,NLSN,2017-11-02,36.81,36.464175186516
98,NLSN,2017-11-01,36.16,35.820281845814
99,NLSN,2017-10-31,37.07,36.721732522796
100,NLSN,2017-10-30,37.66,37.306189555126
101,NLSN,2017-10-27,38.57,38.207640232108
102,NLSN,2017-10-26,39.27,38.901063829787
103,NLSN,2017-10-25,38.555,38.192781155015
104,NLSN,2017-10-24,41.13,40.743589389334
105,NLSN,2017-10-23,41.38,40.991240674219
106,NLSN,2017-10-20,41.76,41.367670627245
107,NLSN,2017-10-19,41.31,40.921898314452
108,NLSN,2017-10-18,41.69,41.298328267477
109,NLSN,2017-10-17,40.0,39.624205581652
110,NLSN,2017-10-16,39.62,39.247775628627
111,NLSN,2017-10-13,39.7,39.32702403979
112,NLSN,2017-10-12,39.87,39.495426913512
113,NLSN,2017-10-11,39.72,39.346836142581
114,NLSN,2017-10-10,40.18,39.80251450677
115,NLSN,2017-10-09,40.39,40.010541586074
116,NLSN,2017-10-06,41.15,40.763401492125
117,NLSN,2017-10-05,41.02,40.634622823985
118,NLSN,2017-10-04,41.5,41.110113290964
119,NLSN,2017-10-03,41.33,40.941710417242
120,NLSN,2017-10-02,41.45,41.060583033987
121,NLSN,2017-09-29,41.45,41.060583033987
122,NLSN,2017-09-28,41.27,40.88227410887
123,NLSN,2017-09-27,40.99,40.604904669798
124,NLSN,2017-09-26,41.11,40.723777286543
125,NLSN,2017-09-25,41.13,40.743589389334
126,NLSN,2017-09-22,40.89,40.505844155844
127,NLSN,2017-09-21,40.52,40.139320254214
128,NLSN,2017-09-20,40.42,40.04025974026
129,NLSN,2017-09-19,40.17,39.792608455374
130,NLSN,2017-09-18,40.25,39.871856866538
131,NLSN,2017-09-15,39.85,39.475614810721
132,NLSN,2017-09-14,39.37,39.000124343741
133,NLSN,2017-09-13,39.05,38.683130699088
