None,ticker,date,close,adj_close
0,NOV,2018-03-27,36.92,36.92
1,NOV,2018-03-26,37.9,37.9
2,NOV,2018-03-23,37.18,37.18
3,NOV,2018-03-22,37.18,37.18
4,NOV,2018-03-21,38.04,38.04
5,NOV,2018-03-20,36.79,36.79
6,NOV,2018-03-19,36.37,36.37
7,NOV,2018-03-16,36.89,36.89
8,NOV,2018-03-15,36.26,36.26
9,NOV,2018-03-14,37.39,37.39
10,NOV,2018-03-13,37.31,37.31
11,NOV,2018-03-12,37.6,37.6
12,NOV,2018-03-09,37.72,37.72
13,NOV,2018-03-08,36.64,36.64
14,NOV,2018-03-07,36.51,36.51
15,NOV,2018-03-06,36.7,36.7
16,NOV,2018-03-05,36.37,36.37
17,NOV,2018-03-02,36.08,36.08
18,NOV,2018-03-01,35.41,35.41
19,NOV,2018-02-28,35.09,35.09
20,NOV,2018-02-27,36.26,36.26
21,NOV,2018-02-26,36.18,36.18
22,NOV,2018-02-23,36.07,36.07
23,NOV,2018-02-22,35.1,35.1
24,NOV,2018-02-21,34.96,34.96
25,NOV,2018-02-20,35.38,35.38
26,NOV,2018-02-16,35.61,35.61
27,NOV,2018-02-15,35.13,35.13
28,NOV,2018-02-14,35.14,35.14
29,NOV,2018-02-13,33.66,33.66
30,NOV,2018-02-12,33.71,33.71
31,NOV,2018-02-09,33.09,33.09
32,NOV,2018-02-08,32.64,32.64
33,NOV,2018-02-07,34.05,34.05
34,NOV,2018-02-06,35.39,35.39
35,NOV,2018-02-05,33.85,33.85
36,NOV,2018-02-02,35.69,35.69
37,NOV,2018-02-01,37.43,37.43
38,NOV,2018-01-31,36.68,36.68
39,NOV,2018-01-30,36.59,36.59
40,NOV,2018-01-29,36.73,36.73
41,NOV,2018-01-26,37.71,37.71
42,NOV,2018-01-25,37.6,37.6
43,NOV,2018-01-24,38.29,38.29
44,NOV,2018-01-23,38.73,38.73
45,NOV,2018-01-22,38.74,38.74
46,NOV,2018-01-19,37.98,37.98
47,NOV,2018-01-18,37.91,37.91
48,NOV,2018-01-17,38.92,38.92
49,NOV,2018-01-16,38.47,38.47
50,NOV,2018-01-12,39.14,39.14
51,NOV,2018-01-11,38.84,38.84
52,NOV,2018-01-10,37.93,37.93
53,NOV,2018-01-09,38.24,38.24
54,NOV,2018-01-08,38.71,38.71
55,NOV,2018-01-05,38.22,38.22
56,NOV,2018-01-04,38.43,38.43
57,NOV,2018-01-03,37.85,37.85
58,NOV,2018-01-02,36.8,36.8
59,NOV,2017-12-29,36.02,36.02
60,NOV,2017-12-28,35.49,35.49
61,NOV,2017-12-27,35.28,35.28
62,NOV,2017-12-26,35.62,35.62
63,NOV,2017-12-22,35.44,35.44
64,NOV,2017-12-21,35.55,35.55
65,NOV,2017-12-20,34.32,34.32
66,NOV,2017-12-19,33.62,33.62
67,NOV,2017-12-18,33.34,33.34
68,NOV,2017-12-15,33.06,33.06
69,NOV,2017-12-14,32.43,32.43
70,NOV,2017-12-13,32.59,32.59
71,NOV,2017-12-12,33.14,33.14
72,NOV,2017-12-11,33.29,33.29
73,NOV,2017-12-08,32.62,32.62
74,NOV,2017-12-07,32.4,32.4
75,NOV,2017-12-06,32.71,32.71
76,NOV,2017-12-05,33.17,33.17
77,NOV,2017-12-04,33.98,33.98
78,NOV,2017-12-01,34.09,34.09
79,NOV,2017-11-30,33.55,33.55
80,NOV,2017-11-29,32.61,32.61
81,NOV,2017-11-28,32.13,32.13
82,NOV,2017-11-27,31.63,31.63
83,NOV,2017-11-24,31.85,31.85
84,NOV,2017-11-22,31.94,31.94
85,NOV,2017-11-21,31.8,31.8
86,NOV,2017-11-20,31.72,31.72
87,NOV,2017-11-17,32.02,32.02
88,NOV,2017-11-16,31.51,31.51
89,NOV,2017-11-15,31.94,31.94
90,NOV,2017-11-14,32.27,32.27
91,NOV,2017-11-13,33.06,33.06
92,NOV,2017-11-10,33.52,33.52
93,NOV,2017-11-09,34.55,34.55
94,NOV,2017-11-07,35.1,35.1
95,NOV,2017-11-06,35.5,35.5
96,NOV,2017-11-03,33.42,33.42
97,NOV,2017-11-02,33.36,33.36
98,NOV,2017-11-01,34.06,34.06
99,NOV,2017-10-31,34.19,34.19
100,NOV,2017-10-30,34.28,34.28
101,NOV,2017-10-27,33.23,33.23
102,NOV,2017-10-26,33.86,33.86
103,NOV,2017-10-25,33.64,33.64
104,NOV,2017-10-24,33.81,33.81
