None,ticker,date,close,adj_close
0,NRG,2018-03-27,30.0,30.0
1,NRG,2018-03-26,30.37,30.37
2,NRG,2018-03-23,29.79,29.79
3,NRG,2018-03-22,30.3,30.3
4,NRG,2018-03-21,30.19,30.19
5,NRG,2018-03-20,30.3,30.3
6,NRG,2018-03-19,30.17,30.17
7,NRG,2018-03-16,30.3,30.3
8,NRG,2018-03-15,30.77,30.77
9,NRG,2018-03-14,30.2,30.2
10,NRG,2018-03-13,30.0,30.0
11,NRG,2018-03-12,29.89,29.89
12,NRG,2018-03-09,29.75,29.75
13,NRG,2018-03-08,29.6,29.6
14,NRG,2018-03-07,29.38,29.38
15,NRG,2018-03-06,29.21,29.21
16,NRG,2018-03-05,28.95,28.95
17,NRG,2018-03-02,27.89,27.89
18,NRG,2018-03-01,26.92,26.92
19,NRG,2018-02-28,25.86,25.86
20,NRG,2018-02-27,25.99,25.99
21,NRG,2018-02-26,26.29,26.29
22,NRG,2018-02-23,26.42,26.42
23,NRG,2018-02-22,25.26,25.26
24,NRG,2018-02-21,25.0,25.0
25,NRG,2018-02-20,25.69,25.69
26,NRG,2018-02-16,25.22,25.22
27,NRG,2018-02-15,25.26,25.26
28,NRG,2018-02-14,24.8,24.8
29,NRG,2018-02-13,24.61,24.61
30,NRG,2018-02-12,24.72,24.72
31,NRG,2018-02-09,24.59,24.59
32,NRG,2018-02-08,24.0,24.0
33,NRG,2018-02-07,25.36,25.36
34,NRG,2018-02-06,25.51,25.51
35,NRG,2018-02-05,25.16,25.16
36,NRG,2018-02-02,26.19,26.19
37,NRG,2018-02-01,26.43,26.43
38,NRG,2018-01-31,26.01,26.01
39,NRG,2018-01-30,26.09,26.09
40,NRG,2018-01-29,26.86,26.86
41,NRG,2018-01-26,27.4,27.4
42,NRG,2018-01-25,27.65,27.65
43,NRG,2018-01-24,27.25,27.25
44,NRG,2018-01-23,27.14,27.14
45,NRG,2018-01-22,26.92,26.92
46,NRG,2018-01-19,26.9,26.9
47,NRG,2018-01-18,26.81,26.81
48,NRG,2018-01-17,27.43,27.43
49,NRG,2018-01-16,27.9,27.9
50,NRG,2018-01-12,28.7,28.7
51,NRG,2018-01-11,28.61,28.61
52,NRG,2018-01-10,28.24,28.24
53,NRG,2018-01-09,28.72,28.72
54,NRG,2018-01-08,29.17,29.17
55,NRG,2018-01-05,28.73,28.73
56,NRG,2018-01-04,28.55,28.55
57,NRG,2018-01-03,28.88,28.88
58,NRG,2018-01-02,28.9,28.9
59,NRG,2017-12-29,28.48,28.48
60,NRG,2017-12-28,28.01,28.01
61,NRG,2017-12-27,27.7,27.7
62,NRG,2017-12-26,28.43,28.43
63,NRG,2017-12-22,28.16,28.16
64,NRG,2017-12-21,27.46,27.46
65,NRG,2017-12-20,27.0,27.0
66,NRG,2017-12-19,27.25,27.25
67,NRG,2017-12-18,27.59,27.59
68,NRG,2017-12-15,27.5,27.5
69,NRG,2017-12-14,27.68,27.68
70,NRG,2017-12-13,28.15,28.15
71,NRG,2017-12-12,28.7,28.7
72,NRG,2017-12-11,29.13,29.13
73,NRG,2017-12-08,28.25,28.25
