None,ticker,date,close,adj_close
0,NTAP,2018-03-27,61.19,61.19
1,NTAP,2018-03-26,63.3,63.3
2,NTAP,2018-03-23,61.15,61.15
3,NTAP,2018-03-22,62.16,62.16
4,NTAP,2018-03-21,64.11,64.11
5,NTAP,2018-03-20,63.31,63.31
6,NTAP,2018-03-19,62.84,62.84
7,NTAP,2018-03-16,63.93,63.93
8,NTAP,2018-03-15,63.67,63.67
9,NTAP,2018-03-14,64.55,64.55
10,NTAP,2018-03-13,64.83,64.83
11,NTAP,2018-03-12,64.53,64.53
12,NTAP,2018-03-09,65.26,65.26
13,NTAP,2018-03-08,63.88,63.88
14,NTAP,2018-03-07,63.35,63.35
15,NTAP,2018-03-06,63.8,63.8
16,NTAP,2018-03-05,62.19,62.19
17,NTAP,2018-03-02,60.76,60.76
18,NTAP,2018-03-01,60.6,60.6
19,NTAP,2018-02-28,60.55,60.55
20,NTAP,2018-02-26,60.41,60.41
21,NTAP,2018-02-23,59.62,59.62
22,NTAP,2018-02-22,58.59,58.59
23,NTAP,2018-02-21,58.54,58.54
24,NTAP,2018-02-20,58.09,58.09
25,NTAP,2018-02-16,56.51,56.51
26,NTAP,2018-02-15,57.67,57.67
27,NTAP,2018-02-14,60.64,60.64
28,NTAP,2018-02-13,58.74,58.74
29,NTAP,2018-02-12,57.73,57.73
30,NTAP,2018-02-09,56.13,56.13
31,NTAP,2018-02-08,55.86,55.86
32,NTAP,2018-02-07,57.63,57.63
33,NTAP,2018-02-06,58.14,58.14
34,NTAP,2018-02-05,57.16,57.16
35,NTAP,2018-02-02,60.22,60.22
36,NTAP,2018-02-01,62.16,62.16
37,NTAP,2018-01-31,61.5,61.5
38,NTAP,2018-01-30,62.31,62.31
39,NTAP,2018-01-29,62.8,62.8
40,NTAP,2018-01-26,63.34,63.34
41,NTAP,2018-01-25,62.49,62.49
42,NTAP,2018-01-24,62.93,62.93
43,NTAP,2018-01-23,63.84,63.84
44,NTAP,2018-01-22,63.52,63.52
45,NTAP,2018-01-19,63.09,63.09
46,NTAP,2018-01-18,63.3,63.3
47,NTAP,2018-01-17,63.59,63.59
48,NTAP,2018-01-16,62.27,62.27
49,NTAP,2018-01-12,62.77,62.77
50,NTAP,2018-01-11,61.81,61.81
51,NTAP,2018-01-10,60.65,60.65
52,NTAP,2018-01-09,59.67,59.67
53,NTAP,2018-01-08,59.65,59.65
54,NTAP,2018-01-05,58.85,58.85
55,NTAP,2018-01-04,57.81,57.81
56,NTAP,2018-01-03,57.07,57.07
57,NTAP,2018-01-02,55.57,55.57
58,NTAP,2017-12-29,55.32,55.32
59,NTAP,2017-12-28,55.8,55.8
60,NTAP,2017-12-27,56.15,56.15
61,NTAP,2017-12-26,55.86,55.86
62,NTAP,2017-12-22,56.3,56.3
63,NTAP,2017-12-21,56.21,56.21
64,NTAP,2017-12-20,57.04,57.04
65,NTAP,2017-12-19,57.91,57.91
66,NTAP,2017-12-18,57.73,57.73
67,NTAP,2017-12-15,57.27,57.27
68,NTAP,2017-12-14,57.37,57.37
69,NTAP,2017-12-13,57.78,57.78
70,NTAP,2017-12-12,57.8,57.8
71,NTAP,2017-12-11,58.58,58.58
72,NTAP,2017-12-08,58.26,58.26
73,NTAP,2017-12-07,57.53,57.53
74,NTAP,2017-12-06,57.21,57.21
75,NTAP,2017-12-05,56.14,56.14
76,NTAP,2017-12-04,55.93,55.93
77,NTAP,2017-12-01,56.41,56.41
78,NTAP,2017-11-30,56.51,56.51
79,NTAP,2017-11-29,56.23,56.23
80,NTAP,2017-11-28,56.8,56.8
81,NTAP,2017-11-27,56.23,56.23
82,NTAP,2017-11-24,56.41,56.41
83,NTAP,2017-11-22,56.05,56.05
84,NTAP,2017-11-21,55.08,55.08
85,NTAP,2017-11-20,54.73,54.73
86,NTAP,2017-11-17,52.95,52.95
87,NTAP,2017-11-16,53.11,53.11
88,NTAP,2017-11-15,45.82,45.82
89,NTAP,2017-11-14,45.62,45.62
90,NTAP,2017-11-13,46.0,46.0
91,NTAP,2017-11-10,46.34,46.34
92,NTAP,2017-11-09,46.3,46.3
93,NTAP,2017-11-07,44.65,44.65
94,NTAP,2017-11-06,45.005,45.005
95,NTAP,2017-11-03,44.24,44.24
96,NTAP,2017-11-02,44.25,44.25
97,NTAP,2017-11-01,44.53,44.53
98,NTAP,2017-10-31,44.42,44.42
99,NTAP,2017-10-30,43.52,43.52
100,NTAP,2017-10-27,44.01,44.01
101,NTAP,2017-10-26,44.42,44.42
102,NTAP,2017-10-25,43.71,43.71
103,NTAP,2017-10-24,44.82,44.82
104,NTAP,2017-10-23,44.74,44.74
105,NTAP,2017-10-20,44.56,44.56
106,NTAP,2017-10-19,44.26,44.26
107,NTAP,2017-10-18,44.62,44.62
108,NTAP,2017-10-17,44.08,44.08
109,NTAP,2017-10-16,43.72,43.72
110,NTAP,2017-10-13,43.63,43.63
111,NTAP,2017-10-12,43.42,43.42
112,NTAP,2017-10-11,43.51,43.51
113,NTAP,2017-10-10,43.66,43.66
114,NTAP,2017-10-09,44.37,44.37
115,NTAP,2017-10-06,44.43,44.43
116,NTAP,2017-10-05,44.55,44.55
117,NTAP,2017-10-04,44.46,44.261296089385
118,NTAP,2017-10-03,44.39,44.191608938547
119,NTAP,2017-10-02,44.0,43.803351955307
120,NTAP,2017-09-29,43.76,43.564424581006
121,NTAP,2017-09-28,43.84,43.644067039106
122,NTAP,2017-09-27,44.17,43.972592178771
123,NTAP,2017-09-26,43.76,43.564424581006
124,NTAP,2017-09-25,42.7,42.509162011173
125,NTAP,2017-09-22,42.55,42.359832402235
126,NTAP,2017-09-21,41.86,41.672916201117
127,NTAP,2017-09-20,41.7,41.513631284916
128,NTAP,2017-09-19,41.71,41.523586592179
129,NTAP,2017-09-18,40.63,40.448413407821
