None,ticker,date,close,adj_close
0,NTRS,2018-03-27,101.58,101.58
1,NTRS,2018-03-26,103.8,103.8
2,NTRS,2018-03-23,99.45,99.45
3,NTRS,2018-03-22,102.51,102.51
4,NTRS,2018-03-21,106.95,106.95
5,NTRS,2018-03-20,106.35,106.35
6,NTRS,2018-03-19,106.72,106.72
7,NTRS,2018-03-16,107.21,107.21
8,NTRS,2018-03-15,106.1,106.1
9,NTRS,2018-03-14,106.49,106.49
10,NTRS,2018-03-13,108.55,108.55
11,NTRS,2018-03-12,109.51,109.51
12,NTRS,2018-03-09,110.7,110.7
13,NTRS,2018-03-08,107.77,107.77
14,NTRS,2018-03-07,107.62,107.202212774
15,NTRS,2018-03-06,106.72,106.305706627
16,NTRS,2018-03-05,106.36,105.947104169
17,NTRS,2018-03-02,104.71,104.303509567
18,NTRS,2018-03-01,103.67,103.267546908
19,NTRS,2018-02-28,105.87,105.87
20,NTRS,2018-02-27,107.59,107.59
21,NTRS,2018-02-26,108.84,108.84
22,NTRS,2018-02-23,106.56,106.56
23,NTRS,2018-02-22,104.12,104.12
24,NTRS,2018-02-21,105.38,105.38
25,NTRS,2018-02-20,104.75,104.75
26,NTRS,2018-02-16,104.86,104.86
27,NTRS,2018-02-15,103.87,103.87
28,NTRS,2018-02-14,102.69,102.69
29,NTRS,2018-02-13,99.35,99.35
30,NTRS,2018-02-12,99.36,99.36
31,NTRS,2018-02-09,97.34,97.34
32,NTRS,2018-02-08,96.19,96.19
33,NTRS,2018-02-07,100.73,100.73
34,NTRS,2018-02-06,101.36,101.36
35,NTRS,2018-02-05,100.33,100.33
36,NTRS,2018-02-02,104.63,104.63
37,NTRS,2018-02-01,106.78,106.78
38,NTRS,2018-01-31,105.39,105.39
39,NTRS,2018-01-30,105.69,105.69
40,NTRS,2018-01-29,106.94,106.94
41,NTRS,2018-01-26,106.18,106.18
42,NTRS,2018-01-25,105.01,105.01
43,NTRS,2018-01-24,106.17,106.17
44,NTRS,2018-01-23,106.89,106.89
45,NTRS,2018-01-22,107.43,107.43
46,NTRS,2018-01-19,106.49,106.49
47,NTRS,2018-01-18,105.38,105.38
48,NTRS,2018-01-17,106.89,106.89
49,NTRS,2018-01-16,106.61,106.61
50,NTRS,2018-01-12,107.26,107.26
51,NTRS,2018-01-11,105.95,105.95
52,NTRS,2018-01-10,105.75,105.75
53,NTRS,2018-01-09,104.24,104.24
54,NTRS,2018-01-08,102.5,102.5
55,NTRS,2018-01-05,102.0,102.0
56,NTRS,2018-01-04,101.55,101.55
57,NTRS,2018-01-03,100.05,100.05
