None,ticker,date,close,adj_close
0,NVDA,2018-03-27,225.52,225.52
1,NVDA,2018-03-26,244.48,244.48
2,NVDA,2018-03-23,232.97,232.97
3,NVDA,2018-03-22,241.85,241.85
4,NVDA,2018-03-21,248.56,248.56
5,NVDA,2018-03-20,249.58,249.58
6,NVDA,2018-03-19,241.0,241.0
7,NVDA,2018-03-16,250.48,250.48
8,NVDA,2018-03-15,249.34,249.34
9,NVDA,2018-03-14,248.74,248.74
10,NVDA,2018-03-13,247.71,247.71
11,NVDA,2018-03-12,249.76,249.76
12,NVDA,2018-03-09,245.33,245.33
13,NVDA,2018-03-08,241.18,241.18
14,NVDA,2018-03-07,241.84,241.84
15,NVDA,2018-03-06,242.16,242.16
16,NVDA,2018-03-05,235.65,235.65
17,NVDA,2018-03-02,236.54,236.54
18,NVDA,2018-03-01,232.21,232.21
19,NVDA,2018-02-28,242.0,242.0
20,NVDA,2018-02-27,246.06,246.06
21,NVDA,2018-02-26,246.58,246.58
22,NVDA,2018-02-23,245.93,245.93
23,NVDA,2018-02-22,242.15,242.15
24,NVDA,2018-02-21,241.51,241.51
25,NVDA,2018-02-20,249.08,249.08
26,NVDA,2018-02-16,243.84,243.84
27,NVDA,2018-02-15,246.5,246.5
28,NVDA,2018-02-14,241.42,241.42
29,NVDA,2018-02-13,232.63,232.63
30,NVDA,2018-02-12,228.03,228.03
31,NVDA,2018-02-09,230.93,230.93
32,NVDA,2018-02-08,217.52,217.52
33,NVDA,2018-02-07,228.8,228.8
34,NVDA,2018-02-06,225.58,225.58
35,NVDA,2018-02-05,215.19,215.19
36,NVDA,2018-02-02,233.52,233.52
37,NVDA,2018-02-01,240.5,240.5
38,NVDA,2018-01-31,245.8,245.8
39,NVDA,2018-01-30,242.72,242.72
40,NVDA,2018-01-29,246.85,246.85
41,NVDA,2018-01-26,243.33,243.33
42,NVDA,2018-01-25,236.35,236.35
43,NVDA,2018-01-24,235.8,235.8
44,NVDA,2018-01-23,238.91,238.91
45,NVDA,2018-01-22,233.69,233.69
46,NVDA,2018-01-19,230.11,230.11
47,NVDA,2018-01-18,224.44,224.44
48,NVDA,2018-01-17,224.72,224.72
49,NVDA,2018-01-16,220.11,220.11
50,NVDA,2018-01-12,222.759,222.759
51,NVDA,2018-01-11,224.019,224.019
52,NVDA,2018-01-10,223.68,223.68
53,NVDA,2018-01-09,221.94,221.94
54,NVDA,2018-01-08,222.0,222.0
55,NVDA,2018-01-05,215.4,215.4
56,NVDA,2018-01-04,213.59,213.59
57,NVDA,2018-01-03,212.47,212.47
