None,ticker,date,close,adj_close
0,OKE,2018-03-27,56.96,56.96
1,OKE,2018-03-26,57.02,57.02
2,OKE,2018-03-23,56.75,56.75
3,OKE,2018-03-22,57.33,57.33
4,OKE,2018-03-21,58.46,58.46
5,OKE,2018-03-20,57.64,57.64
6,OKE,2018-03-19,56.47,56.47
7,OKE,2018-03-16,57.81,57.81
8,OKE,2018-03-15,56.64,56.64
9,OKE,2018-03-14,57.16,57.16
10,OKE,2018-03-13,57.76,57.76
11,OKE,2018-03-12,57.59,57.59
12,OKE,2018-03-09,57.31,57.31
13,OKE,2018-03-08,56.6,56.6
14,OKE,2018-03-07,56.71,56.71
15,OKE,2018-03-06,57.02,57.02
16,OKE,2018-03-05,56.91,56.91
17,OKE,2018-03-02,57.08,57.08
18,OKE,2018-03-01,56.51,56.51
19,OKE,2018-02-28,56.33,56.33
20,OKE,2018-02-27,57.0,57.0
21,OKE,2018-02-26,57.47,57.47
22,OKE,2018-02-23,58.02,58.02
23,OKE,2018-02-22,57.18,57.18
24,OKE,2018-02-21,56.1,56.1
25,OKE,2018-02-20,57.02,57.02
26,OKE,2018-02-16,56.91,56.91
27,OKE,2018-02-15,57.8,57.8
28,OKE,2018-02-14,57.47,57.47
29,OKE,2018-02-13,56.84,56.84
30,OKE,2018-02-12,56.55,56.55
31,OKE,2018-02-09,54.33,54.33
32,OKE,2018-02-08,54.4,54.4
33,OKE,2018-02-07,56.58,56.58
34,OKE,2018-02-06,56.42,56.42
35,OKE,2018-02-05,55.56,55.56
36,OKE,2018-02-02,57.75,57.75
37,OKE,2018-02-01,59.74,59.74
38,OKE,2018-01-31,58.86,58.86
39,OKE,2018-01-30,58.73,58.73
40,OKE,2018-01-29,59.49,59.49
41,OKE,2018-01-26,60.15,60.15
42,OKE,2018-01-25,60.58,60.58
43,OKE,2018-01-24,60.71,60.71
44,OKE,2018-01-23,60.48,60.48
45,OKE,2018-01-22,59.88,59.88
46,OKE,2018-01-19,58.32,58.32
47,OKE,2018-01-18,58.14,58.14
48,OKE,2018-01-17,59.41,59.41
49,OKE,2018-01-16,58.8,58.8
50,OKE,2018-01-12,58.67,58.67
51,OKE,2018-01-11,58.36,58.36
52,OKE,2018-01-10,56.74,56.74
53,OKE,2018-01-09,56.49,56.49
54,OKE,2018-01-08,56.64,56.64
55,OKE,2018-01-05,56.06,56.06
56,OKE,2018-01-04,56.2,56.2
57,OKE,2018-01-03,55.54,55.54
58,OKE,2018-01-02,54.65,54.65
59,OKE,2017-12-29,53.45,53.45
60,OKE,2017-12-28,53.49,53.49
61,OKE,2017-12-27,53.17,53.17
62,OKE,2017-12-26,53.26,53.26
63,OKE,2017-12-22,53.21,53.21
64,OKE,2017-12-21,52.22,52.22
65,OKE,2017-12-20,51.51,51.51
66,OKE,2017-12-19,51.86,51.86
67,OKE,2017-12-18,52.35,52.35
68,OKE,2017-12-15,52.16,52.16
69,OKE,2017-12-14,52.74,52.74
70,OKE,2017-12-13,53.22,53.22
71,OKE,2017-12-12,53.4,53.4
72,OKE,2017-12-11,53.4,53.4
