None,ticker,date,close,adj_close
0,ORCL,2018-03-27,45.38,45.38
1,ORCL,2018-03-26,46.48,46.48
2,ORCL,2018-03-23,44.79,44.79
3,ORCL,2018-03-22,45.89,45.89
4,ORCL,2018-03-21,47.02,47.02
5,ORCL,2018-03-20,47.05,47.05
6,ORCL,2018-03-19,51.95,51.95
7,ORCL,2018-03-16,52.27,52.27
8,ORCL,2018-03-15,52.37,52.37
9,ORCL,2018-03-14,52.32,52.32
10,ORCL,2018-03-13,52.58,52.58
11,ORCL,2018-03-12,52.9,52.9
12,ORCL,2018-03-09,52.97,52.97
13,ORCL,2018-03-08,52.13,52.13
14,ORCL,2018-03-07,51.72,51.72
15,ORCL,2018-03-06,51.5,51.5
16,ORCL,2018-03-05,51.29,51.29
17,ORCL,2018-03-02,50.32,50.32
18,ORCL,2018-03-01,49.71,49.71
19,ORCL,2018-02-28,50.67,50.67
20,ORCL,2018-02-27,50.73,50.73
21,ORCL,2018-02-26,51.17,51.17
22,ORCL,2018-02-23,50.5,50.5
23,ORCL,2018-02-22,49.59,49.59
24,ORCL,2018-02-21,49.43,49.43
25,ORCL,2018-02-20,49.89,49.89
26,ORCL,2018-02-16,50.71,50.71
27,ORCL,2018-02-15,50.64,50.64
28,ORCL,2018-02-14,49.45,49.45
29,ORCL,2018-02-13,48.49,48.49
30,ORCL,2018-02-12,48.15,48.15
31,ORCL,2018-02-09,47.73,47.73
32,ORCL,2018-02-08,46.84,46.84
33,ORCL,2018-02-07,48.87,48.87
34,ORCL,2018-02-06,49.4,49.4
35,ORCL,2018-02-05,48.09,48.09
36,ORCL,2018-02-02,50.13,50.13
37,ORCL,2018-02-01,51.63,51.63
38,ORCL,2018-01-31,51.59,51.59
39,ORCL,2018-01-30,50.96,50.96
40,ORCL,2018-01-29,51.94,51.94
41,ORCL,2018-01-26,52.75,52.75
42,ORCL,2018-01-25,51.6,51.6
43,ORCL,2018-01-24,51.45,51.45
44,ORCL,2018-01-23,51.12,51.12
45,ORCL,2018-01-22,50.71,50.71
46,ORCL,2018-01-19,50.58,50.58
47,ORCL,2018-01-18,50.23,50.23
48,ORCL,2018-01-17,50.27,50.27
49,ORCL,2018-01-16,49.59,49.59
50,ORCL,2018-01-12,49.51,49.51
51,ORCL,2018-01-11,48.95,48.95
52,ORCL,2018-01-10,48.8,48.8
53,ORCL,2018-01-09,49.06,49.06
54,ORCL,2018-01-08,48.98,48.98
55,ORCL,2018-01-05,48.47,48.47
56,ORCL,2018-01-04,48.18,48.18
57,ORCL,2018-01-03,47.71,47.71
58,ORCL,2018-01-02,46.63,46.63
59,ORCL,2017-12-29,47.28,47.28
60,ORCL,2017-12-28,47.52,47.52
61,ORCL,2017-12-27,47.38,47.38
62,ORCL,2017-12-26,47.43,47.43
63,ORCL,2017-12-22,47.36,47.36
64,ORCL,2017-12-21,47.28,47.28
65,ORCL,2017-12-20,47.9,47.9
66,ORCL,2017-12-19,47.82,47.82
67,ORCL,2017-12-18,47.71,47.71
68,ORCL,2017-12-15,48.3,48.3
69,ORCL,2017-12-14,50.19,50.19
70,ORCL,2017-12-13,50.05,50.05
71,ORCL,2017-12-12,50.39,50.39
72,ORCL,2017-12-11,50.47,50.47
73,ORCL,2017-12-08,49.6,49.6
74,ORCL,2017-12-07,48.52,48.52
75,ORCL,2017-12-06,48.42,48.42
76,ORCL,2017-12-05,47.99,47.99
77,ORCL,2017-12-04,48.4,48.4
78,ORCL,2017-12-01,49.61,49.61
79,ORCL,2017-11-30,49.06,49.06
80,ORCL,2017-11-29,48.52,48.52
81,ORCL,2017-11-28,49.01,49.01
82,ORCL,2017-11-27,48.88,48.88
83,ORCL,2017-11-24,49.01,49.01
84,ORCL,2017-11-22,48.58,48.58
85,ORCL,2017-11-21,48.63,48.63
86,ORCL,2017-11-20,49.02,49.02
87,ORCL,2017-11-17,48.94,48.94
88,ORCL,2017-11-16,49.2,49.2
89,ORCL,2017-11-15,48.82,48.82
90,ORCL,2017-11-14,49.2,49.2
91,ORCL,2017-11-13,49.4,49.4
92,ORCL,2017-11-10,49.32,49.32
93,ORCL,2017-11-09,49.24,49.24
94,ORCL,2017-11-07,50.49,50.49
95,ORCL,2017-11-06,50.4,50.4
96,ORCL,2017-11-03,50.18,50.18
97,ORCL,2017-11-02,50.28,50.28
98,ORCL,2017-11-01,50.64,50.64
99,ORCL,2017-10-31,50.9,50.9
100,ORCL,2017-10-30,50.68,50.68
101,ORCL,2017-10-27,50.88,50.88
102,ORCL,2017-10-26,50.15,50.15
103,ORCL,2017-10-25,49.705,49.705
104,ORCL,2017-10-24,49.98,49.98
105,ORCL,2017-10-23,49.31,49.31
106,ORCL,2017-10-20,49.25,49.25
107,ORCL,2017-10-19,49.35,49.35
108,ORCL,2017-10-18,49.58,49.58
109,ORCL,2017-10-17,49.19,49.19
110,ORCL,2017-10-16,48.86,48.86
111,ORCL,2017-10-13,48.61,48.61
112,ORCL,2017-10-12,48.23,48.23
113,ORCL,2017-10-11,48.28,48.28
114,ORCL,2017-10-10,48.21,48.21
115,ORCL,2017-10-09,48.36,48.170157024793
116,ORCL,2017-10-06,48.4,48.21
117,ORCL,2017-10-05,48.91,48.717997933884
118,ORCL,2017-10-04,48.9,48.708037190083
119,ORCL,2017-10-03,48.69,48.498861570248
120,ORCL,2017-10-02,48.8,48.608429752066
121,ORCL,2017-09-29,48.35,48.160196280992
122,ORCL,2017-09-28,48.08,47.891256198347
123,ORCL,2017-09-27,48.16,47.97094214876
124,ORCL,2017-09-26,47.92,47.731884297521
125,ORCL,2017-09-25,47.97,47.781688016529
126,ORCL,2017-09-22,48.16,47.97094214876
127,ORCL,2017-09-21,47.97,47.781688016529
128,ORCL,2017-09-20,47.97,47.781688016529
129,ORCL,2017-09-19,48.04,47.85141322314
130,ORCL,2017-09-18,48.33,48.140274793388
131,ORCL,2017-09-15,48.74,48.548665289256
132,ORCL,2017-09-14,52.79,52.582766528926
133,ORCL,2017-09-13,52.8,52.592727272727
134,ORCL,2017-09-12,52.77,52.562845041322
135,ORCL,2017-09-11,52.49,52.283944214876
136,ORCL,2017-09-08,51.58,51.377516528926
137,ORCL,2017-09-07,51.73,51.52692768595
138,ORCL,2017-09-06,51.01,50.809754132231
139,ORCL,2017-09-05,50.93,50.730068181818
140,ORCL,2017-09-01,50.62,50.421285123967
141,ORCL,2017-08-31,50.33,50.132423553719
142,ORCL,2017-08-30,49.8,49.604504132231
143,ORCL,2017-08-29,49.45,49.255878099174
144,ORCL,2017-08-28,49.24,49.046702479339
145,ORCL,2017-08-25,49.24,49.046702479339
146,ORCL,2017-08-24,49.19,48.996898760331
147,ORCL,2017-08-23,49.07,48.877369834711
148,ORCL,2017-08-22,49.26,49.066623966942
149,ORCL,2017-08-21,48.9,48.708037190083
150,ORCL,2017-08-18,48.62,48.429136363636
151,ORCL,2017-08-17,48.55,48.359411157025
152,ORCL,2017-08-16,49.25,49.05666322314
153,ORCL,2017-08-15,48.83,48.638311983471
154,ORCL,2017-08-14,48.85,48.658233471074
155,ORCL,2017-08-11,48.24,48.050628099174
156,ORCL,2017-08-10,48.1,47.91117768595
157,ORCL,2017-08-09,49.06,48.867409090909
158,ORCL,2017-08-08,49.1,48.907252066116
159,ORCL,2017-08-07,49.64,49.445132231405
160,ORCL,2017-08-04,49.96,49.763876033058
161,ORCL,2017-08-03,50.23,50.032816115702
162,ORCL,2017-08-02,49.77,49.574621900826
163,ORCL,2017-08-01,50.16,49.963090909091
164,ORCL,2017-07-31,49.93,49.733993801653
165,ORCL,2017-07-28,50.3,50.102541322314
166,ORCL,2017-07-27,50.45,50.251952479339
167,ORCL,2017-07-26,51.17,50.969126033058
168,ORCL,2017-07-25,51.17,50.969126033058
169,ORCL,2017-07-24,50.76,50.56073553719
170,ORCL,2017-07-21,50.8,50.600578512397
171,ORCL,2017-07-20,51.13,50.929283057851
172,ORCL,2017-07-19,51.0,50.79979338843
173,ORCL,2017-07-18,50.45,50.251952479339
174,ORCL,2017-07-17,50.44,50.241991735537
175,ORCL,2017-07-14,50.56,50.172528187809
176,ORCL,2017-07-13,50.35,49.964137544624
177,ORCL,2017-07-12,50.45,50.063371184236
178,ORCL,2017-07-11,49.88,49.497739438447
179,ORCL,2017-07-10,49.62,49.239731975456
180,ORCL,2017-07-07,49.35,48.971801148504
181,ORCL,2017-07-06,48.85,48.475632950444
182,ORCL,2017-07-05,49.46,49.080958152077
183,ORCL,2017-07-03,49.36,48.981724512465
184,ORCL,2017-06-30,50.14,49.755746901439
185,ORCL,2017-06-29,50.2,49.815287085206
186,ORCL,2017-06-28,50.87,50.480152470606
187,ORCL,2017-06-27,50.75,50.361072103072
188,ORCL,2017-06-26,50.86,50.470229106645
189,ORCL,2017-06-23,50.95,50.559539382295
190,ORCL,2017-06-22,50.3,49.914520724818
191,ORCL,2017-06-21,46.33,45.974945232223
192,ORCL,2017-06-20,45.84,45.488700398124
193,ORCL,2017-06-19,45.73,45.379543394551
194,ORCL,2017-06-16,45.09,44.744448101034
195,ORCL,2017-06-15,44.68,44.337590178625
196,ORCL,2017-06-14,44.81,44.466593910121
197,ORCL,2017-06-13,44.98,44.635291097461
198,ORCL,2017-06-12,44.85,44.506287365966
199,ORCL,2017-06-09,45.03,44.684907917267
200,ORCL,2017-06-08,45.42,45.071919111754
201,ORCL,2017-06-07,45.4,45.052072383832
202,ORCL,2017-06-06,45.61,45.260463027017
203,ORCL,2017-06-05,45.92,45.568087309814
204,ORCL,2017-06-02,45.66,45.310079846823
205,ORCL,2017-06-01,45.79,45.439083578318
206,ORCL,2017-05-31,45.39,45.04214901987
207,ORCL,2017-05-30,45.42,45.071919111754
208,ORCL,2017-05-26,45.26,44.913145288375
209,ORCL,2017-05-25,45.2,44.853605104608
210,ORCL,2017-05-24,44.83,44.486440638043
211,ORCL,2017-05-23,44.56,44.218509811091
212,ORCL,2017-05-22,44.63,44.287973358819
213,ORCL,2017-05-19,44.31,43.970425712061
214,ORCL,2017-05-18,44.17,43.831498616604
215,ORCL,2017-05-17,44.23,43.891038800372
216,ORCL,2017-05-16,45.29,44.942915380258
217,ORCL,2017-05-15,45.32,44.972685472142
218,ORCL,2017-05-12,45.08,44.734524737073
219,ORCL,2017-05-11,45.16,44.813911648763
220,ORCL,2017-05-10,45.53,45.181076115327
221,ORCL,2017-05-09,45.48,45.131459295521
222,ORCL,2017-05-08,45.56,45.210846207211
223,ORCL,2017-05-05,45.58,45.230692935133
224,ORCL,2017-05-04,45.47,45.12153593156
225,ORCL,2017-05-03,44.89,44.54598082181
226,ORCL,2017-05-02,45.13,44.784141556879
227,ORCL,2017-05-01,45.05,44.70475464519
228,ORCL,2017-04-28,44.96,44.615444369539
229,ORCL,2017-04-27,44.77,44.426900454276
230,ORCL,2017-04-26,44.69,44.347513542587
231,ORCL,2017-04-25,44.71,44.367360270509
232,ORCL,2017-04-24,44.84,44.496364002005
233,ORCL,2017-04-21,44.43,44.089506079595
234,ORCL,2017-04-20,44.53,44.188739719207
235,ORCL,2017-04-19,44.19,43.851345344527
236,ORCL,2017-04-18,44.52,44.178816355246
237,ORCL,2017-04-17,44.29,43.950578984139
238,ORCL,2017-04-13,44.0,43.662801429264
239,ORCL,2017-04-12,44.18,43.841421980566
240,ORCL,2017-04-11,44.17,43.831498616604
241,ORCL,2017-04-10,44.0,43.662801429264
242,ORCL,2017-04-07,44.29,43.761608402401
243,ORCL,2017-04-06,44.18,43.65292073195
244,ORCL,2017-04-05,44.49,43.959222348675
245,ORCL,2017-04-04,44.59,44.058029321812
246,ORCL,2017-04-03,44.61,44.07779071644
247,ORCL,2017-03-31,44.61,44.07779071644
248,ORCL,2017-03-30,44.68,44.146955597636
249,ORCL,2017-03-29,44.52,43.988864440616
250,ORCL,2017-03-28,44.69,44.156836294949
251,ORCL,2017-03-27,44.84,44.305046754655
252,ORCL,2017-03-24,44.65,44.117313505694
253,ORCL,2017-03-23,44.95,44.413734425106
254,ORCL,2017-03-22,44.79,44.255643268086
255,ORCL,2017-03-21,44.84,44.305046754655
256,ORCL,2017-03-20,45.23,44.690393949889
257,ORCL,2017-03-17,45.66,45.115263934379
258,ORCL,2017-03-16,45.73,45.184428815575
259,ORCL,2017-03-15,43.05,42.536401935502
260,ORCL,2017-03-14,42.79,42.279503805345
261,ORCL,2017-03-13,42.58,42.072009161757
262,ORCL,2017-03-10,42.68,42.170816134895
263,ORCL,2017-03-09,42.44,41.933679399366
264,ORCL,2017-03-08,42.61,42.101651253699
265,ORCL,2017-03-07,42.6,42.091770556385
266,ORCL,2017-03-06,42.57,42.062128464444
267,ORCL,2017-03-03,42.69,42.180696832208
268,ORCL,2017-03-02,42.89,42.378310778482
269,ORCL,2017-03-01,42.92,42.407952870423
270,ORCL,2017-02-28,42.59,42.081889859071
271,ORCL,2017-02-27,42.7,42.190577529522
272,ORCL,2017-02-24,43.17,42.654970303266
273,ORCL,2017-02-23,42.96,42.447475659678
274,ORCL,2017-02-22,42.51,42.002844280562
275,ORCL,2017-02-21,42.27,41.765707545033
276,ORCL,2017-02-17,42.06,41.558212901445
277,ORCL,2017-02-16,41.59,41.093820127701
278,ORCL,2017-02-15,41.41,40.915967576054
279,ORCL,2017-02-14,41.1,40.609665959329
280,ORCL,2017-02-13,41.09,40.599785262015
281,ORCL,2017-02-10,40.79,40.303364342604
282,ORCL,2017-02-09,40.23,39.750045293037
283,ORCL,2017-02-08,40.02,39.542550649449
284,ORCL,2017-02-07,40.07,39.591954136017
285,ORCL,2017-02-06,40.1,39.621596227959
286,ORCL,2017-02-03,40.43,39.947659239311
287,ORCL,2017-02-02,39.98,39.503027860194
288,ORCL,2017-02-01,39.84,39.364698097802
289,ORCL,2017-01-31,40.11,39.631476925272
290,ORCL,2017-01-30,40.23,39.750045293037
291,ORCL,2017-01-27,40.23,39.750045293037
292,ORCL,2017-01-26,40.13,39.6512383199
293,ORCL,2017-01-25,40.15,39.670999714527
294,ORCL,2017-01-24,40.1,39.621596227959
295,ORCL,2017-01-23,39.68,39.206606940783
296,ORCL,2017-01-20,39.87,39.394340189743
297,ORCL,2017-01-19,39.21,38.742214167039
298,ORCL,2017-01-18,39.19,38.722452772411
299,ORCL,2017-01-17,39.1,38.633526496588
300,ORCL,2017-01-13,39.26,38.791617653607
301,ORCL,2017-01-12,39.2,38.732333469725
302,ORCL,2017-01-11,39.11,38.643407193902
303,ORCL,2017-01-10,38.66,38.198775814785
304,ORCL,2017-01-09,39.03,38.564361615392
305,ORCL,2017-01-06,38.45,37.991281171197
306,ORCL,2017-01-05,38.64,38.179014420158
