None,ticker,date,close,adj_close
0,ORLY,2018-03-27,238.97,238.97
1,ORLY,2018-03-26,245.4,245.4
2,ORLY,2018-03-23,239.44,239.44
3,ORLY,2018-03-22,241.16,241.16
4,ORLY,2018-03-21,247.05,247.05
5,ORLY,2018-03-20,247.61,247.61
6,ORLY,2018-03-19,248.7,248.7
7,ORLY,2018-03-16,251.16,251.16
8,ORLY,2018-03-15,248.84,248.84
9,ORLY,2018-03-14,249.14,249.14
10,ORLY,2018-03-13,250.82,250.82
11,ORLY,2018-03-12,249.12,249.12
12,ORLY,2018-03-09,250.51,250.51
13,ORLY,2018-03-08,242.34,242.34
14,ORLY,2018-03-07,242.78,242.78
15,ORLY,2018-03-06,251.74,251.74
16,ORLY,2018-03-05,246.85,246.85
17,ORLY,2018-03-02,241.01,241.01
18,ORLY,2018-03-01,243.26,243.26
19,ORLY,2018-02-28,244.19,244.19
20,ORLY,2018-02-27,238.58,238.58
21,ORLY,2018-02-26,254.97,254.97
22,ORLY,2018-02-23,254.13,254.13
23,ORLY,2018-02-22,247.36,247.36
24,ORLY,2018-02-21,247.69,247.69
25,ORLY,2018-02-20,252.43,252.43
26,ORLY,2018-02-16,251.1,251.1
27,ORLY,2018-02-15,252.29,252.29
28,ORLY,2018-02-14,247.55,247.55
29,ORLY,2018-02-13,245.31,245.31
30,ORLY,2018-02-12,248.25,248.25
31,ORLY,2018-02-09,249.6,249.6
32,ORLY,2018-02-08,252.14,252.14
33,ORLY,2018-02-07,252.08,252.08
34,ORLY,2018-02-06,254.9,254.9
35,ORLY,2018-02-05,247.7601,247.7601
36,ORLY,2018-02-02,252.64,252.64
37,ORLY,2018-02-01,262.38,262.38
38,ORLY,2018-01-31,264.69,264.69
39,ORLY,2018-01-30,268.27,268.27
40,ORLY,2018-01-29,273.94,273.94
41,ORLY,2018-01-26,275.47,275.47
42,ORLY,2018-01-25,272.88,272.88
43,ORLY,2018-01-24,275.93,275.93
44,ORLY,2018-01-23,271.21,271.21
45,ORLY,2018-01-22,272.3,272.3
46,ORLY,2018-01-19,273.02,273.02
47,ORLY,2018-01-18,266.33,266.33
48,ORLY,2018-01-17,265.04,265.04
49,ORLY,2018-01-16,257.89,257.89
50,ORLY,2018-01-12,258.6,258.6
51,ORLY,2018-01-11,259.75,259.75
52,ORLY,2018-01-10,258.45,258.45
53,ORLY,2018-01-09,261.26,261.26
54,ORLY,2018-01-08,260.0,260.0
55,ORLY,2018-01-05,260.28,260.28
56,ORLY,2018-01-04,257.68,257.68
57,ORLY,2018-01-03,253.84,253.84
58,ORLY,2018-01-02,249.26,249.26
59,ORLY,2017-12-29,240.54,240.54
60,ORLY,2017-12-28,242.36,242.36
61,ORLY,2017-12-27,242.31,242.31
