None,ticker,date,close,adj_close
0,OXY,2018-03-27,65.82,65.82
1,OXY,2018-03-26,67.2,67.2
2,OXY,2018-03-23,65.49,65.49
3,OXY,2018-03-22,65.18,65.18
4,OXY,2018-03-21,66.04,66.04
5,OXY,2018-03-20,63.91,63.91
6,OXY,2018-03-19,63.65,63.65
7,OXY,2018-03-16,64.45,64.45
8,OXY,2018-03-15,63.91,63.91
9,OXY,2018-03-14,64.04,64.04
10,OXY,2018-03-13,64.2,64.2
11,OXY,2018-03-12,63.89,63.89
12,OXY,2018-03-09,63.67,63.67
13,OXY,2018-03-08,62.96,62.96
14,OXY,2018-03-07,65.19,64.4023599561
15,OXY,2018-03-06,65.66,64.8666813118
16,OXY,2018-03-05,65.92,65.1235399341
17,OXY,2018-03-02,65.64,64.8469229562
18,OXY,2018-03-01,65.63,64.8370437784
19,OXY,2018-02-28,65.6,65.6
20,OXY,2018-02-27,66.75,66.75
21,OXY,2018-02-26,67.27,67.27
22,OXY,2018-02-23,68.32,68.32
23,OXY,2018-02-22,67.92,67.92
24,OXY,2018-02-21,67.21,67.21
25,OXY,2018-02-20,67.99,67.99
26,OXY,2018-02-16,68.16,68.16
27,OXY,2018-02-15,69.43,69.43
28,OXY,2018-02-14,69.85,69.85
29,OXY,2018-02-13,69.72,69.72
30,OXY,2018-02-12,69.87,69.87
31,OXY,2018-02-09,68.18,68.18
32,OXY,2018-02-08,68.47,68.47
33,OXY,2018-02-07,69.87,69.87
34,OXY,2018-02-06,71.22,71.22
35,OXY,2018-02-05,70.91,70.91
36,OXY,2018-02-02,73.58,73.58
37,OXY,2018-02-01,76.1,76.1
38,OXY,2018-01-31,74.97,74.97
39,OXY,2018-01-30,74.76,74.76
40,OXY,2018-01-29,76.24,76.24
41,OXY,2018-01-26,77.18,77.18
42,OXY,2018-01-25,76.74,76.74
43,OXY,2018-01-24,77.56,77.56
44,OXY,2018-01-23,77.42,77.42
45,OXY,2018-01-22,77.63,77.63
46,OXY,2018-01-19,75.55,75.55
47,OXY,2018-01-18,75.39,75.39
48,OXY,2018-01-17,75.86,75.86
49,OXY,2018-01-16,75.27,75.27
50,OXY,2018-01-12,76.53,76.53
51,OXY,2018-01-11,75.82,75.82
52,OXY,2018-01-10,74.25,74.25
53,OXY,2018-01-09,74.89,74.89
54,OXY,2018-01-08,75.19,75.19
55,OXY,2018-01-05,74.55,74.55
56,OXY,2018-01-04,74.96,74.96
57,OXY,2018-01-03,75.0,75.0
58,OXY,2018-01-02,73.98,73.98
59,OXY,2017-12-29,73.66,73.66
60,OXY,2017-12-28,73.7,73.7
61,OXY,2017-12-27,73.32,73.32
62,OXY,2017-12-26,73.54,73.54
63,OXY,2017-12-22,72.99,72.99
64,OXY,2017-12-21,72.58,72.58
65,OXY,2017-12-20,71.88,71.88
66,OXY,2017-12-19,70.9,70.9
67,OXY,2017-12-18,70.97,70.97
68,OXY,2017-12-15,70.62,70.62
69,OXY,2017-12-14,70.55,70.55
70,OXY,2017-12-13,69.97,69.97
71,OXY,2017-12-12,70.03,70.03
72,OXY,2017-12-11,69.5,69.5
73,OXY,2017-12-08,68.87,68.87
74,OXY,2017-12-07,69.41,69.41
75,OXY,2017-12-06,69.27,69.27
76,OXY,2017-12-05,70.0,70.0
77,OXY,2017-12-04,70.06,70.06
78,OXY,2017-12-01,70.24,70.24
79,OXY,2017-11-30,70.5,70.5
80,OXY,2017-11-29,69.9,69.9
81,OXY,2017-11-28,68.96,68.96
82,OXY,2017-11-27,68.08,68.08
83,OXY,2017-11-24,68.42,68.42
84,OXY,2017-11-22,68.23,68.23
85,OXY,2017-11-21,67.88,67.88
86,OXY,2017-11-20,67.81,67.81
87,OXY,2017-11-17,68.4,68.4
88,OXY,2017-11-16,67.17,67.17
89,OXY,2017-11-15,66.67,66.67
90,OXY,2017-11-14,67.32,67.32
91,OXY,2017-11-13,67.93,67.93
92,OXY,2017-11-10,68.17,68.17
93,OXY,2017-11-09,68.7,68.7
94,OXY,2017-11-07,68.75,68.75
95,OXY,2017-11-06,68.82,68.82
96,OXY,2017-11-03,68.26,68.26
97,OXY,2017-11-02,67.9,67.9
98,OXY,2017-11-01,65.46,65.46
99,OXY,2017-10-31,64.57,64.57
100,OXY,2017-10-30,64.96,64.96
101,OXY,2017-10-27,65.05,65.05
102,OXY,2017-10-26,64.62,64.62
103,OXY,2017-10-25,65.37,65.37
104,OXY,2017-10-24,65.82,65.82
105,OXY,2017-10-23,65.05,65.05
106,OXY,2017-10-20,65.47,65.47
107,OXY,2017-10-19,64.84,64.84
108,OXY,2017-10-18,64.63,64.63
109,OXY,2017-10-17,64.64,64.64
110,OXY,2017-10-16,64.77,64.77
111,OXY,2017-10-13,64.73,64.73
112,OXY,2017-10-12,64.22,64.22
113,OXY,2017-10-11,64.39,64.39
114,OXY,2017-10-10,64.5,64.5
115,OXY,2017-10-09,64.0,64.0
116,OXY,2017-10-06,63.91,63.91
117,OXY,2017-10-05,64.35,64.35
118,OXY,2017-10-04,64.39,64.39
119,OXY,2017-10-03,63.98,63.98
120,OXY,2017-10-02,64.11,64.11
121,OXY,2017-09-29,64.21,64.21
122,OXY,2017-09-28,64.97,64.97
123,OXY,2017-09-27,65.19,65.19
124,OXY,2017-09-26,64.44,64.44
125,OXY,2017-09-25,64.58,64.58
126,OXY,2017-09-22,62.94,62.94
127,OXY,2017-09-21,62.75,62.75
128,OXY,2017-09-20,62.49,62.49
129,OXY,2017-09-19,61.86,61.86
130,OXY,2017-09-18,61.8,61.8
131,OXY,2017-09-15,61.35,61.35
132,OXY,2017-09-14,61.58,61.58
133,OXY,2017-09-13,61.55,61.55
134,OXY,2017-09-12,60.78,60.78
135,OXY,2017-09-11,60.41,60.41
136,OXY,2017-09-08,60.24,60.24
137,OXY,2017-09-07,61.86,61.079272250451
138,OXY,2017-09-06,61.62,60.842301262088
139,OXY,2017-09-05,60.72,59.953660055729
140,OXY,2017-09-01,59.75,58.995902311097
141,OXY,2017-08-31,59.7,58.946533355188
142,OXY,2017-08-30,59.17,58.423222422554
143,OXY,2017-08-29,59.08,58.334358301918
144,OXY,2017-08-28,59.13,58.383727257827
145,OXY,2017-08-25,59.22,58.472591378463
146,OXY,2017-08-24,59.13,58.383727257827
147,OXY,2017-08-23,59.6,58.84779544337
148,OXY,2017-08-22,59.16,58.413348631372
149,OXY,2017-08-21,58.84,58.097387313555
150,OXY,2017-08-18,59.15,58.40347484019
151,OXY,2017-08-17,58.92,58.176377643009
152,OXY,2017-08-16,59.7,58.946533355188
153,OXY,2017-08-15,60.62,59.854922143911
154,OXY,2017-08-14,61.24,60.467097197181
155,OXY,2017-08-11,61.13,60.358485494181
156,OXY,2017-08-10,61.34,60.565835108999
157,OXY,2017-08-09,61.66,60.881796426815
158,OXY,2017-08-08,61.35,60.57570890018
159,OXY,2017-08-07,61.83,61.049650876905
160,OXY,2017-08-04,62.09,61.306369447632
161,OXY,2017-08-03,61.55,60.773184723816
162,OXY,2017-08-02,61.37,60.595456482544
163,OXY,2017-08-01,61.53,60.753437141452
164,OXY,2017-07-31,61.93,61.148388788723
165,OXY,2017-07-28,62.73,61.938292083265
166,OXY,2017-07-27,62.14,61.35573840354
167,OXY,2017-07-26,61.59,60.812679888543
168,OXY,2017-07-25,61.01,60.24
169,OXY,2017-07-24,59.41,58.660193410916
170,OXY,2017-07-21,60.03,59.272368464186
171,OXY,2017-07-20,60.52,59.756184232093
172,OXY,2017-07-19,60.89,60.121514505819
173,OXY,2017-07-18,60.24,59.479718079003
174,OXY,2017-07-17,60.04,59.282242255368
175,OXY,2017-07-14,59.82,59.065018849369
176,OXY,2017-07-13,59.5,58.749057531552
177,OXY,2017-07-12,59.16,58.413348631372
178,OXY,2017-07-11,58.94,58.196125225373
179,OXY,2017-07-10,58.77,58.028270775283
