None,ticker,date,close,adj_close
0,PAYX,2018-03-27,59.84,59.84
1,PAYX,2018-03-26,61.22,61.22
2,PAYX,2018-03-23,61.73,61.73
3,PAYX,2018-03-22,63.49,63.49
4,PAYX,2018-03-21,65.55,65.55
5,PAYX,2018-03-20,65.51,65.51
6,PAYX,2018-03-19,65.33,65.33
7,PAYX,2018-03-16,66.15,66.15
8,PAYX,2018-03-15,66.4,66.4
9,PAYX,2018-03-14,65.89,65.89
10,PAYX,2018-03-13,66.72,66.72
11,PAYX,2018-03-12,66.5,66.5
12,PAYX,2018-03-09,66.52,66.52
13,PAYX,2018-03-08,65.39,65.39
14,PAYX,2018-03-07,64.82,64.82
15,PAYX,2018-03-06,65.09,65.09
16,PAYX,2018-03-05,65.04,65.04
17,PAYX,2018-03-02,63.79,63.79
18,PAYX,2018-03-01,63.55,63.55
19,PAYX,2018-02-28,65.13,65.13
20,PAYX,2018-02-27,65.92,65.92
21,PAYX,2018-02-26,66.83,66.83
22,PAYX,2018-02-23,66.47,66.47
23,PAYX,2018-02-22,65.05,65.05
24,PAYX,2018-02-21,65.08,65.08
25,PAYX,2018-02-20,65.41,65.41
26,PAYX,2018-02-16,66.81,66.81
27,PAYX,2018-02-15,66.47,66.47
28,PAYX,2018-02-14,65.37,65.37
29,PAYX,2018-02-13,64.63,64.63
30,PAYX,2018-02-12,64.69,64.69
31,PAYX,2018-02-09,64.11,64.11
32,PAYX,2018-02-08,61.82,61.82
33,PAYX,2018-02-07,64.74,64.74
34,PAYX,2018-02-06,64.23,64.23
35,PAYX,2018-02-05,64.86,64.86
36,PAYX,2018-02-02,66.6,66.6
37,PAYX,2018-02-01,67.03,67.03
38,PAYX,2018-01-31,68.27,68.27
39,PAYX,2018-01-30,68.56,68.56
40,PAYX,2018-01-29,68.83,68.83
41,PAYX,2018-01-26,70.01,70.01
42,PAYX,2018-01-25,68.63,68.63
43,PAYX,2018-01-24,68.02,68.02
44,PAYX,2018-01-23,69.99,69.99
45,PAYX,2018-01-22,69.7,69.7
46,PAYX,2018-01-19,69.49,69.49
47,PAYX,2018-01-18,68.91,68.91
