None,ticker,date,close,adj_close
0,PEG,2018-03-27,49.32,49.32
1,PEG,2018-03-26,48.43,48.43
2,PEG,2018-03-23,47.9,47.9
3,PEG,2018-03-22,48.26,48.26
4,PEG,2018-03-21,48.39,48.39
5,PEG,2018-03-20,48.98,48.98
6,PEG,2018-03-19,49.3,49.3
7,PEG,2018-03-16,49.29,49.29
8,PEG,2018-03-15,48.65,48.65
9,PEG,2018-03-14,48.45,48.45
10,PEG,2018-03-13,47.39,47.39
11,PEG,2018-03-12,47.58,47.58
12,PEG,2018-03-09,47.05,47.05
13,PEG,2018-03-08,46.83,46.83
14,PEG,2018-03-07,46.38,46.38
15,PEG,2018-03-06,47.19,47.19
16,PEG,2018-03-05,48.07,48.07
17,PEG,2018-03-02,47.7,47.7
18,PEG,2018-03-01,48.29,48.29
19,PEG,2018-02-28,48.43,48.43
20,PEG,2018-02-27,48.79,48.79
21,PEG,2018-02-26,50.3,50.3
22,PEG,2018-02-23,50.53,50.53
23,PEG,2018-02-22,49.18,49.18
24,PEG,2018-02-21,48.53,48.53
25,PEG,2018-02-20,49.29,49.29
26,PEG,2018-02-16,49.43,49.43
27,PEG,2018-02-15,48.61,48.61
28,PEG,2018-02-14,47.62,47.62
29,PEG,2018-02-13,48.04,48.04
30,PEG,2018-02-12,47.62,47.62
31,PEG,2018-02-09,47.24,47.24
32,PEG,2018-02-08,46.73,46.73
33,PEG,2018-02-07,47.7,47.7
34,PEG,2018-02-06,47.63,47.63
35,PEG,2018-02-05,48.84,48.84
36,PEG,2018-02-02,50.04,50.04
37,PEG,2018-02-01,50.67,50.67
38,PEG,2018-01-31,51.87,51.87
39,PEG,2018-01-30,51.01,51.01
40,PEG,2018-01-29,50.69,50.69
41,PEG,2018-01-26,51.2,51.2
42,PEG,2018-01-25,51.12,51.12
43,PEG,2018-01-24,50.42,50.42
44,PEG,2018-01-23,50.72,50.72
45,PEG,2018-01-22,50.04,50.04
46,PEG,2018-01-19,49.8,49.8
47,PEG,2018-01-18,49.74,49.74
48,PEG,2018-01-17,50.27,50.27
49,PEG,2018-01-16,49.55,49.55
50,PEG,2018-01-12,50.1,50.1
51,PEG,2018-01-11,50.0,50.0
52,PEG,2018-01-10,49.4,49.4
53,PEG,2018-01-09,49.63,49.63
54,PEG,2018-01-08,49.81,49.81
55,PEG,2018-01-05,49.66,49.66
56,PEG,2018-01-04,49.25,49.25
57,PEG,2018-01-03,50.74,50.74
58,PEG,2018-01-02,51.0,51.0
59,PEG,2017-12-29,51.5,51.5
60,PEG,2017-12-28,51.34,51.34
61,PEG,2017-12-27,51.01,51.01
62,PEG,2017-12-26,50.96,50.96
63,PEG,2017-12-22,51.07,51.07
64,PEG,2017-12-21,51.01,51.01
65,PEG,2017-12-20,50.98,50.98
