None,ticker,date,close,adj_close
0,PEP,2018-03-27,107.64,107.64
1,PEP,2018-03-26,106.81,106.81
2,PEP,2018-03-23,106.15,106.15
3,PEP,2018-03-22,107.94,107.94
4,PEP,2018-03-21,108.74,108.74
5,PEP,2018-03-20,109.9,109.9
6,PEP,2018-03-19,110.36,110.36
7,PEP,2018-03-16,111.64,111.64
8,PEP,2018-03-15,111.99,111.99
9,PEP,2018-03-14,112.61,112.61
10,PEP,2018-03-13,113.6,113.6
11,PEP,2018-03-12,112.75,112.75
12,PEP,2018-03-09,112.54,112.54
13,PEP,2018-03-08,112.08,112.08
14,PEP,2018-03-07,109.84,109.84
15,PEP,2018-03-06,109.58,109.58
16,PEP,2018-03-05,109.43,109.43
17,PEP,2018-03-02,109.04,109.04
18,PEP,2018-03-01,108.12,108.12
19,PEP,2018-02-28,109.73,109.73
20,PEP,2018-02-27,110.89,110.89
21,PEP,2018-02-26,110.94,110.94
22,PEP,2018-02-23,109.68,109.68
23,PEP,2018-02-22,109.26,109.26
24,PEP,2018-02-21,108.0,108.0
25,PEP,2018-02-20,109.48,109.48
26,PEP,2018-02-16,111.06,111.06
27,PEP,2018-02-15,110.97,110.97
28,PEP,2018-02-14,109.11,109.11
29,PEP,2018-02-13,112.14,112.14
30,PEP,2018-02-12,111.93,111.93
31,PEP,2018-02-09,111.11,111.11
32,PEP,2018-02-08,110.16,110.16
33,PEP,2018-02-07,113.5,113.5
34,PEP,2018-02-06,113.56,113.56
35,PEP,2018-02-05,115.02,115.02
36,PEP,2018-02-02,118.67,118.67
37,PEP,2018-02-01,120.3,120.3
38,PEP,2018-01-31,120.3,120.3
39,PEP,2018-01-30,119.89,119.89
40,PEP,2018-01-29,119.67,119.67
41,PEP,2018-01-26,121.76,121.76
42,PEP,2018-01-25,120.9,120.9
43,PEP,2018-01-24,121.14,121.14
44,PEP,2018-01-23,121.3,121.3
45,PEP,2018-01-22,121.51,121.51
46,PEP,2018-01-19,120.17,120.17
47,PEP,2018-01-18,119.05,119.05
48,PEP,2018-01-17,119.18,119.18
49,PEP,2018-01-16,117.86,117.86
50,PEP,2018-01-12,117.38,117.38
51,PEP,2018-01-11,116.88,116.88
52,PEP,2018-01-10,117.48,117.48
53,PEP,2018-01-09,118.08,118.08
54,PEP,2018-01-08,117.99,117.99
55,PEP,2018-01-05,118.67,118.67
56,PEP,2018-01-04,118.33,118.33
57,PEP,2018-01-03,117.75,117.75
58,PEP,2018-01-02,118.06,118.06
59,PEP,2017-12-29,119.92,119.92
60,PEP,2017-12-28,119.35,119.35
61,PEP,2017-12-27,119.3,119.3
62,PEP,2017-12-26,118.89,118.89
63,PEP,2017-12-22,118.6,118.6
64,PEP,2017-12-21,118.26,118.26
65,PEP,2017-12-20,119.02,119.02
66,PEP,2017-12-19,118.61,118.61
67,PEP,2017-12-18,118.05,118.05
68,PEP,2017-12-15,119.22,119.22
69,PEP,2017-12-14,118.02,118.02
70,PEP,2017-12-13,117.8,117.8
71,PEP,2017-12-12,117.4,117.4
72,PEP,2017-12-11,117.39,117.39
73,PEP,2017-12-08,116.57,116.57
74,PEP,2017-12-07,116.73,116.73
75,PEP,2017-12-06,118.9,118.9
76,PEP,2017-12-05,117.59,117.59
77,PEP,2017-12-04,117.46,117.46
78,PEP,2017-12-01,116.78,116.78
79,PEP,2017-11-30,116.52,116.52
80,PEP,2017-11-29,116.84,116.84
81,PEP,2017-11-28,116.77,116.77
82,PEP,2017-11-27,115.85,115.85
83,PEP,2017-11-24,115.9,115.9
84,PEP,2017-11-22,115.08,115.08
85,PEP,2017-11-21,116.05,116.05
86,PEP,2017-11-20,114.91,114.91
87,PEP,2017-11-17,114.68,114.68
88,PEP,2017-11-16,115.23,115.23
89,PEP,2017-11-15,115.1,115.1
90,PEP,2017-11-14,115.76,115.76
91,PEP,2017-11-13,114.04,114.04
92,PEP,2017-11-10,112.75,112.75
93,PEP,2017-11-09,111.48,111.48
94,PEP,2017-11-07,110.47,110.47
95,PEP,2017-11-06,109.26,109.26
96,PEP,2017-11-03,110.22,110.22
97,PEP,2017-11-02,110.05,110.05
98,PEP,2017-11-01,110.13,110.13
99,PEP,2017-10-31,110.23,110.23
100,PEP,2017-10-30,109.65,109.65
101,PEP,2017-10-27,110.6,110.6
102,PEP,2017-10-26,110.73,110.73
103,PEP,2017-10-25,110.08,110.08
104,PEP,2017-10-24,110.75,110.75
105,PEP,2017-10-23,111.69,111.69
