None,ticker,date,close,adj_close
0,PFG,2018-03-27,58.79,58.79
1,PFG,2018-03-26,59.23,59.23
2,PFG,2018-03-23,57.76,57.76
3,PFG,2018-03-22,59.93,59.93
4,PFG,2018-03-21,62.2,62.2
5,PFG,2018-03-20,61.74,61.74
6,PFG,2018-03-19,61.62,61.62
7,PFG,2018-03-16,62.11,62.11
8,PFG,2018-03-15,61.97,61.97
9,PFG,2018-03-14,62.05,62.05
10,PFG,2018-03-13,62.68,62.68
11,PFG,2018-03-12,63.05,63.05
12,PFG,2018-03-09,63.05,63.05
13,PFG,2018-03-08,61.37,61.37
14,PFG,2018-03-07,61.58,61.58
15,PFG,2018-03-06,61.59,61.59
16,PFG,2018-03-05,61.37,61.37
17,PFG,2018-03-02,61.09,61.09
18,PFG,2018-03-01,61.19,60.6833944805
19,PFG,2018-02-28,62.33,62.33
20,PFG,2018-02-27,63.58,63.58
21,PFG,2018-02-26,63.98,63.98
22,PFG,2018-02-23,63.15,63.15
23,PFG,2018-02-22,62.37,62.37
24,PFG,2018-02-21,63.3,63.3
25,PFG,2018-02-20,62.7,62.7
26,PFG,2018-02-16,63.05,63.05
27,PFG,2018-02-15,62.87,62.87
28,PFG,2018-02-14,63.27,63.27
29,PFG,2018-02-13,61.72,61.72
30,PFG,2018-02-12,61.84,61.84
31,PFG,2018-02-09,61.34,61.34
32,PFG,2018-02-08,60.38,60.38
33,PFG,2018-02-07,63.92,63.92
34,PFG,2018-02-06,64.54,64.54
35,PFG,2018-02-05,63.9,63.9
36,PFG,2018-02-02,66.35,66.35
37,PFG,2018-02-01,68.46,68.46
38,PFG,2018-01-31,67.6,67.6
39,PFG,2018-01-30,68.5,68.5
40,PFG,2018-01-29,74.5,74.5
41,PFG,2018-01-26,75.04,75.04
42,PFG,2018-01-25,74.26,74.26
43,PFG,2018-01-24,74.0,74.0
44,PFG,2018-01-23,73.56,73.56
45,PFG,2018-01-22,73.97,73.97
46,PFG,2018-01-19,74.05,74.05
47,PFG,2018-01-18,73.48,73.48
48,PFG,2018-01-17,73.45,73.45
49,PFG,2018-01-16,72.9,72.9
50,PFG,2018-01-12,74.21,74.21
51,PFG,2018-01-11,73.88,73.88
52,PFG,2018-01-10,73.38,73.38
53,PFG,2018-01-09,72.97,72.97
54,PFG,2018-01-08,72.21,72.21
55,PFG,2018-01-05,72.0,72.0
56,PFG,2018-01-04,71.45,71.45
57,PFG,2018-01-03,70.53,70.53
58,PFG,2018-01-02,70.38,70.38
59,PFG,2017-12-29,70.56,70.56
60,PFG,2017-12-28,71.39,71.39
61,PFG,2017-12-27,71.07,71.07
62,PFG,2017-12-26,71.33,71.33
63,PFG,2017-12-22,71.26,71.26
64,PFG,2017-12-21,71.24,71.24
65,PFG,2017-12-20,71.25,71.25
66,PFG,2017-12-19,70.86,70.86
67,PFG,2017-12-18,70.61,70.61
68,PFG,2017-12-15,70.37,70.37
69,PFG,2017-12-14,69.89,69.89
70,PFG,2017-12-13,70.25,70.25
71,PFG,2017-12-12,70.78,70.78
72,PFG,2017-12-11,71.53,71.53
73,PFG,2017-12-08,71.76,71.76
74,PFG,2017-12-07,70.99,70.99
75,PFG,2017-12-06,70.82,70.82
76,PFG,2017-12-05,70.68,70.68
77,PFG,2017-12-04,70.85,70.85
78,PFG,2017-12-01,70.52,70.52
79,PFG,2017-11-30,70.79,70.79
80,PFG,2017-11-29,71.54,71.54
81,PFG,2017-11-28,70.05,70.05
82,PFG,2017-11-27,68.68,68.68
83,PFG,2017-11-24,68.65,68.65
84,PFG,2017-11-22,68.4,68.4
85,PFG,2017-11-21,68.55,68.55
86,PFG,2017-11-20,68.82,68.82
87,PFG,2017-11-17,68.64,68.64
88,PFG,2017-11-16,68.39,68.39
89,PFG,2017-11-15,68.57,68.57
90,PFG,2017-11-14,68.33,68.33
91,PFG,2017-11-13,68.03,68.03
92,PFG,2017-11-10,68.06,68.06
93,PFG,2017-11-09,68.42,68.42
94,PFG,2017-11-07,69.11,69.11
95,PFG,2017-11-06,69.22,69.22
96,PFG,2017-11-03,68.32,68.32
97,PFG,2017-11-02,68.89,68.89
98,PFG,2017-11-01,67.13,67.13
99,PFG,2017-10-31,65.85,65.85
100,PFG,2017-10-30,66.52,66.52
101,PFG,2017-10-27,68.1,68.1
102,PFG,2017-10-26,68.2,68.2
103,PFG,2017-10-25,67.69,67.69
104,PFG,2017-10-24,68.57,68.57
105,PFG,2017-10-23,68.27,68.27
106,PFG,2017-10-20,67.75,67.75
107,PFG,2017-10-19,68.17,68.17
108,PFG,2017-10-18,67.9,67.9
109,PFG,2017-10-17,67.57,67.57
110,PFG,2017-10-16,67.32,67.32
111,PFG,2017-10-13,67.21,67.21
112,PFG,2017-10-12,67.33,67.33
113,PFG,2017-10-11,67.3,67.3
114,PFG,2017-10-10,67.5,67.5
115,PFG,2017-10-09,66.59,66.59
116,PFG,2017-10-06,66.65,66.65
117,PFG,2017-10-05,66.57,66.57
118,PFG,2017-10-04,65.82,65.82
119,PFG,2017-10-03,65.34,65.34
120,PFG,2017-10-02,64.92,64.92
121,PFG,2017-09-29,64.34,64.34
122,PFG,2017-09-28,64.0,64.0
123,PFG,2017-09-27,64.52,64.52
124,PFG,2017-09-26,63.36,63.36
125,PFG,2017-09-25,63.38,63.38
126,PFG,2017-09-22,63.12,63.12
127,PFG,2017-09-21,62.93,62.93
128,PFG,2017-09-20,63.12,63.12
129,PFG,2017-09-19,62.9,62.9
130,PFG,2017-09-18,62.42,62.42
131,PFG,2017-09-15,62.51,62.51
132,PFG,2017-09-14,62.01,62.01
133,PFG,2017-09-13,62.25,62.25
134,PFG,2017-09-12,62.47,62.47
135,PFG,2017-09-11,61.88,61.88
136,PFG,2017-09-08,60.67,60.67
137,PFG,2017-09-07,59.92,59.92
138,PFG,2017-09-06,61.29,61.29
139,PFG,2017-09-05,61.82,61.82
140,PFG,2017-09-01,63.31,63.31
141,PFG,2017-08-31,62.52,62.52
142,PFG,2017-08-30,62.56,62.56
143,PFG,2017-08-29,62.66,62.192759003649
144,PFG,2017-08-28,63.32,62.84783753768
145,PFG,2017-08-25,63.33,62.857762970014
146,PFG,2017-08-24,63.07,62.599701729335
147,PFG,2017-08-23,62.97,62.500447405997
148,PFG,2017-08-22,62.87,62.401193082659
149,PFG,2017-08-21,62.73,62.262237029986
150,PFG,2017-08-18,62.93,62.460745676662
151,PFG,2017-08-17,62.93,62.460745676662
152,PFG,2017-08-16,65.16,64.674117087101
153,PFG,2017-08-15,65.0,64.51531016976
154,PFG,2017-08-14,65.01,64.525235602094
155,PFG,2017-08-11,64.32,63.840380771061
156,PFG,2017-08-10,64.43,63.949560526733
157,PFG,2017-08-09,65.99,65.497927970808
158,PFG,2017-08-08,66.23,65.736138346819
159,PFG,2017-08-07,66.51,66.014050452166
160,PFG,2017-08-04,67.04,66.540098365858
161,PFG,2017-08-03,66.55,66.053752181501
162,PFG,2017-08-02,66.66,66.162931937173
