None,ticker,date,close,adj_close
0,PH,2018-03-27,170.36,170.36
1,PH,2018-03-26,174.62,174.62
2,PH,2018-03-23,169.24,169.24
3,PH,2018-03-22,175.87,175.87
4,PH,2018-03-21,181.75,181.75
5,PH,2018-03-20,180.39,180.39
6,PH,2018-03-19,181.9,181.9
7,PH,2018-03-16,182.71,182.71
8,PH,2018-03-15,180.08,180.08
9,PH,2018-03-14,179.46,179.46
10,PH,2018-03-13,181.86,181.86
11,PH,2018-03-12,182.36,182.36
12,PH,2018-03-09,186.58,186.58
13,PH,2018-03-08,181.16,181.16
14,PH,2018-03-07,176.39,176.39
15,PH,2018-03-06,177.84,177.84
16,PH,2018-03-05,177.12,177.12
17,PH,2018-03-02,175.55,175.55
18,PH,2018-03-01,177.3,177.3
19,PH,2018-02-28,178.47,178.47
20,PH,2018-02-27,181.89,181.89
21,PH,2018-02-26,185.55,185.55
22,PH,2018-02-23,183.57,183.57
23,PH,2018-02-22,183.92,183.92
24,PH,2018-02-21,181.3,181.3
25,PH,2018-02-20,181.61,181.61
26,PH,2018-02-16,183.22,183.22
27,PH,2018-02-15,184.63,184.63
28,PH,2018-02-14,183.89,183.89
29,PH,2018-02-13,179.83,179.83
30,PH,2018-02-12,180.98,180.98
31,PH,2018-02-09,176.89,176.89
32,PH,2018-02-08,174.51,174.51
33,PH,2018-02-07,183.31,183.31
34,PH,2018-02-06,186.92,186.92
35,PH,2018-02-05,182.0,182.0
36,PH,2018-02-02,190.64,190.64
37,PH,2018-02-01,193.47,193.47
38,PH,2018-01-31,201.42,201.42
39,PH,2018-01-30,204.65,204.65
40,PH,2018-01-29,206.47,206.47
41,PH,2018-01-26,209.66,209.66
42,PH,2018-01-25,207.51,207.51
43,PH,2018-01-24,208.83,208.83
44,PH,2018-01-23,209.33,209.33
45,PH,2018-01-22,210.23,210.23
46,PH,2018-01-19,210.94,210.94
47,PH,2018-01-18,210.54,210.54
48,PH,2018-01-17,210.8,210.8
49,PH,2018-01-16,209.91,209.91
