None,ticker,date,close,adj_close
0,PHM,2018-03-27,29.23,29.23
1,PHM,2018-03-26,29.17,29.17
2,PHM,2018-03-23,28.65,28.65
3,PHM,2018-03-22,29.0,29.0
4,PHM,2018-03-21,29.39,29.39
5,PHM,2018-03-20,28.93,28.93
6,PHM,2018-03-19,29.1,29.1
7,PHM,2018-03-16,29.38,29.38
8,PHM,2018-03-15,28.97,28.97
9,PHM,2018-03-14,29.55,29.55
10,PHM,2018-03-13,30.44,30.44
11,PHM,2018-03-12,30.18,30.18
12,PHM,2018-03-09,30.04,30.04
13,PHM,2018-03-08,29.52,29.52
14,PHM,2018-03-07,29.62,29.62
15,PHM,2018-03-06,29.9,29.9
16,PHM,2018-03-05,29.31,29.31
17,PHM,2018-03-02,28.95,28.95
18,PHM,2018-03-01,28.72,28.72
19,PHM,2018-02-28,28.07,28.07
20,PHM,2018-02-27,28.5,28.5
21,PHM,2018-02-26,29.34,29.34
22,PHM,2018-02-23,29.27,29.27
23,PHM,2018-02-22,29.19,29.19
24,PHM,2018-02-21,29.34,29.34
25,PHM,2018-02-20,29.47,29.47
26,PHM,2018-02-16,29.74,29.74
27,PHM,2018-02-15,29.5,29.5
28,PHM,2018-02-14,29.46,29.46
29,PHM,2018-02-13,29.0,29.0
30,PHM,2018-02-12,29.18,29.18
31,PHM,2018-02-09,28.71,28.71
32,PHM,2018-02-08,28.67,28.67
33,PHM,2018-02-07,29.91,29.91
34,PHM,2018-02-06,30.16,30.16
35,PHM,2018-02-05,29.35,29.35
36,PHM,2018-02-02,30.7,30.7
37,PHM,2018-02-01,31.46,31.46
38,PHM,2018-01-31,31.83,31.83
39,PHM,2018-01-30,32.72,32.72
40,PHM,2018-01-29,33.43,33.43
41,PHM,2018-01-26,34.52,34.52
42,PHM,2018-01-25,34.26,34.26
43,PHM,2018-01-24,34.81,34.81
44,PHM,2018-01-23,34.93,34.93
45,PHM,2018-01-22,35.15,35.15
46,PHM,2018-01-19,34.6,34.6
47,PHM,2018-01-18,34.15,34.15
48,PHM,2018-01-17,34.4,34.4
49,PHM,2018-01-16,33.76,33.76
50,PHM,2018-01-12,34.48,34.48
51,PHM,2018-01-11,34.52,34.52
52,PHM,2018-01-10,33.67,33.67
53,PHM,2018-01-09,34.65,34.65
54,PHM,2018-01-08,34.44,34.44
55,PHM,2018-01-05,34.54,34.54
56,PHM,2018-01-04,33.83,33.83
57,PHM,2018-01-03,34.27,34.27
58,PHM,2018-01-02,33.37,33.37
59,PHM,2017-12-29,33.25,33.25
60,PHM,2017-12-28,33.72,33.72
61,PHM,2017-12-27,33.52,33.52
62,PHM,2017-12-26,33.56,33.56
63,PHM,2017-12-22,33.37,33.37
64,PHM,2017-12-21,33.77,33.77
65,PHM,2017-12-20,33.54,33.54
66,PHM,2017-12-19,33.37,33.37
67,PHM,2017-12-18,33.84,33.84
68,PHM,2017-12-15,33.43,33.43
69,PHM,2017-12-14,33.05,33.05
70,PHM,2017-12-13,33.32,33.32
71,PHM,2017-12-12,33.69,33.69
72,PHM,2017-12-11,33.81,33.81
73,PHM,2017-12-08,34.1,34.1
74,PHM,2017-12-07,33.59,33.59
75,PHM,2017-12-06,33.1,33.1
76,PHM,2017-12-05,33.49,33.49
77,PHM,2017-12-04,34.44,34.44
78,PHM,2017-12-01,33.94,33.94
79,PHM,2017-11-30,34.13,34.13
80,PHM,2017-11-29,33.81,33.81
81,PHM,2017-11-28,33.24,33.24
82,PHM,2017-11-27,32.79,32.79
83,PHM,2017-11-24,33.15,33.15
84,PHM,2017-11-22,32.84,32.84
85,PHM,2017-11-21,32.73,32.73
86,PHM,2017-11-20,32.45,32.45
87,PHM,2017-11-17,32.25,32.25
88,PHM,2017-11-16,31.9,31.9
89,PHM,2017-11-15,31.73,31.73
90,PHM,2017-11-14,31.77,31.77
91,PHM,2017-11-13,31.57,31.57
92,PHM,2017-11-10,31.15,31.15
93,PHM,2017-11-09,31.07,31.07
94,PHM,2017-11-07,30.44,30.44
95,PHM,2017-11-06,30.5,30.5
96,PHM,2017-11-03,30.31,30.31
97,PHM,2017-11-02,30.09,30.09
98,PHM,2017-11-01,30.41,30.41
99,PHM,2017-10-31,30.23,30.23
100,PHM,2017-10-30,29.79,29.79
101,PHM,2017-10-27,30.07,30.07
102,PHM,2017-10-26,29.76,29.76
103,PHM,2017-10-25,29.23,29.23
104,PHM,2017-10-24,28.68,28.68
105,PHM,2017-10-23,27.9,27.9
106,PHM,2017-10-20,28.0,28.0
107,PHM,2017-10-19,27.78,27.78
108,PHM,2017-10-18,27.33,27.33
109,PHM,2017-10-17,27.32,27.32
110,PHM,2017-10-16,27.11,27.11
111,PHM,2017-10-13,27.07,27.07
112,PHM,2017-10-12,27.09,27.09
113,PHM,2017-10-11,26.97,26.97
114,PHM,2017-10-10,26.85,26.85
115,PHM,2017-10-09,27.15,27.15
116,PHM,2017-10-06,27.23,27.23
117,PHM,2017-10-05,27.2,27.2
118,PHM,2017-10-04,27.63,27.63
119,PHM,2017-10-03,27.51,27.51
120,PHM,2017-10-02,27.37,27.37
121,PHM,2017-09-29,27.33,27.33
122,PHM,2017-09-28,26.97,26.97
123,PHM,2017-09-27,26.53,26.53
124,PHM,2017-09-26,26.33,26.33
125,PHM,2017-09-25,26.17,26.17
126,PHM,2017-09-22,25.88,25.88
127,PHM,2017-09-21,25.65,25.65
128,PHM,2017-09-20,25.66,25.66
129,PHM,2017-09-19,26.23,26.23
130,PHM,2017-09-18,26.33,26.33
131,PHM,2017-09-15,26.29,26.200442846329
132,PHM,2017-09-14,26.37,26.280170325511
133,PHM,2017-09-13,26.19,26.10078349735
134,PHM,2017-09-12,26.47,26.379829674489
135,PHM,2017-09-11,26.17,26.080851627555
136,PHM,2017-09-08,25.76,25.672248296745
137,PHM,2017-09-07,25.42,25.33340651022
138,PHM,2017-09-06,25.63,25.542691143073
139,PHM,2017-09-05,25.65,25.562623012869
140,PHM,2017-09-01,25.87,25.781873580621
141,PHM,2017-08-31,25.82,25.732043906132
142,PHM,2017-08-30,25.51,25.4230999243
143,PHM,2017-08-29,25.31,25.223781226344
144,PHM,2017-08-28,25.3,25.213815291446
145,PHM,2017-08-25,25.31,25.223781226344
146,PHM,2017-08-24,24.91,24.825143830431
147,PHM,2017-08-23,24.94,24.855041635125
148,PHM,2017-08-22,25.27,25.183917486752
149,PHM,2017-08-21,25.4,25.313474640424
150,PHM,2017-08-18,25.28,25.19388342165
151,PHM,2017-08-17,25.44,25.353338380015
152,PHM,2017-08-16,25.92,25.83170325511
153,PHM,2017-08-15,25.53,25.443031794095
154,PHM,2017-08-14,25.39,25.303508705526
155,PHM,2017-08-11,24.84,24.755382286147
156,PHM,2017-08-10,24.78,24.69558667676
157,PHM,2017-08-09,25.31,25.223781226344
158,PHM,2017-08-08,25.31,25.223781226344
159,PHM,2017-08-07,25.46,25.373270249811
160,PHM,2017-08-04,25.6,25.51279333838
161,PHM,2017-08-03,25.29,25.203849356548
162,PHM,2017-08-02,25.2,25.114155942468
163,PHM,2017-08-01,24.89,24.805211960636
164,PHM,2017-07-31,24.42,24.336813020439
165,PHM,2017-07-28,24.35,24.267051476154
166,PHM,2017-07-27,24.36,24.277017411052
167,PHM,2017-07-26,24.29,24.207255866768
168,PHM,2017-07-25,24.54,24.456404239213
169,PHM,2017-07-24,24.42,24.336813020439
170,PHM,2017-07-21,24.31,24.227187736563
171,PHM,2017-07-20,24.29,24.207255866768
172,PHM,2017-07-19,24.46,24.37667676003
173,PHM,2017-07-18,24.16,24.077698713096
174,PHM,2017-07-17,24.36,24.277017411052
175,PHM,2017-07-14,24.36,24.277017411052
176,PHM,2017-07-13,24.37,24.28698334595
177,PHM,2017-07-12,24.39,24.306915215746
178,PHM,2017-07-11,24.67,24.585961392884
179,PHM,2017-07-10,25.07,24.984598788796
180,PHM,2017-07-07,24.94,24.855041635125
181,PHM,2017-07-06,24.41,24.326847085541
182,PHM,2017-07-05,24.64,24.556063588191
183,PHM,2017-07-03,24.49,24.406574564724
184,PHM,2017-06-30,24.53,24.446438304315
185,PHM,2017-06-29,24.06,23.978039364118
186,PHM,2017-06-28,24.49,24.406574564724
187,PHM,2017-06-27,24.07,23.988005299016
188,PHM,2017-06-26,24.19,24.10759651779
189,PHM,2017-06-23,24.15,24.067732778198
190,PHM,2017-06-22,24.04,23.958107494322
191,PHM,2017-06-21,24.28,24.19728993187
192,PHM,2017-06-20,24.23,24.147460257381
193,PHM,2017-06-19,24.16,24.077698713096
194,PHM,2017-06-16,24.01,23.928209689629
195,PHM,2017-06-15,24.08,23.997971233914
196,PHM,2017-06-14,24.28,24.19728993187
197,PHM,2017-06-13,24.12,24.037834973505
198,PHM,2017-06-12,23.47,23.390049205148
199,PHM,2017-06-09,23.44,23.360151400454
200,PHM,2017-06-08,23.42,23.340219530659
201,PHM,2017-06-07,23.59,23.509640423921
202,PHM,2017-06-06,23.44,23.360151400454
203,PHM,2017-06-05,23.4,23.231089790507
204,PHM,2017-06-02,23.71,23.53885209115
205,PHM,2017-06-01,23.08,22.913399673714
206,PHM,2017-05-31,22.67,22.506359211572
207,PHM,2017-05-30,22.67,22.506359211572
208,PHM,2017-05-26,22.84,22.675132086119
209,PHM,2017-05-25,22.89,22.724771166868
210,PHM,2017-05-24,23.08,22.913399673714
211,PHM,2017-05-23,22.92,22.754554615317
212,PHM,2017-05-22,23.29,23.121883812859
213,PHM,2017-05-19,23.13,22.963038754463
214,PHM,2017-05-18,22.75,22.585781740771
215,PHM,2017-05-17,22.54,22.377297601625
216,PHM,2017-05-16,23.07,22.903471857564
217,PHM,2017-05-15,22.94,22.774410247617
218,PHM,2017-05-12,22.75,22.585781740771
219,PHM,2017-05-11,23.02,22.853832776815
220,PHM,2017-05-10,22.89,22.724771166868
221,PHM,2017-05-09,22.71,22.546070476171
222,PHM,2017-05-08,22.25,22.089390933281
223,PHM,2017-05-05,22.34,22.178741278629
224,PHM,2017-05-04,22.15,21.990112771783
225,PHM,2017-05-03,22.18,22.019896220233
226,PHM,2017-05-02,22.32,22.15888564633
227,PHM,2017-05-01,22.48,22.317730704726
228,PHM,2017-04-28,22.67,22.506359211572
229,PHM,2017-04-27,22.87,22.704915534568
230,PHM,2017-04-26,22.7,22.536142660022
231,PHM,2017-04-25,22.2,22.039751852532
232,PHM,2017-04-24,23.08,22.913399673714
233,PHM,2017-04-21,23.32,23.151667261309
234,PHM,2017-04-20,23.34,23.171522893608
235,PHM,2017-04-19,24.19,24.01538726634
236,PHM,2017-04-18,24.2,24.02531508249
237,PHM,2017-04-17,24.11,23.935964737142
238,PHM,2017-04-13,23.71,23.53885209115
239,PHM,2017-04-12,23.77,23.598418988049
240,PHM,2017-04-11,23.76,23.588491171899
241,PHM,2017-04-10,23.46,23.290656687406
242,PHM,2017-04-07,23.28,23.111955996709
243,PHM,2017-04-06,23.36,23.191378525908
244,PHM,2017-04-05,23.29,23.121883812859
245,PHM,2017-04-04,23.37,23.201306342058
246,PHM,2017-04-03,23.48,23.310512319705
247,PHM,2017-03-31,23.55,23.380007032754
248,PHM,2017-03-30,23.83,23.657985884948
249,PHM,2017-03-29,23.75,23.57856335575
250,PHM,2017-03-28,23.73,23.55870772345
251,PHM,2017-03-27,23.47,23.300584503555
252,PHM,2017-03-24,23.49,23.320440135855
253,PHM,2017-03-23,23.42,23.250945422807
254,PHM,2017-03-22,23.37,23.201306342058
255,PHM,2017-03-21,23.4,23.231089790507
256,PHM,2017-03-20,23.74,23.5686355396
257,PHM,2017-03-17,23.72,23.5487799073
258,PHM,2017-03-16,23.81,23.638130252648
259,PHM,2017-03-15,23.43,23.260873238956
260,PHM,2017-03-14,23.18,23.012677835212
261,PHM,2017-03-13,23.39,23.221161974357
262,PHM,2017-03-10,23.53,23.360151400454
263,PHM,2017-03-09,23.12,22.953110938313
264,PHM,2017-03-08,23.16,22.992822202912
265,PHM,2017-03-07,22.79,22.537910451801
266,PHM,2017-03-06,22.46,22.211560717308
267,PHM,2017-03-03,22.48,22.231339489095
268,PHM,2017-03-02,22.42,22.172003173733
269,PHM,2017-03-01,22.49,22.241228874989
270,PHM,2017-02-28,22.05,21.806095895665
271,PHM,2017-02-27,22.1,21.855542825134
272,PHM,2017-02-24,21.73,21.489635547066
273,PHM,2017-02-23,21.6,21.361073530447
274,PHM,2017-02-22,21.71,21.469856775278
275,PHM,2017-02-21,21.61,21.370962916341
276,PHM,2017-02-17,21.4,21.163285812573
277,PHM,2017-02-16,21.34,21.10394949721
278,PHM,2017-02-15,21.63,21.390741688128
279,PHM,2017-02-14,21.49,21.252290285616
280,PHM,2017-02-13,21.52,21.281958443297
281,PHM,2017-02-10,21.62,21.380852302235
282,PHM,2017-02-09,21.4,21.163285812573
283,PHM,2017-02-08,21.27,21.034723795954
284,PHM,2017-02-07,21.25,21.014945024167
285,PHM,2017-02-06,21.29,21.054502567742
286,PHM,2017-02-03,21.39,21.153396426679
287,PHM,2017-02-02,21.26,21.024834410061
288,PHM,2017-02-01,21.21,20.975387480592
289,PHM,2017-01-31,21.51,21.272069057404
290,PHM,2017-01-30,21.39,21.153396426679
291,PHM,2017-01-27,21.26,21.024834410061
292,PHM,2017-01-26,21.18,20.945719322911
293,PHM,2017-01-25,20.44,20.213904766775
294,PHM,2017-01-24,20.34,20.115010907838
295,PHM,2017-01-23,19.21,18.997510301847
296,PHM,2017-01-20,19.12,18.908505828803
297,PHM,2017-01-19,18.94,18.730496882716
298,PHM,2017-01-18,19.21,18.997510301847
299,PHM,2017-01-17,19.16,18.948063372378
300,PHM,2017-01-13,19.19,18.977731530059
301,PHM,2017-01-12,19.01,18.799722583972
302,PHM,2017-01-11,18.84,18.631603023779
303,PHM,2017-01-10,18.69,18.483262235373
304,PHM,2017-01-09,18.53,18.325032061074
305,PHM,2017-01-06,18.46,18.255806359817
306,PHM,2017-01-05,18.93,18.720607496823
307,PHM,2017-01-04,18.99,18.779943812185
308,PHM,2017-01-03,18.55,18.344810832861
