None,ticker,date,close,adj_close
0,PNR,2018-03-27,68.28,68.28
1,PNR,2018-03-26,69.17,69.17
2,PNR,2018-03-23,67.31,67.31
3,PNR,2018-03-22,69.61,69.61
4,PNR,2018-03-21,71.75,71.75
5,PNR,2018-03-20,71.79,71.79
6,PNR,2018-03-19,71.69,71.69
7,PNR,2018-03-16,72.74,72.74
8,PNR,2018-03-15,72.13,72.13
9,PNR,2018-03-14,70.64,70.64
10,PNR,2018-03-13,69.97,69.97
11,PNR,2018-03-12,71.19,71.19
12,PNR,2018-03-09,71.82,71.82
13,PNR,2018-03-08,70.27,70.27
14,PNR,2018-03-07,69.32,69.32
15,PNR,2018-03-06,68.52,68.52
16,PNR,2018-03-05,67.66,67.66
17,PNR,2018-03-02,67.23,67.23
18,PNR,2018-03-01,66.96,66.96
19,PNR,2018-02-28,68.69,68.69
20,PNR,2018-02-27,70.54,70.54
21,PNR,2018-02-26,71.35,71.35
22,PNR,2018-02-23,71.39,71.39
23,PNR,2018-02-22,71.09,71.09
24,PNR,2018-02-21,70.64,70.64
25,PNR,2018-02-20,70.59,70.59
26,PNR,2018-02-16,70.83,70.83
27,PNR,2018-02-15,70.65,70.65
28,PNR,2018-02-14,70.81,70.81
29,PNR,2018-02-13,69.39,69.39
30,PNR,2018-02-12,69.03,69.03
31,PNR,2018-02-09,67.09,67.09
32,PNR,2018-02-08,66.67,66.67
33,PNR,2018-02-07,68.65,68.65
34,PNR,2018-02-06,68.48,68.48
35,PNR,2018-02-05,68.28,68.28
36,PNR,2018-02-02,71.24,71.24
37,PNR,2018-02-01,72.16,72.16
38,PNR,2018-01-31,71.5,71.5
39,PNR,2018-01-30,71.65,71.65
40,PNR,2018-01-29,73.81,73.81
41,PNR,2018-01-26,74.02,74.02
42,PNR,2018-01-25,73.35,73.35
43,PNR,2018-01-24,73.45,73.45
44,PNR,2018-01-23,73.17,73.17
45,PNR,2018-01-22,73.94,73.94
46,PNR,2018-01-19,73.98,73.98
47,PNR,2018-01-18,73.56,73.56
48,PNR,2018-01-17,73.58,73.58
49,PNR,2018-01-16,73.56,73.56
50,PNR,2018-01-12,73.76,73.76
51,PNR,2018-01-11,74.13,74.13
52,PNR,2018-01-10,73.41,73.41
53,PNR,2018-01-09,72.88,72.88
54,PNR,2018-01-08,72.59,72.59
55,PNR,2018-01-05,72.66,72.66
56,PNR,2018-01-04,72.55,72.55
57,PNR,2018-01-03,70.8,70.8
58,PNR,2018-01-02,70.23,70.23
59,PNR,2017-12-29,70.62,70.62
60,PNR,2017-12-28,70.14,70.14
61,PNR,2017-12-27,69.4,69.4
62,PNR,2017-12-26,69.38,69.38
63,PNR,2017-12-22,69.73,69.73
64,PNR,2017-12-21,70.17,70.17
65,PNR,2017-12-20,69.78,69.78
66,PNR,2017-12-19,69.19,69.19
67,PNR,2017-12-18,68.89,68.89
68,PNR,2017-12-15,68.17,68.17
69,PNR,2017-12-14,68.84,68.84
70,PNR,2017-12-13,69.64,69.64
71,PNR,2017-12-12,69.68,69.68
72,PNR,2017-12-11,69.77,69.77
73,PNR,2017-12-08,69.95,69.95
74,PNR,2017-12-07,69.42,69.42
75,PNR,2017-12-06,69.23,69.23
76,PNR,2017-12-05,68.55,68.55
