None,ticker,date,close,adj_close
0,PPG,2018-03-27,111.91,111.91
1,PPG,2018-03-26,111.93,111.93
2,PPG,2018-03-23,109.48,109.48
3,PPG,2018-03-22,111.31,111.31
4,PPG,2018-03-21,113.95,113.95
5,PPG,2018-03-20,113.85,113.85
6,PPG,2018-03-19,113.22,113.22
7,PPG,2018-03-16,114.93,114.93
8,PPG,2018-03-15,114.28,114.28
9,PPG,2018-03-14,115.04,115.04
10,PPG,2018-03-13,116.07,116.07
11,PPG,2018-03-12,116.46,116.46
12,PPG,2018-03-09,117.65,117.65
13,PPG,2018-03-08,115.4,115.4
14,PPG,2018-03-07,115.02,115.02
15,PPG,2018-03-06,115.07,115.07
16,PPG,2018-03-05,112.76,112.76
17,PPG,2018-03-02,110.25,110.25
18,PPG,2018-03-01,111.11,111.11
19,PPG,2018-02-28,112.44,112.44
20,PPG,2018-02-27,115.31,115.31
21,PPG,2018-02-26,117.53,117.53
22,PPG,2018-02-23,117.46,117.46
23,PPG,2018-02-22,115.86,115.86
24,PPG,2018-02-21,115.62,115.62
25,PPG,2018-02-20,115.4,115.4
26,PPG,2018-02-16,116.16,116.16
27,PPG,2018-02-15,116.19,116.19
28,PPG,2018-02-14,116.32,116.32
29,PPG,2018-02-13,114.56,114.56
30,PPG,2018-02-12,113.98,113.98
31,PPG,2018-02-09,112.37,112.37
32,PPG,2018-02-08,110.3,110.3
33,PPG,2018-02-07,114.13,114.13
34,PPG,2018-02-06,113.96,113.96
35,PPG,2018-02-05,111.98,111.98
36,PPG,2018-02-02,115.61,115.61
37,PPG,2018-02-01,117.62,117.62
38,PPG,2018-01-31,118.73,118.73
39,PPG,2018-01-30,118.35,118.35
40,PPG,2018-01-29,119.57,119.57
41,PPG,2018-01-26,121.47,121.47
42,PPG,2018-01-25,120.21,120.21
43,PPG,2018-01-24,118.94,118.94
44,PPG,2018-01-23,117.25,117.25
45,PPG,2018-01-22,116.78,116.78
46,PPG,2018-01-19,118.44,118.44
47,PPG,2018-01-18,118.41,118.41
48,PPG,2018-01-17,114.5,114.5
49,PPG,2018-01-16,116.64,116.64
50,PPG,2018-01-12,118.17,118.17
51,PPG,2018-01-11,117.57,117.57
52,PPG,2018-01-10,116.61,116.61
53,PPG,2018-01-09,118.22,118.22
54,PPG,2018-01-08,118.72,118.72
55,PPG,2018-01-05,118.92,118.92
56,PPG,2018-01-04,117.47,117.47
57,PPG,2018-01-03,118.19,118.19
58,PPG,2018-01-02,118.0,118.0
59,PPG,2017-12-29,116.82,116.82
60,PPG,2017-12-28,117.17,117.17
61,PPG,2017-12-27,116.49,116.49
62,PPG,2017-12-26,116.28,116.28
63,PPG,2017-12-22,116.19,116.19
64,PPG,2017-12-21,116.18,116.18
65,PPG,2017-12-20,116.16,116.16
66,PPG,2017-12-19,116.31,116.31
67,PPG,2017-12-18,116.13,116.13
68,PPG,2017-12-15,115.09,115.09
69,PPG,2017-12-14,113.82,113.82
70,PPG,2017-12-13,116.25,116.25
71,PPG,2017-12-12,115.89,115.89
72,PPG,2017-12-11,115.68,115.68
