None,ticker,date,close,adj_close
0,PPL,2018-03-27,27.9,27.9
1,PPL,2018-03-26,27.45,27.45
2,PPL,2018-03-23,27.13,27.13
3,PPL,2018-03-22,27.32,27.32
4,PPL,2018-03-21,27.22,27.22
5,PPL,2018-03-20,27.26,27.26
6,PPL,2018-03-19,27.41,27.41
7,PPL,2018-03-16,28.12,28.12
8,PPL,2018-03-15,27.84,27.84
9,PPL,2018-03-14,27.93,27.93
10,PPL,2018-03-13,27.76,27.76
11,PPL,2018-03-12,27.89,27.89
12,PPL,2018-03-09,27.54,27.54
13,PPL,2018-03-08,27.77,27.77
14,PPL,2018-03-07,27.62,27.62
15,PPL,2018-03-06,27.68,27.68
16,PPL,2018-03-05,28.32,28.32
17,PPL,2018-03-02,27.73,27.73
18,PPL,2018-03-01,28.24,28.24
19,PPL,2018-02-28,28.65,28.65
20,PPL,2018-02-27,29.17,29.17
21,PPL,2018-02-26,29.82,29.82
22,PPL,2018-02-23,30.34,30.34
23,PPL,2018-02-22,29.52,29.52
24,PPL,2018-02-21,30.11,30.11
25,PPL,2018-02-20,30.83,30.83
26,PPL,2018-02-16,31.45,31.45
27,PPL,2018-02-15,31.1,31.1
28,PPL,2018-02-14,30.27,30.27
29,PPL,2018-02-13,30.7,30.7
30,PPL,2018-02-12,30.46,30.46
31,PPL,2018-02-09,30.06,30.06
32,PPL,2018-02-08,29.52,29.52
33,PPL,2018-02-07,30.27,30.27
34,PPL,2018-02-06,30.07,30.07
35,PPL,2018-02-05,30.3,30.3
36,PPL,2018-02-02,31.19,31.19
37,PPL,2018-02-01,31.23,31.23
38,PPL,2018-01-31,31.87,31.87
39,PPL,2018-01-30,31.42,31.42
40,PPL,2018-01-29,31.53,31.53
41,PPL,2018-01-26,32.01,32.01
42,PPL,2018-01-25,32.27,32.27
43,PPL,2018-01-24,32.0,32.0
44,PPL,2018-01-23,31.77,31.77
45,PPL,2018-01-22,31.49,31.49
46,PPL,2018-01-19,31.59,31.59
47,PPL,2018-01-18,31.61,31.61
48,PPL,2018-01-17,31.57,31.57
49,PPL,2018-01-16,31.26,31.26
50,PPL,2018-01-12,31.08,31.08
51,PPL,2018-01-11,30.88,30.88
52,PPL,2018-01-10,30.9,30.9
53,PPL,2018-01-09,31.33,31.33
54,PPL,2018-01-08,31.4,31.4
55,PPL,2018-01-05,30.95,30.95
56,PPL,2018-01-04,30.75,30.75
57,PPL,2018-01-03,30.67,30.67
58,PPL,2018-01-02,30.6,30.6
59,PPL,2017-12-29,30.95,30.95
60,PPL,2017-12-28,30.91,30.91
61,PPL,2017-12-27,30.83,30.83
62,PPL,2017-12-26,30.76,30.76
63,PPL,2017-12-22,31.13,31.13
64,PPL,2017-12-21,31.19,31.19
65,PPL,2017-12-20,31.59,31.59
66,PPL,2017-12-19,32.42,32.42
67,PPL,2017-12-18,33.97,33.97
68,PPL,2017-12-15,33.97,33.97
69,PPL,2017-12-14,33.8,33.8
70,PPL,2017-12-13,33.87,33.87
71,PPL,2017-12-12,34.04,34.04
72,PPL,2017-12-11,34.62,34.62
73,PPL,2017-12-08,34.5,34.5
74,PPL,2017-12-07,35.02,35.02
75,PPL,2017-12-06,35.41,35.41
76,PPL,2017-12-05,35.29,35.29
77,PPL,2017-12-04,35.96,35.96
78,PPL,2017-12-01,36.27,36.27
79,PPL,2017-11-30,36.67,36.67
80,PPL,2017-11-29,36.61,36.61
81,PPL,2017-11-28,36.53,36.53
82,PPL,2017-11-27,36.58,36.58
83,PPL,2017-11-24,36.31,36.31
84,PPL,2017-11-22,36.06,36.06
85,PPL,2017-11-21,36.02,36.02
86,PPL,2017-11-20,35.91,35.91
87,PPL,2017-11-17,36.26,36.26
