None,ticker,date,close,adj_close
0,PRGO,2018-03-27,81.93,81.93
1,PRGO,2018-03-26,81.9,81.9
2,PRGO,2018-03-23,80.37,80.37
3,PRGO,2018-03-22,81.55,81.55
4,PRGO,2018-03-21,82.34,82.34
5,PRGO,2018-03-20,80.76,80.76
6,PRGO,2018-03-19,82.2,82.2
7,PRGO,2018-03-16,84.23,84.23
8,PRGO,2018-03-15,84.45,84.45
9,PRGO,2018-03-14,85.78,85.78
10,PRGO,2018-03-13,86.51,86.51
11,PRGO,2018-03-12,86.14,86.14
12,PRGO,2018-03-09,84.95,84.95
13,PRGO,2018-03-08,85.06,85.06
14,PRGO,2018-03-07,82.86,82.86
15,PRGO,2018-03-06,82.42,82.42
16,PRGO,2018-03-05,82.81,82.81
17,PRGO,2018-03-02,82.99,82.99
18,PRGO,2018-03-01,79.57,79.57
19,PRGO,2018-02-28,81.46,81.46
20,PRGO,2018-02-27,82.0,82.0
21,PRGO,2018-02-26,88.3,88.3
22,PRGO,2018-02-23,88.25,88.25
23,PRGO,2018-02-22,87.07,87.07
24,PRGO,2018-02-21,87.1,87.1
25,PRGO,2018-02-20,87.04,87.04
26,PRGO,2018-02-16,89.55,89.55
27,PRGO,2018-02-15,89.65,89.65
28,PRGO,2018-02-14,86.66,86.66
29,PRGO,2018-02-13,85.81,85.81
30,PRGO,2018-02-12,85.3,85.3
31,PRGO,2018-02-09,85.31,85.31
32,PRGO,2018-02-08,84.44,84.44
33,PRGO,2018-02-07,87.52,87.52
34,PRGO,2018-02-06,88.04,88.04
35,PRGO,2018-02-05,86.89,86.89
36,PRGO,2018-02-02,90.4,90.4
37,PRGO,2018-02-01,90.96,90.96
38,PRGO,2018-01-31,90.62,90.62
39,PRGO,2018-01-30,90.16,90.16
40,PRGO,2018-01-29,92.36,92.36
41,PRGO,2018-01-26,95.15,95.15
42,PRGO,2018-01-25,94.59,94.59
43,PRGO,2018-01-24,93.61,93.61
44,PRGO,2018-01-23,93.99,93.99
45,PRGO,2018-01-22,93.44,93.44
46,PRGO,2018-01-19,91.88,91.88
47,PRGO,2018-01-18,91.69,91.69
48,PRGO,2018-01-17,91.6,91.6
49,PRGO,2018-01-16,90.86,90.86
50,PRGO,2018-01-12,91.8,91.8
51,PRGO,2018-01-11,91.99,91.99
52,PRGO,2018-01-10,90.08,90.08
53,PRGO,2018-01-09,90.84,90.84
54,PRGO,2018-01-08,90.13,90.13
55,PRGO,2018-01-05,91.18,91.18
56,PRGO,2018-01-04,91.08,91.08
57,PRGO,2018-01-03,89.44,89.44
58,PRGO,2018-01-02,89.69,89.69
59,PRGO,2017-12-29,87.16,87.16
60,PRGO,2017-12-28,87.27,87.27
61,PRGO,2017-12-27,88.51,88.51
62,PRGO,2017-12-26,87.93,87.93
63,PRGO,2017-12-22,87.01,87.01
64,PRGO,2017-12-21,87.18,87.18
65,PRGO,2017-12-20,86.53,86.53
66,PRGO,2017-12-19,85.89,85.89
67,PRGO,2017-12-18,86.38,86.38
68,PRGO,2017-12-15,86.5,86.5
69,PRGO,2017-12-14,84.04,84.04
70,PRGO,2017-12-13,86.02,86.02
71,PRGO,2017-12-12,85.92,85.92
72,PRGO,2017-12-11,85.59,85.59
73,PRGO,2017-12-08,85.6,85.6
74,PRGO,2017-12-07,82.87,82.87
75,PRGO,2017-12-06,82.38,82.38
76,PRGO,2017-12-05,83.58,83.58
77,PRGO,2017-12-04,86.3,86.3
78,PRGO,2017-12-01,87.0,87.0
79,PRGO,2017-11-30,87.21,87.21
80,PRGO,2017-11-29,87.72,87.72
81,PRGO,2017-11-28,87.03,87.03
82,PRGO,2017-11-27,86.06,86.06
83,PRGO,2017-11-24,86.57,86.57
84,PRGO,2017-11-22,86.7,86.7
85,PRGO,2017-11-21,86.75,86.75
86,PRGO,2017-11-20,85.2,85.2
87,PRGO,2017-11-17,85.89,85.89
88,PRGO,2017-11-16,87.0,87.0
89,PRGO,2017-11-15,85.8,85.8
90,PRGO,2017-11-14,86.0,86.0
91,PRGO,2017-11-13,86.8,86.8
92,PRGO,2017-11-10,87.7,87.7
93,PRGO,2017-11-09,87.99,87.99
94,PRGO,2017-11-07,80.7,80.7
95,PRGO,2017-11-06,83.43,83.43
96,PRGO,2017-11-03,82.36,82.36
97,PRGO,2017-11-02,81.27,81.27
98,PRGO,2017-11-01,82.55,82.55
99,PRGO,2017-10-31,80.99,80.99
100,PRGO,2017-10-30,83.7,83.7
101,PRGO,2017-10-27,83.15,83.15
102,PRGO,2017-10-26,83.54,83.54
103,PRGO,2017-10-25,85.04,85.04
104,PRGO,2017-10-24,86.06,86.06
105,PRGO,2017-10-23,86.32,86.32
106,PRGO,2017-10-20,87.44,87.44
107,PRGO,2017-10-19,87.53,87.53
108,PRGO,2017-10-18,88.55,88.55
109,PRGO,2017-10-17,88.58,88.58
