None,ticker,date,close,adj_close
0,PRU,2018-03-27,102.56,102.56
1,PRU,2018-03-26,104.17,104.17
2,PRU,2018-03-23,100.64,100.64
3,PRU,2018-03-22,105.06,105.06
4,PRU,2018-03-21,108.88,108.88
5,PRU,2018-03-20,108.9,108.9
6,PRU,2018-03-19,107.72,107.72
7,PRU,2018-03-16,108.65,108.65
8,PRU,2018-03-15,108.49,108.49
9,PRU,2018-03-14,108.05,108.05
10,PRU,2018-03-13,109.6,109.6
11,PRU,2018-03-12,109.89,109.89
12,PRU,2018-03-09,110.3,110.3
13,PRU,2018-03-08,107.49,107.49
14,PRU,2018-03-07,107.31,107.31
15,PRU,2018-03-06,107.54,107.54
16,PRU,2018-03-05,106.22,106.22
17,PRU,2018-03-02,105.6,105.6
18,PRU,2018-03-01,103.93,103.93
19,PRU,2018-02-28,106.32,106.32
20,PRU,2018-02-27,108.69,108.69
21,PRU,2018-02-26,110.12,110.12
22,PRU,2018-02-23,108.98,108.98
23,PRU,2018-02-22,107.79,107.79
24,PRU,2018-02-21,108.63,108.63
25,PRU,2018-02-20,108.48,108.48
26,PRU,2018-02-16,109.43,109.43
27,PRU,2018-02-15,109.73,109.73
28,PRU,2018-02-14,111.27,111.27
29,PRU,2018-02-13,106.89,106.89
30,PRU,2018-02-12,107.86,107.86
31,PRU,2018-02-09,106.04,106.04
32,PRU,2018-02-08,103.38,103.38
33,PRU,2018-02-07,111.17,111.17
34,PRU,2018-02-06,110.99,110.99
35,PRU,2018-02-05,110.79,110.79
36,PRU,2018-02-02,117.33,117.33
37,PRU,2018-02-01,120.52,120.52
38,PRU,2018-01-31,118.82,118.82
39,PRU,2018-01-30,121.39,121.39
40,PRU,2018-01-29,125.37,125.37
41,PRU,2018-01-26,126.02,126.02
42,PRU,2018-01-25,124.4,124.4
43,PRU,2018-01-24,124.83,124.83
44,PRU,2018-01-23,124.2,124.2
45,PRU,2018-01-22,124.33,124.33
46,PRU,2018-01-19,124.13,124.13
47,PRU,2018-01-18,123.31,123.31
48,PRU,2018-01-17,123.44,123.44
49,PRU,2018-01-16,122.09,122.09
50,PRU,2018-01-12,124.12,124.12
51,PRU,2018-01-11,123.72,123.72
52,PRU,2018-01-10,121.51,121.51
53,PRU,2018-01-09,119.0,119.0
54,PRU,2018-01-08,117.61,117.61
55,PRU,2018-01-05,117.68,117.68
56,PRU,2018-01-04,116.51,116.51
57,PRU,2018-01-03,115.49,115.49
58,PRU,2018-01-02,115.45,115.45
59,PRU,2017-12-29,114.98,114.98
60,PRU,2017-12-28,115.2,115.2
61,PRU,2017-12-27,115.33,115.33
62,PRU,2017-12-26,115.65,115.65
63,PRU,2017-12-22,116.16,116.16
64,PRU,2017-12-21,116.74,116.74
65,PRU,2017-12-20,117.11,117.11
66,PRU,2017-12-19,116.86,116.86
67,PRU,2017-12-18,116.12,116.12
68,PRU,2017-12-15,115.73,115.73
69,PRU,2017-12-14,114.47,114.47
70,PRU,2017-12-13,113.95,113.95
71,PRU,2017-12-12,116.39,116.39
72,PRU,2017-12-11,116.26,116.26
73,PRU,2017-12-08,117.15,117.15
74,PRU,2017-12-07,116.33,116.33
75,PRU,2017-12-06,115.38,115.38
76,PRU,2017-12-05,115.51,115.51
77,PRU,2017-12-04,116.76,116.76
78,PRU,2017-12-01,115.4,115.4
79,PRU,2017-11-30,115.84,115.84
80,PRU,2017-11-29,115.87,115.87
81,PRU,2017-11-28,112.83,112.83
82,PRU,2017-11-27,109.51,109.51
83,PRU,2017-11-24,108.92,108.92
84,PRU,2017-11-22,109.7,109.7
85,PRU,2017-11-21,110.06,110.06
86,PRU,2017-11-20,110.02,110.02
87,PRU,2017-11-17,110.25,110.25
88,PRU,2017-11-16,110.37,110.37
89,PRU,2017-11-15,110.22,110.22
90,PRU,2017-11-14,109.56,109.56
91,PRU,2017-11-13,110.44,110.44
92,PRU,2017-11-10,110.72,110.72
93,PRU,2017-11-09,111.95,111.95
94,PRU,2017-11-07,111.94,111.94
95,PRU,2017-11-06,112.39,112.39
96,PRU,2017-11-03,111.84,111.84
97,PRU,2017-11-02,112.94,112.94
98,PRU,2017-11-01,110.58,110.58
99,PRU,2017-10-31,110.46,110.46
100,PRU,2017-10-30,111.6,111.6
101,PRU,2017-10-27,112.02,112.02
102,PRU,2017-10-26,111.89,111.89
103,PRU,2017-10-25,111.24,111.24
104,PRU,2017-10-24,112.17,112.17
105,PRU,2017-10-23,110.79,110.79
106,PRU,2017-10-20,110.78,110.78
107,PRU,2017-10-19,109.6,109.6
108,PRU,2017-10-18,108.89,108.89
109,PRU,2017-10-17,108.79,108.79
110,PRU,2017-10-16,109.37,109.37
111,PRU,2017-10-13,109.11,109.11
112,PRU,2017-10-12,109.35,109.35
113,PRU,2017-10-11,110.01,110.01
114,PRU,2017-10-10,110.0,110.0
115,PRU,2017-10-09,109.06,109.06
116,PRU,2017-10-06,109.65,109.65
117,PRU,2017-10-05,109.26,109.26
118,PRU,2017-10-04,107.85,107.85
119,PRU,2017-10-03,107.84,107.84
120,PRU,2017-10-02,107.28,107.28
121,PRU,2017-09-29,106.32,106.32
122,PRU,2017-09-28,106.0,106.0
