None,ticker,date,close,adj_close
0,PSX,2018-03-27,95.71,95.71
1,PSX,2018-03-26,96.0,96.0
2,PSX,2018-03-23,93.39,93.39
3,PSX,2018-03-22,94.7,94.7
4,PSX,2018-03-21,96.15,96.15
5,PSX,2018-03-20,95.1,95.1
6,PSX,2018-03-19,94.4,94.4
7,PSX,2018-03-16,95.79,95.79
8,PSX,2018-03-15,94.46,94.46
9,PSX,2018-03-14,94.21,94.21
10,PSX,2018-03-13,94.55,94.55
11,PSX,2018-03-12,94.99,94.99
12,PSX,2018-03-09,95.91,95.91
13,PSX,2018-03-08,95.19,95.19
14,PSX,2018-03-07,94.22,94.22
15,PSX,2018-03-06,93.93,93.93
16,PSX,2018-03-05,93.06,93.06
17,PSX,2018-03-02,91.37,91.37
18,PSX,2018-03-01,90.87,90.87
19,PSX,2018-02-28,90.37,90.37
20,PSX,2018-02-27,92.12,92.12
21,PSX,2018-02-26,92.52,92.52
22,PSX,2018-02-23,91.83,91.83
23,PSX,2018-02-22,90.13,90.13
24,PSX,2018-02-21,89.58,89.58
25,PSX,2018-02-20,90.99,90.99
26,PSX,2018-02-16,91.99,91.99
27,PSX,2018-02-15,92.77,92.77
28,PSX,2018-02-14,93.33,93.33
29,PSX,2018-02-13,93.76,93.76
30,PSX,2018-02-12,93.59,93.59
31,PSX,2018-02-09,92.6,92.6
32,PSX,2018-02-08,92.44,92.44
33,PSX,2018-02-07,95.61,95.61
34,PSX,2018-02-06,96.88,96.88
35,PSX,2018-02-05,95.21,95.21
36,PSX,2018-02-02,97.01,97.01
37,PSX,2018-02-01,100.86,100.86
38,PSX,2018-01-31,102.4,102.4
39,PSX,2018-01-30,102.28,102.28
40,PSX,2018-01-29,104.25,104.25
41,PSX,2018-01-26,106.59,106.59
42,PSX,2018-01-25,104.17,104.17
43,PSX,2018-01-24,104.63,104.63
44,PSX,2018-01-23,106.9,106.9
45,PSX,2018-01-22,106.66,106.66
46,PSX,2018-01-19,105.63,105.63
47,PSX,2018-01-18,105.29,105.29
48,PSX,2018-01-17,106.16,106.16
49,PSX,2018-01-16,103.5,103.5
50,PSX,2018-01-12,104.97,104.97
51,PSX,2018-01-11,102.37,102.37
52,PSX,2018-01-10,102.08,102.08
53,PSX,2018-01-09,101.72,101.72
54,PSX,2018-01-08,102.06,102.06
55,PSX,2018-01-05,102.16,102.16
56,PSX,2018-01-04,102.15,102.15
57,PSX,2018-01-03,102.43,102.43
58,PSX,2018-01-02,101.75,101.75
59,PSX,2017-12-29,101.15,101.15
60,PSX,2017-12-28,101.96,101.96
61,PSX,2017-12-27,102.06,102.06
62,PSX,2017-12-26,101.64,101.64
63,PSX,2017-12-22,100.89,100.89
64,PSX,2017-12-21,100.08,100.08
65,PSX,2017-12-20,100.72,100.72
66,PSX,2017-12-19,99.14,99.14
67,PSX,2017-12-18,99.98,99.98
68,PSX,2017-12-15,99.92,99.92
69,PSX,2017-12-14,99.55,99.55
70,PSX,2017-12-13,99.99,99.99
71,PSX,2017-12-12,99.07,99.07
72,PSX,2017-12-11,99.72,99.72
73,PSX,2017-12-08,99.55,99.55
74,PSX,2017-12-07,97.86,97.86
75,PSX,2017-12-06,97.59,97.59
76,PSX,2017-12-05,98.27,98.27
77,PSX,2017-12-04,97.53,97.53
78,PSX,2017-12-01,97.57,97.57
79,PSX,2017-11-30,97.56,97.56
80,PSX,2017-11-29,94.91,94.91
81,PSX,2017-11-28,94.05,94.05
82,PSX,2017-11-27,92.81,92.81
83,PSX,2017-11-24,93.64,93.64
84,PSX,2017-11-22,93.29,93.29
85,PSX,2017-11-21,93.62,93.62
86,PSX,2017-11-20,92.62,92.62
87,PSX,2017-11-17,92.65,92.65
88,PSX,2017-11-16,92.46,92.46
89,PSX,2017-11-15,92.57,92.57
90,PSX,2017-11-14,92.83,92.83
91,PSX,2017-11-13,93.32,93.32
92,PSX,2017-11-10,93.66,93.66
93,PSX,2017-11-09,94.42,94.42
94,PSX,2017-11-07,94.57,94.57
95,PSX,2017-11-06,94.43,94.43
96,PSX,2017-11-03,93.58,93.58
97,PSX,2017-11-02,93.46,93.46
98,PSX,2017-11-01,92.3,92.3
99,PSX,2017-10-31,91.08,91.08
100,PSX,2017-10-30,91.02,91.02
101,PSX,2017-10-27,91.99,91.99
102,PSX,2017-10-26,91.18,91.18
103,PSX,2017-10-25,91.7246,91.7246
104,PSX,2017-10-24,91.83,91.83
105,PSX,2017-10-23,91.24,91.24
106,PSX,2017-10-20,90.8,90.8
107,PSX,2017-10-19,90.39,90.39
108,PSX,2017-10-18,90.24,90.24
109,PSX,2017-10-17,90.63,90.63
110,PSX,2017-10-16,90.87,90.87
111,PSX,2017-10-13,94.43,94.43
112,PSX,2017-10-12,94.34,94.34
113,PSX,2017-10-11,93.68,93.68
114,PSX,2017-10-10,93.47,93.47
115,PSX,2017-10-09,93.32,93.32
116,PSX,2017-10-06,92.82,92.82
117,PSX,2017-10-05,93.33,93.33
118,PSX,2017-10-04,93.43,93.43
119,PSX,2017-10-03,93.63,93.63
120,PSX,2017-10-02,92.38,92.38
121,PSX,2017-09-29,91.61,91.61
122,PSX,2017-09-28,91.79,91.79
