None,ticker,date,close,adj_close
0,PYPL,2018-03-27,76.31,76.31
1,PYPL,2018-03-26,78.95,78.95
2,PYPL,2018-03-23,76.44,76.44
3,PYPL,2018-03-22,78.56,78.56
4,PYPL,2018-03-21,81.04,81.04
5,PYPL,2018-03-20,80.86,80.86
6,PYPL,2018-03-19,80.3,80.3
7,PYPL,2018-03-16,82.16,82.16
8,PYPL,2018-03-15,82.57,82.57
9,PYPL,2018-03-14,83.31,83.31
10,PYPL,2018-03-13,80.2,80.2
11,PYPL,2018-03-12,80.6,80.6
12,PYPL,2018-03-09,80.71,80.71
13,PYPL,2018-03-08,79.87,79.87
14,PYPL,2018-03-07,79.52,79.52
15,PYPL,2018-03-06,79.23,79.23
16,PYPL,2018-03-05,79.07,79.07
17,PYPL,2018-03-02,78.87,78.87
18,PYPL,2018-03-01,78.64,78.64
19,PYPL,2018-02-28,79.41,79.41
20,PYPL,2018-02-27,79.46,79.46
21,PYPL,2018-02-26,79.35,79.35
22,PYPL,2018-02-23,79.69,79.69
23,PYPL,2018-02-22,77.7,77.7
24,PYPL,2018-02-21,76.51,76.51
25,PYPL,2018-02-20,77.06,77.06
26,PYPL,2018-02-16,78.37,78.37
27,PYPL,2018-02-15,78.295,78.295
28,PYPL,2018-02-14,77.27,77.27
29,PYPL,2018-02-13,74.97,74.97
30,PYPL,2018-02-12,75.28,75.28
31,PYPL,2018-02-09,74.69,74.69
32,PYPL,2018-02-08,72.29,72.29
33,PYPL,2018-02-07,75.59,75.59
34,PYPL,2018-02-06,75.68,75.68
35,PYPL,2018-02-05,75.2,75.2
36,PYPL,2018-02-02,76.57,76.57
37,PYPL,2018-02-01,78.4,78.4
38,PYPL,2018-01-31,85.32,85.32
39,PYPL,2018-01-30,83.78,83.78
40,PYPL,2018-01-29,84.31,84.31
41,PYPL,2018-01-26,85.45,85.45
42,PYPL,2018-01-25,84.34,84.34
43,PYPL,2018-01-24,83.71,83.71
44,PYPL,2018-01-23,84.21,84.21
45,PYPL,2018-01-22,83.98,83.98
46,PYPL,2018-01-19,83.84,83.84
47,PYPL,2018-01-18,82.94,82.94
48,PYPL,2018-01-17,82.47,82.47
49,PYPL,2018-01-16,80.42,80.42
50,PYPL,2018-01-12,80.54,80.54
51,PYPL,2018-01-11,79.75,79.75
52,PYPL,2018-01-10,79.37,79.37
53,PYPL,2018-01-09,79.19,79.19
54,PYPL,2018-01-08,79.05,79.05
55,PYPL,2018-01-05,78.7,78.7
56,PYPL,2018-01-04,76.73,76.73
57,PYPL,2018-01-03,76.75,76.75
58,PYPL,2018-01-02,73.84,73.84
59,PYPL,2017-12-29,73.62,73.62
60,PYPL,2017-12-28,74.17,74.17
61,PYPL,2017-12-27,74.59,74.59
62,PYPL,2017-12-26,74.27,74.27
63,PYPL,2017-12-22,73.89,73.89
64,PYPL,2017-12-21,74.02,74.02
65,PYPL,2017-12-20,74.0,74.0
66,PYPL,2017-12-19,74.5,74.5
67,PYPL,2017-12-18,75.32,75.32
68,PYPL,2017-12-15,75.65,75.65
69,PYPL,2017-12-14,74.26,74.26
70,PYPL,2017-12-13,74.09,74.09
71,PYPL,2017-12-12,73.62,73.62
72,PYPL,2017-12-11,73.29,73.29
73,PYPL,2017-12-08,72.91,72.91
74,PYPL,2017-12-07,73.69,73.69
75,PYPL,2017-12-06,73.14,73.14
76,PYPL,2017-12-05,71.2,71.2
77,PYPL,2017-12-04,70.97,70.97
78,PYPL,2017-12-01,75.2999,75.2999
79,PYPL,2017-11-30,75.73,75.73
80,PYPL,2017-11-29,73.25,73.25
81,PYPL,2017-11-28,77.79,77.79
82,PYPL,2017-11-27,77.84,77.84
83,PYPL,2017-11-24,78.57,78.57
