None,ticker,date,close,adj_close
0,QCOM,2018-03-27,54.84,54.84
1,QCOM,2018-03-26,56.13,56.13
2,QCOM,2018-03-23,53.66,53.66
3,QCOM,2018-03-22,55.58,55.58
4,QCOM,2018-03-21,56.81,56.81
5,QCOM,2018-03-20,58.26,58.26
6,QCOM,2018-03-19,58.37,58.37
7,QCOM,2018-03-16,60.62,60.62
8,QCOM,2018-03-15,59.89,59.89
9,QCOM,2018-03-14,60.12,60.12
10,QCOM,2018-03-13,59.7,59.7
11,QCOM,2018-03-12,62.81,62.81
12,QCOM,2018-03-09,63.03,63.03
13,QCOM,2018-03-08,61.82,61.82
14,QCOM,2018-03-07,62.49,62.49
15,QCOM,2018-03-06,62.14,62.14
16,QCOM,2018-03-05,64.01,64.01
17,QCOM,2018-03-02,64.74,64.74
18,QCOM,2018-03-01,64.96,64.96
19,QCOM,2018-02-28,65.0,65.0
20,QCOM,2018-02-27,66.34,66.34
21,QCOM,2018-02-26,66.98,66.98
22,QCOM,2018-02-23,63.32,63.32
23,QCOM,2018-02-22,62.18,62.18
24,QCOM,2018-02-21,63.4,63.4
25,QCOM,2018-02-20,63.99,63.99
26,QCOM,2018-02-16,64.85,64.85
27,QCOM,2018-02-15,65.26,65.26
28,QCOM,2018-02-14,66.59,66.59
29,QCOM,2018-02-13,65.7,65.7
30,QCOM,2018-02-12,65.66,65.66
31,QCOM,2018-02-09,63.875,63.875
32,QCOM,2018-02-08,62.43,62.43
33,QCOM,2018-02-07,65.04,65.04
34,QCOM,2018-02-06,64.4,64.4
35,QCOM,2018-02-05,62.04,62.04
36,QCOM,2018-02-02,66.07,66.07
37,QCOM,2018-02-01,66.8,66.8
38,QCOM,2018-01-31,68.25,68.25
39,QCOM,2018-01-30,66.99,66.99
40,QCOM,2018-01-29,67.32,67.32
41,QCOM,2018-01-26,68.53,68.53
42,QCOM,2018-01-25,67.42,67.42
43,QCOM,2018-01-24,67.98,67.98
44,QCOM,2018-01-23,68.34,68.34
45,QCOM,2018-01-22,68.67,68.67
46,QCOM,2018-01-19,68.04,68.04
47,QCOM,2018-01-18,68.05,68.05
48,QCOM,2018-01-17,68.02,68.02
49,QCOM,2018-01-16,68.25,68.25
50,QCOM,2018-01-12,65.38,65.38
51,QCOM,2018-01-11,65.43,65.43
52,QCOM,2018-01-10,65.26,65.26
53,QCOM,2018-01-09,65.27,65.27
54,QCOM,2018-01-08,66.27,66.27
55,QCOM,2018-01-05,66.47,66.47
56,QCOM,2018-01-04,66.03,66.03
57,QCOM,2018-01-03,65.94,65.94
58,QCOM,2018-01-02,65.2,65.2
59,QCOM,2017-12-29,64.02,64.02
60,QCOM,2017-12-28,64.38,64.38
61,QCOM,2017-12-27,64.54,64.54
62,QCOM,2017-12-26,64.3,64.3
63,QCOM,2017-12-22,64.73,64.73
64,QCOM,2017-12-21,64.39,64.39
65,QCOM,2017-12-20,64.6,64.6
66,QCOM,2017-12-19,64.5,64.5
67,QCOM,2017-12-18,65.38,65.38
68,QCOM,2017-12-15,64.76,64.76
69,QCOM,2017-12-14,64.7,64.7
70,QCOM,2017-12-13,64.9,64.9
71,QCOM,2017-12-12,64.86,64.86
72,QCOM,2017-12-11,65.18,65.18
73,QCOM,2017-12-08,64.24,64.24
74,QCOM,2017-12-07,65.23,65.23
75,QCOM,2017-12-06,64.98,64.98
76,QCOM,2017-12-05,64.69,64.69
77,QCOM,2017-12-04,64.56,64.56
78,QCOM,2017-12-01,65.49,65.49
79,QCOM,2017-11-30,66.34,66.34
80,QCOM,2017-11-29,66.52,66.52
81,QCOM,2017-11-28,68.38,68.38
82,QCOM,2017-11-27,68.14,67.576696156635
83,QCOM,2017-11-24,68.91,68.340330674402
84,QCOM,2017-11-22,68.13,67.566778825236
85,QCOM,2017-11-21,66.67,66.118848440899
86,QCOM,2017-11-20,66.47,65.920501812908
87,QCOM,2017-11-17,66.72,66.168435097897
88,QCOM,2017-11-16,66.11,65.563477882524
89,QCOM,2017-11-15,65.61,65.067611312545
90,QCOM,2017-11-14,66.0,65.454387237128
91,QCOM,2017-11-13,66.49,65.940336475707
92,QCOM,2017-11-10,64.57,64.036208846991
93,QCOM,2017-11-09,64.6,64.065960841189
94,QCOM,2017-11-07,64.1,63.570094271211
95,QCOM,2017-11-06,62.52,62.00315591008
96,QCOM,2017-11-03,61.81,61.299025380711
97,QCOM,2017-11-02,54.84,54.386645395214
98,QCOM,2017-11-01,53.46,53.018053662074
99,QCOM,2017-10-31,51.01,50.588307469181
100,QCOM,2017-10-30,54.66,54.208133430022
101,QCOM,2017-10-27,54.57,54.118877447426
102,QCOM,2017-10-26,53.8,53.355242929659
103,QCOM,2017-10-25,53.84,53.394912255257
104,QCOM,2017-10-24,54.25,53.80152284264
105,QCOM,2017-10-23,53.39,52.948632342277
106,QCOM,2017-10-20,52.02,51.589957940537
107,QCOM,2017-10-19,52.29,51.857725888325
108,QCOM,2017-10-18,52.21,51.778387237128
109,QCOM,2017-10-17,52.41,51.97673386512
110,QCOM,2017-10-16,52.38,51.946981870921
111,QCOM,2017-10-13,52.82,52.383344452502
112,QCOM,2017-10-12,53.0,52.561856417694
113,QCOM,2017-10-11,54.12,53.672597534445
114,QCOM,2017-10-10,53.87,53.424664249456
115,QCOM,2017-10-09,52.88,52.442848440899
116,QCOM,2017-10-06,52.49,52.056072516316
117,QCOM,2017-10-05,52.35,51.917229876722
118,QCOM,2017-10-04,51.96,51.530453952139
119,QCOM,2017-10-03,52.02,51.589957940537
120,QCOM,2017-10-02,51.88,51.451115300943
121,QCOM,2017-09-29,51.84,51.411445975344
122,QCOM,2017-09-28,51.75,51.322189992748
123,QCOM,2017-09-27,51.55,51.123843364757
124,QCOM,2017-09-26,51.13,50.707315445975
125,QCOM,2017-09-25,51.63,51.203182015954
126,QCOM,2017-09-22,52.09,51.659379260334
127,QCOM,2017-09-21,52.03,51.599875271936
128,QCOM,2017-09-20,51.98,51.550288614938
129,QCOM,2017-09-19,52.3,51.867643219724
130,QCOM,2017-09-18,52.25,51.818056562727
131,QCOM,2017-09-15,52.19,51.758552574329
132,QCOM,2017-09-14,51.48,51.05442204496
133,QCOM,2017-09-13,51.01,50.588307469181
134,QCOM,2017-09-12,50.9,50.479216823785
135,QCOM,2017-09-11,50.57,50.1519448876
136,QCOM,2017-09-08,49.64,49.22963306744
