None,ticker,date,close,adj_close
0,QRVO,2018-03-27,70.23,70.23
1,QRVO,2018-03-26,73.34,73.34
2,QRVO,2018-03-23,71.55,71.55
3,QRVO,2018-03-22,72.65,72.65
4,QRVO,2018-03-21,74.18,74.18
5,QRVO,2018-03-20,75.07,75.07
6,QRVO,2018-03-19,78.42,78.42
7,QRVO,2018-03-16,80.75,80.75
8,QRVO,2018-03-15,79.0,79.0
9,QRVO,2018-03-14,82.22,82.22
10,QRVO,2018-03-13,83.42,83.42
11,QRVO,2018-03-12,86.39,86.39
12,QRVO,2018-03-09,85.51,85.51
13,QRVO,2018-03-08,84.23,84.23
14,QRVO,2018-03-07,83.32,83.32
15,QRVO,2018-03-06,83.68,83.68
16,QRVO,2018-03-05,83.19,83.19
17,QRVO,2018-03-02,81.13,81.13
18,QRVO,2018-03-01,78.61,78.61
19,QRVO,2018-02-28,80.71,80.71
20,QRVO,2018-02-27,81.21,81.21
21,QRVO,2018-02-26,81.48,81.48
22,QRVO,2018-02-23,80.13,80.13
23,QRVO,2018-02-22,78.5,78.5
24,QRVO,2018-02-21,79.95,79.95
25,QRVO,2018-02-20,80.17,80.17
26,QRVO,2018-02-16,77.31,77.31
27,QRVO,2018-02-15,78.56,78.56
28,QRVO,2018-02-14,78.82,78.82
29,QRVO,2018-02-13,79.35,79.35
30,QRVO,2018-02-12,79.17,79.17
31,QRVO,2018-02-09,77.82,77.82
32,QRVO,2018-02-08,76.86,76.86
33,QRVO,2018-02-07,78.09,78.09
34,QRVO,2018-02-06,79.07,79.07
35,QRVO,2018-02-05,76.02,76.02
36,QRVO,2018-02-02,80.77,80.77
37,QRVO,2018-02-01,83.34,83.34
38,QRVO,2018-01-31,71.77,71.77
39,QRVO,2018-01-30,70.67,70.67
40,QRVO,2018-01-29,68.19,68.19
41,QRVO,2018-01-26,67.94,67.94
42,QRVO,2018-01-25,66.06,66.06
43,QRVO,2018-01-24,66.9,66.9
44,QRVO,2018-01-23,67.32,67.32
45,QRVO,2018-01-22,66.34,66.34
46,QRVO,2018-01-19,68.4,68.4
47,QRVO,2018-01-18,70.7,70.7
48,QRVO,2018-01-17,70.85,70.85
49,QRVO,2018-01-16,69.3,69.3
50,QRVO,2018-01-12,71.04,71.04
51,QRVO,2018-01-11,68.88,68.88
52,QRVO,2018-01-10,67.74,67.74
53,QRVO,2018-01-09,69.0,69.0
54,QRVO,2018-01-08,68.84,68.84
55,QRVO,2018-01-05,68.03,68.03
56,QRVO,2018-01-04,68.72,68.72
57,QRVO,2018-01-03,68.39,68.39
58,QRVO,2018-01-02,68.88,68.88
59,QRVO,2017-12-29,66.6,66.6
60,QRVO,2017-12-28,67.36,67.36
61,QRVO,2017-12-27,67.26,67.26
62,QRVO,2017-12-26,65.9,65.9
63,QRVO,2017-12-22,67.69,67.69
64,QRVO,2017-12-21,67.48,67.48
65,QRVO,2017-12-20,67.07,67.07
66,QRVO,2017-12-19,66.79,66.79
67,QRVO,2017-12-18,67.05,67.05
68,QRVO,2017-12-15,65.53,65.53
69,QRVO,2017-12-14,65.23,65.23
70,QRVO,2017-12-13,67.29,67.29
71,QRVO,2017-12-12,67.69,67.69
72,QRVO,2017-12-11,68.62,68.62
73,QRVO,2017-12-08,67.88,67.88
74,QRVO,2017-12-07,68.72,68.72
75,QRVO,2017-12-06,70.1,70.1
76,QRVO,2017-12-05,71.78,71.78
77,QRVO,2017-12-04,72.4,72.4
78,QRVO,2017-12-01,74.21,74.21
79,QRVO,2017-11-30,76.58,76.58
80,QRVO,2017-11-29,76.69,76.69
81,QRVO,2017-11-28,79.03,79.03
82,QRVO,2017-11-27,79.74,79.74
83,QRVO,2017-11-24,80.62,80.62
84,QRVO,2017-11-22,79.61,79.61
85,QRVO,2017-11-21,80.59,80.59
86,QRVO,2017-11-20,79.14,79.14
87,QRVO,2017-11-17,77.33,77.33
88,QRVO,2017-11-16,77.91,77.91
89,QRVO,2017-11-15,76.68,76.68
90,QRVO,2017-11-14,78.41,78.41
91,QRVO,2017-11-13,79.08,79.08
92,QRVO,2017-11-10,79.57,79.57
93,QRVO,2017-11-09,79.47,79.47
94,QRVO,2017-11-07,78.46,78.46
95,QRVO,2017-11-06,78.49,78.49
96,QRVO,2017-11-03,73.84,73.84
97,QRVO,2017-11-02,74.3,74.3
98,QRVO,2017-11-01,74.46,74.46
99,QRVO,2017-10-31,75.81,75.81
100,QRVO,2017-10-30,76.25,76.25
101,QRVO,2017-10-27,73.72,73.72
102,QRVO,2017-10-26,71.56,71.56
103,QRVO,2017-10-25,71.78,71.78
104,QRVO,2017-10-24,71.44,71.44
105,QRVO,2017-10-23,69.8,69.8
106,QRVO,2017-10-20,69.92,69.92
107,QRVO,2017-10-19,69.68,69.68
108,QRVO,2017-10-18,72.02,72.02
109,QRVO,2017-10-17,72.27,72.27
110,QRVO,2017-10-16,72.53,72.53
111,QRVO,2017-10-13,72.39,72.39
112,QRVO,2017-10-12,72.36,72.36
113,QRVO,2017-10-11,72.94,72.94
114,QRVO,2017-10-10,71.84,71.84
115,QRVO,2017-10-09,72.66,72.66
116,QRVO,2017-10-06,72.69,72.69
