None,ticker,date,close,adj_close
0,RCL,2018-03-27,118.3,118.3
1,RCL,2018-03-26,119.92,119.92
2,RCL,2018-03-23,117.04,117.04
3,RCL,2018-03-22,120.18,120.18
4,RCL,2018-03-21,123.37,123.37
5,RCL,2018-03-20,124.86,124.86
6,RCL,2018-03-19,124.42,124.42
7,RCL,2018-03-16,124.75,124.75
8,RCL,2018-03-15,124.65,124.65
9,RCL,2018-03-14,125.63,125.63
10,RCL,2018-03-13,125.95,125.95
11,RCL,2018-03-12,125.26,125.26
12,RCL,2018-03-09,126.62,126.62
13,RCL,2018-03-08,124.78,124.78
14,RCL,2018-03-07,123.53,123.53
15,RCL,2018-03-06,123.8,123.8
16,RCL,2018-03-05,121.36,120.774662379
17,RCL,2018-03-02,122.63,122.038536977
18,RCL,2018-03-01,123.97,123.372073955
19,RCL,2018-02-28,126.6,126.6
20,RCL,2018-02-27,128.86,128.86
21,RCL,2018-02-26,130.4,130.4
22,RCL,2018-02-23,130.2,130.2
23,RCL,2018-02-22,129.6,129.6
24,RCL,2018-02-21,130.55,130.55
25,RCL,2018-02-20,131.56,131.56
26,RCL,2018-02-16,131.68,131.68
27,RCL,2018-02-15,131.71,131.71
28,RCL,2018-02-14,130.53,130.53
29,RCL,2018-02-13,129.03,129.03
30,RCL,2018-02-12,129.27,129.27
31,RCL,2018-02-09,124.47,124.47
32,RCL,2018-02-08,122.45,122.45
33,RCL,2018-02-07,128.52,128.52
34,RCL,2018-02-06,127.66,127.66
35,RCL,2018-02-05,125.37,125.37
36,RCL,2018-02-02,129.66,129.66
37,RCL,2018-02-01,133.31,133.31
38,RCL,2018-01-31,133.55,133.55
39,RCL,2018-01-30,133.28,133.28
40,RCL,2018-01-29,134.77,134.77
41,RCL,2018-01-26,134.98,134.98
42,RCL,2018-01-25,131.93,131.93
43,RCL,2018-01-24,132.51,132.51
44,RCL,2018-01-23,127.22,127.22
45,RCL,2018-01-22,128.7,128.7
46,RCL,2018-01-19,128.97,128.97
47,RCL,2018-01-18,129.32,129.32
48,RCL,2018-01-17,130.21,130.21
49,RCL,2018-01-16,126.75,126.75
50,RCL,2018-01-12,127.53,127.53
51,RCL,2018-01-11,125.41,125.41
52,RCL,2018-01-10,123.06,123.06
53,RCL,2018-01-09,123.15,123.15
54,RCL,2018-01-08,121.09,121.09
55,RCL,2018-01-05,121.23,121.23
56,RCL,2018-01-04,122.46,122.46
57,RCL,2018-01-03,123.58,123.58
58,RCL,2018-01-02,120.38,120.38
59,RCL,2017-12-29,119.28,119.28
60,RCL,2017-12-28,120.88,120.88
61,RCL,2017-12-27,121.21,121.21
62,RCL,2017-12-26,120.18,120.18
63,RCL,2017-12-22,121.06,121.06
64,RCL,2017-12-21,121.75,121.75
65,RCL,2017-12-20,123.48,123.48
66,RCL,2017-12-19,126.55,126.55
67,RCL,2017-12-18,126.58,126.58
68,RCL,2017-12-15,125.09,125.09
69,RCL,2017-12-14,121.66,121.66
70,RCL,2017-12-13,121.69,121.69
71,RCL,2017-12-12,123.83,123.83
72,RCL,2017-12-11,125.45,125.45
73,RCL,2017-12-08,125.23,125.23
74,RCL,2017-12-07,124.05,124.05
75,RCL,2017-12-06,123.02,123.02
76,RCL,2017-12-05,122.82,122.82
77,RCL,2017-12-04,125.08,125.08
78,RCL,2017-12-01,125.23,125.23
79,RCL,2017-11-30,123.88,123.88
80,RCL,2017-11-29,124.7,124.7
81,RCL,2017-11-28,125.8,125.8
82,RCL,2017-11-27,125.25,125.25
83,RCL,2017-11-24,125.21,125.21
84,RCL,2017-11-22,125.45,125.45
85,RCL,2017-11-21,124.79,124.79
86,RCL,2017-11-20,123.95,123.95
87,RCL,2017-11-17,124.4,124.4
88,RCL,2017-11-16,122.79,122.79
89,RCL,2017-11-15,122.52,122.52
90,RCL,2017-11-14,123.51,123.51
91,RCL,2017-11-13,124.48,124.48
92,RCL,2017-11-10,124.22,124.22
93,RCL,2017-11-09,126.67,126.67
94,RCL,2017-11-07,129.23,129.23
95,RCL,2017-11-06,125.34,125.34
96,RCL,2017-11-03,123.18,123.18
97,RCL,2017-11-02,123.09,123.09
98,RCL,2017-11-01,120.86,120.86
99,RCL,2017-10-31,123.77,123.77
100,RCL,2017-10-30,121.99,121.99
101,RCL,2017-10-27,124.21,124.21
102,RCL,2017-10-26,123.06,123.06
103,RCL,2017-10-25,121.26,121.26
104,RCL,2017-10-24,122.4,122.4
105,RCL,2017-10-23,121.74,121.74
106,RCL,2017-10-20,120.71,120.71
107,RCL,2017-10-19,121.12,121.12
108,RCL,2017-10-18,124.88,124.88
109,RCL,2017-10-17,127.22,127.22
110,RCL,2017-10-16,127.39,127.39
111,RCL,2017-10-13,127.77,127.77
112,RCL,2017-10-12,125.0,125.0
113,RCL,2017-10-11,125.01,125.01
114,RCL,2017-10-10,124.8,124.8
115,RCL,2017-10-09,124.53,124.53
116,RCL,2017-10-06,123.39,123.39
117,RCL,2017-10-05,123.66,123.66
118,RCL,2017-10-04,121.67,121.67
119,RCL,2017-10-03,119.0,119.0
120,RCL,2017-10-02,119.12,119.12
121,RCL,2017-09-29,118.54,118.54
122,RCL,2017-09-28,118.21,118.21
123,RCL,2017-09-27,115.74,115.74
124,RCL,2017-09-26,117.19,117.19
125,RCL,2017-09-25,113.88,113.88
126,RCL,2017-09-22,115.29,115.29
127,RCL,2017-09-21,116.19,116.19
128,RCL,2017-09-20,115.54,114.94642178269
