None,ticker,date,close,adj_close
0,REG,2018-03-27,57.09,57.09
1,REG,2018-03-26,56.62,56.62
2,REG,2018-03-23,55.85,55.85
3,REG,2018-03-22,56.64,56.64
4,REG,2018-03-21,56.51,56.51
5,REG,2018-03-20,56.96,56.96
6,REG,2018-03-19,57.32,57.32
7,REG,2018-03-16,58.27,58.27
8,REG,2018-03-15,58.26,58.26
9,REG,2018-03-14,58.82,58.82
10,REG,2018-03-13,59.2,59.2
11,REG,2018-03-12,59.12,59.12
12,REG,2018-03-09,59.1,59.1
13,REG,2018-03-08,58.96,58.96
14,REG,2018-03-07,58.85,58.85
15,REG,2018-03-06,58.95,58.95
16,REG,2018-03-05,58.72,58.72
17,REG,2018-03-02,58.93,58.93
18,REG,2018-03-01,58.33,58.33
19,REG,2018-02-28,58.11,58.11
20,REG,2018-02-27,57.91,57.91
21,REG,2018-02-26,59.33,59.33
22,REG,2018-02-23,59.01,59.01
23,REG,2018-02-22,58.28,58.28
24,REG,2018-02-21,56.74,56.74
25,REG,2018-02-20,58.06,58.06
26,REG,2018-02-16,58.04,58.04
27,REG,2018-02-15,57.84,57.84
28,REG,2018-02-14,57.66,57.66
29,REG,2018-02-13,57.54,57.54
30,REG,2018-02-12,57.27,57.27
31,REG,2018-02-09,56.7,56.7
32,REG,2018-02-08,55.58,55.58
33,REG,2018-02-07,57.53,57.53
34,REG,2018-02-06,57.79,57.79
35,REG,2018-02-05,58.29,58.29
36,REG,2018-02-02,60.12,60.12
37,REG,2018-02-01,60.69,60.69
38,REG,2018-01-31,62.91,62.91
39,REG,2018-01-30,61.83,61.83
40,REG,2018-01-29,62.57,62.57
41,REG,2018-01-26,63.16,63.16
42,REG,2018-01-25,64.12,64.12
43,REG,2018-01-24,64.3,64.3
44,REG,2018-01-23,64.59,64.59
45,REG,2018-01-22,64.31,64.31
46,REG,2018-01-19,63.77,63.77
47,REG,2018-01-18,63.64,63.64
48,REG,2018-01-17,64.21,64.21
49,REG,2018-01-16,63.66,63.66
50,REG,2018-01-12,64.06,64.06
51,REG,2018-01-11,64.37,64.37
52,REG,2018-01-10,65.34,65.34
53,REG,2018-01-09,65.9,65.9
54,REG,2018-01-08,67.32,67.32
55,REG,2018-01-05,66.77,66.77
56,REG,2018-01-04,66.79,66.79
57,REG,2018-01-03,69.05,69.05
58,REG,2018-01-02,69.54,69.54
59,REG,2017-12-29,69.18,69.18
60,REG,2017-12-28,69.42,69.42
61,REG,2017-12-27,69.02,69.02
62,REG,2017-12-26,68.69,68.69
63,REG,2017-12-22,68.09,68.09
64,REG,2017-12-21,67.7,67.7
65,REG,2017-12-20,68.01,68.01
66,REG,2017-12-19,69.0,69.0
67,REG,2017-12-18,70.37,70.37
68,REG,2017-12-15,70.0,70.0
69,REG,2017-12-14,69.2,69.2
70,REG,2017-12-13,68.76,68.76
71,REG,2017-12-12,68.59,68.59
72,REG,2017-12-11,67.68,67.68
73,REG,2017-12-08,67.58,67.58
74,REG,2017-12-07,67.45,67.45
