None,ticker,date,close,adj_close
0,REGN,2018-03-27,329.24,329.24
1,REGN,2018-03-26,330.71,330.71
2,REGN,2018-03-23,321.29,321.29
3,REGN,2018-03-22,327.69,327.69
4,REGN,2018-03-21,334.87,334.87
5,REGN,2018-03-20,333.86,333.86
6,REGN,2018-03-19,339.08,339.08
7,REGN,2018-03-16,343.3,343.3
8,REGN,2018-03-15,334.93,334.93
9,REGN,2018-03-14,341.42,341.42
10,REGN,2018-03-13,337.75,337.75
11,REGN,2018-03-12,344.55,344.55
12,REGN,2018-03-09,341.7,341.7
13,REGN,2018-03-08,340.78,340.78
14,REGN,2018-03-07,334.41,334.41
15,REGN,2018-03-06,333.48,333.48
16,REGN,2018-03-05,333.91,333.91
17,REGN,2018-03-02,330.47,330.47
18,REGN,2018-03-01,321.78,321.78
19,REGN,2018-02-28,320.44,320.44
20,REGN,2018-02-27,320.97,320.97
21,REGN,2018-02-26,324.89,324.89
22,REGN,2018-02-23,323.86,323.86
23,REGN,2018-02-22,315.75,315.75
24,REGN,2018-02-21,317.51,317.51
25,REGN,2018-02-20,323.04,323.04
26,REGN,2018-02-16,332.15,332.15
27,REGN,2018-02-15,333.18,333.18
28,REGN,2018-02-14,330.69,330.69
29,REGN,2018-02-13,324.57,324.57
30,REGN,2018-02-12,342.67,342.67
31,REGN,2018-02-09,336.32,336.32
32,REGN,2018-02-08,322.52,322.52
33,REGN,2018-02-07,334.61,334.61
34,REGN,2018-02-06,338.8,338.8
35,REGN,2018-02-05,332.465,332.465
36,REGN,2018-02-02,346.04,346.04
37,REGN,2018-02-01,345.8,345.8
38,REGN,2018-01-31,366.65,366.65
39,REGN,2018-01-30,379.77,379.77
40,REGN,2018-01-29,382.88,382.88
41,REGN,2018-01-26,374.36,374.36
42,REGN,2018-01-25,391.84,391.84
43,REGN,2018-01-24,383.32,383.32
44,REGN,2018-01-23,381.71,381.71
45,REGN,2018-01-22,375.86,375.86
46,REGN,2018-01-19,371.53,371.53
47,REGN,2018-01-18,371.28,371.28
48,REGN,2018-01-17,374.07,374.07
49,REGN,2018-01-16,370.21,370.21
50,REGN,2018-01-12,366.96,366.96
51,REGN,2018-01-11,368.26,368.26
52,REGN,2018-01-10,366.46,366.46
53,REGN,2018-01-09,368.65,368.65
54,REGN,2018-01-08,372.52,372.52
55,REGN,2018-01-05,385.1,385.1
56,REGN,2018-01-04,382.95,382.95
57,REGN,2018-01-03,393.78,393.78
58,REGN,2018-01-02,382.6,382.6
59,REGN,2017-12-29,375.96,375.96
60,REGN,2017-12-28,382.82,382.82
61,REGN,2017-12-27,384.09,384.09
62,REGN,2017-12-26,387.43,387.43
63,REGN,2017-12-22,381.0,381.0
64,REGN,2017-12-21,384.14,384.14
65,REGN,2017-12-20,382.89,382.89
66,REGN,2017-12-19,385.72,385.72
67,REGN,2017-12-18,383.39,383.39
68,REGN,2017-12-15,388.95,388.95
69,REGN,2017-12-14,383.12,383.12
70,REGN,2017-12-13,386.67,386.67
71,REGN,2017-12-12,381.72,381.72
72,REGN,2017-12-11,381.32,381.32
73,REGN,2017-12-08,380.78,380.78
74,REGN,2017-12-07,373.61,373.61
75,REGN,2017-12-06,375.13,375.13
76,REGN,2017-12-05,372.34,372.34
77,REGN,2017-12-04,378.37,378.37
78,REGN,2017-12-01,373.47,373.47
79,REGN,2017-11-30,361.86,361.86
80,REGN,2017-11-29,358.63,358.63
81,REGN,2017-11-28,366.0,366.0
82,REGN,2017-11-27,374.53,374.53
83,REGN,2017-11-24,384.85,384.85
84,REGN,2017-11-22,387.54,387.54
85,REGN,2017-11-21,384.44,384.44
86,REGN,2017-11-20,385.22,385.22
87,REGN,2017-11-17,391.59,391.59
88,REGN,2017-11-16,394.69,394.69
89,REGN,2017-11-15,386.3,386.3
90,REGN,2017-11-14,384.8,384.8
91,REGN,2017-11-13,393.62,393.62
92,REGN,2017-11-10,404.54,404.54
93,REGN,2017-11-09,406.21,406.21
94,REGN,2017-11-07,404.39,404.39
95,REGN,2017-11-06,406.63,406.63
96,REGN,2017-11-03,408.41,408.41
97,REGN,2017-11-02,397.45,397.45
98,REGN,2017-11-01,397.0,397.0
99,REGN,2017-10-31,402.62,402.62
100,REGN,2017-10-30,406.52,406.52
101,REGN,2017-10-27,409.22,409.22
102,REGN,2017-10-26,416.04,416.04
103,REGN,2017-10-25,421.93,421.93
104,REGN,2017-10-24,426.51,426.51
105,REGN,2017-10-23,432.76,432.76
106,REGN,2017-10-20,432.98,432.98
107,REGN,2017-10-19,440.94,440.94
