None,ticker,date,close,adj_close
0,RF,2018-03-27,18.29,18.29
1,RF,2018-03-26,18.8,18.8
2,RF,2018-03-23,18.01,18.01
3,RF,2018-03-22,18.62,18.62
4,RF,2018-03-21,19.53,19.53
5,RF,2018-03-20,19.46,19.46
6,RF,2018-03-19,19.55,19.55
7,RF,2018-03-16,19.63,19.63
8,RF,2018-03-15,19.37,19.37
9,RF,2018-03-14,19.4,19.4
10,RF,2018-03-13,19.71,19.71
11,RF,2018-03-12,19.92,19.92
12,RF,2018-03-09,20.11,20.11
13,RF,2018-03-08,19.76,19.76
14,RF,2018-03-07,19.87,19.7799093199
15,RF,2018-03-06,19.9,19.8097732997
16,RF,2018-03-05,19.72,19.6305894207
17,RF,2018-03-02,19.47,19.3817229219
18,RF,2018-03-01,19.26,19.172675063
19,RF,2018-02-28,19.41,19.41
20,RF,2018-02-27,19.62,19.62
21,RF,2018-02-26,19.8,19.8
22,RF,2018-02-23,19.65,19.65
23,RF,2018-02-22,19.31,19.31
24,RF,2018-02-21,19.62,19.62
25,RF,2018-02-20,19.4,19.4
26,RF,2018-02-16,19.45,19.45
27,RF,2018-02-15,19.48,19.48
28,RF,2018-02-14,19.37,19.37
29,RF,2018-02-13,18.85,18.85
30,RF,2018-02-12,18.47,18.47
31,RF,2018-02-09,18.27,18.27
32,RF,2018-02-08,17.9,17.9
33,RF,2018-02-07,18.96,18.96
34,RF,2018-02-06,18.67,18.67
35,RF,2018-02-05,18.46,18.46
36,RF,2018-02-02,19.25,19.25
37,RF,2018-02-01,19.54,19.54
38,RF,2018-01-31,19.23,19.23
39,RF,2018-01-30,19.15,19.15
40,RF,2018-01-29,19.26,19.26
41,RF,2018-01-26,19.38,19.38
42,RF,2018-01-25,19.14,19.14
43,RF,2018-01-24,19.43,19.43
44,RF,2018-01-23,19.36,19.36
45,RF,2018-01-22,19.16,19.16
46,RF,2018-01-19,18.67,18.67
47,RF,2018-01-18,18.15,18.15
48,RF,2018-01-17,18.36,18.36
49,RF,2018-01-16,18.16,18.16
50,RF,2018-01-12,18.28,18.28
51,RF,2018-01-11,18.2,18.2
52,RF,2018-01-10,18.08,18.08
53,RF,2018-01-09,17.78,17.78
54,RF,2018-01-08,17.47,17.47
55,RF,2018-01-05,17.49,17.49
56,RF,2018-01-04,17.54,17.54
57,RF,2018-01-03,17.4,17.4
58,RF,2018-01-02,17.37,17.37
59,RF,2017-12-29,17.28,17.28
60,RF,2017-12-28,17.38,17.38
61,RF,2017-12-27,17.3,17.3
62,RF,2017-12-26,17.35,17.35
63,RF,2017-12-22,17.47,17.47
64,RF,2017-12-21,17.49,17.49
65,RF,2017-12-20,17.25,17.25
66,RF,2017-12-19,17.3,17.3
67,RF,2017-12-18,17.33,17.33
68,RF,2017-12-15,17.12,17.12
69,RF,2017-12-14,16.91,16.91
70,RF,2017-12-13,17.08,17.08
71,RF,2017-12-12,17.31,17.31
72,RF,2017-12-11,16.98,16.98
73,RF,2017-12-08,17.08,17.08
74,RF,2017-12-07,16.97,16.97
75,RF,2017-12-06,16.78,16.78
76,RF,2017-12-05,16.87,16.87
77,RF,2017-12-04,16.95,16.95
78,RF,2017-12-01,16.65,16.65
79,RF,2017-11-30,16.59,16.59
80,RF,2017-11-29,16.57,16.57
81,RF,2017-11-28,16.0,16.0
82,RF,2017-11-27,15.52,15.52
83,RF,2017-11-24,15.57,15.57
84,RF,2017-11-22,15.56,15.56
85,RF,2017-11-21,15.66,15.66
86,RF,2017-11-20,15.86,15.86
87,RF,2017-11-17,15.8,15.8
88,RF,2017-11-16,15.7,15.7
89,RF,2017-11-15,15.8,15.8
90,RF,2017-11-14,15.69,15.69
91,RF,2017-11-13,15.44,15.44
92,RF,2017-11-10,15.17,15.17
93,RF,2017-11-09,15.28,15.28
94,RF,2017-11-07,15.47,15.47
95,RF,2017-11-06,15.88,15.88
96,RF,2017-11-03,15.81,15.81
97,RF,2017-11-02,15.71,15.71
98,RF,2017-11-01,15.56,15.56
99,RF,2017-10-31,15.48,15.48
100,RF,2017-10-30,15.6,15.6
101,RF,2017-10-27,15.72,15.72
102,RF,2017-10-26,15.81,15.81
103,RF,2017-10-25,15.56,15.56
104,RF,2017-10-24,15.44,15.44
105,RF,2017-10-23,15.12,15.12
106,RF,2017-10-20,15.22,15.22
107,RF,2017-10-19,14.97,14.97
108,RF,2017-10-18,14.9,14.9
109,RF,2017-10-17,14.78,14.78
110,RF,2017-10-16,14.96,14.96
111,RF,2017-10-13,14.83,14.83
112,RF,2017-10-12,14.91,14.91
113,RF,2017-10-11,15.04,15.04
114,RF,2017-10-10,15.16,15.16
115,RF,2017-10-09,15.01,15.01
116,RF,2017-10-06,15.21,15.21
117,RF,2017-10-05,15.27,15.27
118,RF,2017-10-04,15.09,15.09
119,RF,2017-10-03,15.17,15.17
120,RF,2017-10-02,15.23,15.23
121,RF,2017-09-29,15.23,15.23
122,RF,2017-09-28,15.04,15.04
123,RF,2017-09-27,15.05,15.05
124,RF,2017-09-26,14.71,14.71
125,RF,2017-09-25,14.48,14.48
126,RF,2017-09-22,14.42,14.42
127,RF,2017-09-21,14.43,14.43
128,RF,2017-09-20,14.31,14.31
129,RF,2017-09-19,14.15,14.15
130,RF,2017-09-18,14.02,14.02
131,RF,2017-09-15,13.75,13.75
132,RF,2017-09-14,13.69,13.69
133,RF,2017-09-13,13.74,13.74
134,RF,2017-09-12,13.7,13.7
135,RF,2017-09-11,13.52,13.52
136,RF,2017-09-08,13.26,13.26
137,RF,2017-09-07,13.17,13.17
138,RF,2017-09-06,13.62,13.527556561086
139,RF,2017-09-05,13.64,13.54742081448
140,RF,2017-09-01,14.23,14.133416289593
141,RF,2017-08-31,14.11,14.014230769231
142,RF,2017-08-30,14.24,14.14334841629
143,RF,2017-08-29,14.16,14.063891402715
144,RF,2017-08-28,14.29,14.193009049774
145,RF,2017-08-25,14.45,14.351923076923
146,RF,2017-08-24,14.45,14.351923076923
