None,ticker,date,close,adj_close
0,RHI,2018-03-27,56.41,56.41
1,RHI,2018-03-26,56.88,56.88
2,RHI,2018-03-23,55.76,55.76
3,RHI,2018-03-22,58.06,58.06
4,RHI,2018-03-21,59.66,59.66
5,RHI,2018-03-20,59.63,59.63
6,RHI,2018-03-19,59.42,59.42
7,RHI,2018-03-16,59.44,59.44
8,RHI,2018-03-15,58.72,58.72
9,RHI,2018-03-14,58.45,58.45
10,RHI,2018-03-13,59.13,59.13
11,RHI,2018-03-12,59.34,59.34
12,RHI,2018-03-09,60.51,60.51
13,RHI,2018-03-08,59.66,59.66
14,RHI,2018-03-07,59.87,59.87
15,RHI,2018-03-06,59.55,59.55
16,RHI,2018-03-05,58.64,58.64
17,RHI,2018-03-02,57.98,57.98
18,RHI,2018-03-01,56.75,56.75
19,RHI,2018-02-28,57.07,57.07
20,RHI,2018-02-27,57.43,57.43
21,RHI,2018-02-26,57.68,57.68
22,RHI,2018-02-23,57.85,57.85
23,RHI,2018-02-22,57.33,57.33
24,RHI,2018-02-21,57.57,57.57
25,RHI,2018-02-20,56.32,56.32
26,RHI,2018-02-16,56.2,56.2
27,RHI,2018-02-15,56.38,56.38
28,RHI,2018-02-14,56.12,56.12
29,RHI,2018-02-13,54.64,54.64
30,RHI,2018-02-12,53.6,53.6
31,RHI,2018-02-09,53.22,53.22
32,RHI,2018-02-08,52.26,52.26
33,RHI,2018-02-07,56.22,56.22
34,RHI,2018-02-06,56.01,56.01
35,RHI,2018-02-05,54.41,54.41
36,RHI,2018-02-02,56.24,56.24
37,RHI,2018-02-01,58.53,58.53
38,RHI,2018-01-31,57.88,57.88
39,RHI,2018-01-30,57.4,57.4
40,RHI,2018-01-29,57.61,57.61
41,RHI,2018-01-26,58.54,58.54
42,RHI,2018-01-25,57.34,57.34
43,RHI,2018-01-24,57.43,57.43
44,RHI,2018-01-23,57.06,57.06
45,RHI,2018-01-22,57.45,57.45
46,RHI,2018-01-19,57.02,57.02
47,RHI,2018-01-18,55.92,55.92
48,RHI,2018-01-17,57.12,57.12
49,RHI,2018-01-16,55.7,55.7
50,RHI,2018-01-12,56.36,56.36
51,RHI,2018-01-11,56.59,56.59
52,RHI,2018-01-10,55.79,55.79
53,RHI,2018-01-09,56.63,56.63
54,RHI,2018-01-08,56.77,56.77
55,RHI,2018-01-05,56.31,56.31
56,RHI,2018-01-04,55.98,55.98
57,RHI,2018-01-03,55.81,55.81
58,RHI,2018-01-02,55.91,55.91
59,RHI,2017-12-29,55.54,55.54
60,RHI,2017-12-28,56.03,56.03
61,RHI,2017-12-27,55.43,55.43
62,RHI,2017-12-26,55.31,55.31
63,RHI,2017-12-22,55.68,55.68
64,RHI,2017-12-21,55.87,55.87
65,RHI,2017-12-20,55.87,55.87
66,RHI,2017-12-19,55.4,55.4
67,RHI,2017-12-18,55.37,55.37
68,RHI,2017-12-15,55.26,55.26
69,RHI,2017-12-14,54.22,54.22
70,RHI,2017-12-13,54.35,54.35
71,RHI,2017-12-12,54.36,54.36
72,RHI,2017-12-11,54.56,54.56
73,RHI,2017-12-08,54.68,54.68
74,RHI,2017-12-07,53.53,53.53
75,RHI,2017-12-06,53.08,53.08
76,RHI,2017-12-05,53.29,53.29
77,RHI,2017-12-04,56.66,56.66
78,RHI,2017-12-01,56.08,56.08
79,RHI,2017-11-30,57.04,57.04
80,RHI,2017-11-29,56.82,56.82
81,RHI,2017-11-28,55.91,55.91
82,RHI,2017-11-27,54.91,54.91
83,RHI,2017-11-24,54.69,54.69
84,RHI,2017-11-22,54.59,54.59
85,RHI,2017-11-21,55.11,55.11
86,RHI,2017-11-20,54.9,54.9
87,RHI,2017-11-17,54.9,54.9
88,RHI,2017-11-16,54.9,54.9
89,RHI,2017-11-15,53.43,53.43
90,RHI,2017-11-14,53.51,53.51
91,RHI,2017-11-13,53.53,53.53
92,RHI,2017-11-10,52.9,52.9
93,RHI,2017-11-09,52.55,52.55
94,RHI,2017-11-07,52.43,52.43
95,RHI,2017-11-06,52.25,52.25
96,RHI,2017-11-03,52.34,52.34
97,RHI,2017-11-02,51.85,51.85
98,RHI,2017-11-01,51.55,51.55
99,RHI,2017-10-31,51.77,51.77
100,RHI,2017-10-30,51.0,51.0
101,RHI,2017-10-27,52.84,52.84
102,RHI,2017-10-26,53.26,53.26
103,RHI,2017-10-25,51.6,51.6
104,RHI,2017-10-24,50.86,50.86
105,RHI,2017-10-23,50.84,50.84
106,RHI,2017-10-20,51.65,51.65
107,RHI,2017-10-19,50.92,50.92
108,RHI,2017-10-18,50.07,50.07
109,RHI,2017-10-17,48.98,48.98
110,RHI,2017-10-16,49.05,49.05
111,RHI,2017-10-13,49.01,49.01
112,RHI,2017-10-12,48.9,48.9
113,RHI,2017-10-11,48.74,48.74
114,RHI,2017-10-10,51.37,51.37
115,RHI,2017-10-09,51.26,51.26
116,RHI,2017-10-06,51.14,51.14
117,RHI,2017-10-05,51.17,51.17
118,RHI,2017-10-04,51.46,51.46
119,RHI,2017-10-03,51.38,51.38
120,RHI,2017-10-02,51.16,51.16
121,RHI,2017-09-29,50.34,50.34
122,RHI,2017-09-28,50.41,50.41
123,RHI,2017-09-27,49.5,49.5
124,RHI,2017-09-26,49.1,49.1
125,RHI,2017-09-25,49.11,49.11
126,RHI,2017-09-22,48.6,48.6
127,RHI,2017-09-21,47.96,47.96
128,RHI,2017-09-20,47.93,47.93
129,RHI,2017-09-19,47.45,47.45
130,RHI,2017-09-18,46.92,46.92
131,RHI,2017-09-15,46.47,46.47
132,RHI,2017-09-14,46.19,46.19
133,RHI,2017-09-13,46.35,46.35
134,RHI,2017-09-12,46.45,46.45
135,RHI,2017-09-11,45.86,45.86
136,RHI,2017-09-08,45.49,45.49
137,RHI,2017-09-07,44.85,44.85
138,RHI,2017-09-06,44.39,44.39
139,RHI,2017-09-05,44.62,44.62
140,RHI,2017-09-01,45.28,45.28
141,RHI,2017-08-31,45.3,45.3
142,RHI,2017-08-30,44.25,44.25
143,RHI,2017-08-29,44.45,44.45
144,RHI,2017-08-28,44.1,44.1
145,RHI,2017-08-25,44.04,44.04
146,RHI,2017-08-24,43.72,43.72
147,RHI,2017-08-23,43.7,43.7
148,RHI,2017-08-22,44.07,43.829289940828
149,RHI,2017-08-21,43.56,43.322075557579
150,RHI,2017-08-18,43.33,43.093331816113
151,RHI,2017-08-17,43.24,43.003823395539
152,RHI,2017-08-16,43.84,43.600546199363
153,RHI,2017-08-15,43.88,43.640327719618
154,RHI,2017-08-14,43.98,43.739781520255
155,RHI,2017-08-11,43.41,43.172894856623
156,RHI,2017-08-10,43.42,43.182840236686
157,RHI,2017-08-09,43.93,43.690054619936
158,RHI,2017-08-08,44.24,43.998361401912
159,RHI,2017-08-07,43.87,43.630382339554
160,RHI,2017-08-04,44.22,43.978470641784
161,RHI,2017-08-03,44.49,44.246995903505
162,RHI,2017-08-02,44.51,44.266886663632
163,RHI,2017-08-01,45.12,44.873554847519
164,RHI,2017-07-31,45.25,45.002844788348
165,RHI,2017-07-28,44.82,44.575193445608
166,RHI,2017-07-27,43.82,43.580655439235
167,RHI,2017-07-26,44.24,43.998361401912
168,RHI,2017-07-25,47.8,47.538916704597
169,RHI,2017-07-24,47.17,46.912357760583
170,RHI,2017-07-21,48.42,48.155530268548
171,RHI,2017-07-20,48.66,48.394219390077
172,RHI,2017-07-19,48.45,48.185366408739
173,RHI,2017-07-18,48.33,48.066021847975
