None,ticker,date,close,adj_close
0,RHT,2018-03-27,154.42,154.42
1,RHT,2018-03-26,153.09,153.09
2,RHT,2018-03-23,147.9,147.9
3,RHT,2018-03-22,151.03,151.03
4,RHT,2018-03-21,154.55,154.55
5,RHT,2018-03-20,155.28,155.28
6,RHT,2018-03-19,152.11,152.11
7,RHT,2018-03-16,154.17,154.17
8,RHT,2018-03-15,154.43,154.43
9,RHT,2018-03-14,155.04,155.04
10,RHT,2018-03-13,153.95,153.95
11,RHT,2018-03-12,155.08,155.08
12,RHT,2018-03-09,155.48,155.48
13,RHT,2018-03-08,153.46,153.46
14,RHT,2018-03-07,153.31,153.31
15,RHT,2018-03-06,149.72,149.72
16,RHT,2018-03-05,149.83,149.83
17,RHT,2018-03-02,148.76,148.76
18,RHT,2018-03-01,145.44,145.44
19,RHT,2018-02-28,147.4,147.4
20,RHT,2018-02-27,147.44,147.44
21,RHT,2018-02-26,148.03,148.03
22,RHT,2018-02-23,146.62,146.62
23,RHT,2018-02-22,144.66,144.66
24,RHT,2018-02-21,143.42,143.42
25,RHT,2018-02-20,144.32,144.32
26,RHT,2018-02-16,142.71,142.71
27,RHT,2018-02-15,140.07,140.07
28,RHT,2018-02-14,134.19,134.19
29,RHT,2018-02-13,132.03,132.03
30,RHT,2018-02-12,129.32,129.32
31,RHT,2018-02-09,126.84,126.84
32,RHT,2018-02-08,124.65,124.65
33,RHT,2018-02-07,128.81,128.81
34,RHT,2018-02-06,128.68,128.68
35,RHT,2018-02-05,127.05,127.05
36,RHT,2018-02-02,128.01,128.01
37,RHT,2018-02-01,130.62,130.62
38,RHT,2018-01-31,131.38,131.38
39,RHT,2018-01-30,131.46,131.46
40,RHT,2018-01-29,132.95,132.95
41,RHT,2018-01-26,135.22,135.22
42,RHT,2018-01-25,130.9,130.9
43,RHT,2018-01-24,128.89,128.89
44,RHT,2018-01-23,128.15,128.15
45,RHT,2018-01-22,128.01,128.01
46,RHT,2018-01-19,125.94,125.94
47,RHT,2018-01-18,125.47,125.47
48,RHT,2018-01-17,126.6,126.6
49,RHT,2018-01-16,124.59,124.59
50,RHT,2018-01-12,125.95,125.95
51,RHT,2018-01-11,126.16,126.16
52,RHT,2018-01-10,124.51,124.51
53,RHT,2018-01-09,124.15,124.15
54,RHT,2018-01-08,125.21,125.21
55,RHT,2018-01-05,124.14,124.14
56,RHT,2018-01-04,123.98,123.98
57,RHT,2018-01-03,123.06,123.06
58,RHT,2018-01-02,121.04,121.04
59,RHT,2017-12-29,120.1,120.1
60,RHT,2017-12-28,121.13,121.13
61,RHT,2017-12-27,121.22,121.22
62,RHT,2017-12-26,120.61,120.61
63,RHT,2017-12-22,122.92,122.92
64,RHT,2017-12-21,123.13,123.13
65,RHT,2017-12-20,122.0,122.0
66,RHT,2017-12-19,128.86,128.86
67,RHT,2017-12-18,129.44,129.44
68,RHT,2017-12-15,128.78,128.78
69,RHT,2017-12-14,126.13,126.13
70,RHT,2017-12-13,126.49,126.49
71,RHT,2017-12-12,125.75,125.75
72,RHT,2017-12-11,126.62,126.62
73,RHT,2017-12-08,125.29,125.29
74,RHT,2017-12-07,123.8,123.8
75,RHT,2017-12-06,121.94,121.94
76,RHT,2017-12-05,120.87,120.87
77,RHT,2017-12-04,120.31,120.31
78,RHT,2017-12-01,125.26,125.26
79,RHT,2017-11-30,126.76,126.76
80,RHT,2017-11-29,124.49,124.49
81,RHT,2017-11-28,129.24,129.24
82,RHT,2017-11-27,128.2,128.2
83,RHT,2017-11-24,128.36,128.36
84,RHT,2017-11-22,126.59,126.59
85,RHT,2017-11-21,128.51,128.51
86,RHT,2017-11-20,127.0,127.0
87,RHT,2017-11-17,125.95,125.95
88,RHT,2017-11-16,126.63,126.63
89,RHT,2017-11-15,123.82,123.82
90,RHT,2017-11-14,124.49,124.49
91,RHT,2017-11-13,123.99,123.99
92,RHT,2017-11-10,124.18,124.18
93,RHT,2017-11-09,123.5,123.5
94,RHT,2017-11-07,121.92,121.92
95,RHT,2017-11-06,121.08,121.08
96,RHT,2017-11-03,121.64,121.64
97,RHT,2017-11-02,120.99,120.99
98,RHT,2017-11-01,121.26,121.26
99,RHT,2017-10-31,120.83,120.83
100,RHT,2017-10-30,121.1,121.1
101,RHT,2017-10-27,120.77,120.77
102,RHT,2017-10-26,120.29,120.29
103,RHT,2017-10-25,120.25,120.25
104,RHT,2017-10-24,121.28,121.28
105,RHT,2017-10-23,122.13,122.13
106,RHT,2017-10-20,121.8,121.8
107,RHT,2017-10-19,121.6,121.6
108,RHT,2017-10-18,120.69,120.69
109,RHT,2017-10-17,121.12,121.12
110,RHT,2017-10-16,120.89,120.89
111,RHT,2017-10-13,121.1,121.1
112,RHT,2017-10-12,120.91,120.91
113,RHT,2017-10-11,119.37,119.37
114,RHT,2017-10-10,118.35,118.35
115,RHT,2017-10-09,117.07,117.07
116,RHT,2017-10-06,117.06,117.06
117,RHT,2017-10-05,115.52,115.52
118,RHT,2017-10-04,112.74,112.74
119,RHT,2017-10-03,111.93,111.93
120,RHT,2017-10-02,112.18,112.18
121,RHT,2017-09-29,110.86,110.86
122,RHT,2017-09-28,109.59,109.59
123,RHT,2017-09-27,109.92,109.92
124,RHT,2017-09-26,110.07,110.07
125,RHT,2017-09-25,105.76,105.76
126,RHT,2017-09-22,106.3,106.3
127,RHT,2017-09-21,106.84,106.84
128,RHT,2017-09-20,106.99,106.99
129,RHT,2017-09-19,107.14,107.14
130,RHT,2017-09-18,107.44,107.44
131,RHT,2017-09-15,107.3,107.3
132,RHT,2017-09-14,107.74,107.74
133,RHT,2017-09-13,107.83,107.83
134,RHT,2017-09-12,107.66,107.66
135,RHT,2017-09-11,107.62,107.62
136,RHT,2017-09-08,107.12,107.12
137,RHT,2017-09-07,107.04,107.04
138,RHT,2017-09-06,106.34,106.34
139,RHT,2017-09-05,106.81,106.81
140,RHT,2017-09-01,107.46,107.46
141,RHT,2017-08-31,107.5,107.5
142,RHT,2017-08-30,106.16,106.16
143,RHT,2017-08-29,105.52,105.52
144,RHT,2017-08-28,105.59,105.59
145,RHT,2017-08-25,105.33,105.33
146,RHT,2017-08-24,104.65,104.65
147,RHT,2017-08-23,104.0,104.0
148,RHT,2017-08-22,104.89,104.89
149,RHT,2017-08-21,102.65,102.65
150,RHT,2017-08-18,100.43,100.43
151,RHT,2017-08-17,100.66,100.66
152,RHT,2017-08-16,101.75,101.75
153,RHT,2017-08-15,99.99,99.99
154,RHT,2017-08-14,99.74,99.74
155,RHT,2017-08-11,98.34,98.34
156,RHT,2017-08-10,95.95,95.95
157,RHT,2017-08-09,97.7,97.7
158,RHT,2017-08-08,98.07,98.07
159,RHT,2017-08-07,98.88,98.88
160,RHT,2017-08-04,98.36,98.36
161,RHT,2017-08-03,98.19,98.19
162,RHT,2017-08-02,98.35,98.35
163,RHT,2017-08-01,100.02,100.02
164,RHT,2017-07-31,98.87,98.87
165,RHT,2017-07-28,98.51,98.51
166,RHT,2017-07-27,98.92,98.92
167,RHT,2017-07-26,100.67,100.67
168,RHT,2017-07-25,99.92,99.92
169,RHT,2017-07-24,99.45,99.45
170,RHT,2017-07-21,98.94,98.94
171,RHT,2017-07-20,98.92,98.92
172,RHT,2017-07-19,99.25,99.25
173,RHT,2017-07-18,98.61,98.61
174,RHT,2017-07-17,98.53,98.53
175,RHT,2017-07-14,98.42,98.42
176,RHT,2017-07-13,97.77,97.77
177,RHT,2017-07-12,98.84,98.84
178,RHT,2017-07-11,97.41,97.41
179,RHT,2017-07-10,97.25,97.25
180,RHT,2017-07-07,96.55,96.55
181,RHT,2017-07-06,94.91,94.91
182,RHT,2017-07-05,95.54,95.54
183,RHT,2017-07-03,94.79,94.79
184,RHT,2017-06-30,95.75,95.75
185,RHT,2017-06-29,95.51,95.51
186,RHT,2017-06-28,96.81,96.81
187,RHT,2017-06-27,96.0,96.0
188,RHT,2017-06-26,98.19,98.19
