None,ticker,date,close,adj_close
0,RJF,2018-03-27,87.65,87.65
1,RJF,2018-03-26,89.56,89.56
2,RJF,2018-03-23,87.15,87.15
3,RJF,2018-03-22,91.6,91.6
4,RJF,2018-03-21,96.85,96.85
5,RJF,2018-03-20,96.45,96.45
6,RJF,2018-03-19,96.52,96.52
7,RJF,2018-03-16,97.57,97.57
8,RJF,2018-03-15,95.42,95.42
9,RJF,2018-03-14,95.82,95.82
10,RJF,2018-03-13,97.25,97.25
11,RJF,2018-03-12,98.24,98.24
12,RJF,2018-03-09,98.75,98.75
13,RJF,2018-03-08,96.26,96.26
14,RJF,2018-03-07,96.0,96.0
15,RJF,2018-03-06,95.85,95.85
16,RJF,2018-03-05,93.61,93.61
17,RJF,2018-03-02,91.86,91.86
18,RJF,2018-03-01,92.02,92.02
19,RJF,2018-02-28,92.71,92.71
20,RJF,2018-02-27,93.7,93.7
21,RJF,2018-02-26,92.6,92.6
22,RJF,2018-02-23,91.47,91.47
23,RJF,2018-02-22,90.08,90.08
24,RJF,2018-02-21,91.22,91.22
25,RJF,2018-02-20,92.23,92.23
26,RJF,2018-02-16,92.56,92.56
27,RJF,2018-02-15,91.31,91.31
28,RJF,2018-02-14,91.02,91.02
29,RJF,2018-02-13,88.73,88.73
30,RJF,2018-02-12,89.01,89.01
31,RJF,2018-02-09,87.08,87.08
32,RJF,2018-02-08,86.06,86.06
33,RJF,2018-02-07,91.05,91.05
34,RJF,2018-02-06,91.42,91.42
35,RJF,2018-02-05,89.79,89.79
36,RJF,2018-02-02,94.33,94.33
37,RJF,2018-02-01,97.36,97.36
38,RJF,2018-01-31,96.39,96.39
39,RJF,2018-01-30,95.71,95.71
40,RJF,2018-01-29,96.99,96.99
41,RJF,2018-01-26,98.26,98.26
42,RJF,2018-01-25,95.85,95.85
43,RJF,2018-01-24,96.9,96.9
44,RJF,2018-01-23,96.57,96.57
45,RJF,2018-01-22,96.56,96.56
46,RJF,2018-01-19,96.19,96.19
47,RJF,2018-01-18,95.4,95.4
48,RJF,2018-01-17,96.25,96.25
49,RJF,2018-01-16,95.6,95.6
50,RJF,2018-01-12,96.79,96.79
51,RJF,2018-01-11,95.17,95.17
52,RJF,2018-01-10,94.4,94.4
53,RJF,2018-01-09,93.15,93.15
54,RJF,2018-01-08,91.69,91.69
55,RJF,2018-01-05,90.95,90.95
56,RJF,2018-01-04,90.54,90.54
57,RJF,2018-01-03,89.8,89.8
58,RJF,2018-01-02,88.86,88.86
59,RJF,2017-12-29,89.3,89.3
60,RJF,2017-12-28,89.83,89.83
61,RJF,2017-12-27,89.65,89.65
62,RJF,2017-12-26,89.91,89.91
63,RJF,2017-12-22,90.64,90.64
64,RJF,2017-12-21,90.35,90.35
65,RJF,2017-12-20,88.3,88.3
66,RJF,2017-12-19,88.67,88.67
67,RJF,2017-12-18,88.95,88.95
68,RJF,2017-12-15,88.24,88.24
69,RJF,2017-12-14,86.64,86.64
70,RJF,2017-12-13,87.86,87.86
71,RJF,2017-12-12,89.53,89.53
72,RJF,2017-12-11,89.04,89.04
73,RJF,2017-12-08,89.49,89.49
74,RJF,2017-12-07,88.46,88.46
75,RJF,2017-12-06,87.72,87.72
76,RJF,2017-12-05,88.32,88.32
77,RJF,2017-12-04,90.11,90.11
78,RJF,2017-12-01,88.24,88.24
79,RJF,2017-11-30,88.3,88.3
80,RJF,2017-11-29,88.4,88.4
81,RJF,2017-11-28,87.04,87.04
82,RJF,2017-11-27,85.29,85.29
83,RJF,2017-11-24,84.95,84.95
84,RJF,2017-11-22,84.97,84.97
85,RJF,2017-11-21,85.15,85.15
86,RJF,2017-11-20,84.72,84.72
87,RJF,2017-11-17,83.78,83.78
88,RJF,2017-11-16,83.3,83.3
89,RJF,2017-11-15,82.79,82.79
90,RJF,2017-11-14,83.03,83.03
91,RJF,2017-11-13,83.37,83.37
92,RJF,2017-11-10,83.55,83.55
93,RJF,2017-11-09,83.61,83.61
94,RJF,2017-11-07,84.03,84.03
95,RJF,2017-11-06,85.32,85.32
96,RJF,2017-11-03,85.7,85.7
97,RJF,2017-11-02,86.02,86.02
98,RJF,2017-11-01,83.81,83.81
99,RJF,2017-10-31,84.78,84.78
100,RJF,2017-10-30,85.01,85.01
101,RJF,2017-10-27,85.49,85.49
102,RJF,2017-10-26,84.58,84.58
103,RJF,2017-10-25,85.69,85.69
104,RJF,2017-10-24,86.36,86.36
105,RJF,2017-10-23,86.32,86.32
106,RJF,2017-10-20,86.63,86.63
107,RJF,2017-10-19,85.72,85.72
108,RJF,2017-10-18,85.31,85.31
109,RJF,2017-10-17,84.11,84.11
110,RJF,2017-10-16,85.64,85.64
111,RJF,2017-10-13,85.33,85.33
112,RJF,2017-10-12,86.33,86.33
113,RJF,2017-10-11,86.39,86.39
114,RJF,2017-10-10,86.48,86.48
115,RJF,2017-10-09,86.07,86.07
116,RJF,2017-10-06,86.27,86.27
117,RJF,2017-10-05,86.01,86.01
118,RJF,2017-10-04,85.53,85.53
119,RJF,2017-10-03,85.79,85.79
120,RJF,2017-10-02,84.55,84.55
121,RJF,2017-09-29,84.33,84.33
122,RJF,2017-09-28,84.57,84.349947959787
123,RJF,2017-09-27,84.37,84.150468361916
124,RJF,2017-09-26,82.95,82.734163217031
125,RJF,2017-09-25,82.72,82.50476167948
126,RJF,2017-09-22,82.91,82.694267297457
127,RJF,2017-09-21,82.74,82.524709639267
128,RJF,2017-09-20,82.32,82.105802483737
129,RJF,2017-09-19,81.17,80.958794795979
130,RJF,2017-09-18,80.92,80.70944529864
131,RJF,2017-09-15,79.77,79.562437610881
132,RJF,2017-09-14,78.3,78.096262566529
133,RJF,2017-09-13,78.46,78.255846244826
134,RJF,2017-09-12,78.22,78.01647072738
135,RJF,2017-09-11,77.09,76.889410999409
136,RJF,2017-09-08,75.32,75.12401655825
137,RJF,2017-09-07,74.81,74.615343583678
138,RJF,2017-09-06,76.15,75.951856889415
139,RJF,2017-09-05,76.27,76.071544648137
140,RJF,2017-09-01,78.96,78.754545239503
141,RJF,2017-08-31,78.32,78.116210526316
142,RJF,2017-08-30,78.2,77.996522767593
143,RJF,2017-08-29,77.54,77.338240094619
144,RJF,2017-08-28,78.42,78.215950325251
145,RJF,2017-08-25,78.75,78.545091661739
146,RJF,2017-08-24,78.79,78.584987581313
147,RJF,2017-08-23,79.01,78.804415138971
148,RJF,2017-08-22,79.0,78.794441159077
149,RJF,2017-08-21,77.72,77.517771732703
150,RJF,2017-08-18,77.85,77.647433471319
151,RJF,2017-08-17,77.75,77.547693672383
152,RJF,2017-08-16,79.92,79.712047309284
153,RJF,2017-08-15,80.34,80.130954464814
154,RJF,2017-08-14,80.22,80.011266706091
155,RJF,2017-08-11,79.35,79.143530455352
156,RJF,2017-08-10,79.85,79.64222945003
157,RJF,2017-08-09,81.92,81.706843287995
158,RJF,2017-08-08,82.88,82.664345357776
159,RJF,2017-08-07,82.88,82.664345357776
160,RJF,2017-08-04,82.9,82.684293317564
161,RJF,2017-08-03,82.38,82.165646363099
162,RJF,2017-08-02,82.8,82.584553518628
163,RJF,2017-08-01,83.44,83.222888231815
164,RJF,2017-07-31,83.19,82.973538734477
165,RJF,2017-07-28,82.89,82.67431933767
166,RJF,2017-07-27,82.73,82.514735659373
167,RJF,2017-07-26,85.37,85.147866351271
168,RJF,2017-07-25,84.99,84.768855115316
169,RJF,2017-07-24,83.85,83.631821407451
170,RJF,2017-07-21,82.72,82.50476167948
171,RJF,2017-07-20,82.73,82.514735659373
172,RJF,2017-07-19,82.77,82.554631578947
173,RJF,2017-07-18,82.66,82.444917800118
174,RJF,2017-07-17,82.77,82.554631578947
175,RJF,2017-07-14,82.3,82.08585452395
176,RJF,2017-07-13,82.53,82.315256061502
177,RJF,2017-07-12,82.24,82.026010644589
178,RJF,2017-07-11,81.77,81.557233589592
179,RJF,2017-07-10,82.4,82.185594322886
180,RJF,2017-07-07,81.39,81.178222353637
181,RJF,2017-07-06,81.01,80.799211117682
182,RJF,2017-07-05,81.53,81.317858072147
183,RJF,2017-07-03,81.6,81.387675931402
184,RJF,2017-06-30,80.22,80.011266706091
185,RJF,2017-06-29,80.5,80.290538143111
186,RJF,2017-06-28,80.71,80.280591347008
187,RJF,2017-06-27,78.64,78.221604553694
188,RJF,2017-06-26,77.49,77.077723001854
189,RJF,2017-06-23,76.62,76.212351740896
190,RJF,2017-06-22,77.19,76.779319118765
191,RJF,2017-06-21,77.68,77.26671212781
192,RJF,2017-06-20,78.15,77.734211544649
193,RJF,2017-06-19,79.06,78.639369990019
194,RJF,2017-06-16,78.47,78.052509019944
195,RJF,2017-06-15,78.63,78.211657757591
196,RJF,2017-06-14,78.94,78.520008436783
197,RJF,2017-06-13,78.91,78.490168048474
198,RJF,2017-06-12,78.73,78.311125718621
199,RJF,2017-06-09,78.29,77.873466690091
200,RJF,2017-06-08,76.08,75.675224751336
201,RJF,2017-06-07,73.96,73.566503977508
202,RJF,2017-06-06,73.59,73.198472521699
203,RJF,2017-06-05,73.79,73.397408443758
204,RJF,2017-06-02,73.33,72.939855823022
205,RJF,2017-06-01,73.81,73.417302035964
206,RJF,2017-05-31,72.27,71.885495436108
207,RJF,2017-05-30,73.0,72.611611551624
208,RJF,2017-05-26,73.68,73.287993686625
209,RJF,2017-05-25,73.64,73.248206502213
210,RJF,2017-05-24,72.85,72.462409610079
211,RJF,2017-05-23,73.31,72.919962230816
212,RJF,2017-05-22,73.17,72.780707085374
213,RJF,2017-05-19,73.01,72.621558347727
214,RJF,2017-05-18,72.2,71.815867863387
215,RJF,2017-05-17,71.78,71.398102427062
216,RJF,2017-05-16,76.8,76.391394070749
217,RJF,2017-05-15,75.71,75.307193295527
218,RJF,2017-05-12,74.41,74.014109802141
219,RJF,2017-05-11,74.95,74.551236791701
220,RJF,2017-05-10,75.51,75.108257373467
221,RJF,2017-05-09,75.52,75.11820416957
222,RJF,2017-05-08,75.63,75.227618926703
223,RJF,2017-05-05,76.0,75.595650382512
224,RJF,2017-05-04,76.41,76.003469022734
225,RJF,2017-05-03,76.45,76.043256207146
226,RJF,2017-05-02,75.83,75.426554848762
227,RJF,2017-05-01,74.95,74.551236791701
228,RJF,2017-04-28,74.52,74.123524559274
229,RJF,2017-04-27,74.9,74.501502811187
230,RJF,2017-04-26,75.74,75.337033683835
231,RJF,2017-04-25,75.2,74.799906694275
232,RJF,2017-04-24,75.08,74.68054514104
233,RJF,2017-04-21,73.21,72.820494269786
234,RJF,2017-04-20,74.16,73.765439899567
235,RJF,2017-04-19,72.82,72.43256922177
236,RJF,2017-04-18,73.07,72.681239124345
237,RJF,2017-04-17,73.72,73.327780871037
238,RJF,2017-04-13,72.62,72.233633299711
239,RJF,2017-04-12,73.76,73.367568055449
240,RJF,2017-04-11,74.75,74.352300869642
241,RJF,2017-04-10,75.36,74.959055431923
242,RJF,2017-04-07,75.82,75.416608052659
243,RJF,2017-04-06,75.64,75.237565722806
244,RJF,2017-04-05,74.51,74.113577763171
245,RJF,2017-04-04,75.92,75.516076013689
246,RJF,2017-04-03,76.26,75.854267081189
247,RJF,2017-03-31,76.26,75.854267081189
248,RJF,2017-03-30,76.09,75.685171547439
249,RJF,2017-03-29,74.94,74.326389146443
250,RJF,2017-03-28,75.11,74.494997181603
251,RJF,2017-03-27,73.76,73.156051020038
252,RJF,2017-03-24,74.68,74.068518033846
253,RJF,2017-03-23,74.85,74.237126069006
254,RJF,2017-03-22,74.31,73.70154760438
255,RJF,2017-03-21,73.91,73.304822815768
256,RJF,2017-03-20,77.65,77.014199589289
257,RJF,2017-03-17,77.9,77.262152582171
258,RJF,2017-03-16,77.91,77.272070701887
259,RJF,2017-03-15,77.21,76.577802321816
260,RJF,2017-03-14,78.23,77.589450532776
261,RJF,2017-03-13,79.07,78.422572588861
262,RJF,2017-03-10,79.3,78.650689342313
263,RJF,2017-03-09,79.22,78.571344384591
264,RJF,2017-03-08,78.67,78.025847800249
265,RJF,2017-03-07,78.69,78.04568403968
266,RJF,2017-03-06,79.17,78.521753786014
267,RJF,2017-03-03,79.79,79.136677208363
268,RJF,2017-03-02,79.51,78.858969856334
269,RJF,2017-03-01,81.04,80.376442172775
270,RJF,2017-02-28,78.56,77.916748483381
271,RJF,2017-02-27,79.41,78.759788659181
272,RJF,2017-02-24,78.49,77.847321645374
273,RJF,2017-02-23,78.53,77.886994124235
274,RJF,2017-02-22,79.65,78.997823532349
275,RJF,2017-02-21,79.24,78.591180624021
276,RJF,2017-02-17,78.86,78.21429207484
277,RJF,2017-02-16,79.07,78.422572588861
278,RJF,2017-02-15,79.06,78.412654469146
279,RJF,2017-02-14,78.27,77.629123011638
280,RJF,2017-02-13,77.58,76.944772751282
281,RJF,2017-02-10,76.9,76.270340610642
282,RJF,2017-02-09,77.55,76.915018392136
283,RJF,2017-02-08,76.45,75.824025223453
284,RJF,2017-02-07,76.9,76.270340610642
285,RJF,2017-02-06,76.57,75.943042660037
286,RJF,2017-02-03,76.35,75.7248440263
287,RJF,2017-02-02,74.43,73.820565040963
288,RJF,2017-02-01,75.48,74.861967611069
289,RJF,2017-01-31,74.93,74.316471026728
290,RJF,2017-01-30,75.56,74.941312568792
291,RJF,2017-01-27,75.99,75.36779171655
292,RJF,2017-01-26,77.16,76.528211723239
