None,ticker,date,close,adj_close
0,RMD,2018-03-27,97.28,97.28
1,RMD,2018-03-26,98.27,98.27
2,RMD,2018-03-23,95.47,95.47
3,RMD,2018-03-22,96.48,96.48
4,RMD,2018-03-21,98.33,98.33
5,RMD,2018-03-20,98.18,98.18
6,RMD,2018-03-19,97.75,97.75
7,RMD,2018-03-16,98.19,98.19
8,RMD,2018-03-15,98.11,98.11
9,RMD,2018-03-14,98.59,98.59
10,RMD,2018-03-13,98.89,98.89
11,RMD,2018-03-12,99.54,99.54
12,RMD,2018-03-09,99.68,99.68
13,RMD,2018-03-08,97.61,97.61
14,RMD,2018-03-07,96.65,96.65
15,RMD,2018-03-06,96.18,96.18
16,RMD,2018-03-05,95.44,95.44
17,RMD,2018-03-02,94.92,94.92
18,RMD,2018-03-01,93.96,93.96
19,RMD,2018-02-28,95.27,95.27
20,RMD,2018-02-27,95.5,95.5
21,RMD,2018-02-26,96.4,96.4
22,RMD,2018-02-23,95.42,95.42
23,RMD,2018-02-22,93.78,93.78
24,RMD,2018-02-21,93.2,93.2
25,RMD,2018-02-20,92.83,92.83
26,RMD,2018-02-16,93.81,93.81
27,RMD,2018-02-15,94.19,94.19
28,RMD,2018-02-14,93.47,93.47
29,RMD,2018-02-13,91.52,91.52
30,RMD,2018-02-12,91.73,91.73
31,RMD,2018-02-09,91.05,91.05
32,RMD,2018-02-08,89.26,89.26
33,RMD,2018-02-07,92.59,92.59
34,RMD,2018-02-06,95.05,95.05
35,RMD,2018-02-05,93.33,93.33
36,RMD,2018-02-02,96.97,96.97
37,RMD,2018-02-01,99.65,99.65
38,RMD,2018-01-31,100.79,100.79
39,RMD,2018-01-30,100.67,100.67
40,RMD,2018-01-29,102.82,102.82
41,RMD,2018-01-26,102.8,102.8
42,RMD,2018-01-25,101.62,101.62
43,RMD,2018-01-24,100.22,100.22
44,RMD,2018-01-23,100.35,100.35
45,RMD,2018-01-22,87.51,87.51
46,RMD,2018-01-19,88.68,88.68
47,RMD,2018-01-18,88.79,88.79
48,RMD,2018-01-17,88.73,88.73
49,RMD,2018-01-16,87.86,87.86
50,RMD,2018-01-12,87.78,87.78
