None,ticker,date,close,adj_close
0,ROL,2018-03-27,50.42,50.42
1,ROL,2018-03-26,51.62,51.62
2,ROL,2018-03-23,50.04,50.04
3,ROL,2018-03-22,50.72,50.72
4,ROL,2018-03-21,51.8,51.8
5,ROL,2018-03-20,51.97,51.97
6,ROL,2018-03-19,51.47,51.47
7,ROL,2018-03-16,51.46,51.46
8,ROL,2018-03-15,51.33,51.33
9,ROL,2018-03-14,51.71,51.71
10,ROL,2018-03-13,52.23,52.23
11,ROL,2018-03-12,52.82,52.82
12,ROL,2018-03-09,52.87,52.87
13,ROL,2018-03-08,52.23,52.23
14,ROL,2018-03-07,52.21,52.21
15,ROL,2018-03-06,51.24,51.24
16,ROL,2018-03-05,50.25,50.25
17,ROL,2018-03-02,49.66,49.66
18,ROL,2018-03-01,49.45,49.45
19,ROL,2018-02-28,50.27,50.27
20,ROL,2018-02-27,50.92,50.92
21,ROL,2018-02-26,51.42,51.42
22,ROL,2018-02-23,51.18,51.18
23,ROL,2018-02-22,50.38,50.38
24,ROL,2018-02-21,49.98,49.98
25,ROL,2018-02-20,49.95,49.95
26,ROL,2018-02-16,49.89,49.89
27,ROL,2018-02-15,48.75,48.75
28,ROL,2018-02-14,48.2,48.2
29,ROL,2018-02-13,47.18,47.18
30,ROL,2018-02-12,47.08,47.08
31,ROL,2018-02-09,45.84,45.84
32,ROL,2018-02-08,45.46,45.46
33,ROL,2018-02-07,47.64,47.64
34,ROL,2018-02-06,46.86,46.86
35,ROL,2018-02-05,46.8,46.8
36,ROL,2018-02-02,48.2,48.2
37,ROL,2018-02-01,49.16,49.16
38,ROL,2018-01-31,49.34,49.34
39,ROL,2018-01-30,49.7,49.7
40,ROL,2018-01-29,50.24,50.24
41,ROL,2018-01-26,50.61,50.61
42,ROL,2018-01-25,50.49,50.49
43,ROL,2018-01-24,50.49,50.49
44,ROL,2018-01-23,47.88,47.88
45,ROL,2018-01-22,47.88,47.88
46,ROL,2018-01-19,47.88,47.88
47,ROL,2018-01-18,47.6,47.6
48,ROL,2018-01-17,47.69,47.69
49,ROL,2018-01-16,47.49,47.49
50,ROL,2018-01-12,47.62,47.62
51,ROL,2018-01-11,47.69,47.69
52,ROL,2018-01-10,47.19,47.19
53,ROL,2018-01-09,47.64,47.64
54,ROL,2018-01-08,47.58,47.58
55,ROL,2018-01-05,47.11,47.11
56,ROL,2018-01-04,47.35,47.35
57,ROL,2018-01-03,46.48,46.48
58,ROL,2018-01-02,46.65,46.65
59,ROL,2017-12-29,46.53,46.53
60,ROL,2017-12-28,46.58,46.58
61,ROL,2017-12-27,46.8,46.8
62,ROL,2017-12-26,46.67,46.67
63,ROL,2017-12-22,46.45,46.45
64,ROL,2017-12-21,46.87,46.87
65,ROL,2017-12-20,47.15,47.15
66,ROL,2017-12-19,46.92,46.92
67,ROL,2017-12-18,46.85,46.85
68,ROL,2017-12-15,46.82,46.82
69,ROL,2017-12-14,45.7,45.7
70,ROL,2017-12-13,45.79,45.79
71,ROL,2017-12-12,45.3,45.3
72,ROL,2017-12-11,45.34,45.34
73,ROL,2017-12-08,46.0,46.0
74,ROL,2017-12-07,46.46,46.46
75,ROL,2017-12-06,46.17,46.17
76,ROL,2017-12-05,45.59,45.59
77,ROL,2017-12-04,46.1,46.1
78,ROL,2017-12-01,46.7,46.7
79,ROL,2017-11-30,46.35,46.35
80,ROL,2017-11-29,46.11,46.11
81,ROL,2017-11-28,45.35,45.35
82,ROL,2017-11-27,45.24,45.24
83,ROL,2017-11-24,45.22,45.22
84,ROL,2017-11-22,45.32,45.32
85,ROL,2017-11-21,45.4,45.4
86,ROL,2017-11-20,45.19,45.19
87,ROL,2017-11-17,45.01,45.01
88,ROL,2017-11-16,45.31,45.31
89,ROL,2017-11-15,44.93,44.93
90,ROL,2017-11-14,45.29,45.29
91,ROL,2017-11-13,45.34,45.34
92,ROL,2017-11-10,44.99,44.99
93,ROL,2017-11-09,44.72,44.72
94,ROL,2017-11-07,45.37,45.152918660287
95,ROL,2017-11-06,45.11,44.894162679426
96,ROL,2017-11-03,45.28,45.063349282297
97,ROL,2017-11-02,44.7,44.486124401914
98,ROL,2017-11-01,43.7,43.490909090909
99,ROL,2017-10-31,43.91,43.69990430622
100,ROL,2017-10-30,43.23,43.023157894737
101,ROL,2017-10-27,43.44,43.232153110048
102,ROL,2017-10-26,44.04,43.829282296651
103,ROL,2017-10-25,44.1,43.888995215311
104,ROL,2017-10-24,47.15,46.924401913876
105,ROL,2017-10-23,47.62,47.392153110048
106,ROL,2017-10-20,47.7,47.471770334928
107,ROL,2017-10-19,47.66,47.431961722488
108,ROL,2017-10-18,47.66,47.431961722488
109,ROL,2017-10-17,47.81,47.581244019139
110,ROL,2017-10-16,47.67,47.441913875598
111,ROL,2017-10-13,47.61,47.382200956938
112,ROL,2017-10-12,47.59,47.362296650718
113,ROL,2017-10-11,47.48,47.252822966507
114,ROL,2017-10-10,47.33,47.103540669856
115,ROL,2017-10-09,47.03,46.804976076555
116,ROL,2017-10-06,46.87,46.645741626794
117,ROL,2017-10-05,46.14,45.919234449761
118,ROL,2017-10-04,46.22,45.998851674641
119,ROL,2017-10-03,46.13,45.909282296651
