None,ticker,date,close,adj_close
0,ROP,2018-03-27,277.41,277.41
1,ROP,2018-03-26,282.52,282.52
2,ROP,2018-03-23,274.79,274.79
3,ROP,2018-03-22,280.86,280.86
4,ROP,2018-03-21,289.86,289.86
5,ROP,2018-03-20,288.97,288.97
6,ROP,2018-03-19,283.84,283.84
7,ROP,2018-03-16,286.67,286.67
8,ROP,2018-03-15,282.86,282.86
9,ROP,2018-03-14,279.85,279.85
10,ROP,2018-03-13,281.66,281.66
11,ROP,2018-03-12,282.83,282.83
12,ROP,2018-03-09,285.04,285.04
13,ROP,2018-03-08,279.69,279.69
14,ROP,2018-03-07,279.39,279.39
15,ROP,2018-03-06,273.74,273.74
16,ROP,2018-03-05,272.53,272.53
17,ROP,2018-03-02,268.01,268.01
18,ROP,2018-03-01,267.49,267.49
19,ROP,2018-02-28,275.09,275.09
20,ROP,2018-02-27,280.33,280.33
21,ROP,2018-02-26,285.33,285.33
22,ROP,2018-02-23,281.14,281.14
23,ROP,2018-02-22,279.6,279.6
24,ROP,2018-02-21,278.43,278.43
25,ROP,2018-02-20,276.74,276.74
26,ROP,2018-02-16,276.31,276.31
27,ROP,2018-02-15,275.75,275.75
28,ROP,2018-02-14,271.09,271.09
29,ROP,2018-02-13,270.47,270.47
30,ROP,2018-02-12,270.12,270.12
31,ROP,2018-02-09,261.53,261.53
32,ROP,2018-02-08,259.4,259.4
33,ROP,2018-02-07,266.19,266.19
34,ROP,2018-02-06,268.79,268.79
35,ROP,2018-02-05,266.75,266.75
36,ROP,2018-02-02,285.2,285.2
37,ROP,2018-02-01,281.25,281.25
38,ROP,2018-01-31,280.59,280.59
39,ROP,2018-01-30,279.63,279.63
40,ROP,2018-01-29,281.3,281.3
41,ROP,2018-01-26,284.14,284.14
42,ROP,2018-01-25,279.08,279.08
43,ROP,2018-01-24,276.51,276.51
44,ROP,2018-01-23,276.63,276.63
45,ROP,2018-01-22,276.07,276.07
46,ROP,2018-01-19,275.69,275.69
47,ROP,2018-01-18,276.42,276.42
