None,ticker,date,close,adj_close
0,RTN,2018-03-27,215.11,215.11
1,RTN,2018-03-26,218.73,218.73
2,RTN,2018-03-23,214.57,214.57
3,RTN,2018-03-22,209.11,209.11
4,RTN,2018-03-21,213.48,213.48
5,RTN,2018-03-20,213.05,213.05
6,RTN,2018-03-19,210.75,210.75
7,RTN,2018-03-16,210.08,210.08
8,RTN,2018-03-15,208.58,208.58
9,RTN,2018-03-14,208.31,208.31
10,RTN,2018-03-13,210.62,210.62
11,RTN,2018-03-12,210.04,210.04
12,RTN,2018-03-09,214.81,214.81
13,RTN,2018-03-08,214.09,214.09
14,RTN,2018-03-07,214.36,214.36
15,RTN,2018-03-06,213.24,213.24
16,RTN,2018-03-05,215.0,215.0
17,RTN,2018-03-02,214.78,214.78
18,RTN,2018-03-01,211.36,211.36
19,RTN,2018-02-28,217.51,217.51
20,RTN,2018-02-27,219.19,219.19
21,RTN,2018-02-26,219.86,219.86
22,RTN,2018-02-23,218.24,218.24
23,RTN,2018-02-22,215.36,215.36
24,RTN,2018-02-21,215.8,215.8
25,RTN,2018-02-20,216.54,216.54
26,RTN,2018-02-16,217.73,217.73
27,RTN,2018-02-15,218.18,218.18
28,RTN,2018-02-14,212.58,212.58
29,RTN,2018-02-13,209.53,209.53
30,RTN,2018-02-12,207.52,207.52
31,RTN,2018-02-09,204.52,204.52
32,RTN,2018-02-08,198.74,198.74
33,RTN,2018-02-07,204.32,204.32
34,RTN,2018-02-06,201.13,201.13
35,RTN,2018-02-05,198.36,198.36
36,RTN,2018-02-02,206.8,206.8
37,RTN,2018-02-01,210.85,210.85
38,RTN,2018-01-31,208.94,208.94
39,RTN,2018-01-30,209.18,209.18
40,RTN,2018-01-29,211.22,211.22
41,RTN,2018-01-26,208.91,208.91
42,RTN,2018-01-25,202.84,202.84
43,RTN,2018-01-24,198.09,198.09
44,RTN,2018-01-23,196.23,196.23
45,RTN,2018-01-22,196.37,196.37
46,RTN,2018-01-19,196.68,196.68
47,RTN,2018-01-18,195.71,195.71
48,RTN,2018-01-17,196.99,196.99
49,RTN,2018-01-16,195.73,195.73
50,RTN,2018-01-12,197.46,197.46
51,RTN,2018-01-11,193.35,193.35
52,RTN,2018-01-10,193.48,193.48
53,RTN,2018-01-09,193.7,193.7
54,RTN,2018-01-08,192.36,192.36
55,RTN,2018-01-05,190.23,190.23
56,RTN,2018-01-04,190.09,190.09
57,RTN,2018-01-03,188.3,188.3
58,RTN,2018-01-02,186.28,186.28
59,RTN,2017-12-29,187.85,187.85
60,RTN,2017-12-28,188.92,188.92
61,RTN,2017-12-27,187.91,187.91
62,RTN,2017-12-26,187.46,187.46
63,RTN,2017-12-22,187.31,187.31
64,RTN,2017-12-21,186.84,186.84
65,RTN,2017-12-20,186.67,186.67
66,RTN,2017-12-19,187.43,187.43
67,RTN,2017-12-18,188.73,188.73
68,RTN,2017-12-15,191.38,191.38
69,RTN,2017-12-14,188.78,188.78
70,RTN,2017-12-13,188.65,188.65
71,RTN,2017-12-12,186.89,186.89
72,RTN,2017-12-11,187.08,187.08
73,RTN,2017-12-08,188.07,188.07
74,RTN,2017-12-07,186.14,186.14
75,RTN,2017-12-06,185.2,185.2
76,RTN,2017-12-05,183.85,183.85
77,RTN,2017-12-04,185.54,185.54
78,RTN,2017-12-01,186.89,186.89
79,RTN,2017-11-30,191.15,191.15
80,RTN,2017-11-29,188.58,188.58
81,RTN,2017-11-28,188.75,188.75
82,RTN,2017-11-27,186.85,186.85
83,RTN,2017-11-24,186.06,186.06
84,RTN,2017-11-22,185.46,185.46
85,RTN,2017-11-21,186.59,186.59
86,RTN,2017-11-20,183.88,183.88
87,RTN,2017-11-17,182.85,182.85
88,RTN,2017-11-16,184.27,184.27
89,RTN,2017-11-15,182.85,182.85
90,RTN,2017-11-14,183.94,183.94
91,RTN,2017-11-13,184.46,184.46
92,RTN,2017-11-10,184.81,184.81
93,RTN,2017-11-09,184.94,184.94
94,RTN,2017-11-07,186.8,186.8
95,RTN,2017-11-06,184.46,184.46
96,RTN,2017-11-03,184.71,184.71
97,RTN,2017-11-02,184.02,184.02
98,RTN,2017-11-01,180.26,180.26
99,RTN,2017-10-31,180.2,180.2
100,RTN,2017-10-30,179.58,179.58
101,RTN,2017-10-27,180.28,180.28
102,RTN,2017-10-26,181.86,181.86
103,RTN,2017-10-25,189.255,189.255
104,RTN,2017-10-24,189.1,189.1
105,RTN,2017-10-23,189.07,189.07
106,RTN,2017-10-20,188.9,188.9
107,RTN,2017-10-19,186.95,186.95
108,RTN,2017-10-18,187.23,187.23
109,RTN,2017-10-17,188.65,188.65
110,RTN,2017-10-16,188.71,188.71
111,RTN,2017-10-13,187.89,187.89
112,RTN,2017-10-12,188.91,188.91
113,RTN,2017-10-11,187.22,187.22
114,RTN,2017-10-10,187.69,186.89339212203
115,RTN,2017-10-09,188.0,187.20207639694
116,RTN,2017-10-06,187.73,186.93322235105
117,RTN,2017-10-05,187.18,186.38555670202
118,RTN,2017-10-04,187.55,186.75398632046
119,RTN,2017-10-03,188.31,187.51076067185
120,RTN,2017-10-02,187.65,186.85356189301
121,RTN,2017-09-29,186.58,185.78810326671
122,RTN,2017-09-28,184.02,183.23896860939
123,RTN,2017-09-27,184.55,183.76671914391
124,RTN,2017-09-26,184.67,183.88620983097
125,RTN,2017-09-25,183.76,182.98007212075
126,RTN,2017-09-22,184.69,183.90612494548
127,RTN,2017-09-21,185.04,184.25463944941
128,RTN,2017-09-20,184.8,184.01565807529
129,RTN,2017-09-19,183.25,182.47223670074
130,RTN,2017-09-18,183.31,182.53198204427
131,RTN,2017-09-15,182.5,181.7254199066
132,RTN,2017-09-14,181.34,180.57034326501
133,RTN,2017-09-13,180.49,179.72395089832
134,RTN,2017-09-12,182.5,181.7254199066
135,RTN,2017-09-11,182.72,181.94448616622
136,RTN,2017-09-08,181.69,180.91885776894
137,RTN,2017-09-07,181.3,180.53051303599
138,RTN,2017-09-06,180.25,179.48496952419
139,RTN,2017-09-05,183.08,182.3029582274
140,RTN,2017-09-01,181.38,180.61017349403
141,RTN,2017-08-31,182.01,181.2374996011
142,RTN,2017-08-30,182.15,181.37690540267
143,RTN,2017-08-29,182.11,181.33707517365
144,RTN,2017-08-28,178.24,177.48350051591
145,RTN,2017-08-25,178.03,177.27439181355
146,RTN,2017-08-24,177.99,177.23456158453
147,RTN,2017-08-23,178.19,177.43371272963
148,RTN,2017-08-22,179.22,178.45934112691
149,RTN,2017-08-21,176.74,175.98986692763
150,RTN,2017-08-18,176.9,176.14918784372
151,RTN,2017-08-17,177.25,176.49770234765
152,RTN,2017-08-16,178.08,177.32417959983
153,RTN,2017-08-15,178.22,177.4635854014
154,RTN,2017-08-14,180.34,179.57458753949
155,RTN,2017-08-11,179.35,178.58878937123
156,RTN,2017-08-10,177.62,176.86613196609
157,RTN,2017-08-09,179.3,178.53900158495
158,RTN,2017-08-08,174.8,174.05810082013
159,RTN,2017-08-07,173.51,172.77357593422
160,RTN,2017-08-04,173.87,173.1320479954
161,RTN,2017-08-03,174.14,173.40090204129
162,RTN,2017-08-02,173.79,173.05238753736
163,RTN,2017-08-01,171.47,170.74223425417
164,RTN,2017-07-31,171.77,171.04096097182
165,RTN,2017-07-28,172.02,171.2898999032
166,RTN,2017-07-27,169.53,168.81046814667
167,RTN,2017-07-26,168.88,168.16322692508
168,RTN,2017-07-25,169.59,168.8702134902
169,RTN,2017-07-24,169.46,168.74076524588
