None,ticker,date,close,adj_close
0,SBAC,2018-03-27,170.1,170.1
1,SBAC,2018-03-26,173.43,173.43
2,SBAC,2018-03-23,168.87,168.87
3,SBAC,2018-03-22,169.41,169.41
4,SBAC,2018-03-21,167.09,167.09
5,SBAC,2018-03-20,169.33,169.33
6,SBAC,2018-03-19,168.96,168.96
7,SBAC,2018-03-16,168.69,168.69
8,SBAC,2018-03-15,169.8,169.8
9,SBAC,2018-03-14,170.23,170.23
10,SBAC,2018-03-13,170.34,170.34
11,SBAC,2018-03-12,168.91,168.91
12,SBAC,2018-03-09,166.49,166.49
13,SBAC,2018-03-08,164.21,164.21
14,SBAC,2018-03-07,158.77,158.77
15,SBAC,2018-03-06,156.5,156.5
16,SBAC,2018-03-05,156.68,156.68
17,SBAC,2018-03-02,152.91,152.91
18,SBAC,2018-03-01,154.96,154.96
19,SBAC,2018-02-28,157.27,157.27
20,SBAC,2018-02-27,163.2,163.2
21,SBAC,2018-02-26,172.73,172.73
22,SBAC,2018-02-23,172.93,172.93
23,SBAC,2018-02-22,171.12,171.12
24,SBAC,2018-02-21,169.5,169.5
25,SBAC,2018-02-20,169.72,169.72
26,SBAC,2018-02-16,169.12,169.12
27,SBAC,2018-02-15,167.1,167.1
28,SBAC,2018-02-14,162.56,162.56
29,SBAC,2018-02-13,161.42,161.42
30,SBAC,2018-02-12,159.63,159.63
31,SBAC,2018-02-09,159.67,159.67
32,SBAC,2018-02-08,159.75,159.75
33,SBAC,2018-02-07,166.53,166.53
34,SBAC,2018-02-06,166.23,166.23
35,SBAC,2018-02-05,168.68,168.68
36,SBAC,2018-02-02,173.17,173.17
37,SBAC,2018-02-01,174.73,174.73
38,SBAC,2018-01-31,174.5,174.5
39,SBAC,2018-01-30,169.71,169.71
40,SBAC,2018-01-29,169.52,169.52
41,SBAC,2018-01-26,172.28,172.28
42,SBAC,2018-01-25,170.29,170.29
43,SBAC,2018-01-24,168.96,168.96
44,SBAC,2018-01-23,168.25,168.25
45,SBAC,2018-01-22,167.629,167.629
46,SBAC,2018-01-19,165.79,165.79
47,SBAC,2018-01-18,161.65,161.65
48,SBAC,2018-01-17,161.47,161.47
49,SBAC,2018-01-16,159.85,159.85
50,SBAC,2018-01-12,155.959,155.959
51,SBAC,2018-01-11,157.5,157.5
52,SBAC,2018-01-10,160.89,160.89
53,SBAC,2018-01-09,163.55,163.55
54,SBAC,2018-01-08,162.89,162.89
55,SBAC,2018-01-05,162.87,162.87
56,SBAC,2018-01-04,161.75,161.75
57,SBAC,2018-01-03,162.64,162.64
58,SBAC,2018-01-02,160.63,160.63
59,SBAC,2017-12-29,163.36,163.36
60,SBAC,2017-12-28,163.0,163.0
61,SBAC,2017-12-27,161.26,161.26
62,SBAC,2017-12-26,159.82,159.82
63,SBAC,2017-12-22,160.22,160.22
64,SBAC,2017-12-21,157.84,157.84
65,SBAC,2017-12-20,157.98,157.98
66,SBAC,2017-12-19,157.99,157.99
67,SBAC,2017-12-18,161.79,161.79
68,SBAC,2017-12-15,163.68,163.68
69,SBAC,2017-12-14,165.8,165.8
70,SBAC,2017-12-13,165.43,165.43
71,SBAC,2017-12-12,165.67,165.67
72,SBAC,2017-12-11,166.61,166.61
73,SBAC,2017-12-08,165.19,165.19
74,SBAC,2017-12-07,166.68,166.68
75,SBAC,2017-12-06,166.4,166.4
76,SBAC,2017-12-05,163.87,163.87
77,SBAC,2017-12-04,162.2,162.2
78,SBAC,2017-12-01,169.16,169.16
79,SBAC,2017-11-30,169.75,169.75
80,SBAC,2017-11-29,169.76,169.76
81,SBAC,2017-11-28,172.09,172.09
82,SBAC,2017-11-27,172.35,172.35
83,SBAC,2017-11-24,169.72,169.72
84,SBAC,2017-11-22,166.98,166.98
85,SBAC,2017-11-21,167.83,167.83
86,SBAC,2017-11-20,165.68,165.68
87,SBAC,2017-11-17,165.21,165.21
88,SBAC,2017-11-16,164.67,164.67
89,SBAC,2017-11-15,165.3,165.3
90,SBAC,2017-11-14,165.53,165.53
91,SBAC,2017-11-13,165.2,165.2
92,SBAC,2017-11-10,168.95,168.95
93,SBAC,2017-11-09,169.51,169.51
94,SBAC,2017-11-07,165.65,165.65
95,SBAC,2017-11-06,164.42,164.42
96,SBAC,2017-11-03,154.53,154.53
97,SBAC,2017-11-02,156.1,156.1
98,SBAC,2017-11-01,152.58,152.58
99,SBAC,2017-10-31,157.18,157.18
100,SBAC,2017-10-30,150.17,150.17
101,SBAC,2017-10-27,146.72,146.72
102,SBAC,2017-10-26,146.55,146.55
103,SBAC,2017-10-25,146.48,146.48
104,SBAC,2017-10-24,148.23,148.23
105,SBAC,2017-10-23,147.99,147.99
106,SBAC,2017-10-20,147.89,147.89
107,SBAC,2017-10-19,148.0,148.0
108,SBAC,2017-10-18,147.4,147.4
109,SBAC,2017-10-17,148.46,148.46
110,SBAC,2017-10-16,149.11,149.11
111,SBAC,2017-10-13,150.94,150.94
112,SBAC,2017-10-12,152.22,152.22
113,SBAC,2017-10-11,151.35,151.35
114,SBAC,2017-10-10,148.42,148.42
115,SBAC,2017-10-09,147.73,147.73
116,SBAC,2017-10-06,147.32,147.32
117,SBAC,2017-10-05,146.87,146.87
118,SBAC,2017-10-04,147.21,147.21
119,SBAC,2017-10-03,143.77,143.77
120,SBAC,2017-10-02,142.87,142.87
121,SBAC,2017-09-29,144.05,144.05
122,SBAC,2017-09-28,143.76,143.76
123,SBAC,2017-09-27,142.98,142.98
124,SBAC,2017-09-26,142.41,142.41
125,SBAC,2017-09-25,141.46,141.46
126,SBAC,2017-09-22,142.62,142.62
127,SBAC,2017-09-21,145.01,145.01
128,SBAC,2017-09-20,146.08,146.08
129,SBAC,2017-09-19,145.42,145.42
130,SBAC,2017-09-18,150.53,150.53
131,SBAC,2017-09-15,149.99,149.99
132,SBAC,2017-09-14,148.77,148.77
133,SBAC,2017-09-13,149.15,149.15
134,SBAC,2017-09-12,149.74,149.74
135,SBAC,2017-09-11,150.13,150.13
136,SBAC,2017-09-08,149.45,149.45
137,SBAC,2017-09-07,150.65,150.65
138,SBAC,2017-09-06,150.5,150.5
139,SBAC,2017-09-05,151.16,151.16
140,SBAC,2017-09-01,150.9,150.9
141,SBAC,2017-08-31,153.55,153.55
142,SBAC,2017-08-30,153.04,153.04
143,SBAC,2017-08-29,152.0,152.0
144,SBAC,2017-08-28,152.36,152.36
145,SBAC,2017-08-25,152.1,152.1
146,SBAC,2017-08-24,148.08,148.08
147,SBAC,2017-08-23,146.23,146.23
148,SBAC,2017-08-22,145.59,145.59
149,SBAC,2017-08-21,144.06,144.06
150,SBAC,2017-08-18,142.9,142.9
151,SBAC,2017-08-17,142.21,142.21
152,SBAC,2017-08-16,143.72,143.72
153,SBAC,2017-08-15,141.3,141.3
154,SBAC,2017-08-14,140.49,140.49
155,SBAC,2017-08-11,138.27,138.27
156,SBAC,2017-08-10,139.07,139.07
157,SBAC,2017-08-09,139.03,139.03
158,SBAC,2017-08-08,138.22,138.22
159,SBAC,2017-08-07,139.52,139.52
160,SBAC,2017-08-04,139.96,139.96
161,SBAC,2017-08-03,138.36,138.36
162,SBAC,2017-08-02,138.0,138.0
163,SBAC,2017-08-01,137.43,137.43
164,SBAC,2017-07-31,137.55,137.55
165,SBAC,2017-07-28,137.64,137.64
166,SBAC,2017-07-27,136.0,136.0
167,SBAC,2017-07-26,135.57,135.57
168,SBAC,2017-07-25,135.45,135.45
169,SBAC,2017-07-24,136.18,136.18
170,SBAC,2017-07-21,136.6,136.6
171,SBAC,2017-07-20,135.81,135.81
172,SBAC,2017-07-19,138.46,138.46
173,SBAC,2017-07-18,137.49,137.49
174,SBAC,2017-07-17,136.0,136.0
175,SBAC,2017-07-14,136.49,136.49
176,SBAC,2017-07-13,135.91,135.91
177,SBAC,2017-07-12,136.25,136.25
178,SBAC,2017-07-11,133.6,133.6
179,SBAC,2017-07-10,134.49,134.49
180,SBAC,2017-07-07,136.68,136.68
181,SBAC,2017-07-06,134.36,134.36
182,SBAC,2017-07-05,134.41,134.41
183,SBAC,2017-07-03,134.28,134.28
184,SBAC,2017-06-30,134.9,134.9
185,SBAC,2017-06-29,134.52,134.52
186,SBAC,2017-06-28,134.35,134.35
187,SBAC,2017-06-27,135.74,135.74
188,SBAC,2017-06-26,132.8,132.8
