None,ticker,date,close,adj_close
0,SCHW,2018-03-27,51.53,51.53
1,SCHW,2018-03-26,52.96,52.96
2,SCHW,2018-03-23,51.32,51.32
3,SCHW,2018-03-22,53.4,53.4
4,SCHW,2018-03-21,55.84,55.84
5,SCHW,2018-03-20,55.97,55.97
6,SCHW,2018-03-19,55.67,55.67
7,SCHW,2018-03-16,55.71,55.71
8,SCHW,2018-03-15,55.59,55.59
9,SCHW,2018-03-14,55.94,55.94
10,SCHW,2018-03-13,56.68,56.68
11,SCHW,2018-03-12,57.76,57.76
12,SCHW,2018-03-09,57.7,57.7
13,SCHW,2018-03-08,55.91,55.91
14,SCHW,2018-03-07,55.43,55.43
15,SCHW,2018-03-06,54.73,54.73
16,SCHW,2018-03-05,53.61,53.61
17,SCHW,2018-03-02,52.63,52.63
18,SCHW,2018-03-01,52.05,52.05
19,SCHW,2018-02-28,53.02,53.02
20,SCHW,2018-02-27,53.8,53.8
21,SCHW,2018-02-26,53.73,53.73
22,SCHW,2018-02-23,52.74,52.74
23,SCHW,2018-02-22,52.03,52.03
24,SCHW,2018-02-21,52.3,52.3
25,SCHW,2018-02-20,52.34,52.34
26,SCHW,2018-02-16,52.17,52.17
27,SCHW,2018-02-15,52.33,52.33
28,SCHW,2018-02-14,52.4,52.4
29,SCHW,2018-02-13,51.15,51.15
30,SCHW,2018-02-12,50.94,50.94
31,SCHW,2018-02-09,50.12,50.12
32,SCHW,2018-02-08,48.9,48.9
33,SCHW,2018-02-07,52.03,52.03
34,SCHW,2018-02-06,52.86,52.86
35,SCHW,2018-02-05,51.29,51.29
36,SCHW,2018-02-02,53.34,53.34
37,SCHW,2018-02-01,54.91,54.91
38,SCHW,2018-01-31,53.34,53.34
39,SCHW,2018-01-30,53.2,53.2
40,SCHW,2018-01-29,54.05,54.05
41,SCHW,2018-01-26,54.27,54.27
42,SCHW,2018-01-25,54.18,54.18
43,SCHW,2018-01-24,55.39,55.39
44,SCHW,2018-01-23,55.32,55.32
45,SCHW,2018-01-22,55.44,55.44
46,SCHW,2018-01-19,55.48,55.48
47,SCHW,2018-01-18,55.33,55.33
48,SCHW,2018-01-17,56.09,56.09
49,SCHW,2018-01-16,55.53,55.53
50,SCHW,2018-01-12,55.39,55.39
51,SCHW,2018-01-11,54.17,54.17
52,SCHW,2018-01-10,53.56,53.56
53,SCHW,2018-01-09,53.34,53.34
