None,ticker,date,close,adj_close
0,SEE,2018-03-27,42.17,42.17
1,SEE,2018-03-26,42.1,42.1
2,SEE,2018-03-23,41.12,41.12
3,SEE,2018-03-22,41.8,41.8
4,SEE,2018-03-21,42.91,42.91
5,SEE,2018-03-20,43.7,43.7
6,SEE,2018-03-19,43.8,43.8
7,SEE,2018-03-16,44.1,44.1
8,SEE,2018-03-15,44.05,44.05
9,SEE,2018-03-14,44.21,44.21
10,SEE,2018-03-13,44.74,44.74
11,SEE,2018-03-12,44.6,44.6
12,SEE,2018-03-09,44.65,44.65
13,SEE,2018-03-08,43.8,43.8
14,SEE,2018-03-07,43.81,43.81
15,SEE,2018-03-06,44.39,44.39
16,SEE,2018-03-05,43.94,43.94
17,SEE,2018-03-02,43.11,43.11
18,SEE,2018-03-01,41.84,41.84
19,SEE,2018-02-28,42.37,42.37
20,SEE,2018-02-27,42.14,42.14
21,SEE,2018-02-26,42.8,42.8
22,SEE,2018-02-23,42.66,42.66
23,SEE,2018-02-22,41.94,41.94
24,SEE,2018-02-21,42.2,42.2
25,SEE,2018-02-20,42.07,42.07
26,SEE,2018-02-16,42.66,42.66
27,SEE,2018-02-15,42.89,42.89
28,SEE,2018-02-14,42.51,42.51
29,SEE,2018-02-13,41.72,41.72
30,SEE,2018-02-12,42.52,42.52
31,SEE,2018-02-09,41.66,41.66
32,SEE,2018-02-08,42.62,42.62
33,SEE,2018-02-07,44.36,44.36
34,SEE,2018-02-06,44.28,44.28
35,SEE,2018-02-05,44.47,44.47
36,SEE,2018-02-02,46.22,46.22
37,SEE,2018-02-01,47.04,47.04
38,SEE,2018-01-31,47.35,47.35
39,SEE,2018-01-30,48.16,48.16
40,SEE,2018-01-29,48.5,48.5
41,SEE,2018-01-26,48.98,48.98
42,SEE,2018-01-25,49.08,49.08
43,SEE,2018-01-24,48.9,48.9
44,SEE,2018-01-23,49.0,49.0
45,SEE,2018-01-22,48.97,48.97
46,SEE,2018-01-19,49.1,49.1
47,SEE,2018-01-18,48.74,48.74
48,SEE,2018-01-17,48.5,48.5
49,SEE,2018-01-16,48.43,48.43
50,SEE,2018-01-12,48.86,48.86
51,SEE,2018-01-11,48.65,48.65
52,SEE,2018-01-10,48.66,48.66
