None,ticker,date,close,adj_close
0,SHW,2018-03-27,390.72,390.72
1,SHW,2018-03-26,394.93,394.93
2,SHW,2018-03-23,388.42,388.42
3,SHW,2018-03-22,393.1,393.1
4,SHW,2018-03-21,405.23,405.23
5,SHW,2018-03-20,405.91,405.91
6,SHW,2018-03-19,405.33,405.33
7,SHW,2018-03-16,409.03,409.03
8,SHW,2018-03-15,410.27,410.27
9,SHW,2018-03-14,409.02,409.02
10,SHW,2018-03-13,413.77,413.77
11,SHW,2018-03-12,415.25,415.25
12,SHW,2018-03-09,421.16,421.16
13,SHW,2018-03-08,404.35,404.35
14,SHW,2018-03-07,407.8,407.8
15,SHW,2018-03-06,401.03,401.03
16,SHW,2018-03-05,393.1,393.1
17,SHW,2018-03-02,390.24,390.24
18,SHW,2018-03-01,396.51,396.51
19,SHW,2018-02-28,401.58,401.58
20,SHW,2018-02-27,399.41,399.41
21,SHW,2018-02-26,404.2,404.2
22,SHW,2018-02-23,398.2,398.2
23,SHW,2018-02-22,398.88,398.88
24,SHW,2018-02-21,397.13,397.13
25,SHW,2018-02-20,396.67,396.67
26,SHW,2018-02-16,402.3,402.3
27,SHW,2018-02-15,401.09,401.09
28,SHW,2018-02-14,405.66,405.66
29,SHW,2018-02-13,405.76,405.76
30,SHW,2018-02-12,403.69,403.69
31,SHW,2018-02-09,398.86,398.86
32,SHW,2018-02-08,387.65,387.65
33,SHW,2018-02-07,403.48,403.48
34,SHW,2018-02-06,405.0,405.0
35,SHW,2018-02-05,393.23,393.23
36,SHW,2018-02-02,403.13,403.13
37,SHW,2018-02-01,412.13,412.13
38,SHW,2018-01-31,417.11,417.11
39,SHW,2018-01-30,421.36,421.36
40,SHW,2018-01-29,420.79,420.79
41,SHW,2018-01-26,423.68,423.68
42,SHW,2018-01-25,424.66,424.66
43,SHW,2018-01-24,429.38,429.38
44,SHW,2018-01-23,429.21,429.21
45,SHW,2018-01-22,427.18,427.18
46,SHW,2018-01-19,430.8,430.8
47,SHW,2018-01-18,430.76,430.76
48,SHW,2018-01-17,426.94,426.94
49,SHW,2018-01-16,423.87,423.87
50,SHW,2018-01-12,432.84,432.84
51,SHW,2018-01-11,425.36,425.36
52,SHW,2018-01-10,419.53,419.53
53,SHW,2018-01-09,424.21,424.21
54,SHW,2018-01-08,424.0,424.0
55,SHW,2018-01-05,421.66,421.66
56,SHW,2018-01-04,413.1,413.1
57,SHW,2018-01-03,415.36,415.36
58,SHW,2018-01-02,413.7,413.7
59,SHW,2017-12-29,410.04,410.04
60,SHW,2017-12-28,413.07,413.07
61,SHW,2017-12-27,410.2,410.2
62,SHW,2017-12-26,411.39,411.39
63,SHW,2017-12-22,413.09,413.09
64,SHW,2017-12-21,411.53,411.53
65,SHW,2017-12-20,414.34,414.34
66,SHW,2017-12-19,411.87,411.87
67,SHW,2017-12-18,408.15,408.15
68,SHW,2017-12-15,403.82,403.82
69,SHW,2017-12-14,400.23,400.23
70,SHW,2017-12-13,405.45,405.45
71,SHW,2017-12-12,407.02,407.02
72,SHW,2017-12-11,407.76,407.76
73,SHW,2017-12-08,408.85,408.85
74,SHW,2017-12-07,406.47,406.47
75,SHW,2017-12-06,401.19,401.19
76,SHW,2017-12-05,405.55,405.55
77,SHW,2017-12-04,406.93,406.93
78,SHW,2017-12-01,395.07,395.07
79,SHW,2017-11-30,399.42,399.42
80,SHW,2017-11-29,393.96,393.96
81,SHW,2017-11-28,397.54,397.54
82,SHW,2017-11-27,390.21,390.21
83,SHW,2017-11-24,394.03,394.03
84,SHW,2017-11-22,390.56,390.56
85,SHW,2017-11-21,390.13,390.13
86,SHW,2017-11-20,387.69,387.69
87,SHW,2017-11-17,386.98,386.98
88,SHW,2017-11-16,388.03,388.03
89,SHW,2017-11-15,385.96,385.96
90,SHW,2017-11-14,389.13,389.13
91,SHW,2017-11-13,389.71,389.71
92,SHW,2017-11-10,389.46,389.46
93,SHW,2017-11-09,387.03,387.03
94,SHW,2017-11-07,394.01,394.01
95,SHW,2017-11-06,393.94,393.94
96,SHW,2017-11-03,397.11,397.11
97,SHW,2017-11-02,392.11,392.11
98,SHW,2017-11-01,395.77,395.77
99,SHW,2017-10-31,395.15,395.15
100,SHW,2017-10-30,394.25,394.25
101,SHW,2017-10-27,397.29,397.29
102,SHW,2017-10-26,396.5,396.5
103,SHW,2017-10-25,392.69,392.69
104,SHW,2017-10-24,388.91,388.91
105,SHW,2017-10-23,386.58,386.58
106,SHW,2017-10-20,389.7,389.7
107,SHW,2017-10-19,387.57,387.57
108,SHW,2017-10-18,384.09,384.09
109,SHW,2017-10-17,382.68,382.68
110,SHW,2017-10-16,384.07,384.07
111,SHW,2017-10-13,385.84,385.84
112,SHW,2017-10-12,383.57,383.57
113,SHW,2017-10-11,383.04,383.04
114,SHW,2017-10-10,381.47,381.47
115,SHW,2017-10-09,382.0,382.0
116,SHW,2017-10-06,383.47,383.47
117,SHW,2017-10-05,379.9,379.9
118,SHW,2017-10-04,374.17,374.17
119,SHW,2017-10-03,374.37,374.37
120,SHW,2017-10-02,359.43,359.43
121,SHW,2017-09-29,358.04,358.04
122,SHW,2017-09-28,357.04,357.04
123,SHW,2017-09-27,349.84,349.84
124,SHW,2017-09-26,352.14,352.14
125,SHW,2017-09-25,352.0,352.0
126,SHW,2017-09-22,349.76,349.76
127,SHW,2017-09-21,349.61,349.61
128,SHW,2017-09-20,347.04,347.04
129,SHW,2017-09-19,342.74,342.74
130,SHW,2017-09-18,339.7,339.7
131,SHW,2017-09-15,340.98,340.98
132,SHW,2017-09-14,346.54,346.54
133,SHW,2017-09-13,346.92,346.92
134,SHW,2017-09-12,350.35,350.35
135,SHW,2017-09-11,347.52,347.52
136,SHW,2017-09-08,344.55,344.55
137,SHW,2017-09-07,339.55,339.55
138,SHW,2017-09-06,342.96,342.96
139,SHW,2017-09-05,344.98,344.98
140,SHW,2017-09-01,343.62,343.62
141,SHW,2017-08-31,339.27,339.27
142,SHW,2017-08-30,338.0,338.0
143,SHW,2017-08-29,333.14,333.14
144,SHW,2017-08-28,338.92,338.92
145,SHW,2017-08-25,339.16,339.16
146,SHW,2017-08-24,335.56,335.56
147,SHW,2017-08-23,335.77,335.77
148,SHW,2017-08-22,339.03,339.03
149,SHW,2017-08-21,329.62,329.62
150,SHW,2017-08-18,328.97,328.97
151,SHW,2017-08-17,329.56,329.56
152,SHW,2017-08-16,333.43,333.43
153,SHW,2017-08-15,332.57,331.72434815125
154,SHW,2017-08-14,337.51,336.65178682542
155,SHW,2017-08-11,331.88,331.03610266842
156,SHW,2017-08-10,332.04,331.19569582386
157,SHW,2017-08-09,335.68,334.82644011009
158,SHW,2017-08-08,332.5,331.65452614575
159,SHW,2017-08-07,334.39,333.53972029436
160,SHW,2017-08-04,335.07,334.21799120498
161,SHW,2017-08-03,334.03,333.18063569463
162,SHW,2017-08-02,337.07,336.21290564796
163,SHW,2017-08-01,337.09,336.23285479239
164,SHW,2017-07-31,337.27,336.41239709226
165,SHW,2017-07-28,342.38,341.50940349408
166,SHW,2017-07-27,345.58,344.70126660285
167,SHW,2017-07-26,350.6,349.70850185473
168,SHW,2017-07-25,352.22,351.32438255355
169,SHW,2017-07-24,351.65,350.7558319373
170,SHW,2017-07-21,352.17,351.27450969247
171,SHW,2017-07-20,350.78,349.8880441546
172,SHW,2017-07-19,359.72,358.80531171473
173,SHW,2017-07-18,358.17,357.25925302142
174,SHW,2017-07-17,359.4,358.48612540385
175,SHW,2017-07-14,356.47,355.56357574488
176,SHW,2017-07-13,355.15,354.24693221252
177,SHW,2017-07-12,355.96,355.05487256192
178,SHW,2017-07-11,353.27,352.37171263611
179,SHW,2017-07-10,351.93,351.03511995932
180,SHW,2017-07-07,352.03,351.13486568146
181,SHW,2017-07-06,349.83,348.94045979418
182,SHW,2017-07-05,351.08,350.18728132105
183,SHW,2017-07-03,353.23,352.33181434725
184,SHW,2017-06-30,350.96,350.06758645447
185,SHW,2017-06-29,352.64,351.74331458657
186,SHW,2017-06-28,361.03,360.11198067488
187,SHW,2017-06-27,358.16,357.2492784492
188,SHW,2017-06-26,358.98,358.06719337083
189,SHW,2017-06-23,357.1,356.19197379442
190,SHW,2017-06-22,354.75,353.84794932392
191,SHW,2017-06-21,355.4,354.49629651789
192,SHW,2017-06-20,357.96,357.04978700491
193,SHW,2017-06-19,357.0,356.09222807227
194,SHW,2017-06-16,350.55,349.65862899366
195,SHW,2017-06-15,351.5,350.60621335407
196,SHW,2017-06-14,352.69,351.79318744765
197,SHW,2017-06-13,353.25,352.35176349168
198,SHW,2017-06-12,347.94,347.05526564557
199,SHW,2017-06-09,352.91,352.01262803638
200,SHW,2017-06-08,345.97,345.09027491923
201,SHW,2017-06-07,340.26,339.39479418452
202,SHW,2017-06-06,340.32,339.45464161781
203,SHW,2017-06-05,342.26,341.3897086275
204,SHW,2017-06-02,345.4,344.52172430298
205,SHW,2017-06-01,338.94,338.07815065215
206,SHW,2017-05-31,331.77,330.92638237406
207,SHW,2017-05-30,335.36,334.50725379921
208,SHW,2017-05-26,334.95,334.0982963384
209,SHW,2017-05-25,334.09,333.24048312792
210,SHW,2017-05-24,332.78,331.93381416776
211,SHW,2017-05-23,331.91,331.06602638507
212,SHW,2017-05-22,331.45,330.60719606318
213,SHW,2017-05-19,332.37,331.52485670695
214,SHW,2017-05-18,331.22,330.37778090224
215,SHW,2017-05-17,328.47,327.63477354314
216,SHW,2017-05-16,336.88,335.15608681894
217,SHW,2017-05-15,333.93,332.22118282904
218,SHW,2017-05-12,334.05,332.34056875405
219,SHW,2017-05-11,334.64,332.92754955203
220,SHW,2017-05-10,337.7,335.97189063986
221,SHW,2017-05-09,338.38,336.64841088159
222,SHW,2017-05-08,337.75,336.02163477528
223,SHW,2017-05-05,338.24,336.50912730241
224,SHW,2017-05-04,338.61,336.87723390454
225,SHW,2017-05-03,334.18,332.46990350615
226,SHW,2017-05-02,334.7,332.98724251454
227,SHW,2017-05-01,332.55,330.8482446914
228,SHW,2017-04-28,334.68,332.96734486037
229,SHW,2017-04-27,335.57,333.85279047088
230,SHW,2017-04-26,330.94,329.24648353081
231,SHW,2017-04-25,331.24,329.54494834334
232,SHW,2017-04-24,327.73,326.05291003672
233,SHW,2017-04-21,324.6,322.93892715931
234,SHW,2017-04-20,324.02,322.36189518841
235,SHW,2017-04-19,311.54,309.94575898709
236,SHW,2017-04-18,311.07,309.47816411413
237,SHW,2017-04-17,310.85,309.25928991827
238,SHW,2017-04-13,308.35,306.77208314717
239,SHW,2017-04-12,312.96,311.35849243308
240,SHW,2017-04-11,312.4,310.80135811635
241,SHW,2017-04-10,311.85,310.25417262671
242,SHW,2017-04-07,313.07,311.467929531
243,SHW,2017-04-06,310.47,308.88123448906
244,SHW,2017-04-05,309.28,307.69732406602
245,SHW,2017-04-04,308.38,306.80192962842
246,SHW,2017-04-03,308.61,307.03075265137
247,SHW,2017-03-31,310.19,308.6026673307
248,SHW,2017-03-30,310.21,308.62256498487
249,SHW,2017-03-29,310.14,308.55292319528
250,SHW,2017-03-28,310.94,309.34882936203
251,SHW,2017-03-27,309.47,307.88635178062
252,SHW,2017-03-24,309.45,307.86645412645
253,SHW,2017-03-23,310.75,309.15980164742
254,SHW,2017-03-22,311.66,310.0651449121
255,SHW,2017-03-21,307.95,306.3741300638
256,SHW,2017-03-20,312.13,310.53273978507
257,SHW,2017-03-17,313.38,311.77634317062
258,SHW,2017-03-16,311.33,309.73683361832
259,SHW,2017-03-15,312.6,311.00033465804
260,SHW,2017-03-14,310.14,308.55292319528
261,SHW,2017-03-13,311.89,310.29396793505
262,SHW,2017-03-10,311.9,310.30391676213
263,SHW,2017-03-09,310.21,308.62256498487
264,SHW,2017-03-08,311.0,309.40852232453
265,SHW,2017-03-07,310.58,308.99067158699
266,SHW,2017-03-06,311.31,309.71693596415
267,SHW,2017-03-03,311.93,310.33376324338
268,SHW,2017-03-02,312.97,311.36844126016
269,SHW,2017-03-01,315.36,313.74621093333
270,SHW,2017-02-28,308.54,306.96111086177
271,SHW,2017-02-27,310.2,308.61261615778
272,SHW,2017-02-24,312.65,311.05007879346
273,SHW,2017-02-23,310.2,308.61261615778
274,SHW,2017-02-22,312.46,310.01156741572
275,SHW,2017-02-21,312.52,310.07109725649
276,SHW,2017-02-17,311.35,308.9102653616
277,SHW,2017-02-16,311.17,308.73167583931
278,SHW,2017-02-15,309.91,307.48154918328
279,SHW,2017-02-14,309.9,307.47162754315
280,SHW,2017-02-13,309.62,307.19382161959
281,SHW,2017-02-10,306.47,304.06850497951
282,SHW,2017-02-09,306.49,304.08834825976
283,SHW,2017-02-08,305.36,302.96720292538
284,SHW,2017-02-07,302.05,299.68314004327
285,SHW,2017-02-06,301.97,299.60376692225
286,SHW,2017-02-03,304.0,301.61785986808
287,SHW,2017-02-02,303.86,301.4789569063
288,SHW,2017-02-01,306.18,303.78077741582
289,SHW,2017-01-31,303.81,301.42934870566
290,SHW,2017-01-30,304.83,302.44135599864
291,SHW,2017-01-27,305.2,302.80845668335
292,SHW,2017-01-26,305.0,302.6100238808
293,SHW,2017-01-25,283.42,281.19912448622
294,SHW,2017-01-24,280.77,278.5698898525
295,SHW,2017-01-23,284.0,281.7745796136
296,SHW,2017-01-20,283.62,281.39755728877
297,SHW,2017-01-19,283.09,280.87171036202
298,SHW,2017-01-18,286.96,284.71138509126
299,SHW,2017-01-17,284.36,282.13175865818
300,SHW,2017-01-13,285.1,282.8659600276
301,SHW,2017-01-12,283.54,281.31818416775
302,SHW,2017-01-11,283.76,281.53646025055
303,SHW,2017-01-10,278.88,276.69469986845
304,SHW,2017-01-09,278.76,276.57564018693
305,SHW,2017-01-06,278.99,276.80383790985
306,SHW,2017-01-05,276.18,274.0158570341
307,SHW,2017-01-04,276.4,274.2341331169
308,SHW,2017-01-03,274.54,272.38870805323
