None,ticker,date,close,adj_close
0,SJM,2018-03-27,122.41,122.41
1,SJM,2018-03-26,121.7,121.7
2,SJM,2018-03-23,118.76,118.76
3,SJM,2018-03-22,118.28,118.28
4,SJM,2018-03-21,120.16,120.16
5,SJM,2018-03-20,125.43,125.43
6,SJM,2018-03-19,126.29,126.29
7,SJM,2018-03-16,125.84,125.84
8,SJM,2018-03-15,124.85,124.85
9,SJM,2018-03-14,130.85,130.85
10,SJM,2018-03-13,131.53,131.53
11,SJM,2018-03-12,130.31,130.31
12,SJM,2018-03-09,129.92,129.92
13,SJM,2018-03-08,129.67,129.67
14,SJM,2018-03-07,128.72,128.72
15,SJM,2018-03-06,129.68,129.68
16,SJM,2018-03-05,130.02,130.02
17,SJM,2018-03-02,128.45,128.45
18,SJM,2018-03-01,126.9,126.9
19,SJM,2018-02-28,126.3,126.3
20,SJM,2018-02-27,126.64,126.64
21,SJM,2018-02-26,127.02,127.02
22,SJM,2018-02-23,124.55,124.55
23,SJM,2018-02-22,122.84,122.84
24,SJM,2018-02-21,120.82,120.82
25,SJM,2018-02-20,123.87,123.87
26,SJM,2018-02-16,124.46,124.46
27,SJM,2018-02-15,122.65,122.65
28,SJM,2018-02-14,121.01,121.01
29,SJM,2018-02-13,119.69,119.69
30,SJM,2018-02-12,119.4,119.4
31,SJM,2018-02-09,119.52,119.52
32,SJM,2018-02-08,118.37,118.37
33,SJM,2018-02-07,119.83,119.83
34,SJM,2018-02-06,119.92,119.92
35,SJM,2018-02-05,116.63,116.63
36,SJM,2018-02-02,120.12,120.12
37,SJM,2018-02-01,126.03,126.03
38,SJM,2018-01-31,126.89,126.89
39,SJM,2018-01-30,127.46,127.46
40,SJM,2018-01-29,129.42,129.42
41,SJM,2018-01-26,131.06,131.06
42,SJM,2018-01-25,129.55,129.55
43,SJM,2018-01-24,126.94,126.94
44,SJM,2018-01-23,128.04,128.04
45,SJM,2018-01-22,127.38,127.38
46,SJM,2018-01-19,127.53,127.53
47,SJM,2018-01-18,125.68,125.68
48,SJM,2018-01-17,125.84,125.84
49,SJM,2018-01-16,124.01,124.01
50,SJM,2018-01-12,123.43,123.43
51,SJM,2018-01-11,123.15,123.15
52,SJM,2018-01-10,124.16,124.16
53,SJM,2018-01-09,126.79,126.79
54,SJM,2018-01-08,126.69,126.69
55,SJM,2018-01-05,125.55,125.55
56,SJM,2018-01-04,124.39,124.39
57,SJM,2018-01-03,123.4,123.4
58,SJM,2018-01-02,123.72,123.72
59,SJM,2017-12-29,124.24,124.24
60,SJM,2017-12-28,124.89,124.89
61,SJM,2017-12-27,124.79,124.79
62,SJM,2017-12-26,125.27,125.27
63,SJM,2017-12-22,125.22,125.22
64,SJM,2017-12-21,123.91,123.91
65,SJM,2017-12-20,123.42,123.42
66,SJM,2017-12-19,121.47,121.47
67,SJM,2017-12-18,120.61,120.61
68,SJM,2017-12-15,119.44,119.44
69,SJM,2017-12-14,118.52,118.52
70,SJM,2017-12-13,118.15,118.15
71,SJM,2017-12-12,117.95,117.95
72,SJM,2017-12-11,117.26,117.26
73,SJM,2017-12-08,118.61,118.61
74,SJM,2017-12-07,118.47,118.47
75,SJM,2017-12-06,118.91,118.91
