None,ticker,date,close,adj_close
0,SLB,2018-03-27,64.48,64.48
1,SLB,2018-03-26,64.46,64.46
2,SLB,2018-03-23,64.14,64.14
3,SLB,2018-03-22,65.52,65.52
4,SLB,2018-03-21,67.74,67.74
5,SLB,2018-03-20,65.56,65.56
6,SLB,2018-03-19,64.7,64.7
7,SLB,2018-03-16,66.1,66.1
8,SLB,2018-03-15,65.35,65.35
9,SLB,2018-03-14,66.43,66.43
10,SLB,2018-03-13,67.14,67.14
11,SLB,2018-03-12,68.09,68.09
12,SLB,2018-03-09,68.78,68.78
13,SLB,2018-03-08,66.74,66.74
14,SLB,2018-03-07,66.23,66.23
15,SLB,2018-03-06,66.63,66.63
16,SLB,2018-03-05,66.16,66.16
17,SLB,2018-03-02,65.47,65.47
18,SLB,2018-03-01,65.22,65.22
19,SLB,2018-02-28,65.64,65.64
20,SLB,2018-02-27,66.91,66.91
21,SLB,2018-02-26,66.73,66.73
22,SLB,2018-02-23,66.5,66.5
23,SLB,2018-02-22,64.96,64.96
24,SLB,2018-02-21,64.4,64.4
25,SLB,2018-02-20,65.61,65.61
26,SLB,2018-02-16,66.28,66.28
27,SLB,2018-02-15,66.21,66.21
28,SLB,2018-02-14,65.87,65.87
29,SLB,2018-02-13,65.92,65.92
30,SLB,2018-02-12,66.84,66.84
31,SLB,2018-02-09,65.19,65.19
32,SLB,2018-02-08,67.4,67.4
33,SLB,2018-02-07,69.75,69.75
34,SLB,2018-02-06,71.04,71.04
35,SLB,2018-02-05,71.35,71.35
36,SLB,2018-02-02,73.69,73.69
37,SLB,2018-02-01,75.51,75.51
38,SLB,2018-01-31,73.58,73.58
39,SLB,2018-01-30,74.54,74.54
40,SLB,2018-01-29,76.38,76.38
41,SLB,2018-01-26,77.61,77.61
42,SLB,2018-01-25,77.33,77.33
43,SLB,2018-01-24,78.18,78.18
44,SLB,2018-01-23,79.21,79.21
45,SLB,2018-01-22,79.79,79.79
46,SLB,2018-01-19,76.42,76.42
47,SLB,2018-01-18,76.37,76.37
48,SLB,2018-01-17,77.21,77.21
49,SLB,2018-01-16,77.17,77.17
50,SLB,2018-01-12,77.97,77.97
51,SLB,2018-01-11,77.05,77.05
52,SLB,2018-01-10,75.6,75.6
53,SLB,2018-01-09,74.9,74.9
54,SLB,2018-01-08,74.8,74.8
55,SLB,2018-01-05,73.6,73.6
56,SLB,2018-01-04,73.1,73.1
57,SLB,2018-01-03,71.33,71.33
58,SLB,2018-01-02,69.52,69.52
59,SLB,2017-12-29,67.39,67.39
60,SLB,2017-12-28,67.46,67.46
61,SLB,2017-12-27,67.92,67.92
62,SLB,2017-12-26,67.61,67.61
63,SLB,2017-12-22,67.44,67.44
64,SLB,2017-12-21,67.86,67.86
65,SLB,2017-12-20,65.28,65.28
66,SLB,2017-12-19,64.39,64.39
67,SLB,2017-12-18,63.6,63.6
68,SLB,2017-12-15,62.09,62.09
69,SLB,2017-12-14,62.37,62.37
70,SLB,2017-12-13,63.3,63.3
71,SLB,2017-12-12,64.18,64.18
72,SLB,2017-12-11,64.56,64.56
73,SLB,2017-12-08,63.54,63.54
74,SLB,2017-12-07,62.07,62.07
75,SLB,2017-12-06,62.07,62.07
76,SLB,2017-12-05,63.45,63.45
77,SLB,2017-12-04,64.6,64.094917904613
78,SLB,2017-12-01,64.73,64.223901485536
79,SLB,2017-11-30,62.85,62.358600469117
80,SLB,2017-11-29,62.15,61.664073494918
81,SLB,2017-11-28,62.29,61.802978889758
82,SLB,2017-11-27,61.36,60.880250195465
83,SLB,2017-11-24,61.93,61.445793588741
84,SLB,2017-11-22,62.14,61.654151681001
85,SLB,2017-11-21,61.88,61.396184519156
86,SLB,2017-11-20,61.72,61.237435496482
87,SLB,2017-11-17,61.96,61.475559030493
88,SLB,2017-11-16,61.31,60.83064112588
89,SLB,2017-11-15,61.55,61.068764659891
90,SLB,2017-11-14,62.78,62.289147771697
91,SLB,2017-11-13,65.04,64.531477716966
92,SLB,2017-11-10,65.74,65.226004691165
93,SLB,2017-11-09,66.89,66.367013291634
94,SLB,2017-11-07,66.43,65.910609851446
95,SLB,2017-11-06,67.08,66.555527756059
96,SLB,2017-11-03,63.58,63.082892885066
97,SLB,2017-11-02,63.25,62.755473025801
98,SLB,2017-11-01,64.28,63.777419859265
99,SLB,2017-10-31,64.0,63.499609069586
100,SLB,2017-10-30,64.11,63.608749022674
101,SLB,2017-10-27,63.55,63.053127443315
102,SLB,2017-10-26,63.37,62.874534792807
103,SLB,2017-10-25,63.46,62.963831118061
104,SLB,2017-10-24,62.44,61.951806098514
105,SLB,2017-10-23,61.91,61.425949960907
106,SLB,2017-10-20,63.15,62.65625488663
107,SLB,2017-10-19,64.5,63.995699765442
108,SLB,2017-10-18,65.91,65.394675527756
109,SLB,2017-10-17,66.5,65.980062548866
110,SLB,2017-10-16,66.8,66.27771696638
111,SLB,2017-10-13,67.17,66.644824081314
112,SLB,2017-10-12,67.29,66.763885848319
113,SLB,2017-10-11,67.74,67.21036747459
114,SLB,2017-10-10,68.33,67.7957544957
115,SLB,2017-10-09,68.33,67.7957544957
116,SLB,2017-10-06,68.34,67.805676309617
117,SLB,2017-10-05,68.87,68.331532447224
118,SLB,2017-10-04,68.82,68.281923377639
119,SLB,2017-10-03,69.06,68.52004691165
120,SLB,2017-10-02,69.32,68.778014073495
121,SLB,2017-09-29,69.76,69.214573885848
122,SLB,2017-09-28,69.16,68.619265050821
123,SLB,2017-09-27,69.08,68.539890539484
124,SLB,2017-09-26,68.82,68.281923377639
125,SLB,2017-09-25,69.65,69.10543393276
126,SLB,2017-09-22,68.8,68.262079749805
127,SLB,2017-09-21,68.09,67.557630961689
128,SLB,2017-09-20,67.62,67.091305707584
129,SLB,2017-09-19,67.89,67.359194683346
130,SLB,2017-09-18,67.87,67.339351055512
131,SLB,2017-09-15,67.24,66.714276778733
132,SLB,2017-09-14,67.7,67.170680218921
133,SLB,2017-09-13,66.92,66.396778733385
134,SLB,2017-09-12,66.43,65.910609851446
135,SLB,2017-09-11,65.77,65.255770132916
136,SLB,2017-09-08,64.86,64.352885066458
137,SLB,2017-09-07,65.87,65.354988272088
138,SLB,2017-09-06,65.72,65.206161063331
139,SLB,2017-09-05,65.1,64.591008600469
140,SLB,2017-09-01,63.35,62.854691164973
141,SLB,2017-08-31,63.51,62.519991165034
142,SLB,2017-08-30,63.39,62.401861753291
143,SLB,2017-08-29,63.5,62.510147047389
144,SLB,2017-08-28,63.45,62.460926459162
145,SLB,2017-08-25,63.88,62.884223517908
146,SLB,2017-08-24,62.88,61.899811753383
147,SLB,2017-08-23,63.19,62.204979400386
148,SLB,2017-08-22,63.35,62.36248528271
149,SLB,2017-08-21,63.0,62.017941165126
150,SLB,2017-08-18,63.32,62.332952929774
151,SLB,2017-08-17,63.03,62.047473518061
152,SLB,2017-08-16,63.71,62.716873517939
153,SLB,2017-08-15,63.44,62.451082341517
