None,ticker,date,close,adj_close
0,SLG,2018-03-27,94.96,94.96
1,SLG,2018-03-26,94.44,94.44
2,SLG,2018-03-23,92.94,92.94
3,SLG,2018-03-22,96.05,96.05
4,SLG,2018-03-21,96.98,96.98
5,SLG,2018-03-20,97.58,97.58
6,SLG,2018-03-19,98.26,98.26
7,SLG,2018-03-16,98.94,98.94
8,SLG,2018-03-15,98.38,98.38
9,SLG,2018-03-14,98.71,98.71
10,SLG,2018-03-13,98.49,98.49
11,SLG,2018-03-12,99.79,99.79
12,SLG,2018-03-09,99.61,99.61
13,SLG,2018-03-08,99.47,99.47
14,SLG,2018-03-07,100.08,100.08
15,SLG,2018-03-06,99.83,99.83
16,SLG,2018-03-05,98.41,98.41
17,SLG,2018-03-02,97.85,97.85
18,SLG,2018-03-01,96.67,96.67
19,SLG,2018-02-28,96.92,96.92
20,SLG,2018-02-27,95.89,95.89
21,SLG,2018-02-26,98.06,98.06
22,SLG,2018-02-23,97.62,97.62
23,SLG,2018-02-22,95.91,95.91
24,SLG,2018-02-21,94.5,94.5
25,SLG,2018-02-20,96.25,96.25
26,SLG,2018-02-16,96.2,96.2
27,SLG,2018-02-15,95.54,95.54
28,SLG,2018-02-14,93.79,93.79
29,SLG,2018-02-13,93.82,93.82
30,SLG,2018-02-12,92.69,92.69
31,SLG,2018-02-09,92.18,92.18
32,SLG,2018-02-08,90.61,90.61
33,SLG,2018-02-07,92.86,92.86
34,SLG,2018-02-06,93.45,93.45
35,SLG,2018-02-05,93.64,93.64
36,SLG,2018-02-02,98.07,98.07
37,SLG,2018-02-01,99.5,99.5
38,SLG,2018-01-31,100.52,100.52
39,SLG,2018-01-30,98.19,98.19
40,SLG,2018-01-29,98.47,98.47
41,SLG,2018-01-26,97.92,97.92
42,SLG,2018-01-25,96.49,96.49
43,SLG,2018-01-24,96.98,96.98
44,SLG,2018-01-23,97.15,97.15
45,SLG,2018-01-22,95.96,95.96
46,SLG,2018-01-19,93.91,93.91
47,SLG,2018-01-18,94.11,94.11
48,SLG,2018-01-17,95.07,95.07
49,SLG,2018-01-16,94.99,94.99
50,SLG,2018-01-12,95.47,95.47
51,SLG,2018-01-11,95.73,95.73
52,SLG,2018-01-10,96.08,96.08
53,SLG,2018-01-09,98.63,98.63
54,SLG,2018-01-08,99.38,99.38
55,SLG,2018-01-05,99.86,99.86
56,SLG,2018-01-04,98.85,98.85
57,SLG,2018-01-03,100.95,100.95
58,SLG,2018-01-02,100.64,100.64
59,SLG,2017-12-29,100.93,100.93
60,SLG,2017-12-28,100.93,100.93
61,SLG,2017-12-27,100.66,100.66
62,SLG,2017-12-26,100.35,100.35
63,SLG,2017-12-22,100.04,100.04
64,SLG,2017-12-21,99.12,99.12
65,SLG,2017-12-20,98.99,98.99
66,SLG,2017-12-19,101.62,101.62
67,SLG,2017-12-18,103.79,103.79
68,SLG,2017-12-15,103.23,103.23
69,SLG,2017-12-14,103.13,103.13
70,SLG,2017-12-13,102.9,102.9
71,SLG,2017-12-12,103.02,103.02
72,SLG,2017-12-11,102.6,102.6
73,SLG,2017-12-08,102.6,102.6
74,SLG,2017-12-07,101.82,101.82
75,SLG,2017-12-06,102.39,102.39
76,SLG,2017-12-05,102.61,102.61
77,SLG,2017-12-04,103.95,103.95
78,SLG,2017-12-01,102.03,102.03
79,SLG,2017-11-30,102.23,102.23
80,SLG,2017-11-29,102.23,102.23
81,SLG,2017-11-28,100.88,100.88
82,SLG,2017-11-27,101.21,101.21
83,SLG,2017-11-24,100.98,100.98
84,SLG,2017-11-22,100.75,100.75
85,SLG,2017-11-21,101.06,101.06
86,SLG,2017-11-20,100.52,100.52
87,SLG,2017-11-17,100.87,100.87
88,SLG,2017-11-16,100.81,100.81
89,SLG,2017-11-15,100.16,100.16
90,SLG,2017-11-14,100.04,100.04
91,SLG,2017-11-13,100.06,100.06
92,SLG,2017-11-10,99.89,99.89
93,SLG,2017-11-09,98.75,98.75
94,SLG,2017-11-07,96.46,96.46
95,SLG,2017-11-06,95.3,95.3
96,SLG,2017-11-03,94.15,94.15
97,SLG,2017-11-02,95.19,95.19
98,SLG,2017-11-01,95.19,95.19
99,SLG,2017-10-31,95.68,95.68
100,SLG,2017-10-30,94.53,94.53
101,SLG,2017-10-27,95.47,95.47
102,SLG,2017-10-26,95.88,95.88
103,SLG,2017-10-25,95.795,95.795
104,SLG,2017-10-24,96.2,96.2
105,SLG,2017-10-23,97.92,97.92
106,SLG,2017-10-20,97.4,97.4
107,SLG,2017-10-19,98.66,98.66
108,SLG,2017-10-18,101.54,101.54
109,SLG,2017-10-17,102.01,102.01
110,SLG,2017-10-16,102.87,102.87
111,SLG,2017-10-13,103.49,103.49
112,SLG,2017-10-12,104.83,104.83
113,SLG,2017-10-11,104.9,104.9
114,SLG,2017-10-10,104.49,104.49
115,SLG,2017-10-09,104.35,104.35
116,SLG,2017-10-06,105.01,105.01
117,SLG,2017-10-05,104.37,104.37
118,SLG,2017-10-04,104.39,104.39
119,SLG,2017-10-03,103.22,103.22
120,SLG,2017-10-02,102.14,102.14
121,SLG,2017-09-29,101.32,101.32
122,SLG,2017-09-28,100.76,99.995133943876
123,SLG,2017-09-27,101.25,100.48141436897
124,SLG,2017-09-26,103.06,102.27767471473
125,SLG,2017-09-25,101.7,100.92799843283
126,SLG,2017-09-22,100.67,99.905817131103
127,SLG,2017-09-21,101.13,100.36232528527
128,SLG,2017-09-20,97.72,96.97821049023
129,SLG,2017-09-19,96.34,95.608686027719
130,SLG,2017-09-18,98.18,97.4347186444
131,SLG,2017-09-15,98.44,97.692744992409
132,SLG,2017-09-14,97.84,97.097299573926
133,SLG,2017-09-13,96.12,95.390356040942
134,SLG,2017-09-12,96.17,95.439976492482
135,SLG,2017-09-11,96.6,95.866712375728
136,SLG,2017-09-08,95.45,94.725441990303
137,SLG,2017-09-07,96.34,95.608686027719
138,SLG,2017-09-06,96.54,95.80716783388
139,SLG,2017-09-05,95.73,95.003316518928
140,SLG,2017-09-01,97.11,96.372840981439
141,SLG,2017-08-31,96.38,95.648382388951
142,SLG,2017-08-30,97.05,96.313296439591
143,SLG,2017-08-29,96.16,95.430052402174
144,SLG,2017-08-28,96.83,96.094966452814
145,SLG,2017-08-25,97.85,97.107223664234
146,SLG,2017-08-24,97.1,96.362916891131
147,SLG,2017-08-23,98.13,97.38509819286
148,SLG,2017-08-22,96.98,96.243827807434
149,SLG,2017-08-21,97.47,96.730108232529
150,SLG,2017-08-18,96.47,95.737699201724
151,SLG,2017-08-17,97.66,96.918665948381
152,SLG,2017-08-16,99.2,98.446975855821
153,SLG,2017-08-15,99.47,98.714926294138
154,SLG,2017-08-14,100.37,99.608094421862
155,SLG,2017-08-11,99.0,98.24849404966
156,SLG,2017-08-10,100.03,99.270675351388
157,SLG,2017-08-09,101.7,100.92799843283
158,SLG,2017-08-08,101.85,101.07685978745
159,SLG,2017-08-07,102.29,101.51351976101
160,SLG,2017-08-04,102.59,101.81124247025
161,SLG,2017-08-03,102.27,101.49367158039
162,SLG,2017-08-02,102.84,102.05934472795
163,SLG,2017-08-01,104.06,103.27008374553
164,SLG,2017-07-31,103.27,102.4860806112
165,SLG,2017-07-28,103.25,102.46623243058
166,SLG,2017-07-27,102.81,102.02957245703
167,SLG,2017-07-26,101.84,101.06693569714
168,SLG,2017-07-25,102.02,101.24556932269
169,SLG,2017-07-24,102.0,101.22572114207
170,SLG,2017-07-21,101.93,101.15625250992
171,SLG,2017-07-20,101.14,100.37224937558
172,SLG,2017-07-19,104.91,104.11363142172
173,SLG,2017-07-18,103.34,102.55554924335
174,SLG,2017-07-17,104.88,104.08385915079
175,SLG,2017-07-14,104.7,103.90522552525
176,SLG,2017-07-13,103.52,102.7341828689
177,SLG,2017-07-12,100.72,99.955437582644
178,SLG,2017-07-11,99.45,98.695078113522
179,SLG,2017-07-10,100.72,99.955437582644
180,SLG,2017-07-07,102.43,101.65245702532
181,SLG,2017-07-06,102.75,101.97002791518
182,SLG,2017-07-05,105.92,105.11596454283
183,SLG,2017-07-03,107.52,106.70381899212
184,SLG,2017-06-30,105.8,104.99687545913
185,SLG,2017-06-29,105.72,104.91748273667
186,SLG,2017-06-28,105.72,104.91748273667
187,SLG,2017-06-27,105.97,104.40025959533
188,SLG,2017-06-26,106.73,105.1490016666
189,SLG,2017-06-23,106.77,105.18840914403
190,SLG,2017-06-22,106.3,104.72537128417
191,SLG,2017-06-21,106.52,104.94211241006
192,SLG,2017-06-20,105.32,103.75988808701
193,SLG,2017-06-19,105.14,103.58255443855
194,SLG,2017-06-16,105.73,104.16381473072
195,SLG,2017-06-15,106.07,104.49877828892
196,SLG,2017-06-14,106.24,104.66626006802
197,SLG,2017-06-13,107.17,105.58248391839
198,SLG,2017-06-12,108.33,106.72530076401
199,SLG,2017-06-09,106.18,104.60714885186
200,SLG,2017-06-08,103.55,102.0161072105
201,SLG,2017-06-07,102.33,100.81417914872
202,SLG,2017-06-06,101.67,100.16395577104
203,SLG,2017-06-05,103.17,101.64173617486
204,SLG,2017-06-02,103.31,101.77966234589
205,SLG,2017-06-01,102.71,101.18855018436
206,SLG,2017-05-31,101.03,99.533436132076
207,SLG,2017-05-30,101.22,99.720621649894
208,SLG,2017-05-26,101.84,100.33143755014
209,SLG,2017-05-25,102.66,101.13929083756
210,SLG,2017-05-24,102.17,100.65654923898
211,SLG,2017-05-23,102.91,101.38558757153
212,SLG,2017-05-22,102.5,100.98166092782
213,SLG,2017-05-19,102.25,100.73536419385
214,SLG,2017-05-18,101.86,100.35114128886
215,SLG,2017-05-17,102.02,100.5087711986
216,SLG,2017-05-16,102.24,100.72551232449
217,SLG,2017-05-15,102.72,101.19840205372
218,SLG,2017-05-12,102.7,101.178698315
219,SLG,2017-05-11,103.47,101.93729225563
220,SLG,2017-05-10,104.23,102.6860343269
221,SLG,2017-05-09,103.5,101.9668478637
222,SLG,2017-05-08,104.74,103.1884796642
223,SLG,2017-05-05,105.51,103.94707360482
224,SLG,2017-05-04,104.86,103.3067020965
225,SLG,2017-05-03,105.16,103.60225817727
226,SLG,2017-05-02,106.21,104.63670445994
227,SLG,2017-05-01,105.6,104.03574042905
228,SLG,2017-04-28,104.93,103.37566518201
229,SLG,2017-04-27,105.13,103.57270256919
230,SLG,2017-04-26,106.03,104.45937081148
231,SLG,2017-04-25,108.27,106.66618954786
232,SLG,2017-04-24,107.07,105.4839652248
233,SLG,2017-04-21,107.67,106.07507738633
234,SLG,2017-04-20,106.86,105.27707596826
235,SLG,2017-04-19,107.96,106.36078159773
236,SLG,2017-04-18,108.58,106.97159749798
237,SLG,2017-04-17,109.73,108.10456247424
238,SLG,2017-04-13,107.85,106.25241103479
239,SLG,2017-04-12,108.91,107.29670918682
240,SLG,2017-04-11,109.05,107.43463535784
241,SLG,2017-04-10,108.49,106.88293067375
242,SLG,2017-04-07,107.61,106.01596617017
243,SLG,2017-04-06,108.59,106.98144936734
244,SLG,2017-04-05,107.25,105.66129887326
245,SLG,2017-04-04,107.36,105.7696694362
246,SLG,2017-04-03,106.82,105.23766849083
247,SLG,2017-03-31,106.62,105.04063110365
248,SLG,2017-03-30,105.16,103.60225817727
249,SLG,2017-03-29,104.62,103.07025723189
250,SLG,2017-03-28,105.5,103.17294120181
251,SLG,2017-03-27,105.52,103.19250005322
252,SLG,2017-03-24,106.79,104.43448711792
253,SLG,2017-03-23,107.56,105.18750289731
254,SLG,2017-03-22,105.71,103.37830914164
255,SLG,2017-03-21,106.77,104.41492826651
256,SLG,2017-03-20,108.89,106.48816651625
257,SLG,2017-03-17,109.31,106.89890239592
258,SLG,2017-03-16,108.21,105.82316556822
259,SLG,2017-03-15,108.8,106.4001516849
260,SLG,2017-03-14,105.71,103.37830914164
261,SLG,2017-03-13,106.44,104.0922072182
262,SLG,2017-03-10,106.68,104.32691343515
263,SLG,2017-03-09,108.85,106.44904881343
264,SLG,2017-03-08,110.78,108.33647797475
265,SLG,2017-03-07,112.12,109.6469210194
266,SLG,2017-03-06,112.82,110.33148081884
267,SLG,2017-03-03,112.29,109.81317125641
268,SLG,2017-03-02,111.5,109.04059662561
269,SLG,2017-03-01,113.75,111.24096740953
270,SLG,2017-02-28,112.68,110.19456885895
271,SLG,2017-02-27,112.72,110.23368656178
272,SLG,2017-02-24,111.74,109.27530284256
273,SLG,2017-02-23,112.03,109.55890618804
274,SLG,2017-02-22,112.42,109.94030379059
275,SLG,2017-02-21,112.32,109.84250953352
276,SLG,2017-02-17,111.28,108.82544926007
277,SLG,2017-02-16,110.71,108.26802199481
278,SLG,2017-02-15,111.16,108.70809615159
279,SLG,2017-02-14,111.04,108.59074304311
280,SLG,2017-02-13,110.31,107.87684496655
281,SLG,2017-02-10,109.79,107.36831482982
282,SLG,2017-02-09,108.99,106.58596077332
283,SLG,2017-02-08,108.47,106.07743063659
284,SLG,2017-02-07,107.39,105.0212526603
285,SLG,2017-02-06,108.51,106.11654833941
286,SLG,2017-02-03,108.88,106.47838709055
287,SLG,2017-02-02,108.49,106.096989488
288,SLG,2017-02-01,106.9,104.54206080069
289,SLG,2017-01-31,108.97,106.5664019219
290,SLG,2017-01-30,109.04,106.63485790185
291,SLG,2017-01-27,109.6,107.1825057414
292,SLG,2017-01-26,110.02,107.59324162107
293,SLG,2017-01-25,108.73,106.33169570495
294,SLG,2017-01-24,109.38,106.96735837586
295,SLG,2017-01-23,109.61,107.19228516711
296,SLG,2017-01-20,108.1,105.71559188545
297,SLG,2017-01-19,107.33,104.96257610606
298,SLG,2017-01-18,108.87,106.46860766484
299,SLG,2017-01-17,108.01,105.6275770541
300,SLG,2017-01-13,106.46,104.11176606961
301,SLG,2017-01-12,106.17,103.82816272413
302,SLG,2017-01-11,105.05,102.73286704502
303,SLG,2017-01-10,106.05,103.71080961565
304,SLG,2017-01-09,107.44,105.07014978883
305,SLG,2017-01-06,110.49,108.05287462927
306,SLG,2017-01-05,109.32,106.90868182163
307,SLG,2017-01-04,110.68,108.23868371769
308,SLG,2017-01-03,108.53,106.13610719082
