None,ticker,date,close,adj_close
0,SNA,2018-03-27,146.38,146.38
1,SNA,2018-03-26,148.85,148.85
2,SNA,2018-03-23,146.26,146.26
3,SNA,2018-03-22,148.41,148.41
4,SNA,2018-03-21,151.7,151.7
5,SNA,2018-03-20,150.79,150.79
6,SNA,2018-03-19,149.43,149.43
7,SNA,2018-03-16,152.9,152.9
8,SNA,2018-03-15,152.14,152.14
9,SNA,2018-03-14,152.21,152.21
10,SNA,2018-03-13,151.94,151.94
11,SNA,2018-03-12,151.47,151.47
12,SNA,2018-03-09,153.38,153.38
13,SNA,2018-03-08,154.77,154.77
14,SNA,2018-03-07,158.95,158.95
15,SNA,2018-03-06,158.94,158.94
16,SNA,2018-03-05,156.05,156.05
17,SNA,2018-03-02,153.65,153.65
18,SNA,2018-03-01,153.22,153.22
19,SNA,2018-02-28,159.22,159.22
20,SNA,2018-02-27,158.27,158.27
21,SNA,2018-02-26,160.16,160.16
22,SNA,2018-02-23,160.22,160.22
23,SNA,2018-02-22,159.79,159.79
24,SNA,2018-02-21,158.08,158.08
25,SNA,2018-02-20,160.94,160.94
26,SNA,2018-02-16,160.88,160.88
27,SNA,2018-02-15,161.18,161.18
28,SNA,2018-02-14,159.03,159.03
29,SNA,2018-02-13,157.64,157.64
30,SNA,2018-02-12,159.25,159.25
31,SNA,2018-02-09,158.81,158.81
32,SNA,2018-02-08,156.72,156.72
33,SNA,2018-02-07,166.63,166.63
34,SNA,2018-02-06,167.07,167.07
35,SNA,2018-02-05,164.29,164.29
36,SNA,2018-02-02,167.89,167.89
37,SNA,2018-02-01,169.88,169.88
38,SNA,2018-01-31,171.31,171.31
39,SNA,2018-01-30,172.89,172.89
40,SNA,2018-01-29,177.91,177.91
41,SNA,2018-01-26,182.25,182.25
42,SNA,2018-01-25,181.03,181.03
43,SNA,2018-01-24,182.77,182.77
44,SNA,2018-01-23,183.2,183.2
45,SNA,2018-01-22,182.69,182.69
46,SNA,2018-01-19,182.79,182.79
47,SNA,2018-01-18,179.76,179.76
48,SNA,2018-01-17,181.17,181.17
49,SNA,2018-01-16,180.67,180.67
50,SNA,2018-01-12,183.59,183.59
51,SNA,2018-01-11,183.76,183.76
52,SNA,2018-01-10,180.39,180.39
53,SNA,2018-01-09,178.76,178.76
54,SNA,2018-01-08,181.47,181.47
55,SNA,2018-01-05,178.45,178.45
56,SNA,2018-01-04,176.17,176.17
57,SNA,2018-01-03,175.19,175.19
58,SNA,2018-01-02,176.89,176.89
59,SNA,2017-12-29,174.3,174.3
60,SNA,2017-12-28,175.88,175.88
61,SNA,2017-12-27,175.41,175.41
62,SNA,2017-12-26,174.82,174.82
63,SNA,2017-12-22,174.7,174.7
64,SNA,2017-12-21,175.55,175.55
65,SNA,2017-12-20,174.94,174.94
66,SNA,2017-12-19,172.35,172.35
67,SNA,2017-12-18,172.62,172.62
68,SNA,2017-12-15,168.2,168.2
69,SNA,2017-12-14,165.5,165.5
70,SNA,2017-12-13,170.28,170.28
71,SNA,2017-12-12,170.78,170.78
72,SNA,2017-12-11,171.33,171.33
73,SNA,2017-12-08,172.19,172.19
74,SNA,2017-12-07,170.93,170.93
75,SNA,2017-12-06,168.62,168.62
76,SNA,2017-12-05,171.17,171.17
77,SNA,2017-12-04,173.32,173.32
78,SNA,2017-12-01,168.25,168.25
