None,ticker,date,close,adj_close
0,SNPS,2018-03-27,82.89,82.89
1,SNPS,2018-03-26,84.22,84.22
2,SNPS,2018-03-23,82.36,82.36
3,SNPS,2018-03-22,84.8,84.8
4,SNPS,2018-03-21,86.59,86.59
5,SNPS,2018-03-20,86.71,86.71
6,SNPS,2018-03-19,86.61,86.61
7,SNPS,2018-03-16,88.13,88.13
8,SNPS,2018-03-15,87.83,87.83
9,SNPS,2018-03-14,87.82,87.82
10,SNPS,2018-03-13,88.48,88.48
11,SNPS,2018-03-12,89.09,89.09
12,SNPS,2018-03-09,89.73,89.73
13,SNPS,2018-03-08,88.64,88.64
14,SNPS,2018-03-07,86.74,86.74
15,SNPS,2018-03-06,86.26,86.26
16,SNPS,2018-03-05,86.06,86.06
17,SNPS,2018-03-02,85.77,85.77
18,SNPS,2018-03-01,84.53,84.53
19,SNPS,2018-02-28,84.67,84.67
20,SNPS,2018-02-27,84.94,84.94
21,SNPS,2018-02-26,85.47,85.47
22,SNPS,2018-02-23,85.24,85.24
23,SNPS,2018-02-22,84.38,84.38
24,SNPS,2018-02-21,88.46,88.46
25,SNPS,2018-02-20,89.76,89.76
26,SNPS,2018-02-16,89.07,89.07
27,SNPS,2018-02-15,88.93,88.93
28,SNPS,2018-02-14,86.62,86.62
29,SNPS,2018-02-13,85.5,85.5
30,SNPS,2018-02-12,85.33,85.33
31,SNPS,2018-02-09,84.31,84.31
32,SNPS,2018-02-08,82.58,82.58
33,SNPS,2018-02-07,85.85,85.85
34,SNPS,2018-02-06,87.45,87.45
35,SNPS,2018-02-05,88.12,88.12
36,SNPS,2018-02-02,90.16,90.16
37,SNPS,2018-02-01,91.38,91.38
38,SNPS,2018-01-31,92.61,92.61
39,SNPS,2018-01-30,91.32,91.32
40,SNPS,2018-01-29,91.28,91.28
41,SNPS,2018-01-26,92.96,92.96
42,SNPS,2018-01-25,91.91,91.91
43,SNPS,2018-01-24,92.84,92.84
44,SNPS,2018-01-23,93.38,93.38
45,SNPS,2018-01-22,92.96,92.96
46,SNPS,2018-01-19,92.61,92.61
47,SNPS,2018-01-18,91.47,91.47
48,SNPS,2018-01-17,90.98,90.98
49,SNPS,2018-01-16,89.27,89.27
50,SNPS,2018-01-12,90.37,90.37
51,SNPS,2018-01-11,89.71,89.71
52,SNPS,2018-01-10,89.34,89.34
53,SNPS,2018-01-09,89.69,89.69
54,SNPS,2018-01-08,89.76,89.76
55,SNPS,2018-01-05,88.93,88.93
56,SNPS,2018-01-04,87.89,87.89
57,SNPS,2018-01-03,87.06,87.06
58,SNPS,2018-01-02,86.03,86.03
59,SNPS,2017-12-29,85.24,85.24
60,SNPS,2017-12-28,85.65,85.65
61,SNPS,2017-12-27,85.71,85.71
62,SNPS,2017-12-26,85.35,85.35
