None,ticker,date,close,adj_close
0,SO,2018-03-27,44.53,44.53
1,SO,2018-03-26,43.82,43.82
2,SO,2018-03-23,43.11,43.11
3,SO,2018-03-22,43.81,43.81
4,SO,2018-03-21,43.9,43.9
5,SO,2018-03-20,43.85,43.85
6,SO,2018-03-19,44.17,44.17
7,SO,2018-03-16,44.19,44.19
8,SO,2018-03-15,43.93,43.93
9,SO,2018-03-14,44.05,44.05
10,SO,2018-03-13,43.59,43.59
11,SO,2018-03-12,43.82,43.82
12,SO,2018-03-09,43.76,43.76
13,SO,2018-03-08,43.41,43.41
14,SO,2018-03-07,43.67,43.67
15,SO,2018-03-06,44.1,44.1
16,SO,2018-03-05,44.84,44.84
17,SO,2018-03-02,44.2,44.2
18,SO,2018-03-01,43.98,43.98
19,SO,2018-02-28,43.06,43.06
20,SO,2018-02-27,43.4,43.4
21,SO,2018-02-26,44.03,44.03
22,SO,2018-02-23,44.07,44.07
23,SO,2018-02-22,43.02,43.02
24,SO,2018-02-21,42.92,42.92
25,SO,2018-02-20,43.47,43.47
26,SO,2018-02-16,43.93,43.93
27,SO,2018-02-15,44.56,44.56
28,SO,2018-02-14,43.58,43.58
29,SO,2018-02-13,44.62,44.62
30,SO,2018-02-12,44.68,44.68
31,SO,2018-02-09,44.33,44.33
32,SO,2018-02-08,43.4,43.4
33,SO,2018-02-07,43.34,43.34
34,SO,2018-02-06,43.49,43.49
35,SO,2018-02-05,43.72,43.72
36,SO,2018-02-02,44.17,44.17
37,SO,2018-02-01,44.38,44.38
38,SO,2018-01-31,45.11,45.11
39,SO,2018-01-30,44.8,44.8
40,SO,2018-01-29,43.99,43.99
41,SO,2018-01-26,44.31,44.31
42,SO,2018-01-25,44.62,44.62
43,SO,2018-01-24,44.08,44.08
44,SO,2018-01-23,44.47,44.47
45,SO,2018-01-22,44.04,44.04
46,SO,2018-01-19,44.44,44.44
47,SO,2018-01-18,44.9,44.9
48,SO,2018-01-17,45.05,45.05
49,SO,2018-01-16,44.66,44.66
50,SO,2018-01-12,44.84,44.84
