None,ticker,date,close,adj_close
0,SPGI,2018-03-27,187.87,187.87
1,SPGI,2018-03-26,191.28,191.28
2,SPGI,2018-03-23,186.49,186.49
3,SPGI,2018-03-22,189.08,189.08
4,SPGI,2018-03-21,193.81,193.81
5,SPGI,2018-03-20,195.65,195.65
6,SPGI,2018-03-19,190.45,190.45
7,SPGI,2018-03-16,192.51,192.51
8,SPGI,2018-03-15,192.71,192.71
9,SPGI,2018-03-14,192.38,192.38
10,SPGI,2018-03-13,195.89,195.89
11,SPGI,2018-03-12,195.96,195.96
12,SPGI,2018-03-09,194.96,194.96
13,SPGI,2018-03-08,192.5,192.5
14,SPGI,2018-03-07,189.7,189.7
15,SPGI,2018-03-06,190.99,190.99
16,SPGI,2018-03-05,190.37,190.37
17,SPGI,2018-03-02,189.02,189.02
18,SPGI,2018-03-01,189.52,189.52
19,SPGI,2018-02-28,191.8,191.8
20,SPGI,2018-02-27,193.14,193.14
21,SPGI,2018-02-26,193.3,193.3
22,SPGI,2018-02-23,191.67,191.67
23,SPGI,2018-02-22,187.85,187.85
24,SPGI,2018-02-21,187.58,187.58
25,SPGI,2018-02-20,187.9,187.9
26,SPGI,2018-02-16,189.28,189.28
27,SPGI,2018-02-15,188.92,188.92
28,SPGI,2018-02-14,186.03,186.03
29,SPGI,2018-02-13,181.94,181.94
30,SPGI,2018-02-12,180.36,180.36
31,SPGI,2018-02-09,177.5,177.5
32,SPGI,2018-02-08,173.31,173.31
33,SPGI,2018-02-07,182.69,182.69
34,SPGI,2018-02-06,179.96,179.96
35,SPGI,2018-02-05,166.36,166.36
36,SPGI,2018-02-02,177.33,177.33
37,SPGI,2018-02-01,182.0,182.0
38,SPGI,2018-01-31,181.1,181.1
39,SPGI,2018-01-30,180.34,180.34
40,SPGI,2018-01-29,181.04,181.04
41,SPGI,2018-01-26,183.8,183.8
42,SPGI,2018-01-25,181.89,181.89
43,SPGI,2018-01-24,183.11,183.11
44,SPGI,2018-01-23,182.93,182.93
45,SPGI,2018-01-22,182.15,182.15
46,SPGI,2018-01-19,181.14,181.14
47,SPGI,2018-01-18,178.64,178.64
48,SPGI,2018-01-17,176.79,176.79
49,SPGI,2018-01-16,175.83,175.83
50,SPGI,2018-01-12,177.64,177.64
51,SPGI,2018-01-11,176.4,176.4
52,SPGI,2018-01-10,175.61,175.61
53,SPGI,2018-01-09,177.24,177.24
54,SPGI,2018-01-08,177.18,177.18
55,SPGI,2018-01-05,175.7,175.7
56,SPGI,2018-01-04,173.38,173.38
57,SPGI,2018-01-03,170.82,170.82
58,SPGI,2018-01-02,168.12,168.12
59,SPGI,2017-12-29,169.4,169.4
60,SPGI,2017-12-28,169.85,169.85
61,SPGI,2017-12-27,169.4,169.4
62,SPGI,2017-12-26,167.42,167.42
63,SPGI,2017-12-22,167.83,167.83
64,SPGI,2017-12-21,168.78,168.78
65,SPGI,2017-12-20,170.01,170.01
66,SPGI,2017-12-19,172.0,172.0
67,SPGI,2017-12-18,170.91,170.91
68,SPGI,2017-12-15,169.05,169.05
69,SPGI,2017-12-14,167.59,167.59
70,SPGI,2017-12-13,169.01,169.01
71,SPGI,2017-12-12,172.57,172.57
72,SPGI,2017-12-11,171.7,171.7
73,SPGI,2017-12-08,171.21,171.21
74,SPGI,2017-12-07,169.53,169.53
75,SPGI,2017-12-06,168.62,168.62
76,SPGI,2017-12-05,167.89,167.89
77,SPGI,2017-12-04,167.46,167.46
78,SPGI,2017-12-01,166.17,166.17
79,SPGI,2017-11-30,165.48,165.48
80,SPGI,2017-11-29,164.73,164.73
81,SPGI,2017-11-28,165.83,165.83
82,SPGI,2017-11-27,164.4,164.4
83,SPGI,2017-11-24,164.14,163.73166676779
84,SPGI,2017-11-22,163.22,162.81395546387
85,SPGI,2017-11-21,163.7,163.29276136157
86,SPGI,2017-11-20,162.19,161.78651780839
87,SPGI,2017-11-17,160.59,160.19049814938
88,SPGI,2017-11-16,160.1,159.70171712882
89,SPGI,2017-11-15,158.82,158.42490140161
90,SPGI,2017-11-14,159.3,158.90370729931
91,SPGI,2017-11-13,158.03,157.63686669498
92,SPGI,2017-11-10,156.94,156.54957830229
93,SPGI,2017-11-09,157.91,157.51716522056
94,SPGI,2017-11-07,159.07,158.67427947333
95,SPGI,2017-11-06,158.64,158.24534918998
96,SPGI,2017-11-03,158.69,158.29522480432
97,SPGI,2017-11-02,155.5,155.11316060919
98,SPGI,2017-11-01,156.56,156.17052363327
99,SPGI,2017-10-31,156.47,156.08074752746
100,SPGI,2017-10-30,156.25,155.86129482434
101,SPGI,2017-10-27,162.16,161.75659243978
102,SPGI,2017-10-26,165.0,164.58952733451
103,SPGI,2017-10-25,160.945,160.54461501123
104,SPGI,2017-10-24,161.9,161.49723924519
105,SPGI,2017-10-23,162.1,161.69674170257
106,SPGI,2017-10-20,161.55,161.14810994478
107,SPGI,2017-10-19,159.44,159.04335901948
108,SPGI,2017-10-18,161.15,160.74910503003
109,SPGI,2017-10-17,161.68,161.27778654208
110,SPGI,2017-10-16,162.46,162.05584612584
111,SPGI,2017-10-13,161.82,161.41743826224
112,SPGI,2017-10-12,161.12,160.71917966143
113,SPGI,2017-10-11,159.0,158.60445361325
114,SPGI,2017-10-10,158.8,158.40495115588
115,SPGI,2017-10-09,159.17,158.77403070202
116,SPGI,2017-10-06,158.45,158.05582185547
117,SPGI,2017-10-05,159.04,158.64435410473
118,SPGI,2017-10-04,159.6,159.20296098538
119,SPGI,2017-10-03,159.21,158.8139311935
120,SPGI,2017-10-02,157.52,157.12813542868
121,SPGI,2017-09-29,156.31,155.92114556156
122,SPGI,2017-09-28,155.53,155.14308597779
123,SPGI,2017-09-27,154.77,154.38497663977
124,SPGI,2017-09-26,155.07,154.68423032583
125,SPGI,2017-09-25,155.52,155.13311085492
126,SPGI,2017-09-22,156.82,156.42987682786
127,SPGI,2017-09-21,155.75,155.36253868091
128,SPGI,2017-09-20,155.83,155.44233966386
129,SPGI,2017-09-19,155.61,155.22288696074
130,SPGI,2017-09-18,154.43,154.04582246223
131,SPGI,2017-09-15,154.0,153.61689217887
132,SPGI,2017-09-14,153.72,153.33758873855
133,SPGI,2017-09-13,153.46,153.07823554396
134,SPGI,2017-09-12,153.6,153.21788726412
135,SPGI,2017-09-11,152.77,152.38995206602
136,SPGI,2017-09-08,151.93,151.55204174504
137,SPGI,2017-09-07,151.4,151.023360233
138,SPGI,2017-09-06,151.2,150.82385777562
139,SPGI,2017-09-05,153.18,152.79893210363
140,SPGI,2017-09-01,153.72,153.33758873855
141,SPGI,2017-08-31,154.33,153.94607123354
142,SPGI,2017-08-30,153.54,153.15803652691
143,SPGI,2017-08-29,150.92,150.5445543353
144,SPGI,2017-08-28,151.99,151.61189248225
145,SPGI,2017-08-25,151.27,150.8936836357
146,SPGI,2017-08-24,151.45,151.07323584734
147,SPGI,2017-08-23,151.29,150.50618893286
148,SPGI,2017-08-22,152.84,152.04815861259
149,SPGI,2017-08-21,149.99,149.21292404018
150,SPGI,2017-08-18,150.1,149.32235414649
151,SPGI,2017-08-17,149.97,149.19302765722
152,SPGI,2017-08-16,152.27,151.48111169811
153,SPGI,2017-08-15,151.5,150.71510095398
154,SPGI,2017-08-14,150.54,149.7600745717
155,SPGI,2017-08-11,148.41,147.64110978601
156,SPGI,2017-08-10,148.34,147.57147244564
157,SPGI,2017-08-09,150.77,149.98888297579
158,SPGI,2017-08-08,148.28,147.51178329674
159,SPGI,2017-08-07,150.95,150.16795042247
160,SPGI,2017-08-04,151.03,150.24753595432
161,SPGI,2017-08-03,151.92,151.13292499623
162,SPGI,2017-08-02,152.02,151.23240691105
163,SPGI,2017-08-01,154.63,153.82888488788
164,SPGI,2017-07-31,153.59,152.79427297374
165,SPGI,2017-07-28,153.47,152.67489467596
166,SPGI,2017-07-27,153.45,152.654998293
167,SPGI,2017-07-26,154.58,153.77914393047
168,SPGI,2017-07-25,155.15,154.34619084495
169,SPGI,2017-07-24,154.79,153.9880559516
170,SPGI,2017-07-21,153.85,153.05292595228
171,SPGI,2017-07-20,151.12,150.33706967766
172,SPGI,2017-07-19,150.19,149.41188786983
173,SPGI,2017-07-18,149.87,149.0935457424
174,SPGI,2017-07-17,149.51,148.73541084904
175,SPGI,2017-07-14,149.47,148.69561808311
176,SPGI,2017-07-13,149.65,148.87468552979
177,SPGI,2017-07-12,149.44,148.66577350867
178,SPGI,2017-07-11,147.9,147.13375202042
179,SPGI,2017-07-10,148.8,148.02908925381
180,SPGI,2017-07-07,148.79,148.01914106233
181,SPGI,2017-07-06,146.35,145.5917823407
