None,ticker,date,close,adj_close
0,SRE,2018-03-27,111.18,111.18
1,SRE,2018-03-26,109.98,109.98
2,SRE,2018-03-23,108.97,108.97
3,SRE,2018-03-22,110.51,110.51
4,SRE,2018-03-21,110.41,110.41
5,SRE,2018-03-20,110.6,110.6
6,SRE,2018-03-19,112.43,112.43
7,SRE,2018-03-16,113.02,113.02
8,SRE,2018-03-15,112.2,112.2
9,SRE,2018-03-14,112.86,112.86
10,SRE,2018-03-13,110.7,110.7
11,SRE,2018-03-12,109.75,109.75
12,SRE,2018-03-09,109.08,109.08
13,SRE,2018-03-08,109.79,109.79
14,SRE,2018-03-07,108.56,108.56
15,SRE,2018-03-06,109.36,109.36
16,SRE,2018-03-05,110.69,110.69
17,SRE,2018-03-02,107.09,107.09
18,SRE,2018-03-01,107.64,107.64
19,SRE,2018-02-28,108.98,108.98
20,SRE,2018-02-27,110.04,110.04
21,SRE,2018-02-26,109.51,109.51
22,SRE,2018-02-23,109.57,109.57
23,SRE,2018-02-22,106.64,106.64
24,SRE,2018-02-21,105.43,105.43
25,SRE,2018-02-20,107.54,107.54
26,SRE,2018-02-16,109.01,109.01
27,SRE,2018-02-15,107.98,107.98
28,SRE,2018-02-14,105.47,105.47
29,SRE,2018-02-13,106.81,106.81
30,SRE,2018-02-12,106.62,106.62
31,SRE,2018-02-09,106.11,106.11
32,SRE,2018-02-08,103.36,103.36
33,SRE,2018-02-07,104.09,104.09
34,SRE,2018-02-06,103.4,103.4
35,SRE,2018-02-05,104.25,104.25
36,SRE,2018-02-02,105.58,105.58
37,SRE,2018-02-01,106.53,106.53
38,SRE,2018-01-31,107.02,107.02
39,SRE,2018-01-30,105.83,105.83
40,SRE,2018-01-29,104.45,104.45
41,SRE,2018-01-26,105.53,105.53
42,SRE,2018-01-25,106.4,106.4
43,SRE,2018-01-24,105.68,105.68
44,SRE,2018-01-23,106.22,106.22
45,SRE,2018-01-22,105.05,105.05
46,SRE,2018-01-19,105.99,105.99
47,SRE,2018-01-18,106.02,106.02
48,SRE,2018-01-17,106.59,106.59
49,SRE,2018-01-16,107.06,107.06
50,SRE,2018-01-12,106.89,106.89
51,SRE,2018-01-11,106.7,106.7
52,SRE,2018-01-10,107.19,107.19
53,SRE,2018-01-09,107.62,107.62
54,SRE,2018-01-08,108.48,108.48
55,SRE,2018-01-05,108.45,108.45
56,SRE,2018-01-04,107.42,107.42
57,SRE,2018-01-03,108.14,108.14
58,SRE,2018-01-02,105.35,105.35
59,SRE,2017-12-29,106.92,106.92
60,SRE,2017-12-28,107.08,107.08
61,SRE,2017-12-27,107.83,107.83
62,SRE,2017-12-26,107.94,107.94
63,SRE,2017-12-22,108.31,108.31
64,SRE,2017-12-21,106.91,106.91
65,SRE,2017-12-20,111.93,111.93
66,SRE,2017-12-19,112.19,112.19
67,SRE,2017-12-18,115.07,115.07
68,SRE,2017-12-15,116.53,116.53
69,SRE,2017-12-14,115.78,115.78
70,SRE,2017-12-13,115.24,115.24
71,SRE,2017-12-12,114.69,114.69
72,SRE,2017-12-11,118.03,118.03
73,SRE,2017-12-08,116.69,116.69
74,SRE,2017-12-07,116.43,116.43
75,SRE,2017-12-06,116.31,116.31
76,SRE,2017-12-05,116.22,116.22
77,SRE,2017-12-04,120.49,120.49
78,SRE,2017-12-01,120.48,120.48
79,SRE,2017-11-30,120.99,120.99
80,SRE,2017-11-29,120.26,120.26
81,SRE,2017-11-28,119.58,119.58
82,SRE,2017-11-27,119.43,119.43
83,SRE,2017-11-24,118.7,118.7
84,SRE,2017-11-22,118.66,118.66
85,SRE,2017-11-21,118.82,118.82
86,SRE,2017-11-20,118.8,118.8
87,SRE,2017-11-17,119.51,119.51
88,SRE,2017-11-16,119.86,119.86
89,SRE,2017-11-15,120.41,120.41
90,SRE,2017-11-14,122.23,122.23
91,SRE,2017-11-13,121.96,121.96
92,SRE,2017-11-10,121.13,121.13
93,SRE,2017-11-09,121.38,121.38
94,SRE,2017-11-07,120.52,120.52
95,SRE,2017-11-06,118.87,118.87
96,SRE,2017-11-03,118.98,118.98
97,SRE,2017-11-02,117.81,117.81
98,SRE,2017-11-01,116.63,116.63
99,SRE,2017-10-31,117.5,117.5
100,SRE,2017-10-30,117.45,117.45
101,SRE,2017-10-27,115.64,115.64
102,SRE,2017-10-26,115.11,115.11
103,SRE,2017-10-25,114.34,114.34
104,SRE,2017-10-24,114.96,114.96
105,SRE,2017-10-23,114.43,114.43
106,SRE,2017-10-20,114.13,114.13
107,SRE,2017-10-19,114.09,114.09
108,SRE,2017-10-18,113.05,113.05
109,SRE,2017-10-17,114.04,114.04
110,SRE,2017-10-16,114.46,114.46
111,SRE,2017-10-13,114.87,114.87
112,SRE,2017-10-12,115.96,115.96
113,SRE,2017-10-11,114.94,114.94
114,SRE,2017-10-10,113.81,113.81
115,SRE,2017-10-09,112.63,112.63
116,SRE,2017-10-06,111.95,111.95
117,SRE,2017-10-05,112.02,112.02
118,SRE,2017-10-04,114.56,114.56
119,SRE,2017-10-03,113.87,113.87
120,SRE,2017-10-02,113.98,113.98
121,SRE,2017-09-29,114.13,114.13
122,SRE,2017-09-28,114.58,114.58
123,SRE,2017-09-27,114.5,114.5
124,SRE,2017-09-26,116.26,116.26
125,SRE,2017-09-25,116.88,116.88
126,SRE,2017-09-22,115.94,115.94
127,SRE,2017-09-21,115.91,115.91
128,SRE,2017-09-20,116.58,115.75907034918
129,SRE,2017-09-19,117.58,116.75202857828
130,SRE,2017-09-18,117.66,116.83146523661
131,SRE,2017-09-15,119.29,118.44998715005
132,SRE,2017-09-14,119.09,118.25139550423
133,SRE,2017-09-13,118.12,117.288226022
134,SRE,2017-09-12,118.34,117.5066768324
135,SRE,2017-09-11,120.06,119.21456498646
136,SRE,2017-09-08,119.16,118.32090258027
137,SRE,2017-09-07,118.97,118.13224051674
138,SRE,2017-09-06,117.2,116.37470445122
139,SRE,2017-09-05,117.64,116.81160607203
140,SRE,2017-09-01,117.94,117.10949354076
141,SRE,2017-08-31,117.93,117.09956395847
142,SRE,2017-08-30,117.75,116.92083147723
143,SRE,2017-08-29,118.78,117.94357845321
144,SRE,2017-08-28,119.21,118.37055049172
145,SRE,2017-08-25,119.03,118.19181801049
146,SRE,2017-08-24,119.07,118.23153633965
147,SRE,2017-08-23,118.63,117.79463471884
148,SRE,2017-08-22,118.28,117.44709933866
149,SRE,2017-08-21,118.4,117.56625432615
150,SRE,2017-08-18,116.55,115.7292816023
151,SRE,2017-08-17,115.79,114.97463334818
152,SRE,2017-08-16,116.96,116.13639447624
153,SRE,2017-08-15,116.8,115.97752115958
154,SRE,2017-08-14,116.43,115.61012661481
155,SRE,2017-08-11,115.61,114.79590086694
156,SRE,2017-08-10,116.06,115.24273207004
157,SRE,2017-08-09,116.73,115.90801408354
158,SRE,2017-08-08,117.49,116.66266233766
159,SRE,2017-08-07,117.12,116.29526779289
160,SRE,2017-08-04,117.19,116.36477486893
161,SRE,2017-08-03,116.03,115.21294332317
162,SRE,2017-08-02,115.04,114.22991467635
163,SRE,2017-08-01,114.49,113.68378765034
164,SRE,2017-07-31,113.01,112.21420947127
165,SRE,2017-07-28,113.04,112.24399821814
166,SRE,2017-07-27,113.08,112.2837165473
167,SRE,2017-07-26,113.33,112.53195610458
