None,ticker,date,close,adj_close
0,STX,2018-03-27,57.37,57.37
1,STX,2018-03-26,58.13,58.13
2,STX,2018-03-23,56.28,56.28
3,STX,2018-03-22,59.04,59.04
4,STX,2018-03-21,59.9,59.9
5,STX,2018-03-20,59.91,59.91
6,STX,2018-03-19,60.4,60.4
7,STX,2018-03-16,60.09,60.09
8,STX,2018-03-15,59.57,59.57
9,STX,2018-03-14,59.93,59.93
10,STX,2018-03-13,59.68,59.68
11,STX,2018-03-12,60.21,60.21
12,STX,2018-03-09,60.19,60.19
13,STX,2018-03-08,58.88,58.88
14,STX,2018-03-07,56.3,56.3
15,STX,2018-03-06,56.23,56.23
16,STX,2018-03-05,55.14,55.14
17,STX,2018-03-02,54.12,54.12
18,STX,2018-03-01,54.0,54.0
19,STX,2018-02-28,53.4,53.4
20,STX,2018-02-27,52.87,52.87
21,STX,2018-02-26,53.55,53.55
22,STX,2018-02-23,53.29,53.29
23,STX,2018-02-22,51.36,51.36
24,STX,2018-02-21,51.44,51.44
25,STX,2018-02-20,52.12,52.12
26,STX,2018-02-16,51.42,51.42
27,STX,2018-02-15,51.52,51.52
28,STX,2018-02-14,51.37,51.37
29,STX,2018-02-13,49.63,49.63
30,STX,2018-02-12,49.17,49.17
31,STX,2018-02-09,47.79,47.79
32,STX,2018-02-08,47.44,47.44
33,STX,2018-02-07,49.55,49.55
34,STX,2018-02-06,48.68,48.68
35,STX,2018-02-05,49.93,49.93
36,STX,2018-02-02,51.77,51.77
37,STX,2018-02-01,54.46,54.46
38,STX,2018-01-31,55.2,55.2
39,STX,2018-01-30,54.98,54.98
40,STX,2018-01-29,55.11,55.11
41,STX,2018-01-26,54.94,54.94
42,STX,2018-01-25,53.17,53.17
43,STX,2018-01-24,52.97,52.97
44,STX,2018-01-23,54.06,54.06
45,STX,2018-01-22,53.16,53.16
46,STX,2018-01-19,52.62,52.62
47,STX,2018-01-18,52.01,52.01
48,STX,2018-01-17,52.14,52.14
49,STX,2018-01-16,51.51,51.51
50,STX,2018-01-12,51.26,51.26
51,STX,2018-01-11,49.005,49.005
52,STX,2018-01-10,47.07,47.07
53,STX,2018-01-09,46.39,46.39
54,STX,2018-01-08,46.0,46.0
55,STX,2018-01-05,42.94,42.94
56,STX,2018-01-04,42.64,42.64
57,STX,2018-01-03,42.85,42.85
58,STX,2018-01-02,42.93,42.93
59,STX,2017-12-29,41.84,41.84
60,STX,2017-12-28,42.02,42.02
61,STX,2017-12-27,42.11,42.11
62,STX,2017-12-26,42.14,42.14
63,STX,2017-12-22,42.17,42.17
64,STX,2017-12-21,41.96,41.96
65,STX,2017-12-20,41.53,41.53
66,STX,2017-12-19,42.18,42.18
67,STX,2017-12-18,42.99,42.99
68,STX,2017-12-15,42.02,42.02
69,STX,2017-12-14,41.94,41.94
70,STX,2017-12-13,42.08,42.08
71,STX,2017-12-12,42.12,42.12
72,STX,2017-12-11,40.47,40.47
73,STX,2017-12-08,40.49,40.49
74,STX,2017-12-07,39.58,39.58
75,STX,2017-12-06,39.18,39.18
76,STX,2017-12-05,39.13,39.13
77,STX,2017-12-04,39.2,39.2
78,STX,2017-12-01,39.11,39.11
79,STX,2017-11-30,38.56,38.56
80,STX,2017-11-29,38.75,38.75
81,STX,2017-11-28,39.98,39.98
82,STX,2017-11-27,39.08,39.08
83,STX,2017-11-24,40.29,40.29
84,STX,2017-11-22,40.33,40.33
85,STX,2017-11-21,40.14,40.14
86,STX,2017-11-20,39.85,39.85
87,STX,2017-11-17,39.42,39.42
88,STX,2017-11-16,39.12,39.12
89,STX,2017-11-15,37.81,37.81
90,STX,2017-11-14,37.49,37.49
91,STX,2017-11-13,37.66,37.66
92,STX,2017-11-10,37.99,37.99
93,STX,2017-11-09,37.41,37.41
94,STX,2017-11-07,37.12,37.12
95,STX,2017-11-06,37.46,37.46
96,STX,2017-11-03,36.33,36.33
97,STX,2017-11-02,36.77,36.77
98,STX,2017-11-01,36.96,36.96
99,STX,2017-10-31,36.97,36.97
100,STX,2017-10-30,36.68,36.68
101,STX,2017-10-27,36.9,36.9
102,STX,2017-10-26,38.19,38.19
103,STX,2017-10-25,38.15,38.15
104,STX,2017-10-24,38.84,38.84
105,STX,2017-10-23,39.35,39.35
106,STX,2017-10-20,34.94,34.94
107,STX,2017-10-19,34.34,34.34
108,STX,2017-10-18,34.26,34.26
109,STX,2017-10-17,33.96,33.96
110,STX,2017-10-16,34.49,34.49
111,STX,2017-10-13,34.4,34.4
112,STX,2017-10-12,33.62,33.62
113,STX,2017-10-11,33.5,33.5
114,STX,2017-10-10,33.75,33.75
115,STX,2017-10-09,33.85,33.85
116,STX,2017-10-06,33.79,33.79
117,STX,2017-10-05,34.1,34.1
118,STX,2017-10-04,33.98,33.98
119,STX,2017-10-03,34.05,34.05
120,STX,2017-10-02,34.2,34.2
121,STX,2017-09-29,33.17,33.17
122,STX,2017-09-28,32.98,32.98
123,STX,2017-09-27,33.18,33.18
124,STX,2017-09-26,32.87,32.87
125,STX,2017-09-25,33.16,33.16
126,STX,2017-09-22,33.57,33.57
127,STX,2017-09-21,32.72,32.72
128,STX,2017-09-20,32.38,32.38
129,STX,2017-09-19,32.18,32.18
130,STX,2017-09-18,33.52,32.876366961292
131,STX,2017-09-15,33.55,32.905790917403
132,STX,2017-09-14,32.65,32.023072234075
133,STX,2017-09-13,32.78,32.150576043889
134,STX,2017-09-12,31.89,31.277665345931
135,STX,2017-09-11,30.95,30.355714721122
136,STX,2017-09-08,31.99,31.375745199634
137,STX,2017-09-07,32.34,31.719024687595
138,STX,2017-09-06,32.79,32.160384029259
139,STX,2017-09-05,32.75,32.121152087778
140,STX,2017-09-01,31.8,31.189393477598
141,STX,2017-08-31,31.53,30.9245778726
142,STX,2017-08-30,31.5,30.895153916489
143,STX,2017-08-29,31.45,30.846113989637
144,STX,2017-08-28,31.49,30.885345931119
145,STX,2017-08-25,31.25,30.649954282231
146,STX,2017-08-24,31.02,30.424370618714
147,STX,2017-08-23,31.01,30.414562633343
148,STX,2017-08-22,32.29,31.669984760744
149,STX,2017-08-21,31.46,30.855921975008
150,STX,2017-08-18,31.37,30.767650106675
151,STX,2017-08-17,31.51,30.904961901859
152,STX,2017-08-16,32.48,31.85633648278
153,STX,2017-08-15,32.28,31.660176775373
154,STX,2017-08-14,32.55,31.924992380372
155,STX,2017-08-11,32.29,31.669984760744
156,STX,2017-08-10,31.55,30.94419384334
157,STX,2017-08-09,32.6,31.974032307223
158,STX,2017-08-08,32.99,32.356543736666
159,STX,2017-08-07,33.48,32.837135019811
160,STX,2017-08-04,33.43,32.788095092959
161,STX,2017-08-03,33.57,32.925406888144
162,STX,2017-08-02,33.42,32.778287107589
163,STX,2017-08-01,33.37,32.729247180738
164,STX,2017-07-31,32.96,32.327119780555
165,STX,2017-07-28,32.61,31.983840292594
166,STX,2017-07-27,32.56,31.934800365742
167,STX,2017-07-26,32.34,31.719024687595
168,STX,2017-07-25,33.2,32.562511429442
169,STX,2017-07-24,39.76,38.996549832368
170,STX,2017-07-21,39.58,38.820006095703
171,STX,2017-07-20,39.42,38.663078329778
172,STX,2017-07-19,39.24,38.486534593112
173,STX,2017-07-18,38.83,38.084407192929
174,STX,2017-07-17,39.07,38.319798841817
175,STX,2017-07-14,39.5,38.74154221274
176,STX,2017-07-13,38.32,37.584199939043
177,STX,2017-07-12,39.7,38.937701920146
178,STX,2017-07-11,38.72,37.976519353856
179,STX,2017-07-10,38.39,37.652855836635
180,STX,2017-07-07,38.2,37.466504114599
181,STX,2017-07-06,37.3,36.583785431271
182,STX,2017-07-05,39.02,38.270758914965
183,STX,2017-07-03,38.59,37.849015544041
184,STX,2017-06-30,38.75,38.005943309966
185,STX,2017-06-29,38.91,38.162871075891
186,STX,2017-06-28,40.18,39.408485217921
187,STX,2017-06-27,39.51,38.75135019811
188,STX,2017-06-26,42.39,41.576049984761
189,STX,2017-06-23,42.67,41.85067357513
190,STX,2017-06-22,42.01,41.203346540689
191,STX,2017-06-21,41.66,40.860067052728
192,STX,2017-06-20,41.04,40.251971959768
193,STX,2017-06-19,41.83,41.026802804023
194,STX,2017-06-16,42.03,40.611317047883
195,STX,2017-06-15,41.52,40.118531616181
196,STX,2017-06-14,41.28,39.886632589498
197,STX,2017-06-13,42.03,40.611317047883
