None,ticker,date,close,adj_close
0,SWK,2018-03-27,152.4,152.4
1,SWK,2018-03-26,156.48,156.48
2,SWK,2018-03-23,151.31,151.31
3,SWK,2018-03-22,154.46,154.46
4,SWK,2018-03-21,160.24,160.24
5,SWK,2018-03-20,158.53,158.53
6,SWK,2018-03-19,157.35,157.35
7,SWK,2018-03-16,159.04,159.04
8,SWK,2018-03-15,157.81,157.81
9,SWK,2018-03-14,156.81,156.81
10,SWK,2018-03-13,156.63,156.63
11,SWK,2018-03-12,157.82,157.82
12,SWK,2018-03-09,159.98,159.98
13,SWK,2018-03-08,156.92,156.92
14,SWK,2018-03-07,156.63,156.63
15,SWK,2018-03-06,153.49,153.49
16,SWK,2018-03-05,152.22,152.22
17,SWK,2018-03-02,152.56,152.56
18,SWK,2018-03-01,152.95,152.95
19,SWK,2018-02-28,159.19,159.19
20,SWK,2018-02-27,161.65,161.65
21,SWK,2018-02-26,163.0,163.0
22,SWK,2018-02-23,160.94,160.94
23,SWK,2018-02-22,159.75,159.75
24,SWK,2018-02-21,160.34,160.34
25,SWK,2018-02-20,159.21,159.21
26,SWK,2018-02-16,159.77,159.77
27,SWK,2018-02-15,160.13,160.13
28,SWK,2018-02-14,159.27,159.27
29,SWK,2018-02-13,157.07,157.07
30,SWK,2018-02-12,158.04,158.04
31,SWK,2018-02-09,154.23,154.23
32,SWK,2018-02-08,152.86,152.86
33,SWK,2018-02-07,159.74,159.74
34,SWK,2018-02-06,161.62,161.62
35,SWK,2018-02-05,158.15,158.15
36,SWK,2018-02-02,163.84,163.84
37,SWK,2018-02-01,166.77,166.77
38,SWK,2018-01-31,166.23,166.23
39,SWK,2018-01-30,166.36,166.36
40,SWK,2018-01-29,168.5,168.5
41,SWK,2018-01-26,169.72,169.72
42,SWK,2018-01-25,169.16,169.16
43,SWK,2018-01-24,170.59,170.59
44,SWK,2018-01-23,173.89,173.89
45,SWK,2018-01-22,175.23,175.23
46,SWK,2018-01-19,175.91,175.91
47,SWK,2018-01-18,174.75,174.75
48,SWK,2018-01-17,173.76,173.76
49,SWK,2018-01-16,171.01,171.01
50,SWK,2018-01-12,173.42,173.42
51,SWK,2018-01-11,172.53,172.53
52,SWK,2018-01-10,171.04,171.04
53,SWK,2018-01-09,173.61,173.61
54,SWK,2018-01-08,172.66,172.66
55,SWK,2018-01-05,170.58,170.58
56,SWK,2018-01-04,169.79,169.79
57,SWK,2018-01-03,169.13,169.13
58,SWK,2018-01-02,168.51,168.51
59,SWK,2017-12-29,169.69,169.69
60,SWK,2017-12-28,170.03,170.03
61,SWK,2017-12-27,168.68,168.68
62,SWK,2017-12-26,167.81,167.81
63,SWK,2017-12-22,167.46,167.46
64,SWK,2017-12-21,169.06,169.06
65,SWK,2017-12-20,169.01,169.01
66,SWK,2017-12-19,168.65,168.65
67,SWK,2017-12-18,167.61,167.61
68,SWK,2017-12-15,165.71,165.71
69,SWK,2017-12-14,164.94,164.94
70,SWK,2017-12-13,166.05,166.05
71,SWK,2017-12-12,165.95,165.95
72,SWK,2017-12-11,166.9,166.9
73,SWK,2017-12-08,167.66,167.66
74,SWK,2017-12-07,168.36,168.36
75,SWK,2017-12-06,168.47,168.47
76,SWK,2017-12-05,168.34,168.34
77,SWK,2017-12-04,169.81,169.81
78,SWK,2017-12-01,168.73,168.73
79,SWK,2017-11-30,169.63,169.63
80,SWK,2017-11-29,167.61,167.61
81,SWK,2017-11-28,169.1,169.1
82,SWK,2017-11-27,165.89,165.89
83,SWK,2017-11-24,165.99,165.99
84,SWK,2017-11-22,165.99,165.99
85,SWK,2017-11-21,165.99,165.99
86,SWK,2017-11-20,164.51,164.51
87,SWK,2017-11-17,163.27,163.27
88,SWK,2017-11-16,162.99,162.99
89,SWK,2017-11-15,163.44,163.44
90,SWK,2017-11-14,164.11,164.11
91,SWK,2017-11-13,163.97,163.97
92,SWK,2017-11-10,162.97,162.97
93,SWK,2017-11-09,162.85,162.85
94,SWK,2017-11-07,165.2,165.2
95,SWK,2017-11-06,163.56,163.56
96,SWK,2017-11-03,163.13,163.13
97,SWK,2017-11-02,161.81,161.81
98,SWK,2017-11-01,161.04,161.04
99,SWK,2017-10-31,161.55,161.55
100,SWK,2017-10-30,161.63,161.63
101,SWK,2017-10-27,164.71,164.71
102,SWK,2017-10-26,164.7,164.7
103,SWK,2017-10-25,163.6,163.6
104,SWK,2017-10-24,165.74,165.74
105,SWK,2017-10-23,158.19,158.19
106,SWK,2017-10-20,160.12,160.12
107,SWK,2017-10-19,157.16,157.16
108,SWK,2017-10-18,156.85,156.85
109,SWK,2017-10-17,156.64,156.64
110,SWK,2017-10-16,158.65,158.65
111,SWK,2017-10-13,158.71,158.71
112,SWK,2017-10-12,158.28,158.28
113,SWK,2017-10-11,156.49,156.49
114,SWK,2017-10-10,155.82,155.82
115,SWK,2017-10-09,156.67,156.67
116,SWK,2017-10-06,155.49,155.49
117,SWK,2017-10-05,156.13,156.13
118,SWK,2017-10-04,156.71,156.71
119,SWK,2017-10-03,155.43,155.43
120,SWK,2017-10-02,154.53,154.53
121,SWK,2017-09-29,150.97,150.97
122,SWK,2017-09-28,149.52,149.52
123,SWK,2017-09-27,148.65,148.65
124,SWK,2017-09-26,149.02,149.02
125,SWK,2017-09-25,150.4,150.4
126,SWK,2017-09-22,151.22,151.22
127,SWK,2017-09-21,151.97,151.97
128,SWK,2017-09-20,152.3,152.3
129,SWK,2017-09-19,151.25,151.25
130,SWK,2017-09-18,149.81,149.81
131,SWK,2017-09-15,148.04,148.04
132,SWK,2017-09-14,147.72,147.72
133,SWK,2017-09-13,147.03,147.03
134,SWK,2017-09-12,147.5,147.5
135,SWK,2017-09-11,147.46,147.46
136,SWK,2017-09-08,147.05,147.05
137,SWK,2017-09-07,144.68,144.68
138,SWK,2017-09-06,142.53,142.53
139,SWK,2017-09-05,141.7,141.7
140,SWK,2017-09-01,142.64,142.64
141,SWK,2017-08-31,144.0,144.0
142,SWK,2017-08-30,139.78,139.78
143,SWK,2017-08-29,139.01,138.38628160387
144,SWK,2017-08-28,138.67,138.04780713624
145,SWK,2017-08-25,138.83,138.20708923866
146,SWK,2017-08-24,137.16,136.54458229471
147,SWK,2017-08-23,137.14,136.52467203191
148,SWK,2017-08-22,138.71,138.08762766185
149,SWK,2017-08-21,137.07,136.4549861121
150,SWK,2017-08-18,137.5,136.88305676234
151,SWK,2017-08-17,138.12,137.50027490919
152,SWK,2017-08-16,140.66,140.02887828502
153,SWK,2017-08-15,139.42,138.79444199131
154,SWK,2017-08-14,140.75,140.11847446763
155,SWK,2017-08-11,139.15,138.52565344349
156,SWK,2017-08-10,138.3,137.67946727441
157,SWK,2017-08-09,140.34,139.71031408019
158,SWK,2017-08-08,140.96,140.32753222705
159,SWK,2017-08-07,142.13,141.49228260095
160,SWK,2017-08-04,142.35,141.71129549177
161,SWK,2017-08-03,142.27,141.63165444057
162,SWK,2017-08-02,141.62,140.98457089951
163,SWK,2017-08-01,139.47,138.84421764832
164,SWK,2017-07-31,140.69,140.05874367923
165,SWK,2017-07-28,139.88,139.25237803575
166,SWK,2017-07-27,141.14,140.50672459227
167,SWK,2017-07-26,140.28,139.65058329179
168,SWK,2017-07-25,142.25,141.61174417777
169,SWK,2017-07-24,143.7,143.0552382309
170,SWK,2017-07-21,146.79,146.13137383377
171,SWK,2017-07-20,146.66,146.00195712556
172,SWK,2017-07-19,147.8,147.13684210526
173,SWK,2017-07-18,146.25,145.59379673812
174,SWK,2017-07-17,146.65,145.99200199416
175,SWK,2017-07-14,146.24,145.58384160672
176,SWK,2017-07-13,146.37,145.71325831493
177,SWK,2017-07-12,146.18,145.52411081832
178,SWK,2017-07-11,145.23,144.57837333523
179,SWK,2017-07-10,145.88,145.22545687629
180,SWK,2017-07-07,144.91,144.2598091304
181,SWK,2017-07-06,142.29,141.65156470337
182,SWK,2017-07-05,143.02,142.37828929563
183,SWK,2017-07-03,141.78,141.14385300192
184,SWK,2017-06-30,140.73,140.09856420483
185,SWK,2017-06-29,139.63,139.00349975073
186,SWK,2017-06-28,141.43,140.79542340289
187,SWK,2017-06-27,140.49,139.85964105121
188,SWK,2017-06-26,142.48,141.84071219999
189,SWK,2017-06-23,143.05,142.40815468984
