None,ticker,date,close,adj_close
0,SWKS,2018-03-27,101.52,101.52
1,SWKS,2018-03-26,104.93,104.93
2,SWKS,2018-03-23,101.41,101.41
3,SWKS,2018-03-22,105.24,105.24
4,SWKS,2018-03-21,108.47,108.47
5,SWKS,2018-03-20,109.07,109.07
6,SWKS,2018-03-19,109.33,109.33
7,SWKS,2018-03-16,110.63,110.63
8,SWKS,2018-03-15,111.29,111.29
9,SWKS,2018-03-14,111.94,111.94
10,SWKS,2018-03-13,112.0,112.0
11,SWKS,2018-03-12,115.16,115.16
12,SWKS,2018-03-09,113.56,113.56
13,SWKS,2018-03-08,111.44,111.44
14,SWKS,2018-03-07,111.54,111.54
15,SWKS,2018-03-06,111.85,111.85
16,SWKS,2018-03-05,111.48,111.48
17,SWKS,2018-03-02,109.14,109.14
18,SWKS,2018-03-01,106.59,106.59
19,SWKS,2018-02-28,109.25,109.25
20,SWKS,2018-02-27,110.3,110.3
21,SWKS,2018-02-26,110.39,110.39
22,SWKS,2018-02-23,108.23,108.23
23,SWKS,2018-02-22,107.26,107.26
24,SWKS,2018-02-21,106.0,106.0
25,SWKS,2018-02-20,106.41,106.41
26,SWKS,2018-02-16,104.11,104.11
27,SWKS,2018-02-15,104.365,104.365
28,SWKS,2018-02-14,104.65,104.65
29,SWKS,2018-02-13,103.58,103.58
30,SWKS,2018-02-12,104.1,104.1
31,SWKS,2018-02-09,102.62,102.62
32,SWKS,2018-02-08,99.05,99.05
33,SWKS,2018-02-07,101.35,101.35
34,SWKS,2018-02-06,104.38,104.38
35,SWKS,2018-02-05,95.145,95.145
36,SWKS,2018-02-02,98.97,98.97
37,SWKS,2018-02-01,103.15,103.15
38,SWKS,2018-01-31,97.25,97.25
39,SWKS,2018-01-30,97.21,97.21
40,SWKS,2018-01-29,97.1,97.1
41,SWKS,2018-01-26,97.35,97.35
42,SWKS,2018-01-25,95.05,95.05
43,SWKS,2018-01-24,97.13,97.13
44,SWKS,2018-01-23,99.37,99.37
45,SWKS,2018-01-22,98.72,98.72
46,SWKS,2018-01-19,99.2,99.2
47,SWKS,2018-01-18,102.29,102.29
48,SWKS,2018-01-17,102.19,102.19
49,SWKS,2018-01-16,99.86,99.86
50,SWKS,2018-01-12,101.21,101.21
51,SWKS,2018-01-11,99.87,99.87
52,SWKS,2018-01-10,98.6,98.6
53,SWKS,2018-01-09,100.68,100.68
54,SWKS,2018-01-08,101.25,101.25
55,SWKS,2018-01-05,101.23,101.23
56,SWKS,2018-01-04,100.77,100.77
57,SWKS,2018-01-03,99.93,99.93
58,SWKS,2018-01-02,98.43,98.43
59,SWKS,2017-12-29,94.95,94.95
60,SWKS,2017-12-28,96.54,96.54
61,SWKS,2017-12-27,95.82,95.82
62,SWKS,2017-12-26,95.2,95.2
63,SWKS,2017-12-22,97.07,97.07
64,SWKS,2017-12-21,97.49,97.49
