None,ticker,date,close,adj_close
0,SYF,2018-03-27,32.67,32.67
1,SYF,2018-03-26,33.3,33.3
2,SYF,2018-03-23,32.51,32.51
3,SYF,2018-03-22,33.73,33.73
4,SYF,2018-03-21,35.3,35.3
5,SYF,2018-03-20,35.4,35.4
6,SYF,2018-03-19,35.26,35.26
7,SYF,2018-03-16,35.2,35.2
8,SYF,2018-03-15,34.67,34.67
9,SYF,2018-03-14,36.1,36.1
10,SYF,2018-03-13,36.68,36.68
11,SYF,2018-03-12,36.98,36.98
12,SYF,2018-03-09,37.28,37.28
13,SYF,2018-03-08,36.84,36.84
14,SYF,2018-03-07,36.3,36.3
15,SYF,2018-03-06,36.2,36.2
16,SYF,2018-03-05,36.23,36.23
17,SYF,2018-03-02,35.93,35.93
18,SYF,2018-03-01,35.85,35.85
19,SYF,2018-02-28,36.39,36.39
20,SYF,2018-02-27,36.81,36.81
21,SYF,2018-02-26,37.39,37.39
22,SYF,2018-02-23,37.15,37.15
23,SYF,2018-02-22,36.33,36.33
24,SYF,2018-02-21,36.57,36.57
25,SYF,2018-02-20,36.56,36.56
26,SYF,2018-02-16,36.73,36.73
27,SYF,2018-02-15,36.84,36.84
28,SYF,2018-02-14,36.7,36.7
29,SYF,2018-02-13,36.01,36.01
30,SYF,2018-02-12,36.24,36.24
31,SYF,2018-02-09,35.03,35.03
32,SYF,2018-02-08,34.98,34.98
33,SYF,2018-02-07,37.5,37.5
34,SYF,2018-02-06,37.67,37.67
35,SYF,2018-02-05,36.88,36.88
36,SYF,2018-02-02,38.68,38.68
37,SYF,2018-02-01,39.66,39.66
38,SYF,2018-01-31,39.68,39.68
39,SYF,2018-01-30,39.63,39.63
40,SYF,2018-01-29,40.16,40.16
41,SYF,2018-01-26,40.21,40.21
42,SYF,2018-01-25,39.58,39.58
43,SYF,2018-01-24,39.74,39.74
44,SYF,2018-01-23,39.78,39.78
45,SYF,2018-01-22,39.52,39.52
46,SYF,2018-01-19,38.47,38.47
47,SYF,2018-01-18,37.3,37.3
48,SYF,2018-01-17,38.06,38.06
49,SYF,2018-01-16,37.93,37.93
50,SYF,2018-01-12,39.37,39.37
51,SYF,2018-01-11,39.76,39.76
52,SYF,2018-01-10,39.66,39.66
53,SYF,2018-01-09,39.44,39.44
54,SYF,2018-01-08,39.26,39.26
55,SYF,2018-01-05,39.74,39.74
56,SYF,2018-01-04,39.4,39.4
57,SYF,2018-01-03,39.12,39.12
58,SYF,2018-01-02,38.86,38.86
59,SYF,2017-12-29,38.61,38.61
60,SYF,2017-12-28,38.97,38.97
61,SYF,2017-12-27,38.6,38.6
62,SYF,2017-12-26,38.71,38.71
63,SYF,2017-12-22,38.77,38.77
64,SYF,2017-12-21,38.6,38.6
65,SYF,2017-12-20,37.96,37.96
66,SYF,2017-12-19,38.18,38.18
67,SYF,2017-12-18,38.51,38.51
68,SYF,2017-12-15,37.19,37.19
69,SYF,2017-12-14,36.99,36.99
70,SYF,2017-12-13,36.64,36.64
71,SYF,2017-12-12,37.36,37.36
72,SYF,2017-12-11,37.59,37.59
73,SYF,2017-12-08,37.5,37.5
74,SYF,2017-12-07,37.34,37.34
75,SYF,2017-12-06,37.39,37.39
76,SYF,2017-12-05,37.31,37.31
77,SYF,2017-12-04,37.45,37.45
78,SYF,2017-12-01,35.94,35.94
79,SYF,2017-11-30,35.89,35.89
80,SYF,2017-11-29,35.35,35.35
81,SYF,2017-11-28,34.49,34.49
82,SYF,2017-11-27,33.21,33.21
83,SYF,2017-11-24,33.49,33.49
84,SYF,2017-11-22,33.67,33.67
85,SYF,2017-11-21,33.77,33.77
86,SYF,2017-11-20,33.86,33.86
87,SYF,2017-11-17,33.86,33.86
88,SYF,2017-11-16,33.38,33.38
89,SYF,2017-11-15,32.53,32.53
90,SYF,2017-11-14,32.56,32.56
91,SYF,2017-11-13,32.59,32.59
92,SYF,2017-11-10,32.07,32.07
93,SYF,2017-11-09,32.09,32.09
94,SYF,2017-11-07,32.36,32.36
95,SYF,2017-11-06,32.77,32.77
96,SYF,2017-11-03,33.11,33.11
97,SYF,2017-11-02,33.22,33.070180396873
98,SYF,2017-11-01,32.83,32.681939266386
99,SYF,2017-10-31,32.62,32.47288634997
100,SYF,2017-10-30,32.6,32.452976548406
101,SYF,2017-10-27,32.94,32.791443174985
102,SYF,2017-10-26,32.87,32.721758869513
103,SYF,2017-10-25,32.385,32.2389461816
104,SYF,2017-10-24,32.65,32.502751052315
105,SYF,2017-10-23,32.68,32.53261575466
106,SYF,2017-10-20,33.04,32.890992182802
107,SYF,2017-10-19,31.71,31.566990378833
108,SYF,2017-10-18,31.51,31.367892363199
109,SYF,2017-10-17,30.98,30.840282621768
110,SYF,2017-10-16,31.5,31.357937462417
111,SYF,2017-10-13,30.82,30.68100420926
112,SYF,2017-10-12,30.64,30.501815995189
113,SYF,2017-10-11,31.42,31.278298256164
114,SYF,2017-10-10,31.75,31.60680998196
115,SYF,2017-10-09,31.44,31.298208057727
116,SYF,2017-10-06,31.31,31.168794347565
117,SYF,2017-10-05,31.66,31.517215874925
118,SYF,2017-10-04,31.31,31.168794347565
119,SYF,2017-10-03,31.72,31.576945279615
120,SYF,2017-10-02,31.48,31.338027660854
121,SYF,2017-09-29,31.05,30.90996692724
122,SYF,2017-09-28,31.19,31.049335538184
123,SYF,2017-09-27,30.94,30.800463018641
124,SYF,2017-09-26,29.94,29.804972940469
125,SYF,2017-09-25,29.56,29.426686710764
126,SYF,2017-09-22,29.47,29.337092603728
127,SYF,2017-09-21,28.89,28.759708358388
128,SYF,2017-09-20,29.0,28.869212266987
129,SYF,2017-09-19,29.09,28.958806374023
130,SYF,2017-09-18,29.26,29.128039687312
131,SYF,2017-09-15,29.02,28.889122068551
132,SYF,2017-09-14,28.7,28.570565243536
133,SYF,2017-09-13,29.32,29.187769092002
134,SYF,2017-09-12,29.19,29.05835538184
135,SYF,2017-09-11,29.15,29.018535778713
136,SYF,2017-09-08,28.55,28.42124173181
137,SYF,2017-09-07,29.06,28.928941671678
138,SYF,2017-09-06,29.96,29.824882742032
139,SYF,2017-09-05,29.87,29.735288634997
140,SYF,2017-09-01,30.92,30.780553217078
141,SYF,2017-08-31,30.79,30.651139506915
142,SYF,2017-08-30,30.66,30.521725796753
143,SYF,2017-08-29,30.12,29.98416115454
144,SYF,2017-08-28,30.29,30.153394467829
145,SYF,2017-08-25,30.54,30.402266987372
146,SYF,2017-08-24,30.46,30.322627781118
147,SYF,2017-08-23,30.31,30.173304269393
148,SYF,2017-08-22,30.34,30.203168971738
149,SYF,2017-08-21,30.26,30.123529765484
150,SYF,2017-08-18,30.07,29.934386650631
151,SYF,2017-08-17,30.1,29.964251352977
152,SYF,2017-08-16,30.87,30.730778713169
153,SYF,2017-08-15,30.99,30.85023752255
154,SYF,2017-08-14,29.64,29.506325917017
155,SYF,2017-08-11,29.2,29.068310282622
156,SYF,2017-08-10,29.32,29.187769092002
157,SYF,2017-08-09,30.25,30.113574864702
158,SYF,2017-08-08,30.72,30.581455201443
159,SYF,2017-08-07,30.4,30.262898376428
160,SYF,2017-08-04,29.87,29.735288634997
161,SYF,2017-08-03,29.91,29.775108238124
162,SYF,2017-08-02,30.06,29.775108238124
163,SYF,2017-08-01,29.88,29.596814176818
164,SYF,2017-07-31,30.32,30.032644104455
165,SYF,2017-07-28,29.94,29.656245530586
166,SYF,2017-07-27,30.34,30.052454555711
167,SYF,2017-07-26,30.57,30.280274745158
168,SYF,2017-07-25,30.89,30.597241965258
169,SYF,2017-07-24,30.74,30.448663580836
170,SYF,2017-07-21,30.87,30.577431514001
171,SYF,2017-07-20,29.53,29.250131279834
172,SYF,2017-07-19,29.51,29.230320828577
173,SYF,2017-07-18,29.33,29.052026767271
174,SYF,2017-07-17,29.65,29.368993987371
175,SYF,2017-07-14,29.48,29.200605151693
176,SYF,2017-07-13,29.36,29.081742444156
177,SYF,2017-07-12,29.33,29.052026767271
178,SYF,2017-07-11,29.1,28.824206577825
179,SYF,2017-07-10,29.13,28.853922254709
180,SYF,2017-07-07,29.7,29.418520115512
181,SYF,2017-07-06,29.38,29.101552895412
182,SYF,2017-07-05,29.78,29.497761920537
