None,ticker,date,close,adj_close
0,T,2018-03-27,34.9,34.9
1,T,2018-03-26,34.69,34.69
2,T,2018-03-23,34.7,34.7
3,T,2018-03-22,35.37,35.37
4,T,2018-03-21,36.0,36.0
5,T,2018-03-20,36.34,36.34
6,T,2018-03-19,36.58,36.58
7,T,2018-03-16,37.0,37.0
8,T,2018-03-15,37.04,37.04
9,T,2018-03-14,37.03,37.03
10,T,2018-03-13,37.39,37.39
11,T,2018-03-12,37.36,37.36
12,T,2018-03-09,37.05,37.05
13,T,2018-03-08,37.11,37.11
14,T,2018-03-07,36.91,36.91
15,T,2018-03-06,36.87,36.87
16,T,2018-03-05,36.7,36.7
17,T,2018-03-02,36.35,36.35
18,T,2018-03-01,36.0,36.0
19,T,2018-02-28,36.3,36.3
20,T,2018-02-27,36.87,36.87
21,T,2018-02-26,37.46,37.46
22,T,2018-02-23,36.72,36.72
23,T,2018-02-22,36.47,36.47
24,T,2018-02-21,36.31,36.31
25,T,2018-02-20,36.77,36.77
26,T,2018-02-16,37.14,37.14
27,T,2018-02-15,37.0,37.0
28,T,2018-02-14,36.41,36.41
29,T,2018-02-13,36.6,36.6
30,T,2018-02-12,36.37,36.37
31,T,2018-02-09,36.05,36.05
32,T,2018-02-08,35.57,35.57
33,T,2018-02-07,36.93,36.93
34,T,2018-02-06,36.83,36.83
35,T,2018-02-05,36.63,36.63
36,T,2018-02-02,38.07,38.07
37,T,2018-02-01,39.16,39.16
38,T,2018-01-31,37.45,37.45
39,T,2018-01-30,37.44,37.44
40,T,2018-01-29,37.26,37.26
41,T,2018-01-26,37.82,37.82
42,T,2018-01-25,37.45,37.45
43,T,2018-01-24,37.02,37.02
44,T,2018-01-23,37.19,37.19
45,T,2018-01-22,37.87,37.87
46,T,2018-01-19,37.21,37.21
47,T,2018-01-18,37.15,37.15
48,T,2018-01-17,36.85,36.85
49,T,2018-01-16,36.72,36.72
50,T,2018-01-12,36.9,36.9
51,T,2018-01-11,36.48,36.48
52,T,2018-01-10,36.62,36.62
53,T,2018-01-09,37.49,37.49
54,T,2018-01-08,38.25,38.25
55,T,2018-01-05,38.14,38.14
56,T,2018-01-04,38.0,38.0
57,T,2018-01-03,37.65,37.65
58,T,2018-01-02,38.54,38.54
59,T,2017-12-29,38.88,38.88
60,T,2017-12-28,39.18,39.18
61,T,2017-12-27,38.89,38.89
62,T,2017-12-26,39.06,39.06
63,T,2017-12-22,38.94,38.94
64,T,2017-12-21,38.88,38.88
65,T,2017-12-20,38.55,38.55
66,T,2017-12-19,38.05,38.05
67,T,2017-12-18,38.46,38.46
68,T,2017-12-15,38.24,38.24
69,T,2017-12-14,37.74,37.74
70,T,2017-12-13,38.04,38.04
71,T,2017-12-12,38.1,38.1
72,T,2017-12-11,36.9,36.9
73,T,2017-12-08,36.73,36.73
74,T,2017-12-07,36.17,36.17
75,T,2017-12-06,36.11,36.11
76,T,2017-12-05,36.55,36.55
77,T,2017-12-04,37.27,37.27
78,T,2017-12-01,36.5,36.5
79,T,2017-11-30,36.38,36.38
80,T,2017-11-29,36.48,36.48
81,T,2017-11-28,35.42,35.42
82,T,2017-11-27,34.68,34.68
83,T,2017-11-24,34.81,34.81
84,T,2017-11-22,34.87,34.87
85,T,2017-11-21,34.33,34.33
86,T,2017-11-20,34.64,34.64
87,T,2017-11-17,34.51,34.51
88,T,2017-11-16,34.52,34.52
89,T,2017-11-15,33.81,33.81
90,T,2017-11-14,33.72,33.72
91,T,2017-11-13,34.17,34.17
92,T,2017-11-10,34.22,34.22
93,T,2017-11-09,34.0,34.0
94,T,2017-11-07,33.07,33.07
95,T,2017-11-06,32.86,32.86
96,T,2017-11-03,33.3,33.3
97,T,2017-11-02,33.17,33.17
98,T,2017-11-01,33.55,33.55
99,T,2017-10-31,33.65,33.65
100,T,2017-10-30,33.54,33.54
101,T,2017-10-27,33.97,33.97
102,T,2017-10-26,33.68,33.68
103,T,2017-10-25,33.48,33.48
104,T,2017-10-24,34.86,34.86
105,T,2017-10-23,35.25,35.25
106,T,2017-10-20,35.54,35.54
107,T,2017-10-19,35.69,35.69
108,T,2017-10-18,35.71,35.71
109,T,2017-10-17,36.23,36.23
110,T,2017-10-16,36.17,36.17
111,T,2017-10-13,35.7,35.7
112,T,2017-10-12,35.86,35.86
113,T,2017-10-11,38.19,38.19
114,T,2017-10-10,38.5,38.5
115,T,2017-10-09,38.3,38.3
116,T,2017-10-06,38.59,38.59
117,T,2017-10-05,39.51,39.014608495394
118,T,2017-10-04,39.5,39.004733879222
119,T,2017-10-03,39.48,38.984984646878
120,T,2017-10-02,39.11,38.619623848516
121,T,2017-09-29,39.17,38.678871545548
122,T,2017-09-28,39.04,38.550501535312
123,T,2017-09-27,38.77,38.283886898669
124,T,2017-09-26,38.72,38.23451381781
125,T,2017-09-25,39.12,38.629498464688
126,T,2017-09-22,38.59,38.106143807574
127,T,2017-09-21,38.22,37.740783009212
128,T,2017-09-20,38.43,37.948149948823
129,T,2017-09-19,38.21,37.73090839304
130,T,2017-09-18,37.42,36.950813715455
131,T,2017-09-15,37.1,36.634825997953
132,T,2017-09-14,36.32,35.86460593654
133,T,2017-09-13,36.55,36.091722108495
134,T,2017-09-12,36.26,35.805358239509
135,T,2017-09-11,35.74,35.291878198567
136,T,2017-09-08,35.59,35.143758955988
137,T,2017-09-07,35.6,35.15363357216
138,T,2017-09-06,36.57,36.111471340839
139,T,2017-09-05,37.09,36.624951381781
140,T,2017-09-01,37.48,37.010061412487
141,T,2017-08-31,37.46,36.990312180143
142,T,2017-08-30,37.67,37.197679119754
143,T,2017-08-29,37.85,37.37542221085
144,T,2017-08-28,37.94,37.464293756397
145,T,2017-08-25,37.99,37.513666837257
146,T,2017-08-24,37.68,37.207553735926
147,T,2017-08-23,37.92,37.444544524053
148,T,2017-08-22,37.98,37.503792221085
149,T,2017-08-21,37.58,37.108807574207
150,T,2017-08-18,37.37,36.901440634596
151,T,2017-08-17,37.6,37.128556806551
152,T,2017-08-16,38.23,37.750657625384
153,T,2017-08-15,38.16,37.68153531218
154,T,2017-08-14,38.5,38.017272262027
155,T,2017-08-11,38.1,37.622287615148
156,T,2017-08-10,38.19,37.711159160696
