None,ticker,date,close,adj_close
0,TAP,2018-03-27,74.23,74.23
1,TAP,2018-03-26,73.91,73.91
2,TAP,2018-03-23,72.16,72.16
3,TAP,2018-03-22,74.39,74.39
4,TAP,2018-03-21,76.05,76.05
5,TAP,2018-03-20,76.88,76.88
6,TAP,2018-03-19,79.47,79.47
7,TAP,2018-03-16,80.19,80.19
8,TAP,2018-03-15,81.41,81.41
9,TAP,2018-03-14,81.1,81.1
10,TAP,2018-03-13,80.46,80.46
11,TAP,2018-03-12,80.96,80.96
12,TAP,2018-03-09,81.09,81.09
13,TAP,2018-03-08,80.55,80.55
14,TAP,2018-03-07,78.26,78.26
15,TAP,2018-03-06,78.79,78.79
16,TAP,2018-03-05,78.03,78.03
17,TAP,2018-03-02,78.34,78.34
18,TAP,2018-03-01,76.84,76.84
19,TAP,2018-02-28,76.25,76.25
20,TAP,2018-02-27,76.58,76.58
21,TAP,2018-02-26,77.93,77.93
22,TAP,2018-02-23,78.66,78.66
23,TAP,2018-02-22,78.45,78.45
24,TAP,2018-02-21,78.75,78.75
25,TAP,2018-02-20,79.75,79.75
26,TAP,2018-02-16,81.47,81.47
27,TAP,2018-02-15,81.74,81.74
28,TAP,2018-02-14,80.45,80.45
29,TAP,2018-02-13,75.7,75.7
30,TAP,2018-02-12,75.77,75.77
31,TAP,2018-02-09,74.21,74.21
32,TAP,2018-02-08,74.51,74.51
33,TAP,2018-02-07,76.16,76.16
34,TAP,2018-02-06,77.98,77.98
35,TAP,2018-02-05,77.68,77.68
36,TAP,2018-02-02,81.06,81.06
37,TAP,2018-02-01,83.55,83.55
38,TAP,2018-01-31,84.02,84.02
39,TAP,2018-01-30,83.48,83.48
40,TAP,2018-01-29,83.48,83.48
41,TAP,2018-01-26,84.39,84.39
42,TAP,2018-01-25,83.79,83.79
43,TAP,2018-01-24,83.89,83.89
44,TAP,2018-01-23,83.26,83.26
45,TAP,2018-01-22,84.06,84.06
46,TAP,2018-01-19,83.77,83.77
47,TAP,2018-01-18,83.25,83.25
48,TAP,2018-01-17,84.68,84.68
49,TAP,2018-01-16,84.72,84.72
50,TAP,2018-01-12,84.88,84.88
51,TAP,2018-01-11,84.49,84.49
52,TAP,2018-01-10,85.21,85.21
53,TAP,2018-01-09,83.63,83.63
54,TAP,2018-01-08,83.82,83.82
55,TAP,2018-01-05,82.93,82.93
56,TAP,2018-01-04,82.0,82.0
57,TAP,2018-01-03,81.45,81.45
58,TAP,2018-01-02,82.24,82.24
59,TAP,2017-12-29,82.07,82.07
60,TAP,2017-12-28,82.03,82.03
61,TAP,2017-12-27,81.68,81.68
62,TAP,2017-12-26,81.82,81.82
63,TAP,2017-12-22,81.1,81.1
64,TAP,2017-12-21,81.18,81.18
65,TAP,2017-12-20,80.59,80.59
