None,ticker,date,close,adj_close
0,TDG,2018-03-27,305.14,305.14
1,TDG,2018-03-26,309.39,309.39
2,TDG,2018-03-23,302.8,302.8
3,TDG,2018-03-22,302.73,302.73
4,TDG,2018-03-21,309.34,309.34
5,TDG,2018-03-20,308.14,308.14
6,TDG,2018-03-19,302.5,302.5
7,TDG,2018-03-16,299.23,299.23
8,TDG,2018-03-15,296.0,296.0
9,TDG,2018-03-14,295.12,295.12
10,TDG,2018-03-13,289.51,289.51
11,TDG,2018-03-12,288.0,288.0
12,TDG,2018-03-09,292.0,292.0
13,TDG,2018-03-08,286.01,286.01
14,TDG,2018-03-07,287.02,287.02
15,TDG,2018-03-06,284.09,284.09
16,TDG,2018-03-05,285.58,285.58
17,TDG,2018-03-02,285.15,285.15
18,TDG,2018-03-01,284.56,284.56
19,TDG,2018-02-28,288.31,288.31
20,TDG,2018-02-27,291.38,291.38
21,TDG,2018-02-26,295.16,295.16
22,TDG,2018-02-23,297.78,297.78
23,TDG,2018-02-22,292.99,292.99
24,TDG,2018-02-21,292.72,292.72
25,TDG,2018-02-20,298.75,298.75
26,TDG,2018-02-16,298.35,298.35
27,TDG,2018-02-15,298.44,298.44
28,TDG,2018-02-14,290.39,290.39
29,TDG,2018-02-13,285.8,285.8
30,TDG,2018-02-12,286.2,286.2
31,TDG,2018-02-09,282.55,282.55
32,TDG,2018-02-08,283.0,283.0
33,TDG,2018-02-07,292.1,292.1
34,TDG,2018-02-06,290.66,290.66
35,TDG,2018-02-05,296.86,296.86
36,TDG,2018-02-02,307.28,307.28
37,TDG,2018-02-01,315.2,315.2
38,TDG,2018-01-31,316.91,316.91
39,TDG,2018-01-30,317.37,317.37
40,TDG,2018-01-29,317.28,317.28
41,TDG,2018-01-26,314.13,314.13
42,TDG,2018-01-25,306.85,306.85
43,TDG,2018-01-24,303.9,303.9
44,TDG,2018-01-23,300.37,300.37
45,TDG,2018-01-22,296.85,296.85
46,TDG,2018-01-19,299.17,299.17
47,TDG,2018-01-18,294.1,294.1
48,TDG,2018-01-17,294.44,294.44
49,TDG,2018-01-16,293.85,293.85
50,TDG,2018-01-12,292.5,292.5
51,TDG,2018-01-11,287.51,287.51
52,TDG,2018-01-10,281.23,281.23
53,TDG,2018-01-09,282.41,282.41
54,TDG,2018-01-08,276.02,276.02
55,TDG,2018-01-05,274.91,274.91
56,TDG,2018-01-04,272.84,272.84
57,TDG,2018-01-03,270.22,270.22
58,TDG,2018-01-02,275.11,275.11
59,TDG,2017-12-29,274.62,274.62
60,TDG,2017-12-28,275.77,275.77
61,TDG,2017-12-27,273.81,273.81
62,TDG,2017-12-26,273.11,273.11
63,TDG,2017-12-22,270.65,270.65
64,TDG,2017-12-21,272.86,272.86
65,TDG,2017-12-20,271.42,271.42
66,TDG,2017-12-19,270.92,270.92
67,TDG,2017-12-18,275.4,275.4
68,TDG,2017-12-15,276.55,276.55
69,TDG,2017-12-14,274.48,274.48
70,TDG,2017-12-13,272.6,272.6
71,TDG,2017-12-12,270.0,270.0
72,TDG,2017-12-11,274.38,274.38
73,TDG,2017-12-08,274.62,274.62
74,TDG,2017-12-07,275.15,275.15
75,TDG,2017-12-06,274.0,274.0
76,TDG,2017-12-05,271.95,271.95
77,TDG,2017-12-04,275.01,275.01
78,TDG,2017-12-01,279.87,279.87
79,TDG,2017-11-30,283.79,283.79
80,TDG,2017-11-29,279.32,279.32
81,TDG,2017-11-28,277.06,277.06
82,TDG,2017-11-27,273.99,273.99
83,TDG,2017-11-24,275.65,275.65
84,TDG,2017-11-22,268.99,268.99
85,TDG,2017-11-21,267.15,267.15
86,TDG,2017-11-20,266.64,266.64
87,TDG,2017-11-17,263.08,263.08
88,TDG,2017-11-16,268.4,268.4
89,TDG,2017-11-15,265.15,265.15
90,TDG,2017-11-14,268.02,268.02
91,TDG,2017-11-13,262.0,262.0
92,TDG,2017-11-10,267.0,267.0
93,TDG,2017-11-09,265.58,265.58
94,TDG,2017-11-07,283.33,283.33
95,TDG,2017-11-06,283.0,283.0
96,TDG,2017-11-03,282.52,282.52
97,TDG,2017-11-02,282.55,282.55
98,TDG,2017-11-01,280.95,280.95
99,TDG,2017-10-31,277.5,277.5
100,TDG,2017-10-30,277.2,277.2
101,TDG,2017-10-27,277.5,277.5
102,TDG,2017-10-26,273.0,273.0
103,TDG,2017-10-25,272.64,272.64
104,TDG,2017-10-24,267.82,267.82
105,TDG,2017-10-23,267.58,267.58
106,TDG,2017-10-20,268.6,268.6
107,TDG,2017-10-19,264.5,264.5
108,TDG,2017-10-18,265.7,265.7
109,TDG,2017-10-17,266.0,266.0
110,TDG,2017-10-16,263.62,263.62
111,TDG,2017-10-13,265.49,265.49
112,TDG,2017-10-12,266.16,266.16
113,TDG,2017-10-11,264.56,264.56
114,TDG,2017-10-10,266.53,266.53
115,TDG,2017-10-09,266.4,266.4
116,TDG,2017-10-06,264.97,264.97
117,TDG,2017-10-05,268.25,268.25
118,TDG,2017-10-04,262.88,262.88
119,TDG,2017-10-03,262.33,262.33
120,TDG,2017-10-02,258.18,258.18
121,TDG,2017-09-29,255.65,255.65
122,TDG,2017-09-28,253.55,253.55
123,TDG,2017-09-27,254.47,254.47
124,TDG,2017-09-26,256.55,256.55
125,TDG,2017-09-25,258.22,258.22
126,TDG,2017-09-22,260.4,260.4
127,TDG,2017-09-21,264.27,264.27
128,TDG,2017-09-20,259.25,259.25
129,TDG,2017-09-19,265.2,265.2
130,TDG,2017-09-18,264.64,264.64
131,TDG,2017-09-15,256.15,256.15
132,TDG,2017-09-14,254.72,254.72
133,TDG,2017-09-13,252.4,252.4
134,TDG,2017-09-12,254.18,254.18
135,TDG,2017-09-11,255.0,255.0
136,TDG,2017-09-08,254.02,254.02
137,TDG,2017-09-07,253.75,253.75
138,TDG,2017-09-06,250.43,250.43
139,TDG,2017-09-05,254.1,254.1
140,TDG,2017-09-01,256.86,256.86
141,TDG,2017-08-31,260.66,260.66
142,TDG,2017-08-30,276.51,276.51
143,TDG,2017-08-29,274.75,274.75
144,TDG,2017-08-28,271.08,271.08
145,TDG,2017-08-25,270.65,270.65
146,TDG,2017-08-24,271.43,271.43
147,TDG,2017-08-23,271.82,271.82
148,TDG,2017-08-22,275.34,275.34
149,TDG,2017-08-21,271.43,271.43
150,TDG,2017-08-18,273.11,273.11
151,TDG,2017-08-17,274.69,274.69
152,TDG,2017-08-16,280.36,280.36
153,TDG,2017-08-15,278.92,278.92
154,TDG,2017-08-14,278.73,278.73
155,TDG,2017-08-11,274.36,274.36
156,TDG,2017-08-10,273.38,273.38
157,TDG,2017-08-09,277.72,277.72
158,TDG,2017-08-08,285.7,285.7
159,TDG,2017-08-07,284.39,284.39
160,TDG,2017-08-04,280.6,280.6
161,TDG,2017-08-03,280.13,280.13
162,TDG,2017-08-02,282.45,282.45
163,TDG,2017-08-01,283.08,283.08
164,TDG,2017-07-31,282.14,282.14
165,TDG,2017-07-28,282.66,282.66
166,TDG,2017-07-27,282.49,282.49
167,TDG,2017-07-26,286.05,286.05
168,TDG,2017-07-25,287.6,287.6
169,TDG,2017-07-24,287.02,287.02
170,TDG,2017-07-21,286.5,286.5
171,TDG,2017-07-20,283.86,283.86
172,TDG,2017-07-19,286.44,286.44
173,TDG,2017-07-18,280.55,280.55
174,TDG,2017-07-17,282.2,282.2
175,TDG,2017-07-14,282.14,282.14
176,TDG,2017-07-13,275.29,275.29
177,TDG,2017-07-12,274.6,274.6
178,TDG,2017-07-11,270.63,270.63
179,TDG,2017-07-10,270.61,270.61
180,TDG,2017-07-07,266.66,266.66
181,TDG,2017-07-06,263.6,263.6
182,TDG,2017-07-05,268.31,268.31
183,TDG,2017-07-03,265.09,265.09
184,TDG,2017-06-30,268.87,268.87
185,TDG,2017-06-29,265.01,265.01
186,TDG,2017-06-28,267.48,267.48
187,TDG,2017-06-27,265.38,265.38
188,TDG,2017-06-26,268.25,268.25
189,TDG,2017-06-23,268.12,268.12
190,TDG,2017-06-22,267.5,267.5
191,TDG,2017-06-21,267.95,267.95
192,TDG,2017-06-20,266.0,266.0
193,TDG,2017-06-19,271.12,271.12
194,TDG,2017-06-16,270.26,270.26
195,TDG,2017-06-15,271.32,271.32
196,TDG,2017-06-14,270.59,270.59
197,TDG,2017-06-13,269.29,269.29
198,TDG,2017-06-12,262.78,262.78
199,TDG,2017-06-09,269.93,269.93
200,TDG,2017-06-08,273.25,273.25
201,TDG,2017-06-07,270.04,270.04
202,TDG,2017-06-06,270.17,270.17
203,TDG,2017-06-05,270.59,270.59
204,TDG,2017-06-02,271.67,271.67
205,TDG,2017-06-01,269.14,269.14
206,TDG,2017-05-31,268.08,268.08
207,TDG,2017-05-30,266.39,266.39
208,TDG,2017-05-26,264.41,264.41
209,TDG,2017-05-25,267.03,267.03
210,TDG,2017-05-24,265.44,265.44
211,TDG,2017-05-23,263.28,263.28
212,TDG,2017-05-22,257.4,257.4
213,TDG,2017-05-19,255.56,255.56
214,TDG,2017-05-18,247.8,247.8
215,TDG,2017-05-17,242.81,242.81
216,TDG,2017-05-16,248.96,248.96
217,TDG,2017-05-15,248.44,248.44
218,TDG,2017-05-12,243.3,243.3
219,TDG,2017-05-11,243.15,243.15
220,TDG,2017-05-10,244.94,244.94
221,TDG,2017-05-09,242.42,242.42
222,TDG,2017-05-08,255.03,255.03
223,TDG,2017-05-05,254.98,254.98
224,TDG,2017-05-04,250.04,250.04
225,TDG,2017-05-03,247.62,247.62
226,TDG,2017-05-02,250.84,250.84
227,TDG,2017-05-01,249.88,249.88
228,TDG,2017-04-28,246.73,246.73
229,TDG,2017-04-27,250.89,250.89
230,TDG,2017-04-26,250.73,250.73
231,TDG,2017-04-25,248.17,248.17
232,TDG,2017-04-24,248.33,248.33
233,TDG,2017-04-21,240.21,240.21
234,TDG,2017-04-20,239.95,239.95
235,TDG,2017-04-19,237.41,237.41
236,TDG,2017-04-18,236.46,236.46
237,TDG,2017-04-17,239.23,239.23
238,TDG,2017-04-13,233.76,233.76
239,TDG,2017-04-12,235.65,235.65
240,TDG,2017-04-11,236.48,236.48
241,TDG,2017-04-10,233.0,233.0
242,TDG,2017-04-07,228.71,228.71
243,TDG,2017-04-06,226.46,226.46
244,TDG,2017-04-05,224.44,224.44
245,TDG,2017-04-04,223.42,223.42
246,TDG,2017-04-03,218.76,218.76
247,TDG,2017-03-31,220.16,220.16
248,TDG,2017-03-30,220.03,220.03
249,TDG,2017-03-29,218.93,218.93
250,TDG,2017-03-28,217.56,217.56
251,TDG,2017-03-27,214.54,214.54
