None,ticker,date,close,adj_close
0,TEL,2018-03-27,97.8,97.8
1,TEL,2018-03-26,98.96,98.96
2,TEL,2018-03-23,96.84,96.84
3,TEL,2018-03-22,100.49,100.49
4,TEL,2018-03-21,104.68,104.68
5,TEL,2018-03-20,104.54,104.54
6,TEL,2018-03-19,103.37,103.37
7,TEL,2018-03-16,104.44,104.44
8,TEL,2018-03-15,104.51,104.51
9,TEL,2018-03-14,103.93,103.93
10,TEL,2018-03-13,104.62,104.62
11,TEL,2018-03-12,105.24,105.24
12,TEL,2018-03-09,105.75,105.75
13,TEL,2018-03-08,102.83,102.83
14,TEL,2018-03-07,102.17,102.17
15,TEL,2018-03-06,101.93,101.93
16,TEL,2018-03-05,101.59,101.59
17,TEL,2018-03-02,101.38,101.38
18,TEL,2018-03-01,100.08,100.08
19,TEL,2018-02-28,103.09,103.09
20,TEL,2018-02-27,104.39,104.39
21,TEL,2018-02-26,104.44,104.44
22,TEL,2018-02-23,102.27,102.27
23,TEL,2018-02-22,101.02,101.02
24,TEL,2018-02-21,102.17,102.17
25,TEL,2018-02-20,102.51,102.51
26,TEL,2018-02-16,102.1,102.1
27,TEL,2018-02-15,101.4,101.4
28,TEL,2018-02-14,99.74,99.74
29,TEL,2018-02-13,98.79,98.79
30,TEL,2018-02-12,98.7,98.7
31,TEL,2018-02-09,96.4,96.4
32,TEL,2018-02-08,95.27,95.27
33,TEL,2018-02-07,99.61,99.61
34,TEL,2018-02-06,99.14,99.14
35,TEL,2018-02-05,98.72,98.72
36,TEL,2018-02-02,102.18,102.18
37,TEL,2018-02-01,103.78,103.78
38,TEL,2018-01-31,102.53,102.53
39,TEL,2018-01-30,102.33,102.33
40,TEL,2018-01-29,103.88,103.88
41,TEL,2018-01-26,104.35,104.35
42,TEL,2018-01-25,102.64,102.64
43,TEL,2018-01-24,102.39,102.39
44,TEL,2018-01-23,100.7,100.7
45,TEL,2018-01-22,101.26,101.26
46,TEL,2018-01-19,100.73,100.73
47,TEL,2018-01-18,99.97,99.97
48,TEL,2018-01-17,100.57,100.57
49,TEL,2018-01-16,100.11,100.11
50,TEL,2018-01-12,100.17,100.17
51,TEL,2018-01-11,99.26,99.26
52,TEL,2018-01-10,98.52,98.52
53,TEL,2018-01-09,98.82,98.82
54,TEL,2018-01-08,99.81,99.81
55,TEL,2018-01-05,99.6,99.6
56,TEL,2018-01-04,97.38,97.38
57,TEL,2018-01-03,96.93,96.93
58,TEL,2018-01-02,95.32,95.32
59,TEL,2017-12-29,95.04,95.04
60,TEL,2017-12-28,95.24,95.24
61,TEL,2017-12-27,95.19,95.19
62,TEL,2017-12-26,95.26,95.26
