None,ticker,date,close,adj_close
0,TFX,2018-03-27,257.65,257.65
1,TFX,2018-03-26,259.13,259.13
2,TFX,2018-03-23,252.86,252.86
3,TFX,2018-03-22,256.81,256.81
4,TFX,2018-03-21,260.05,260.05
5,TFX,2018-03-20,265.28,265.28
6,TFX,2018-03-19,262.14,262.14
7,TFX,2018-03-16,264.76,264.76
8,TFX,2018-03-15,265.93,265.93
9,TFX,2018-03-14,265.69,265.69
10,TFX,2018-03-13,267.35,267.35
11,TFX,2018-03-12,266.38,266.38
12,TFX,2018-03-09,269.26,269.26
13,TFX,2018-03-08,261.41,261.41
14,TFX,2018-03-07,257.65,257.65
15,TFX,2018-03-06,254.32,254.32
16,TFX,2018-03-05,250.51,250.51
17,TFX,2018-03-02,245.61,245.61
18,TFX,2018-03-01,242.67,242.67
19,TFX,2018-02-28,249.83,249.83
20,TFX,2018-02-27,253.72,253.72
21,TFX,2018-02-26,256.26,256.26
22,TFX,2018-02-23,255.27,255.27
23,TFX,2018-02-22,249.44,249.44
24,TFX,2018-02-21,270.0,270.0
25,TFX,2018-02-20,269.07,269.07
26,TFX,2018-02-16,267.89,267.89
27,TFX,2018-02-15,265.61,265.61
28,TFX,2018-02-14,260.96,260.96
29,TFX,2018-02-13,254.95,254.95
30,TFX,2018-02-12,255.2,255.2
31,TFX,2018-02-09,252.75,252.75
32,TFX,2018-02-08,249.14,249.14
33,TFX,2018-02-07,263.09,263.09
34,TFX,2018-02-06,261.95,261.95
35,TFX,2018-02-05,261.45,261.45
36,TFX,2018-02-02,272.36,272.36
37,TFX,2018-02-01,278.68,278.68
38,TFX,2018-01-31,277.75,277.75
39,TFX,2018-01-30,281.56,281.56
40,TFX,2018-01-29,287.65,287.65
41,TFX,2018-01-26,284.59,284.59
42,TFX,2018-01-25,278.15,278.15
43,TFX,2018-01-24,275.08,275.08
44,TFX,2018-01-23,273.9,273.9
45,TFX,2018-01-22,274.75,274.75
46,TFX,2018-01-19,276.42,276.42
47,TFX,2018-01-18,275.3,275.3
48,TFX,2018-01-17,272.31,272.31
49,TFX,2018-01-16,262.93,262.93
50,TFX,2018-01-12,263.18,263.18
51,TFX,2018-01-11,260.66,260.66
52,TFX,2018-01-10,257.92,257.92
53,TFX,2018-01-09,262.14,262.14
54,TFX,2018-01-08,258.68,258.68
55,TFX,2018-01-05,257.73,257.73
56,TFX,2018-01-04,254.01,254.01
57,TFX,2018-01-03,256.64,256.64
58,TFX,2018-01-02,254.73,254.73
59,TFX,2017-12-29,248.82,248.82
60,TFX,2017-12-28,251.51,251.51
61,TFX,2017-12-27,249.65,249.65
62,TFX,2017-12-26,247.89,247.89
63,TFX,2017-12-22,249.44,249.44
64,TFX,2017-12-21,249.92,249.92
65,TFX,2017-12-20,255.77,255.77
66,TFX,2017-12-19,254.23,254.23
67,TFX,2017-12-18,251.91,251.91
68,TFX,2017-12-15,252.17,252.17
69,TFX,2017-12-14,249.35,249.35
70,TFX,2017-12-13,251.91,251.91
71,TFX,2017-12-12,249.86,249.86
72,TFX,2017-12-11,252.18,252.18
73,TFX,2017-12-08,252.76,252.76
74,TFX,2017-12-07,251.19,251.19
75,TFX,2017-12-06,250.1,250.1
76,TFX,2017-12-05,251.75,251.75
77,TFX,2017-12-04,252.98,252.98
78,TFX,2017-12-01,265.58,265.58
79,TFX,2017-11-30,265.52,265.52
80,TFX,2017-11-29,264.41,264.41
81,TFX,2017-11-28,270.19,270.19
82,TFX,2017-11-27,267.94,267.94
83,TFX,2017-11-24,267.71,267.71
84,TFX,2017-11-22,266.55,266.55
85,TFX,2017-11-21,267.6,267.6
86,TFX,2017-11-20,266.64,266.64
87,TFX,2017-11-17,266.21,266.21
88,TFX,2017-11-16,263.44,263.44
89,TFX,2017-11-15,255.44,255.44
90,TFX,2017-11-14,256.55,256.55
91,TFX,2017-11-13,256.94,256.94
92,TFX,2017-11-10,252.89,252.89
93,TFX,2017-11-09,257.14,257.14
94,TFX,2017-11-07,260.31,260.31
95,TFX,2017-11-06,256.58,256.58
96,TFX,2017-11-03,256.41,256.41
97,TFX,2017-11-02,254.8,254.8
98,TFX,2017-11-01,241.71,241.71
99,TFX,2017-10-31,236.98,236.98
100,TFX,2017-10-30,236.76,236.76
101,TFX,2017-10-27,242.79,242.79
102,TFX,2017-10-26,241.3,241.3
103,TFX,2017-10-25,242.48,242.48
104,TFX,2017-10-24,241.26,241.26
105,TFX,2017-10-23,242.99,242.99
106,TFX,2017-10-20,243.06,243.06
107,TFX,2017-10-19,241.99,241.99
108,TFX,2017-10-18,240.64,240.64
109,TFX,2017-10-17,240.76,240.76
110,TFX,2017-10-16,239.03,239.03
111,TFX,2017-10-13,238.71,238.71
112,TFX,2017-10-12,240.03,240.03
113,TFX,2017-10-11,239.89,239.89
114,TFX,2017-10-10,240.42,240.42
115,TFX,2017-10-09,243.62,243.62
116,TFX,2017-10-06,246.05,246.05
117,TFX,2017-10-05,246.42,246.42
118,TFX,2017-10-04,246.08,246.08
119,TFX,2017-10-03,244.25,244.25
120,TFX,2017-10-02,244.72,244.72
121,TFX,2017-09-29,241.97,241.97
122,TFX,2017-09-28,240.49,240.49
123,TFX,2017-09-27,241.23,241.23
124,TFX,2017-09-26,240.78,240.78
125,TFX,2017-09-25,242.56,242.56
126,TFX,2017-09-22,241.77,241.77
127,TFX,2017-09-21,237.06,237.06
128,TFX,2017-09-20,236.86,236.86
129,TFX,2017-09-19,239.75,239.75
130,TFX,2017-09-18,239.73,239.73
131,TFX,2017-09-15,235.23,235.23
132,TFX,2017-09-14,234.3,234.3
133,TFX,2017-09-13,233.97,233.97
134,TFX,2017-09-12,235.53,235.53
135,TFX,2017-09-11,233.85,233.85
136,TFX,2017-09-08,232.75,232.75
137,TFX,2017-09-07,227.14,227.14
138,TFX,2017-09-06,225.41,225.41
139,TFX,2017-09-05,210.94,210.94
140,TFX,2017-09-01,210.51,210.51
