None,ticker,date,close,adj_close
0,TGT,2018-03-27,68.51,68.51
1,TGT,2018-03-26,70.28,70.28
2,TGT,2018-03-23,67.88,67.88
3,TGT,2018-03-22,68.89,68.89
4,TGT,2018-03-21,70.14,70.14
5,TGT,2018-03-20,71.56,71.56
6,TGT,2018-03-19,70.34,70.34
7,TGT,2018-03-16,70.99,70.99
8,TGT,2018-03-15,70.63,70.63
9,TGT,2018-03-14,70.65,70.65
10,TGT,2018-03-13,71.17,71.17
11,TGT,2018-03-12,70.67,70.67
12,TGT,2018-03-09,70.49,70.49
13,TGT,2018-03-08,69.75,69.75
14,TGT,2018-03-07,71.43,71.43
15,TGT,2018-03-06,71.79,71.79
16,TGT,2018-03-05,75.14,75.14
17,TGT,2018-03-02,75.15,75.15
18,TGT,2018-03-01,74.13,74.13
19,TGT,2018-02-28,75.41,75.41
20,TGT,2018-02-27,75.57,75.57
21,TGT,2018-02-26,76.9,76.9
22,TGT,2018-02-23,75.41,75.41
23,TGT,2018-02-22,75.03,75.03
24,TGT,2018-02-21,72.96,72.96
25,TGT,2018-02-20,72.86,72.86
26,TGT,2018-02-16,75.7,75.7
27,TGT,2018-02-15,76.04,76.04
28,TGT,2018-02-14,75.35,75.35
29,TGT,2018-02-13,73.88,73.88
30,TGT,2018-02-12,71.88,71.88
31,TGT,2018-02-09,72.45,72.45
32,TGT,2018-02-08,71.11,71.11
33,TGT,2018-02-07,73.25,73.25
34,TGT,2018-02-06,72.71,72.71
35,TGT,2018-02-05,70.77,70.77
36,TGT,2018-02-02,72.95,72.95
37,TGT,2018-02-01,74.97,74.97
38,TGT,2018-01-31,75.22,75.22
39,TGT,2018-01-30,75.1,75.1
40,TGT,2018-01-29,76.8,76.8
41,TGT,2018-01-26,76.95,76.95
42,TGT,2018-01-25,76.3,76.3
43,TGT,2018-01-24,76.89,76.89
44,TGT,2018-01-23,78.12,78.12
45,TGT,2018-01-22,78.58,78.58
46,TGT,2018-01-19,78.1,78.1
47,TGT,2018-01-18,77.9,77.9
48,TGT,2018-01-17,76.82,76.82
49,TGT,2018-01-16,74.96,74.96
50,TGT,2018-01-12,76.8,76.8
51,TGT,2018-01-11,74.0,74.0
52,TGT,2018-01-10,70.73,70.73
53,TGT,2018-01-09,69.14,69.14
54,TGT,2018-01-08,67.18,67.18
55,TGT,2018-01-05,66.55,66.55
56,TGT,2018-01-04,65.85,65.85
57,TGT,2018-01-03,67.17,67.17
58,TGT,2018-01-02,67.63,67.63
59,TGT,2017-12-29,65.25,65.25
