None,ticker,date,close,adj_close
0,TMK,2018-03-27,83.17,83.17
1,TMK,2018-03-26,84.12,84.12
2,TMK,2018-03-23,80.91,80.91
3,TMK,2018-03-22,83.83,83.83
4,TMK,2018-03-21,86.06,86.06
5,TMK,2018-03-20,86.03,86.03
6,TMK,2018-03-19,85.44,85.44
7,TMK,2018-03-16,85.59,85.59
8,TMK,2018-03-15,85.54,85.54
9,TMK,2018-03-14,85.24,85.24
10,TMK,2018-03-13,86.38,86.38
11,TMK,2018-03-12,87.02,87.02
12,TMK,2018-03-09,87.34,87.34
13,TMK,2018-03-08,85.62,85.62
14,TMK,2018-03-07,84.84,84.84
15,TMK,2018-03-06,84.72,84.72
16,TMK,2018-03-05,84.11,84.11
17,TMK,2018-03-02,82.96,82.96
18,TMK,2018-03-01,83.17,83.17
19,TMK,2018-02-28,85.37,85.37
20,TMK,2018-02-27,86.99,86.99
21,TMK,2018-02-26,87.6,87.6
22,TMK,2018-02-23,86.51,86.51
23,TMK,2018-02-22,85.64,85.64
24,TMK,2018-02-21,86.17,86.17
25,TMK,2018-02-20,86.38,86.38
26,TMK,2018-02-16,86.65,86.65
27,TMK,2018-02-15,86.12,86.12
28,TMK,2018-02-14,86.3,86.3
29,TMK,2018-02-13,84.04,84.04
30,TMK,2018-02-12,83.53,83.53
31,TMK,2018-02-09,82.64,82.64
32,TMK,2018-02-08,80.52,80.52
33,TMK,2018-02-07,83.28,83.28
34,TMK,2018-02-06,83.42,83.42
35,TMK,2018-02-05,83.96,83.96
36,TMK,2018-02-02,88.21,88.21
37,TMK,2018-02-01,90.74,90.74
38,TMK,2018-01-31,90.85,90.85
39,TMK,2018-01-30,91.33,91.33
40,TMK,2018-01-29,92.34,92.34
41,TMK,2018-01-26,93.32,93.32
42,TMK,2018-01-25,92.71,92.71
43,TMK,2018-01-24,93.07,93.07
44,TMK,2018-01-23,92.77,92.77
45,TMK,2018-01-22,92.78,92.78
46,TMK,2018-01-19,92.15,92.15
47,TMK,2018-01-18,91.66,91.66
48,TMK,2018-01-17,92.03,92.03
49,TMK,2018-01-16,91.42,91.42
50,TMK,2018-01-12,92.25,92.25
51,TMK,2018-01-11,92.86,92.86
52,TMK,2018-01-10,92.76,92.76
53,TMK,2018-01-09,92.07,92.07
54,TMK,2018-01-08,91.33,91.33
55,TMK,2018-01-05,91.06,91.06
56,TMK,2018-01-04,90.7,90.7
57,TMK,2018-01-03,90.47,90.47
58,TMK,2018-01-02,90.21,90.21
59,TMK,2017-12-29,90.71,90.71
60,TMK,2017-12-28,91.16,91.16
61,TMK,2017-12-27,90.69,90.69
62,TMK,2017-12-26,90.63,90.63
63,TMK,2017-12-22,90.69,90.69
64,TMK,2017-12-21,90.51,90.51
65,TMK,2017-12-20,90.42,90.42
66,TMK,2017-12-19,90.14,90.14
67,TMK,2017-12-18,89.87,89.87
68,TMK,2017-12-15,89.61,89.61
69,TMK,2017-12-14,88.86,88.86
70,TMK,2017-12-13,89.31,89.31
71,TMK,2017-12-12,89.77,89.77
72,TMK,2017-12-11,89.63,89.63
73,TMK,2017-12-08,89.95,89.95
74,TMK,2017-12-07,89.17,89.17
75,TMK,2017-12-06,89.03,89.03
76,TMK,2017-12-05,89.0,89.0
77,TMK,2017-12-04,89.4,89.4
