None,ticker,date,close,adj_close
0,TRIP,2018-03-27,40.33,40.33
1,TRIP,2018-03-26,41.94,41.94
2,TRIP,2018-03-23,40.04,40.04
3,TRIP,2018-03-22,40.11,40.11
4,TRIP,2018-03-21,41.59,41.59
5,TRIP,2018-03-20,41.78,41.78
6,TRIP,2018-03-19,42.72,42.72
7,TRIP,2018-03-16,43.77,43.77
8,TRIP,2018-03-15,43.74,43.74
9,TRIP,2018-03-14,44.05,44.05
10,TRIP,2018-03-13,42.28,42.28
11,TRIP,2018-03-12,43.17,43.17
12,TRIP,2018-03-09,43.03,43.03
13,TRIP,2018-03-08,42.45,42.45
14,TRIP,2018-03-07,42.58,42.58
15,TRIP,2018-03-06,42.38,42.38
16,TRIP,2018-03-05,41.97,41.97
17,TRIP,2018-03-02,39.69,39.69
18,TRIP,2018-03-01,39.76,39.76
19,TRIP,2018-02-28,40.08,40.08
20,TRIP,2018-02-27,39.73,39.73
21,TRIP,2018-02-26,41.45,41.45
22,TRIP,2018-02-23,42.3,42.3
23,TRIP,2018-02-22,41.65,41.65
24,TRIP,2018-02-21,42.37,42.37
25,TRIP,2018-02-20,42.65,42.65
26,TRIP,2018-02-16,43.32,43.32
27,TRIP,2018-02-15,42.4,42.4
28,TRIP,2018-02-14,40.72,40.72
29,TRIP,2018-02-13,39.88,39.88
30,TRIP,2018-02-12,37.71,37.71
31,TRIP,2018-02-09,38.26,38.26
32,TRIP,2018-02-08,40.06,40.06
33,TRIP,2018-02-07,41.05,41.05
34,TRIP,2018-02-06,40.84,40.84
35,TRIP,2018-02-05,35.89,35.89
36,TRIP,2018-02-02,34.35,34.35
37,TRIP,2018-02-01,34.645,34.645
38,TRIP,2018-01-31,34.67,34.67
39,TRIP,2018-01-30,34.9,34.9
40,TRIP,2018-01-29,36.33,36.33
41,TRIP,2018-01-26,36.78,36.78
42,TRIP,2018-01-25,36.49,36.49
43,TRIP,2018-01-24,36.31,36.31
44,TRIP,2018-01-23,36.3,36.3
45,TRIP,2018-01-22,37.2,37.2
46,TRIP,2018-01-19,35.45,35.45
47,TRIP,2018-01-18,35.62,35.62
48,TRIP,2018-01-17,35.9,35.9
49,TRIP,2018-01-16,35.89,35.89
50,TRIP,2018-01-12,36.54,36.54
51,TRIP,2018-01-11,35.28,35.28
52,TRIP,2018-01-10,34.49,34.49
53,TRIP,2018-01-09,34.59,34.59
54,TRIP,2018-01-08,34.67,34.67
55,TRIP,2018-01-05,34.73,34.73
56,TRIP,2018-01-04,34.92,34.92
57,TRIP,2018-01-03,34.97,34.97
58,TRIP,2018-01-02,34.77,34.77
59,TRIP,2017-12-29,34.46,34.46
60,TRIP,2017-12-28,34.5,34.5
61,TRIP,2017-12-27,34.53,34.53
62,TRIP,2017-12-26,34.53,34.53
63,TRIP,2017-12-22,34.57,34.57
64,TRIP,2017-12-21,34.74,34.74
65,TRIP,2017-12-20,34.46,34.46
66,TRIP,2017-12-19,34.77,34.77
67,TRIP,2017-12-18,35.46,35.46
68,TRIP,2017-12-15,35.03,35.03
69,TRIP,2017-12-14,34.49,34.49
70,TRIP,2017-12-13,34.71,34.71
71,TRIP,2017-12-12,35.1,35.1
72,TRIP,2017-12-11,35.32,35.32
73,TRIP,2017-12-08,34.5,34.5
74,TRIP,2017-12-07,34.45,34.45
75,TRIP,2017-12-06,34.42,34.42
76,TRIP,2017-12-05,34.39,34.39
77,TRIP,2017-12-04,34.76,34.76
78,TRIP,2017-12-01,34.29,34.29
79,TRIP,2017-11-30,34.62,34.62
80,TRIP,2017-11-29,34.57,34.57
81,TRIP,2017-11-28,34.71,34.71
82,TRIP,2017-11-27,34.4,34.4
83,TRIP,2017-11-24,34.17,34.17
84,TRIP,2017-11-22,34.19,34.19
85,TRIP,2017-11-21,32.81,32.81
86,TRIP,2017-11-20,30.48,30.48
87,TRIP,2017-11-17,30.59,30.59
88,TRIP,2017-11-16,30.33,30.33
89,TRIP,2017-11-15,30.53,30.53
90,TRIP,2017-11-14,30.06,30.06
91,TRIP,2017-11-13,30.75,30.75
92,TRIP,2017-11-10,31.19,31.19
93,TRIP,2017-11-09,31.56,31.56
94,TRIP,2017-11-07,30.35,30.35
95,TRIP,2017-11-06,39.53,39.53
96,TRIP,2017-11-03,38.88,38.88
